Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,3.232535e-1,4.428582e-7,11,406,63,0.151,false
QQN-GoldenSection,1,3.232535e-1,3.850679e-7,13,354,75,0.140,false
QQN-GoldenSection,2,3.232535e-1,8.881925e-7,10,398,57,0.148,false
QQN-GoldenSection,3,3.232535e-1,8.741424e-7,10,364,57,0.136,false
QQN-GoldenSection,4,3.232535e-1,7.196735e-7,10,398,57,0.146,false
QQN-GoldenSection,5,3.232535e-1,4.657968e-7,11,406,63,0.151,false
QQN-GoldenSection,6,3.232535e-1,3.807782e-7,11,406,63,0.153,false
QQN-GoldenSection,7,3.232535e-1,3.998521e-7,11,406,63,0.151,false
QQN-GoldenSection,8,3.232535e-1,9.226151e-7,10,364,57,0.136,false
QQN-GoldenSection,9,3.232535e-1,7.021301e-7,12,380,69,0.146,false
QQN-GoldenSection,10,3.232535e-1,9.297149e-7,10,364,57,0.137,false
QQN-GoldenSection,11,3.232535e-1,8.125079e-7,9,356,51,0.130,false
QQN-GoldenSection,12,3.232535e-1,2.015837e-7,12,363,69,0.141,false
QQN-GoldenSection,13,3.232535e-1,4.276287e-7,11,371,63,0.141,false
QQN-GoldenSection,14,3.232535e-1,5.289041e-7,11,440,63,0.162,false
QQN-GoldenSection,15,3.232535e-1,3.645711e-7,11,440,63,0.163,false
QQN-GoldenSection,16,3.232535e-1,9.702811e-7,10,398,57,0.146,false
QQN-GoldenSection,17,3.232535e-1,3.981390e-7,11,406,63,0.152,false
QQN-GoldenSection,18,3.232535e-1,6.237475e-7,10,364,57,0.134,false
QQN-GoldenSection,19,3.232535e-1,8.111693e-7,11,405,63,0.150,false
QQN-Bisection-1,0,3.232535e-1,8.402809e-7,10,112,152,0.090,false
QQN-Bisection-1,1,3.232535e-1,8.851709e-7,10,112,152,0.090,false
QQN-Bisection-1,2,3.232535e-1,8.912496e-7,10,112,152,0.089,false
QQN-Bisection-1,3,3.232535e-1,4.817418e-7,10,112,152,0.090,false
QQN-Bisection-1,4,3.232535e-1,9.476882e-7,10,112,152,0.089,false
QQN-Bisection-1,5,3.232535e-1,8.161897e-7,10,112,152,0.090,false
QQN-Bisection-1,6,3.232535e-1,7.384501e-7,10,112,152,0.088,false
QQN-Bisection-1,7,3.232535e-1,7.140943e-7,10,112,152,0.090,false
QQN-Bisection-1,8,3.232535e-1,4.281021e-7,11,123,162,0.097,false
QQN-Bisection-1,9,3.232535e-1,4.059185e-7,11,123,162,0.096,false
QQN-Bisection-1,10,3.232535e-1,8.938215e-7,10,112,152,0.090,false
QQN-Bisection-1,11,3.232535e-1,9.667700e-7,10,112,152,0.089,false
QQN-Bisection-1,12,3.232535e-1,7.016447e-7,10,112,152,0.090,false
QQN-Bisection-1,13,3.232535e-1,5.322944e-7,11,123,162,0.096,false
QQN-Bisection-1,14,3.232535e-1,4.913509e-7,11,123,162,0.097,false
QQN-Bisection-1,15,3.232535e-1,7.871326e-7,11,161,208,0.124,false
QQN-Bisection-1,16,3.232535e-1,5.812475e-7,11,123,162,0.097,false
QQN-Bisection-1,17,3.232535e-1,4.728227e-7,11,123,162,0.096,false
QQN-Bisection-1,18,3.232535e-1,9.201306e-7,10,112,152,0.090,false
QQN-Bisection-1,19,3.232535e-1,5.964232e-7,10,112,152,0.089,false
QQN-CubicQuadraticInterpolation,0,3.232535e-1,2.082352e-7,11,137,178,0.109,false
QQN-CubicQuadraticInterpolation,1,3.232535e-1,7.625661e-7,11,137,178,0.107,false
QQN-CubicQuadraticInterpolation,2,3.232535e-1,3.290134e-7,11,137,178,0.109,false
QQN-CubicQuadraticInterpolation,3,3.232535e-1,6.934764e-7,11,233,372,0.208,false
QQN-CubicQuadraticInterpolation,4,3.232535e-1,2.717092e-7,10,129,172,0.102,false
QQN-CubicQuadraticInterpolation,5,3.232535e-1,9.466255e-7,11,233,372,0.208,false
QQN-CubicQuadraticInterpolation,6,3.232535e-1,4.613348e-7,12,194,280,0.163,false
QQN-CubicQuadraticInterpolation,7,3.232535e-1,6.756151e-7,13,203,284,0.168,false
QQN-CubicQuadraticInterpolation,8,3.232535e-1,6.362681e-7,11,186,274,0.157,false
QQN-CubicQuadraticInterpolation,9,3.232535e-1,7.063068e-7,10,154,218,0.128,false
QQN-CubicQuadraticInterpolation,10,3.232535e-1,8.937043e-7,12,217,330,0.188,false
QQN-CubicQuadraticInterpolation,11,3.232535e-1,5.873176e-7,11,186,274,0.159,false
QQN-CubicQuadraticInterpolation,12,3.232535e-1,3.908867e-7,12,171,236,0.140,false
QQN-CubicQuadraticInterpolation,13,3.232535e-1,4.994447e-7,11,210,322,0.183,false
QQN-CubicQuadraticInterpolation,14,3.232535e-1,5.554289e-7,11,187,272,0.156,false
QQN-CubicQuadraticInterpolation,15,3.232535e-1,3.596824e-7,11,161,228,0.134,false
QQN-CubicQuadraticInterpolation,16,3.232535e-1,7.265045e-7,11,210,322,0.183,false
QQN-CubicQuadraticInterpolation,17,3.232535e-1,1.202195e-7,10,130,170,0.103,false
QQN-CubicQuadraticInterpolation,18,3.232535e-1,3.440524e-7,11,138,176,0.108,false
QQN-CubicQuadraticInterpolation,19,3.232535e-1,5.883102e-7,11,209,324,0.183,false
L-BFGS-Aggressive,0,3.252889e-1,1.408205e-2,79,768,242,0.318,false
L-BFGS-Aggressive,1,3.240644e-1,8.405864e-3,79,763,242,0.315,false
L-BFGS-Aggressive,2,3.232684e-1,1.153731e-3,21,157,65,0.070,false
L-BFGS-Aggressive,3,3.234132e-1,4.143022e-3,80,767,245,0.318,false
L-BFGS-Aggressive,4,3.244182e-1,1.054883e-2,13,100,41,0.045,false
L-BFGS-Aggressive,5,3.236581e-1,5.341405e-3,80,768,245,0.319,false
L-BFGS-Aggressive,6,3.233351e-1,3.018785e-3,18,130,56,0.059,false
L-BFGS-Aggressive,7,3.233881e-1,3.323695e-3,80,766,245,0.323,false
L-BFGS-Aggressive,8,3.232610e-1,9.034371e-4,17,126,53,0.059,false
L-BFGS-Aggressive,9,3.244299e-1,1.054544e-2,13,99,41,0.046,false
L-BFGS-Aggressive,10,3.235764e-1,4.164390e-3,80,766,245,0.324,false
L-BFGS-Aggressive,11,3.232535e-1,5.977031e-5,122,635,371,0.326,false
L-BFGS-Aggressive,12,3.233841e-1,3.123813e-3,80,769,245,0.317,false
L-BFGS-Aggressive,13,3.244191e-1,1.030557e-2,80,767,245,0.316,false
L-BFGS-Aggressive,14,3.232539e-1,2.453730e-4,31,206,95,0.096,false
L-BFGS-Aggressive,15,3.234339e-1,3.203338e-3,80,764,245,0.318,false
L-BFGS-Aggressive,16,3.233106e-1,2.829196e-3,79,769,242,0.315,false
L-BFGS-Aggressive,17,3.232698e-1,1.097927e-3,16,118,50,0.054,false
L-BFGS-Aggressive,18,3.234327e-1,4.113236e-3,16,117,50,0.053,false
L-BFGS-Aggressive,19,3.238582e-1,7.196903e-3,13,100,41,0.044,false
Adam-Fast,0,3.248908e-1,9.965400e-3,35,73,72,0.047,false
Adam-Fast,1,3.243676e-1,9.321305e-3,37,77,76,0.051,false
Adam-Fast,2,3.246102e-1,8.432378e-3,37,77,76,0.051,false
Adam-Fast,3,3.242495e-1,8.471082e-3,36,75,74,0.049,false
Adam-Fast,4,3.245800e-1,9.078697e-3,36,75,74,0.048,false
Adam-Fast,5,3.243514e-1,8.556422e-3,39,81,80,0.052,false
Adam-Fast,6,3.248078e-1,1.021559e-2,34,71,70,0.047,false
Adam-Fast,7,3.244088e-1,9.387999e-3,35,73,72,0.048,false
Adam-Fast,8,3.241586e-1,7.733214e-3,39,81,80,0.052,false
Adam-Fast,9,3.241557e-1,8.557624e-3,39,81,80,0.053,false
Adam-Fast,10,3.243500e-1,8.578737e-3,37,77,76,0.051,false
Adam-Fast,11,3.246816e-1,9.162772e-3,38,79,78,0.052,false
Adam-Fast,12,3.248324e-1,9.570063e-3,35,73,72,0.046,false
Adam-Fast,13,3.240997e-1,7.954432e-3,38,79,78,0.050,false
Adam-Fast,14,3.243709e-1,8.550200e-3,39,81,80,0.054,false
Adam-Fast,15,3.251354e-1,1.008106e-2,35,73,72,0.048,false
Adam-Fast,16,3.248475e-1,9.935509e-3,36,75,74,0.048,false
Adam-Fast,17,3.245707e-1,8.929895e-3,39,81,80,0.052,false
Adam-Fast,18,3.243057e-1,9.079343e-3,38,79,78,0.052,false
Adam-Fast,19,3.244548e-1,8.797938e-3,36,75,74,0.049,false
GD,0,5.281376e-1,1.488934e-1,332,335,668,0.334,false
GD,1,5.721389e-1,1.702415e-1,332,335,668,0.335,false
GD,2,5.640240e-1,1.644793e-1,332,335,668,0.336,false
GD,3,6.034809e-1,1.830196e-1,332,335,668,0.329,false
GD,4,5.494935e-1,1.576300e-1,332,335,668,0.331,false
GD,5,5.961999e-1,1.812509e-1,332,335,668,0.331,false
GD,6,5.986627e-1,1.806167e-1,332,335,668,0.330,false
GD,7,5.391158e-1,1.523713e-1,332,335,668,0.331,false
GD,8,5.918246e-1,1.781439e-1,332,335,668,0.331,false
GD,9,5.844013e-1,1.745728e-1,332,335,668,0.332,false
GD,10,5.558304e-1,1.611014e-1,332,335,668,0.333,false
GD,11,5.725447e-1,1.668113e-1,332,335,668,0.331,false
GD,12,6.127199e-1,1.868506e-1,332,335,668,0.331,false
GD,13,5.650477e-1,1.649558e-1,332,335,668,0.330,false
GD,14,6.035366e-1,1.841843e-1,332,335,668,0.331,false
GD,15,5.549713e-1,1.612630e-1,332,335,668,0.331,false
GD,16,5.820901e-1,1.742453e-1,332,335,668,0.332,false
GD,17,5.914681e-1,1.754816e-1,332,335,668,0.332,false
GD,18,5.711494e-1,1.685623e-1,332,335,668,0.331,false
GD,19,5.644467e-1,1.653950e-1,332,335,668,0.332,false
QQN-GoldenSection,0,3.232535e-1,5.282058e-7,12,305,69,0.120,false
QQN-GoldenSection,1,3.232535e-1,6.207613e-7,11,331,63,0.126,false
QQN-GoldenSection,2,3.232535e-1,7.522243e-7,15,397,87,0.158,false
QQN-GoldenSection,3,3.232535e-1,5.521182e-7,13,313,75,0.128,false
QQN-GoldenSection,4,3.232535e-1,7.447960e-8,13,347,75,0.137,false
QQN-GoldenSection,5,3.232535e-1,4.377608e-7,12,339,69,0.133,false
QQN-GoldenSection,6,3.232535e-1,7.559684e-7,11,331,63,0.129,false
QQN-GoldenSection,7,3.232535e-1,8.205629e-7,11,331,63,0.126,false
QQN-GoldenSection,8,3.232535e-1,4.208962e-7,11,331,63,0.128,false
QQN-GoldenSection,9,3.232535e-1,6.943228e-7,13,381,75,0.148,false
QQN-GoldenSection,10,3.232535e-1,4.423705e-7,11,331,63,0.126,false
QQN-GoldenSection,11,3.232535e-1,5.038024e-7,12,339,69,0.133,false
QQN-GoldenSection,12,3.232535e-1,5.524312e-7,10,323,57,0.122,false
QQN-GoldenSection,13,3.232535e-1,5.471253e-7,10,391,57,0.143,false
QQN-GoldenSection,14,3.232535e-1,4.709758e-7,12,373,69,0.144,false
QQN-GoldenSection,15,3.232535e-1,4.269249e-7,10,357,57,0.133,false
QQN-GoldenSection,16,3.232535e-1,2.801696e-7,17,379,99,0.156,false
QQN-GoldenSection,17,3.232535e-1,5.632392e-7,11,331,63,0.127,false
QQN-GoldenSection,18,3.232535e-1,4.895520e-7,14,355,81,0.143,false
QQN-GoldenSection,19,3.232535e-1,6.963708e-7,12,339,69,0.131,false
QQN-Bisection-1,0,3.232535e-1,9.735092e-8,12,131,122,0.086,false
QQN-Bisection-1,1,3.232535e-1,5.293071e-7,10,109,102,0.071,false
QQN-Bisection-1,2,3.232535e-1,3.384802e-7,10,109,102,0.071,false
QQN-Bisection-1,3,3.232535e-1,4.538717e-7,10,109,102,0.072,false
QQN-Bisection-1,4,3.232535e-1,7.927634e-7,11,120,112,0.078,false
QQN-Bisection-1,5,3.232535e-1,3.065863e-7,10,109,102,0.072,false
QQN-Bisection-1,6,3.232535e-1,5.632997e-7,10,109,102,0.071,false
QQN-Bisection-1,7,3.232535e-1,1.007123e-7,12,131,122,0.086,false
QQN-Bisection-1,8,3.232535e-1,6.727124e-7,10,109,102,0.072,false
QQN-Bisection-1,9,3.232535e-1,5.424960e-7,10,109,102,0.071,false
QQN-Bisection-1,10,3.232535e-1,3.980194e-7,10,109,102,0.071,false
QQN-Bisection-1,11,3.232535e-1,5.002693e-7,10,109,102,0.072,false
QQN-Bisection-1,12,3.232535e-1,5.330992e-7,10,109,102,0.070,false
QQN-Bisection-1,13,3.232535e-1,5.334324e-7,11,120,112,0.079,false
QQN-Bisection-1,14,3.232535e-1,4.292096e-7,10,109,102,0.071,false
QQN-Bisection-1,15,3.232535e-1,4.147081e-7,10,109,102,0.071,false
QQN-Bisection-1,16,3.232535e-1,3.847646e-7,10,109,102,0.071,false
QQN-Bisection-1,17,3.232535e-1,5.554646e-7,11,120,112,0.079,false
QQN-Bisection-1,18,3.232535e-1,4.382750e-7,10,109,102,0.071,false
QQN-Bisection-1,19,3.232535e-1,5.401708e-7,10,109,102,0.071,false
QQN-Bisection-2,0,3.232535e-1,5.205331e-7,10,109,83,0.064,false
QQN-Bisection-2,1,3.232535e-1,4.322557e-7,10,109,83,0.064,false
QQN-Bisection-2,2,3.232535e-1,4.133461e-7,10,109,83,0.065,false
QQN-Bisection-2,3,3.232535e-1,4.552347e-7,10,109,83,0.064,false
QQN-Bisection-2,4,3.232535e-1,5.099460e-7,10,109,83,0.064,false
QQN-Bisection-2,5,3.232535e-1,4.922142e-7,10,109,83,0.065,false
QQN-Bisection-2,6,3.232535e-1,1.294610e-7,12,131,101,0.078,false
QQN-Bisection-2,7,3.232535e-1,4.813452e-7,10,109,83,0.064,false
QQN-Bisection-2,8,3.232535e-1,6.862720e-7,11,120,92,0.072,false
QQN-Bisection-2,9,3.232535e-1,2.530028e-7,10,109,83,0.064,false
QQN-Bisection-2,10,3.232535e-1,4.145348e-7,10,109,83,0.065,false
QQN-Bisection-2,11,3.232535e-1,4.288578e-7,10,109,83,0.065,false
QQN-Bisection-2,12,3.232535e-1,5.180836e-7,10,109,83,0.065,false
QQN-Bisection-2,13,3.232535e-1,9.141202e-7,10,109,83,0.065,false
QQN-Bisection-2,14,3.232535e-1,6.539476e-7,10,109,83,0.065,false
QQN-Bisection-2,15,3.232535e-1,5.386989e-7,10,109,83,0.064,false
QQN-Bisection-2,16,3.232535e-1,1.054296e-7,12,131,101,0.078,false
