Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,5.897081e-20,3.259037e-10,7,285,39,0.004,true
QQN-GoldenSection,1,4.078729e-16,2.842525e-8,11,437,63,0.007,true
QQN-GoldenSection,2,5.032031e-14,2.717711e-7,9,350,51,0.005,true
QQN-GoldenSection,3,8.138981e-13,8.228085e-7,9,350,51,0.005,true
QQN-GoldenSection,4,1.736453e-13,5.019987e-7,10,396,57,0.006,true
QQN-GoldenSection,5,1.232587e-13,4.082517e-7,9,350,51,0.005,true
QQN-GoldenSection,6,1.410434e-12,4.339873e-7,8,313,45,0.005,true
QQN-GoldenSection,7,1.024269e-15,3.408443e-8,8,308,45,0.005,true
QQN-GoldenSection,8,2.318433e-14,1.900056e-7,9,350,51,0.005,true
QQN-GoldenSection,9,1.211802e-14,8.502506e-8,8,308,45,0.005,true
QQN-GoldenSection,10,1.325540e-14,1.109058e-7,8,308,45,0.005,true
QQN-GoldenSection,11,2.161915e-14,1.195803e-7,8,308,45,0.005,true
QQN-GoldenSection,12,8.221888e-16,3.722285e-8,9,350,51,0.005,true
QQN-GoldenSection,13,7.152790e-21,1.154602e-10,7,285,39,0.004,true
QQN-GoldenSection,14,6.454254e-15,5.178141e-8,7,272,39,0.004,true
QQN-GoldenSection,15,2.877055e-16,2.393714e-8,11,436,63,0.007,true
QQN-GoldenSection,16,6.001955e-19,1.008440e-9,7,285,39,0.004,true
QQN-GoldenSection,17,5.861083e-14,3.051899e-7,10,393,57,0.006,true
QQN-GoldenSection,18,1.818296e-19,5.645697e-10,7,285,39,0.004,true
QQN-GoldenSection,19,4.383235e-13,8.101478e-7,10,393,57,0.006,true
QQN-Bisection-1,0,9.812276e-15,1.258977e-7,9,97,138,0.002,true
QQN-Bisection-1,1,1.041796e-14,1.272254e-7,9,97,138,0.002,true
QQN-Bisection-1,2,2.216081e-14,1.883652e-7,10,111,151,0.003,true
QQN-Bisection-1,3,3.326904e-13,6.695976e-7,10,109,149,0.003,true
QQN-Bisection-1,4,5.853922e-13,6.956310e-7,9,97,138,0.002,true
QQN-Bisection-1,5,3.200082e-21,6.868854e-11,7,113,164,0.003,true
QQN-Bisection-1,6,2.338516e-16,2.136701e-8,11,120,159,0.003,true
QQN-Bisection-1,7,2.306020e-13,5.537641e-7,10,109,149,0.003,true
QQN-Bisection-1,8,4.036734e-16,2.832959e-8,11,120,159,0.003,true
QQN-Bisection-1,9,1.130999e-15,4.089519e-8,9,97,138,0.002,true
QQN-Bisection-1,10,3.389261e-13,6.731765e-7,10,109,149,0.003,true
QQN-Bisection-1,11,4.816291e-15,9.801659e-8,5,57,102,0.001,true
QQN-Bisection-1,12,5.909244e-16,3.167639e-8,9,97,138,0.002,true
QQN-Bisection-1,13,2.749540e-15,5.482343e-8,9,100,141,0.002,true
QQN-Bisection-1,14,2.112071e-18,2.055252e-9,6,68,112,0.002,true
QQN-Bisection-1,15,5.689187e-15,9.207092e-8,9,97,138,0.002,true
QQN-Bisection-1,16,1.205258e-14,1.349849e-7,9,97,138,0.002,true
QQN-Bisection-1,17,5.999504e-14,1.650097e-7,7,79,122,0.002,true
QQN-Bisection-1,18,1.923216e-16,1.930807e-8,11,121,160,0.003,true
QQN-Bisection-1,19,6.810208e-15,1.056272e-7,9,97,138,0.002,true
QQN-CubicQuadraticInterpolation,0,1.022542e-27,4.521882e-14,4,76,98,0.002,true
QQN-CubicQuadraticInterpolation,1,2.405026e-13,5.657001e-7,10,196,290,0.006,true
QQN-CubicQuadraticInterpolation,2,7.888609e-31,2.512148e-16,4,52,74,0.002,true
QQN-CubicQuadraticInterpolation,3,1.022542e-27,4.521882e-14,4,76,98,0.002,true
QQN-CubicQuadraticInterpolation,4,5.241350e-13,8.660725e-7,10,173,267,0.006,true
QQN-CubicQuadraticInterpolation,5,9.895471e-29,2.813606e-15,4,76,98,0.002,true
QQN-CubicQuadraticInterpolation,6,3.155444e-32,5.024296e-17,4,76,98,0.002,true
QQN-CubicQuadraticInterpolation,7,6.713256e-29,2.317456e-15,4,76,98,0.002,true
QQN-CubicQuadraticInterpolation,8,3.224363e-15,5.782068e-8,9,120,166,0.004,true
QQN-CubicQuadraticInterpolation,9,7.308057e-29,2.417942e-15,4,52,74,0.002,true
QQN-CubicQuadraticInterpolation,10,2.291785e-16,2.121095e-8,11,181,275,0.006,true
QQN-CubicQuadraticInterpolation,11,1.333175e-30,3.265792e-16,4,76,98,0.002,true
QQN-CubicQuadraticInterpolation,12,2.877677e-15,6.893087e-8,10,172,242,0.005,true
QQN-CubicQuadraticInterpolation,13,2.321667e-29,1.362840e-15,4,76,98,0.002,true
QQN-CubicQuadraticInterpolation,14,1.023500e-27,4.521967e-14,4,76,98,0.002,true
QQN-CubicQuadraticInterpolation,15,1.072851e-27,4.526330e-14,4,76,98,0.002,true
QQN-CubicQuadraticInterpolation,16,1.150204e-28,3.033419e-15,4,76,98,0.002,true
QQN-CubicQuadraticInterpolation,17,4.941758e-15,8.925558e-8,10,172,242,0.006,true
QQN-CubicQuadraticInterpolation,18,1.615242e-29,1.136747e-15,4,76,98,0.002,true
QQN-CubicQuadraticInterpolation,19,8.780219e-29,2.650316e-15,4,76,98,0.002,true
L-BFGS-Aggressive,0,3.604768e-6,5.370117e-4,98,708,299,0.017,false
L-BFGS-Aggressive,1,1.355799e-5,1.041460e-3,94,723,287,0.012,false
L-BFGS-Aggressive,2,1.225242e-5,9.900477e-4,95,723,290,0.012,false
L-BFGS-Aggressive,3,6.714781e-5,2.317720e-3,91,733,278,0.016,false
L-BFGS-Aggressive,4,3.479029e-6,5.275627e-4,98,708,299,0.012,false
L-BFGS-Aggressive,5,3.715287e-5,1.724016e-3,93,728,284,0.012,false
L-BFGS-Aggressive,6,2.073949e-2,4.167319e-2,77,772,236,0.007,false
L-BFGS-Aggressive,7,1.281245e-7,4.862675e-4,107,680,326,0.013,false
L-BFGS-Aggressive,8,7.086314e-5,2.380977e-3,91,733,278,0.012,false
L-BFGS-Aggressive,9,7.653053e-3,7.505423e-2,77,769,236,0.009,false
L-BFGS-Aggressive,10,2.314987e-3,5.863953e-2,77,768,236,0.012,false
L-BFGS-Aggressive,11,3.937782e-6,5.612688e-4,97,708,296,0.012,false
L-BFGS-Aggressive,12,2.876690e-5,1.517021e-3,92,723,281,0.011,false
L-BFGS-Aggressive,13,1.015748e-5,9.014426e-4,95,713,290,0.012,false
L-BFGS-Aggressive,14,1.635424e-5,1.143827e-3,95,723,290,0.012,false
L-BFGS-Aggressive,15,4.209553e-5,1.835114e-3,92,728,281,0.011,false
L-BFGS-Aggressive,16,2.898959e-4,4.825169e-3,88,733,269,0.011,false
L-BFGS-Aggressive,17,3.567661e-5,1.689417e-3,93,728,284,0.012,false
L-BFGS-Aggressive,18,1.041846e-4,2.887001e-3,90,738,275,0.011,false
L-BFGS-Aggressive,19,9.066037e-6,8.516356e-4,96,718,293,0.012,false
Adam-Fast,0,1.397322e-3,1.057328e-2,25,53,52,0.001,false
Adam-Fast,1,2.660699e-3,1.576095e-2,18,39,38,0.001,false
Adam-Fast,2,1.375289e-3,1.062756e-2,25,53,52,0.001,false
Adam-Fast,3,1.347680e-3,1.546757e-2,24,51,50,0.001,false
Adam-Fast,4,1.408071e-3,1.341452e-2,25,53,52,0.001,false
Adam-Fast,5,7.190086e-4,9.285362e-3,30,63,62,0.001,false
Adam-Fast,6,1.435855e-3,1.157880e-2,25,53,52,0.001,false
Adam-Fast,7,8.540699e-4,9.966598e-3,29,61,60,0.001,false
Adam-Fast,8,6.553562e-4,7.541683e-3,30,63,62,0.001,false
Adam-Fast,9,2.604890e-3,1.895640e-2,17,37,36,0.001,false
Adam-Fast,10,2.373036e-3,1.685620e-2,19,41,40,0.001,false
Adam-Fast,11,2.532459e-3,1.576844e-2,17,37,36,0.001,false
Adam-Fast,12,4.153717e-4,6.707171e-3,33,69,68,0.001,false
Adam-Fast,13,7.827096e-4,7.947780e-3,31,65,64,0.001,false
Adam-Fast,14,1.146840e-3,1.421551e-2,27,57,56,0.001,false
Adam-Fast,15,3.005771e-4,4.903822e-3,35,73,72,0.001,false
Adam-Fast,16,9.229766e-4,9.339704e-3,28,59,58,0.001,false
Adam-Fast,17,4.502379e-4,6.015120e-3,34,71,70,0.001,false
Adam-Fast,18,2.408618e-3,1.567720e-2,19,41,40,0.001,false
Adam-Fast,19,2.660739e-3,1.459651e-2,16,35,34,0.001,false
GD,0,3.432567e-2,5.281816e-2,332,335,668,0.008,false
GD,1,3.459274e-2,5.303701e-2,332,335,668,0.008,false
GD,2,2.100515e-2,4.101128e-2,332,335,668,0.008,false
GD,3,3.021741e-2,4.924607e-2,332,335,668,0.008,false
GD,4,2.185977e-2,4.183196e-2,332,335,668,0.008,false
GD,5,3.708938e-2,5.455815e-2,332,335,668,0.008,false
GD,6,3.044022e-2,4.945420e-2,332,335,668,0.008,false
GD,7,3.022872e-2,5.000461e-2,332,335,668,0.008,false
GD,8,2.675363e-2,4.630612e-2,332,335,668,0.008,false
GD,9,3.277644e-2,5.156588e-2,332,335,668,0.008,false
GD,10,2.430192e-2,4.409408e-2,332,335,668,0.008,false
GD,11,2.490335e-2,4.489434e-2,332,335,668,0.008,false
GD,12,2.813338e-2,4.797851e-2,332,335,668,0.008,false
GD,13,2.582032e-2,4.564652e-2,332,335,668,0.008,false
GD,14,2.215880e-2,4.211478e-2,332,335,668,0.008,false
GD,15,2.792188e-2,4.744698e-2,332,335,668,0.008,false
GD,16,3.595314e-2,5.383992e-2,332,335,668,0.008,false
GD,17,3.107840e-2,5.072754e-2,332,335,668,0.008,false
GD,18,2.522428e-2,4.518072e-2,332,335,668,0.008,false
GD,19,3.690449e-2,5.434686e-2,332,335,668,0.008,false
QQN-GoldenSection,0,6.311027e-15,1.013808e-7,9,345,51,0.005,true
QQN-GoldenSection,1,8.446316e-15,1.160676e-7,9,345,51,0.005,true
QQN-GoldenSection,2,2.996628e-16,2.349188e-8,10,387,57,0.006,true
QQN-GoldenSection,3,8.762222e-14,3.639264e-7,10,391,57,0.006,true
QQN-GoldenSection,4,2.138345e-13,5.558872e-7,10,391,57,0.008,true
QQN-GoldenSection,5,4.287739e-16,2.904904e-8,11,432,63,0.008,true
QQN-GoldenSection,6,2.971742e-14,1.458876e-7,8,303,45,0.005,true
QQN-GoldenSection,7,1.640594e-18,1.459903e-9,7,271,39,0.004,true
QQN-GoldenSection,8,1.392719e-16,1.635272e-8,11,430,63,0.007,true
QQN-GoldenSection,9,7.652170e-16,3.589528e-8,9,345,51,0.006,true
QQN-GoldenSection,10,2.507982e-13,5.759396e-7,10,389,57,0.008,true
QQN-GoldenSection,11,4.260902e-18,2.496961e-9,7,271,39,0.006,true
QQN-GoldenSection,12,9.560915e-16,2.011179e-8,8,303,45,0.008,true
QQN-GoldenSection,13,6.080213e-13,9.253399e-7,10,388,57,0.008,true
QQN-GoldenSection,14,2.424104e-18,1.958650e-9,7,271,39,0.006,true
QQN-GoldenSection,15,4.402643e-13,7.768884e-7,10,388,57,0.007,true
QQN-GoldenSection,16,1.671604e-15,4.972891e-8,9,345,51,0.010,true
QQN-GoldenSection,17,1.482125e-16,1.683685e-8,11,430,63,0.007,true
QQN-GoldenSection,18,1.192867e-15,4.199108e-8,9,345,51,0.007,true
QQN-GoldenSection,19,3.958407e-14,2.517244e-7,10,388,57,0.007,true
QQN-Bisection-1,0,1.110346e-16,1.451795e-8,11,116,152,0.005,true
QQN-Bisection-1,1,1.567523e-14,1.583639e-7,9,94,132,0.003,true
QQN-Bisection-1,2,5.698761e-13,8.569884e-7,10,106,143,0.004,true
QQN-Bisection-1,3,8.073326e-14,3.558065e-7,10,105,142,0.005,true
QQN-Bisection-1,4,3.565794e-13,6.850924e-7,10,106,143,0.005,true
QQN-Bisection-1,5,7.646850e-13,9.268032e-7,9,94,132,0.004,true
QQN-Bisection-1,6,4.050851e-16,2.839190e-8,11,117,153,0.005,true
QQN-Bisection-1,7,2.359682e-16,2.150659e-8,11,117,153,0.005,true
QQN-Bisection-1,8,3.322813e-15,7.021053e-8,9,94,132,0.004,true
QQN-Bisection-1,9,2.256928e-13,2.655261e-7,7,95,143,0.004,true
QQN-Bisection-1,10,7.384069e-15,1.044365e-7,9,94,132,0.004,true
QQN-Bisection-1,11,1.663098e-13,5.001735e-7,10,109,102,0.004,true
QQN-Bisection-1,12,1.026651e-14,1.285249e-7,9,94,132,0.004,true
QQN-Bisection-1,13,4.703174e-14,2.746808e-7,10,105,142,0.004,true
QQN-Bisection-1,14,7.751487e-15,1.132283e-7,10,105,142,0.005,true
QQN-Bisection-1,15,1.278632e-13,4.343959e-7,10,107,144,0.004,true
QQN-Bisection-1,16,4.017275e-15,6.522108e-8,7,95,143,0.003,true
QQN-Bisection-1,17,6.749528e-15,5.236866e-8,8,83,122,0.003,true
QQN-Bisection-1,18,2.598704e-15,6.544511e-8,9,94,132,0.003,true
QQN-Bisection-1,19,1.332631e-14,1.434204e-7,9,94,132,0.004,true
QQN-Bisection-2,0,6.088973e-16,3.473611e-8,11,118,134,0.005,true
QQN-Bisection-2,1,2.658975e-13,6.374656e-7,10,106,125,0.004,true
QQN-Bisection-2,2,1.851704e-16,1.899533e-8,11,120,92,0.005,true
QQN-Bisection-2,3,2.579664e-17,6.496495e-9,8,98,108,0.003,true
QQN-Bisection-2,4,2.720167e-13,4.310463e-7,9,95,116,0.002,true
QQN-Bisection-2,5,4.098400e-18,2.320646e-9,8,84,107,0.002,true
QQN-Bisection-2,6,2.342023e-13,5.597158e-7,10,107,125,0.002,true
