Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,-1.450930e0,1.248273e-4,7,335,44,0.006,false
QQN-GoldenSection,1,-1.735499e0,6.497883e-7,11,323,63,0.005,false
QQN-GoldenSection,2,-1.797893e0,2.580465e-4,11,520,68,0.009,false
QQN-GoldenSection,3,-1.042418e0,1.000576e-3,19,899,121,0.017,false
QQN-GoldenSection,4,-1.998129e0,1.071940e0,18,904,115,0.016,false
QQN-GoldenSection,5,-2.694590e0,1.693152e-10,21,847,123,0.016,true
QQN-GoldenSection,6,-1.735499e0,2.181652e-7,8,304,45,0.005,false
QQN-GoldenSection,7,-1.735499e0,1.966074e-4,16,674,98,0.013,false
QQN-GoldenSection,8,-1.735534e0,1.798184e-3,18,898,115,0.016,false
QQN-GoldenSection,9,-9.590918e-1,2.062206e-5,15,504,92,0.010,false
QQN-GoldenSection,10,-1.855791e0,1.686389e-8,18,815,105,0.014,false
QQN-GoldenSection,11,-9.384975e-1,5.346482e-3,19,924,121,0.017,false
QQN-GoldenSection,12,-2.694590e0,1.793492e-6,16,556,97,0.011,true
QQN-GoldenSection,13,-1.695232e0,9.343663e-2,19,917,121,0.017,false
QQN-GoldenSection,14,-2.734455e0,4.380556e-1,18,889,115,0.016,false
QQN-GoldenSection,15,-8.388977e-1,5.620606e-3,18,889,115,0.016,false
QQN-GoldenSection,16,-9.888107e-1,5.150084e-4,16,903,103,0.016,false
QQN-GoldenSection,17,-8.387990e-1,5.894342e-6,1,51,8,0.000,false
QQN-GoldenSection,18,-2.694590e0,2.626400e-4,10,509,62,0.009,false
QQN-GoldenSection,19,-1.896588e0,5.205796e-2,19,935,121,0.017,false
QQN-Bisection-1,0,-1.735667e0,7.510219e-3,21,471,562,0.013,false
QQN-Bisection-1,1,-2.667842e0,5.797265e0,15,443,566,0.013,false
QQN-Bisection-1,2,-1.797907e0,5.869810e-3,25,491,548,0.014,false
QQN-Bisection-1,3,-2.693201e0,5.722415e-1,13,465,548,0.012,false
QQN-Bisection-1,4,-1.735499e0,5.285250e-7,17,264,315,0.007,false
QQN-Bisection-1,5,-1.692295e0,3.289239e-1,15,452,569,0.013,false
QQN-Bisection-1,6,-1.094050e0,6.603728e0,14,493,579,0.013,false
QQN-Bisection-1,7,-8.969579e-1,1.448344e-1,14,470,560,0.013,false
QQN-Bisection-1,8,-1.735376e0,2.006504e-1,17,529,540,0.011,false
QQN-Bisection-1,9,-8.391063e-1,2.237458e-2,14,484,592,0.013,false
QQN-Bisection-1,10,-2.843868e0,5.874426e-1,18,496,586,0.014,false
QQN-Bisection-1,11,-1.793433e0,1.078457e0,16,484,518,0.012,false
QQN-Bisection-1,12,-1.735499e0,4.567798e-6,20,341,343,0.009,false
QQN-Bisection-1,13,-8.974393e-1,1.230378e-1,14,483,587,0.013,false
QQN-Bisection-1,14,-1.735499e0,6.807490e-7,8,116,156,0.003,false
QQN-Bisection-1,15,-1.735498e0,1.839365e-2,15,460,543,0.009,false
QQN-Bisection-1,16,-1.735562e0,9.205229e-2,21,501,510,0.013,false
QQN-Bisection-1,17,-8.981604e-1,5.816694e-2,14,480,590,0.013,false
QQN-Bisection-1,18,-1.735562e0,3.542867e-1,14,463,559,0.012,false
QQN-Bisection-1,19,-8.388122e-1,3.853890e-2,18,435,583,0.012,false
QQN-CubicQuadraticInterpolation,0,-1.885501e0,8.233714e-7,9,165,230,0.005,false
QQN-CubicQuadraticInterpolation,1,-1.927265e0,3.259164e-5,21,361,512,0.014,false
QQN-CubicQuadraticInterpolation,2,-1.885520e0,1.055865e-3,13,408,676,0.016,false
QQN-CubicQuadraticInterpolation,3,-8.392355e-1,1.673326e-2,13,382,624,0.015,false
QQN-CubicQuadraticInterpolation,4,-9.591982e-1,7.151335e-3,14,394,640,0.015,false
QQN-CubicQuadraticInterpolation,5,-1.735449e0,1.298543e-1,14,407,666,0.016,false
QQN-CubicQuadraticInterpolation,6,-8.388031e-1,1.339398e-4,11,163,198,0.005,false
QQN-CubicQuadraticInterpolation,7,-8.388016e-1,7.340301e-4,15,399,638,0.015,false
QQN-CubicQuadraticInterpolation,8,-8.388035e-1,3.192261e-3,15,398,638,0.015,false
QQN-CubicQuadraticInterpolation,9,-8.413369e-1,1.060011e-1,13,382,624,0.015,false
QQN-CubicQuadraticInterpolation,10,-1.736930e0,1.431286e-1,13,406,672,0.016,false
QQN-CubicQuadraticInterpolation,11,-9.415637e-1,3.888646e0,13,407,674,0.016,false
QQN-CubicQuadraticInterpolation,12,-1.735499e0,1.134012e-3,13,408,676,0.016,false
QQN-CubicQuadraticInterpolation,13,-9.888018e-1,2.251411e-5,11,259,398,0.009,false
QQN-CubicQuadraticInterpolation,14,-8.970847e-1,1.461658e-2,14,391,632,0.015,false
QQN-CubicQuadraticInterpolation,15,-8.387997e-1,4.841453e-3,16,403,636,0.016,false
QQN-CubicQuadraticInterpolation,16,-9.591566e-1,2.298571e-3,14,398,664,0.016,false
QQN-CubicQuadraticInterpolation,17,-9.896283e-1,2.373102e-1,12,395,658,0.016,false
QQN-CubicQuadraticInterpolation,18,-8.387991e-1,9.972081e-6,9,112,100,0.003,false
QQN-CubicQuadraticInterpolation,19,-8.379001e-1,7.334477e-2,13,407,674,0.016,false
L-BFGS-Aggressive,0,-1.986947e-1,6.248000e0,7,66,23,0.001,false
L-BFGS-Aggressive,1,-4.289426e-1,1.164910e1,77,777,236,0.007,false
L-BFGS-Aggressive,2,-1.348811e0,6.894971e0,77,771,236,0.009,false
L-BFGS-Aggressive,3,-6.341776e-1,6.006292e0,77,772,236,0.008,false
L-BFGS-Aggressive,4,-2.398409e-1,4.908460e0,76,772,233,0.006,false
L-BFGS-Aggressive,5,-8.396238e-1,1.651138e1,77,770,236,0.009,false
L-BFGS-Aggressive,6,-4.709069e-1,6.815721e0,78,772,239,0.010,false
L-BFGS-Aggressive,7,-9.047176e-1,5.959030e0,77,767,236,0.009,false
L-BFGS-Aggressive,8,-1.664360e-1,3.504237e0,76,772,233,0.006,false
L-BFGS-Aggressive,9,-2.316022e-1,4.408458e0,7,68,23,0.001,false
L-BFGS-Aggressive,10,-4.344561e-1,5.584984e0,77,777,236,0.006,false
L-BFGS-Aggressive,11,-8.967557e-1,3.855499e-2,7,72,23,0.001,false
L-BFGS-Aggressive,12,-2.448407e-1,4.982798e0,76,772,233,0.006,false
L-BFGS-Aggressive,13,-3.231124e-1,7.124906e0,76,770,233,0.006,false
L-BFGS-Aggressive,14,-8.315895e-1,1.573065e0,123,630,374,0.014,false
L-BFGS-Aggressive,15,-1.731374e0,7.280149e0,77,772,236,0.009,false
L-BFGS-Aggressive,16,-4.144950e-1,7.246013e0,76,770,233,0.006,false
L-BFGS-Aggressive,17,-8.282259e-1,1.860929e0,80,768,245,0.010,false
L-BFGS-Aggressive,18,-9.749988e-1,3.815399e0,76,772,233,0.006,false
