Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,1.744263e-1,1.028276e-1,19,889,121,0.301,false
QQN-GoldenSection,1,1.769790e-1,7.571882e-2,20,895,127,0.309,false
QQN-GoldenSection,2,1.744139e-1,1.338720e-1,20,915,127,0.314,false
QQN-GoldenSection,3,1.710593e-1,7.612687e-2,20,895,127,0.307,false
QQN-GoldenSection,4,1.770496e-1,5.405171e-2,20,895,127,0.309,false
QQN-GoldenSection,5,1.834414e-1,6.534601e-2,20,913,127,0.312,false
QQN-GoldenSection,6,1.598371e-1,1.089841e-1,20,913,127,0.313,false
QQN-GoldenSection,7,1.796906e-1,7.745678e-2,20,915,127,0.312,false
QQN-GoldenSection,8,1.653859e-1,1.241997e-1,19,890,121,0.304,false
QQN-GoldenSection,9,1.660477e-1,7.673525e-2,19,890,121,0.302,false
QQN-GoldenSection,10,1.819973e-1,1.121099e-1,20,914,127,0.314,false
QQN-GoldenSection,11,1.732971e-1,7.807098e-2,20,914,127,0.312,false
QQN-GoldenSection,12,1.661236e-1,1.103330e-1,19,884,121,0.302,false
QQN-GoldenSection,13,1.822359e-1,1.146938e-1,19,907,121,0.306,false
QQN-GoldenSection,14,1.761178e-1,1.385573e-1,20,914,127,0.314,false
QQN-GoldenSection,15,1.788568e-1,1.529768e-1,20,913,127,0.315,false
QQN-GoldenSection,16,1.946085e-1,5.471836e-2,19,896,121,0.304,false
QQN-GoldenSection,17,1.617814e-1,8.514066e-2,20,912,127,0.312,false
QQN-GoldenSection,18,1.679746e-1,9.950856e-2,20,914,127,0.314,false
QQN-GoldenSection,19,1.786613e-1,8.570938e-2,20,920,127,0.314,false
QQN-Bisection-1,0,1.355036e-1,1.144544e-1,44,502,506,0.442,false
QQN-Bisection-1,1,1.468895e-1,6.129012e-2,40,506,515,0.447,false
QQN-Bisection-1,2,1.587459e-1,5.726556e-2,41,517,525,0.455,false
