Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,5.746008e-1,4.266297e3,1,50,8,0.001,false
QQN-GoldenSection,1,1.017405e0,9.957462e3,1,50,8,0.001,false
QQN-GoldenSection,2,2.145220e0,6.728977e3,1,11,8,0.001,false
QQN-GoldenSection,3,inf,inf,0,0,0,0.000,false
QQN-GoldenSection,4,3.971299e-1,5.517884e3,1,50,8,0.001,false
QQN-GoldenSection,5,inf,inf,0,0,0,0.000,false
QQN-GoldenSection,6,inf,inf,0,0,0,0.000,false
QQN-GoldenSection,7,inf,inf,0,0,0,0.000,false
QQN-GoldenSection,8,1.961844e0,7.101545e3,1,50,8,0.002,false
QQN-GoldenSection,9,inf,inf,0,0,0,0.000,false
QQN-GoldenSection,10,1.403983e0,2.663442e3,2,54,14,0.002,false
QQN-GoldenSection,11,2.183043e0,5.263650e3,1,46,8,0.001,false
QQN-GoldenSection,12,inf,inf,0,0,0,0.000,false
QQN-GoldenSection,13,1.762963e0,6.158962e3,1,49,8,0.002,false
QQN-GoldenSection,14,inf,inf,0,0,0,0.000,false
QQN-GoldenSection,15,inf,inf,0,0,0,0.000,false
QQN-GoldenSection,16,2.023070e0,6.289601e3,1,48,8,0.001,false
QQN-GoldenSection,17,2.200120e0,1.516833e3,1,46,8,0.001,false
QQN-GoldenSection,18,1.411620e0,1.156921e3,1,49,8,0.001,false
QQN-GoldenSection,19,1.659549e0,7.522254e3,1,48,8,0.001,false
QQN-Bisection-1,0,7.464701e-1,6.390796e3,8,261,300,0.021,false
QQN-Bisection-1,1,2.160260e0,6.646793e3,1,39,30,0.004,false
QQN-Bisection-1,2,2.185901e0,4.299974e3,2,71,80,0.007,false
QQN-Bisection-1,3,1.383108e0,4.363434e3,2,67,80,0.007,false
QQN-Bisection-1,4,1.186086e0,4.909538e3,3,107,120,0.010,false
QQN-Bisection-1,5,1.715712e0,6.726201e3,3,111,130,0.010,false
QQN-Bisection-1,6,1.495150e0,5.350955e3,2,77,80,0.007,false
QQN-Bisection-1,7,2.164303e0,7.892006e3,2,62,102,0.008,false
QQN-Bisection-1,8,1.785676e0,3.520161e3,1,43,30,0.004,false
QQN-Bisection-1,9,1.066344e0,1.318628e3,1,43,30,0.004,false
QQN-Bisection-1,10,6.416401e-2,3.798888e3,5,146,238,0.016,false
QQN-Bisection-1,11,2.087149e0,9.015329e3,2,71,80,0.007,false
QQN-Bisection-1,12,2.365721e0,5.595302e3,2,65,97,0.008,false
QQN-Bisection-1,13,1.733415e0,7.061977e3,1,31,47,0.005,false
QQN-Bisection-1,14,1.653007e0,7.606742e3,4,118,159,0.012,false
QQN-Bisection-1,15,1.629214e0,6.889830e3,3,111,121,0.010,false
QQN-Bisection-1,16,1.774316e-2,1.519427e3,2,71,77,0.007,false
QQN-Bisection-1,17,inf,inf,0,0,0,0.000,false
QQN-Bisection-1,18,3.907995e-3,6.056837e3,10,348,460,0.031,false
QQN-Bisection-1,19,1.682075e-1,5.445194e3,5,167,217,0.015,false
QQN-CubicQuadraticInterpolation,0,2.333956e0,3.158276e3,1,35,33,0.002,false
QQN-CubicQuadraticInterpolation,1,2.151230e0,7.632038e3,1,35,33,0.002,false
QQN-CubicQuadraticInterpolation,2,inf,inf,0,0,0,0.000,false
QQN-CubicQuadraticInterpolation,3,1.413617e0,1.124252e3,2,52,59,0.004,false
QQN-CubicQuadraticInterpolation,4,inf,inf,0,0,0,0.000,false
QQN-CubicQuadraticInterpolation,5,inf,inf,0,0,0,0.000,false
QQN-CubicQuadraticInterpolation,6,2.606142e0,5.618119e3,1,11,8,0.001,false
QQN-CubicQuadraticInterpolation,7,1.214380e0,6.592193e3,1,26,24,0.002,false
QQN-CubicQuadraticInterpolation,8,2.240311e0,1.033649e4,1,35,33,0.002,false
QQN-CubicQuadraticInterpolation,9,1.488587e0,9.690386e3,1,35,33,0.002,false
QQN-CubicQuadraticInterpolation,10,2.284161e0,8.176515e3,1,11,8,0.001,false
QQN-CubicQuadraticInterpolation,11,inf,inf,0,0,0,0.000,false
QQN-CubicQuadraticInterpolation,12,1.595945e0,9.327584e3,1,35,33,0.002,false
QQN-CubicQuadraticInterpolation,13,3.894020e-1,3.757917e3,5,155,241,0.014,false
QQN-CubicQuadraticInterpolation,14,4.921846e-1,4.286759e3,2,67,89,0.005,false
QQN-CubicQuadraticInterpolation,15,1.978308e0,2.630139e3,1,35,33,0.002,false
QQN-CubicQuadraticInterpolation,16,inf,inf,0,0,0,0.000,false
QQN-CubicQuadraticInterpolation,17,inf,inf,0,0,0,0.000,false
QQN-CubicQuadraticInterpolation,18,1.190983e0,1.779967e3,1,35,33,0.002,false
QQN-CubicQuadraticInterpolation,19,2.153628e0,1.953335e3,1,32,30,0.002,false
L-BFGS-Aggressive,0,2.622511e0,4.313568e3,1,13,6,0.001,false
L-BFGS-Aggressive,1,inf,inf,0,0,0,0.000,false
L-BFGS-Aggressive,2,inf,inf,0,0,0,0.000,false
L-BFGS-Aggressive,3,2.076564e0,8.573791e3,1,13,6,0.001,false
L-BFGS-Aggressive,4,inf,inf,0,0,0,0.000,false
L-BFGS-Aggressive,5,2.623080e0,2.645901e3,1,13,6,0.001,false
L-BFGS-Aggressive,6,inf,inf,0,0,0,0.000,false
L-BFGS-Aggressive,7,inf,inf,0,0,0,0.000,false
L-BFGS-Aggressive,8,inf,inf,0,0,0,0.000,false
L-BFGS-Aggressive,9,1.657403e0,3.347036e3,1,13,6,0.001,false
L-BFGS-Aggressive,10,1.954387e0,1.937579e3,3,33,12,0.001,false
L-BFGS-Aggressive,11,1.763027e0,8.826513e3,1,13,6,0.001,false
L-BFGS-Aggressive,12,1.951729e0,4.371745e3,1,13,6,0.001,false
L-BFGS-Aggressive,13,1.874951e0,3.288344e2,1,13,6,0.001,false
L-BFGS-Aggressive,14,inf,inf,0,0,0,0.000,false
L-BFGS-Aggressive,15,1.602997e0,3.265887e3,1,13,6,0.001,false
L-BFGS-Aggressive,16,inf,inf,0,0,0,0.000,false
L-BFGS-Aggressive,17,1.763474e0,6.633642e3,1,13,6,0.001,false
L-BFGS-Aggressive,18,2.175718e0,5.126455e3,1,13,6,0.001,false
L-BFGS-Aggressive,19,inf,inf,0,0,0,0.000,false
Adam-Fast,0,7.941067e-2,8.198300e3,27,57,56,0.003,true
Adam-Fast,1,2.901600e0,5.257746e3,5,13,12,0.001,false
Adam-Fast,2,3.551436e-1,6.604857e3,27,57,56,0.003,true
Adam-Fast,3,2.910101e0,4.312040e3,5,13,12,0.001,false
Adam-Fast,4,2.304506e0,2.005556e3,8,19,18,0.001,false
Adam-Fast,5,4.117797e-1,7.390369e3,24,51,50,0.003,true
Adam-Fast,6,1.359159e0,6.930344e3,16,35,34,0.002,true
Adam-Fast,7,5.847948e-1,7.782487e3,22,47,46,0.003,true
Adam-Fast,8,1.691803e0,2.071156e3,14,31,30,0.002,false
Adam-Fast,9,2.415087e0,1.954262e3,5,13,12,0.001,false
Adam-Fast,10,2.918116e0,3.532796e3,7,17,16,0.001,false
Adam-Fast,11,4.218314e0,6.113762e3,5,13,12,0.001,false
Adam-Fast,12,1.617546e0,8.802307e3,20,43,42,0.003,true
Adam-Fast,13,1.979871e0,3.436661e3,9,21,20,0.001,false
Adam-Fast,14,1.264427e0,5.513123e3,20,43,42,0.002,true
Adam-Fast,15,1.925498e0,5.102773e3,7,17,16,0.001,true
Adam-Fast,16,1.827388e0,3.624833e3,5,13,12,0.001,false
Adam-Fast,17,1.359729e0,6.195029e3,15,33,32,0.002,true
Adam-Fast,18,2.625334e0,3.013547e3,5,13,12,0.001,false
Adam-Fast,19,2.585510e0,7.267790e3,12,27,26,0.002,false
GD,0,3.314885e-1,3.645579e3,30,33,62,0.003,true
GD,1,3.066092e0,8.564018e3,11,14,24,0.001,false
GD,2,1.940505e0,1.688889e3,8,11,18,0.001,false
GD,3,1.960742e0,4.285837e3,11,14,24,0.001,false
GD,4,2.509872e0,6.863890e3,12,15,26,0.001,false
GD,5,2.488874e0,6.867338e3,5,8,12,0.001,false
GD,6,2.540180e0,9.704085e3,7,10,16,0.001,false
GD,7,2.495196e0,5.119126e3,5,8,12,0.001,false
GD,8,1.976840e0,2.805770e3,5,8,12,0.001,false
GD,9,2.432612e0,8.082132e3,9,12,20,0.001,false
GD,10,1.638834e0,8.293840e3,12,15,26,0.001,true
GD,11,2.775086e0,4.913132e3,5,8,12,0.001,false
GD,12,2.394885e0,6.789164e3,5,8,12,0.001,false
GD,13,2.078557e0,1.529878e3,9,12,20,0.001,false
GD,14,2.661486e0,4.720215e3,11,14,24,0.001,false
GD,15,1.733104e0,6.035859e3,11,14,24,0.001,false
GD,16,2.684615e0,3.822472e3,5,8,12,0.001,false
