Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,2.813202e0,6.710399e0,19,924,121,0.016,false
QQN-GoldenSection,1,2.813523e0,1.934048e0,17,895,109,0.015,false
QQN-GoldenSection,2,2.813470e0,3.354680e0,19,901,121,0.016,false
QQN-GoldenSection,3,2.813748e0,2.627434e0,19,911,121,0.016,false
QQN-GoldenSection,4,2.813314e0,3.354587e0,18,897,115,0.015,false
QQN-GoldenSection,5,2.812954e0,6.743341e0,19,933,121,0.016,false
QQN-GoldenSection,6,2.815161e0,3.355688e0,18,905,115,0.015,false
QQN-GoldenSection,7,2.812769e0,3.352398e0,19,904,121,0.016,false
QQN-GoldenSection,8,2.813902e0,3.329583e0,17,913,109,0.015,false
QQN-GoldenSection,9,2.813094e0,2.671573e0,18,943,115,0.016,false
QQN-GoldenSection,10,2.813951e0,2.948690e0,18,898,115,0.015,false
QQN-GoldenSection,11,2.813109e0,5.295505e0,19,938,121,0.016,false
QQN-GoldenSection,12,2.813271e0,3.354562e0,18,903,115,0.015,false
QQN-GoldenSection,13,2.815384e0,3.348872e0,17,917,109,0.015,false
QQN-GoldenSection,14,2.813567e0,2.391089e0,19,937,121,0.016,false
QQN-GoldenSection,15,2.814068e0,2.384270e1,19,911,121,0.016,false
QQN-GoldenSection,16,2.812982e0,4.810060e0,18,941,115,0.016,false
QQN-GoldenSection,17,2.813037e0,2.127739e0,18,919,115,0.016,false
QQN-GoldenSection,18,2.814323e0,2.980506e0,19,898,121,0.016,false
QQN-GoldenSection,19,2.813621e0,3.354771e0,18,890,115,0.015,false
QQN-Bisection-1,0,2.816201e0,1.330033e1,12,459,617,0.014,false
QQN-Bisection-1,1,2.821321e0,3.359358e0,12,449,570,0.015,false
QQN-Bisection-1,2,2.819352e0,3.358185e0,14,459,601,0.013,false
QQN-Bisection-1,3,2.814703e0,3.355415e0,12,449,606,0.014,false
QQN-Bisection-1,4,2.813670e0,3.354800e0,15,472,593,0.018,false
QQN-Bisection-1,5,2.816287e0,8.586762e0,12,459,615,0.026,false
QQN-Bisection-1,6,2.817124e0,8.619133e0,12,452,578,0.021,false
QQN-Bisection-1,7,2.818776e0,6.360669e0,13,448,574,0.014,false
QQN-Bisection-1,8,2.816084e0,6.117045e0,12,449,608,0.014,false
QQN-Bisection-1,9,2.819944e0,3.358538e0,12,430,590,0.013,false
QQN-Bisection-1,10,2.817831e0,1.514756e1,12,449,562,0.013,false
QQN-Bisection-1,11,2.818361e0,6.079791e0,13,460,591,0.014,false
QQN-Bisection-1,12,2.818622e0,3.357750e0,13,469,615,0.015,false
QQN-Bisection-1,13,2.816633e0,3.356566e0,13,420,609,0.013,false
QQN-Bisection-1,14,2.818425e0,6.351173e0,12,439,610,0.014,false
QQN-Bisection-1,15,2.821328e0,9.058369e0,12,447,568,0.012,false
QQN-Bisection-1,16,2.817385e0,6.666490e0,13,448,574,0.016,false
QQN-Bisection-1,17,2.815029e0,3.065611e0,12,449,556,0.013,false
QQN-Bisection-1,18,2.816381e0,3.356415e0,12,449,576,0.015,false
QQN-Bisection-1,19,2.815832e0,8.798695e0,13,489,598,0.013,false
QQN-CubicQuadraticInterpolation,0,7.388851e0,5.436488e0,15,385,625,0.016,false
QQN-CubicQuadraticInterpolation,1,1.386342e1,4.792766e1,15,394,643,0.015,false
QQN-CubicQuadraticInterpolation,2,4.150758e1,5.962075e1,16,387,621,0.015,false
QQN-CubicQuadraticInterpolation,3,1.213632e1,6.708644e1,16,385,617,0.015,false
QQN-CubicQuadraticInterpolation,4,5.559268e0,4.715620e0,13,395,661,0.015,false
QQN-CubicQuadraticInterpolation,5,8.573660e0,5.856163e0,14,396,655,0.015,false
QQN-CubicQuadraticInterpolation,6,5.283431e1,1.453744e1,15,391,637,0.015,false
QQN-CubicQuadraticInterpolation,7,1.166896e1,6.831972e0,16,394,635,0.015,false
QQN-CubicQuadraticInterpolation,8,4.983874e0,4.464918e0,13,395,661,0.015,false
QQN-CubicQuadraticInterpolation,9,1.310819e1,7.241048e0,16,404,655,0.015,false
QQN-CubicQuadraticInterpolation,10,1.794881e1,1.414192e2,16,385,617,0.015,false
QQN-CubicQuadraticInterpolation,11,2.942602e1,1.084915e1,15,387,629,0.015,false
QQN-CubicQuadraticInterpolation,12,5.292285e0,4.600993e0,15,393,641,0.015,false
QQN-CubicQuadraticInterpolation,13,5.965489e1,1.544732e1,15,390,635,0.015,false
QQN-CubicQuadraticInterpolation,14,1.258118e1,7.093992e0,16,385,617,0.015,false
