Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,1.293443e1,1.245475e-8,10,369,57,0.006,false
QQN-GoldenSection,1,1.989907e1,3.021547e-10,7,244,39,0.004,false
QQN-GoldenSection,2,7.959662e0,1.235463e-8,7,246,39,0.004,true
QQN-GoldenSection,3,7.959662e0,2.688671e-8,8,254,45,0.004,true
QQN-GoldenSection,4,4.974790e0,1.519730e-9,8,328,45,0.005,true
QQN-GoldenSection,5,1.989918e0,6.715861e-7,5,198,27,0.003,true
QQN-GoldenSection,6,4.974790e0,4.299015e-7,8,287,45,0.004,true
QQN-GoldenSection,7,4.974790e0,1.768168e-10,7,210,39,0.003,true
QQN-GoldenSection,8,7.959662e0,3.047689e-7,4,154,21,0.002,true
QQN-GoldenSection,9,1.293443e1,1.416755e-10,10,284,57,0.004,false
QQN-GoldenSection,10,1.989907e1,2.462284e-7,6,201,33,0.003,false
QQN-GoldenSection,11,4.974790e0,7.330259e-7,10,403,57,0.006,true
QQN-GoldenSection,12,1.691420e1,2.273085e-7,6,201,33,0.003,false
QQN-GoldenSection,13,1.293443e1,5.342585e-10,7,211,39,0.003,false
QQN-GoldenSection,14,3.979831e0,4.127064e-9,7,277,39,0.004,true
QQN-GoldenSection,15,7.959662e0,7.317667e-7,5,162,27,0.002,true
QQN-GoldenSection,16,4.974790e0,5.891038e-8,7,243,39,0.004,true
QQN-GoldenSection,17,1.293443e1,7.160674e-7,4,152,21,0.002,false
QQN-GoldenSection,18,7.959662e0,3.909922e-8,5,162,27,0.002,true
QQN-GoldenSection,19,7.959662e0,4.134079e-10,9,327,51,0.005,true
QQN-Bisection-1,0,4.974790e0,1.219898e-7,8,125,131,0.002,true
QQN-Bisection-1,1,1.293443e1,9.638865e-8,8,111,161,0.002,false
QQN-Bisection-1,2,1.293443e1,1.899421e-7,9,165,168,0.003,false
QQN-Bisection-1,3,4.974790e0,6.950743e-10,10,176,178,0.003,true
QQN-Bisection-1,4,1.989918e0,7.515995e-7,6,103,111,0.002,true
QQN-Bisection-1,5,1.293443e1,6.141132e-7,6,88,140,0.002,false
QQN-Bisection-1,6,1.293443e1,1.424971e-8,7,98,149,0.002,false
QQN-Bisection-1,7,7.959662e0,3.327190e-7,6,89,141,0.002,true
QQN-Bisection-1,8,3.979831e0,7.802097e-8,9,136,141,0.003,true
QQN-Bisection-1,9,1.293443e1,4.687858e-7,9,175,174,0.004,false
QQN-Bisection-1,10,3.979831e0,5.281871e-9,6,86,138,0.002,true
QQN-Bisection-1,11,7.959662e0,6.122795e-8,6,89,141,0.002,true
QQN-Bisection-1,12,9.949560e0,1.847163e-8,7,96,147,0.002,false
QQN-Bisection-1,13,7.959662e0,1.952182e-7,8,110,160,0.002,true
QQN-Bisection-1,14,4.974790e0,2.034280e-7,9,175,168,0.003,true
QQN-Bisection-1,15,1.591924e1,1.278186e-8,11,187,188,0.004,false
