Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,7.678583e-1,2.358005e0,17,904,109,0.017,false
QQN-GoldenSection,1,3.686171e0,2.638271e0,18,898,115,0.016,false
QQN-GoldenSection,2,5.443601e-2,4.106919e-1,18,901,115,0.018,false
QQN-GoldenSection,3,4.195336e0,2.062732e0,18,925,115,0.017,false
QQN-GoldenSection,4,3.040543e0,4.207439e0,19,932,121,0.021,false
QQN-GoldenSection,5,4.359739e-1,1.785320e0,18,946,115,0.016,false
QQN-GoldenSection,6,9.583467e-1,2.205511e0,17,907,109,0.015,false
QQN-GoldenSection,7,3.014411e0,3.251004e0,19,916,121,0.016,false
QQN-GoldenSection,8,3.627558e0,3.146594e0,17,921,109,0.016,false
QQN-GoldenSection,9,3.736811e-2,2.199722e0,19,884,121,0.016,false
QQN-GoldenSection,10,2.567085e0,3.715065e0,19,912,121,0.016,false
QQN-GoldenSection,11,4.333659e0,1.858745e0,18,929,115,0.016,false
QQN-GoldenSection,12,3.616864e0,2.700764e0,18,898,115,0.016,false
QQN-GoldenSection,13,3.388083e0,4.969626e0,18,888,115,0.016,false
QQN-GoldenSection,14,3.545991e0,4.132690e0,18,903,115,0.016,false
QQN-GoldenSection,15,1.634020e-1,7.491276e-1,18,907,115,0.016,false
QQN-GoldenSection,16,2.054182e0,1.003832e1,20,921,127,0.017,false
QQN-GoldenSection,17,3.178461e0,2.727957e0,18,890,115,0.016,false
QQN-GoldenSection,18,3.647613e0,3.743180e0,17,894,109,0.015,false
QQN-GoldenSection,19,2.894550e0,3.478479e0,18,945,115,0.016,false
QQN-Bisection-1,0,1.330516e0,2.272601e0,17,482,600,0.013,false
QQN-Bisection-1,1,3.138028e0,2.876792e0,19,505,577,0.013,false
QQN-Bisection-1,2,4.633441e0,6.998398e-1,20,467,572,0.013,false
QQN-Bisection-1,3,7.529766e-6,1.046967e-1,36,479,526,0.014,false
QQN-Bisection-1,4,1.695358e0,3.950369e0,16,452,561,0.012,false
QQN-Bisection-1,5,4.201484e0,2.057192e0,17,472,586,0.013,false
QQN-Bisection-1,6,2.044222e0,3.250811e0,25,493,581,0.014,false
QQN-Bisection-1,7,1.188723e-1,9.384990e-1,27,466,578,0.014,false
QQN-Bisection-1,8,3.819147e0,2.471191e0,21,467,595,0.013,false
QQN-Bisection-1,9,3.631980e0,3.060459e0,17,453,557,0.012,false
QQN-Bisection-1,10,1.791822e0,5.569434e0,27,506,568,0.014,false
QQN-Bisection-1,11,3.123119e0,7.741042e0,19,455,579,0.012,false
QQN-Bisection-1,12,2.122335e0,5.899335e0,18,474,587,0.013,false
QQN-Bisection-1,13,3.842237e0,2.289758e0,19,504,566,0.012,false
QQN-Bisection-1,14,1.563608e0,5.276514e0,17,482,604,0.013,false
QQN-Bisection-1,15,2.127490e0,3.297854e0,16,452,561,0.012,false
QQN-Bisection-1,16,3.797120e0,4.151259e0,17,453,557,0.012,false
QQN-Bisection-1,17,3.910251e0,5.184759e0,20,457,550,0.012,false
QQN-Bisection-1,18,1.194874e0,4.723305e0,16,462,563,0.012,false
QQN-Bisection-1,19,4.367170e0,2.054537e0,20,466,589,0.013,false
QQN-CubicQuadraticInterpolation,0,3.817951e0,4.286209e0,13,381,622,0.014,false
QQN-CubicQuadraticInterpolation,1,3.234752e0,5.468124e0,13,405,670,0.015,false
QQN-CubicQuadraticInterpolation,2,3.575907e0,4.804156e0,12,397,662,0.015,false
QQN-CubicQuadraticInterpolation,3,3.832373e0,6.398938e0,12,397,662,0.015,false
QQN-CubicQuadraticInterpolation,4,4.207264e0,5.455413e0,13,380,622,0.014,false
QQN-CubicQuadraticInterpolation,5,3.306675e0,6.134820e0,13,381,622,0.014,false
QQN-CubicQuadraticInterpolation,6,4.252262e0,5.599581e0,13,406,672,0.015,false
QQN-CubicQuadraticInterpolation,7,4.179470e0,2.992458e0,13,381,622,0.014,false
QQN-CubicQuadraticInterpolation,8,3.101822e0,5.596907e0,13,381,622,0.014,false
QQN-CubicQuadraticInterpolation,9,3.118230e0,5.282106e0,13,405,671,0.015,false
QQN-CubicQuadraticInterpolation,10,3.771813e0,6.550247e0,13,381,622,0.014,false
QQN-CubicQuadraticInterpolation,11,3.375966e0,6.663525e0,13,381,622,0.014,false
QQN-CubicQuadraticInterpolation,12,2.803129e0,3.046113e0,15,397,638,0.015,false
QQN-CubicQuadraticInterpolation,13,3.345662e0,4.389682e0,14,389,630,0.014,false
QQN-CubicQuadraticInterpolation,14,3.490672e0,5.337009e0,13,405,670,0.015,false
QQN-CubicQuadraticInterpolation,15,3.743182e0,6.926813e0,13,381,622,0.014,false
QQN-CubicQuadraticInterpolation,16,4.024296e0,2.801211e0,13,405,670,0.015,false
QQN-CubicQuadraticInterpolation,17,4.073772e0,4.614858e0,13,406,672,0.015,false
QQN-CubicQuadraticInterpolation,18,3.318231e0,5.208762e0,13,381,622,0.014,false
QQN-CubicQuadraticInterpolation,19,3.767654e0,4.338491e0,14,389,630,0.014,false
L-BFGS-Aggressive,0,1.191532e3,1.566687e3,76,772,233,0.007,false
L-BFGS-Aggressive,1,8.861785e2,1.299515e3,76,772,233,0.008,false
L-BFGS-Aggressive,2,9.230710e2,1.310496e3,76,772,233,0.012,false
L-BFGS-Aggressive,3,1.385919e3,1.892954e3,76,772,233,0.010,false
L-BFGS-Aggressive,4,8.623432e2,1.224402e3,76,772,233,0.007,false
L-BFGS-Aggressive,5,1.014578e3,1.553384e3,76,772,233,0.007,false
L-BFGS-Aggressive,6,1.416301e3,1.926523e3,76,772,233,0.007,false
L-BFGS-Aggressive,7,1.388922e3,1.827755e3,76,772,233,0.007,false
L-BFGS-Aggressive,8,1.008663e3,1.428988e3,76,772,233,0.007,false
L-BFGS-Aggressive,9,1.154684e3,1.474813e3,76,772,233,0.007,false
L-BFGS-Aggressive,10,1.199847e3,1.620530e3,76,772,233,0.007,false
L-BFGS-Aggressive,11,8.691983e2,1.279084e3,76,772,233,0.007,false
L-BFGS-Aggressive,12,8.628831e2,1.205099e3,76,772,233,0.007,false
L-BFGS-Aggressive,13,9.716025e2,1.349501e3,76,772,233,0.007,false
L-BFGS-Aggressive,14,1.125672e3,1.499153e3,76,772,233,0.007,false
L-BFGS-Aggressive,15,1.187943e3,1.643861e3,76,772,233,0.008,false
L-BFGS-Aggressive,16,1.144270e3,1.477896e3,76,772,233,0.007,false
L-BFGS-Aggressive,17,9.777778e2,1.448815e3,76,772,233,0.008,false
L-BFGS-Aggressive,18,1.177879e3,1.479318e3,76,772,233,0.008,false
L-BFGS-Aggressive,19,1.051628e3,1.382854e3,76,772,233,0.007,false
Adam-Fast,0,1.569266e1,8.204339e1,17,37,36,0.001,false
Adam-Fast,1,9.530135e0,5.400461e1,19,41,40,0.001,false
Adam-Fast,2,1.255121e1,5.341697e1,18,39,38,0.001,false
Adam-Fast,3,9.140280e0,4.479008e1,20,43,42,0.001,false
Adam-Fast,4,1.929226e1,8.111080e1,18,39,38,0.001,false
Adam-Fast,5,1.386843e1,5.276319e1,18,39,38,0.001,false
Adam-Fast,6,1.386572e1,6.431731e1,17,37,36,0.001,false
Adam-Fast,7,1.689244e1,6.481548e1,18,39,38,0.001,false
Adam-Fast,8,1.607239e1,7.300753e1,16,35,34,0.001,false
Adam-Fast,9,1.650154e1,7.946597e1,17,37,36,0.001,false
Adam-Fast,10,1.447853e1,8.398526e1,19,41,40,0.001,false
Adam-Fast,11,1.531071e1,7.175302e1,18,39,38,0.001,false
