Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,6.861464e-1,1.401526e-2,13,549,79,0.187,false
QQN-GoldenSection,1,6.861489e-1,1.681807e-2,16,747,97,0.251,false
QQN-GoldenSection,2,6.861529e-1,1.615017e-2,13,611,79,0.205,false
QQN-GoldenSection,3,6.861508e-1,1.534934e-2,18,764,109,0.260,false
QQN-GoldenSection,4,6.861454e-1,1.567406e-2,11,532,68,0.183,false
QQN-GoldenSection,5,6.861536e-1,1.451778e-2,20,917,127,0.313,false
QQN-GoldenSection,6,6.861467e-1,1.403197e-2,13,583,80,0.201,false
QQN-GoldenSection,7,6.861531e-1,1.448490e-2,15,730,91,0.245,false
QQN-GoldenSection,8,6.861354e-1,1.599039e-2,13,625,80,0.214,false
QQN-GoldenSection,9,6.861397e-1,1.530948e-2,9,403,56,0.140,false
QQN-GoldenSection,10,6.861549e-1,1.627226e-2,19,896,121,0.304,false
QQN-GoldenSection,11,6.861508e-1,1.692775e-2,14,592,85,0.202,false
QQN-GoldenSection,12,6.861469e-1,1.669572e-2,10,443,62,0.154,false
QQN-GoldenSection,13,6.861534e-1,1.551453e-2,20,881,121,0.298,false
QQN-GoldenSection,14,6.861457e-1,1.662395e-2,14,645,85,0.216,false
QQN-GoldenSection,15,6.861382e-1,1.616787e-2,10,437,62,0.152,false
QQN-GoldenSection,16,6.861539e-1,1.454029e-2,18,883,109,0.294,false
QQN-GoldenSection,17,6.861489e-1,1.681698e-2,14,577,85,0.198,false
QQN-GoldenSection,18,6.861527e-1,1.445728e-2,15,717,91,0.240,false
QQN-GoldenSection,19,6.861532e-1,1.706713e-2,15,644,91,0.219,false
QQN-Bisection-1,0,6.861447e-1,1.494292e-2,17,501,536,0.334,false
QQN-Bisection-1,1,6.861375e-1,1.335862e-2,18,455,553,0.334,false
QQN-Bisection-1,2,6.861390e-1,1.347425e-2,16,472,578,0.344,false
QQN-Bisection-1,3,6.861404e-1,1.629985e-2,16,461,583,0.345,false
QQN-Bisection-1,4,6.861322e-1,1.296059e-2,21,449,560,0.334,false
QQN-Bisection-1,5,6.861431e-1,1.646499e-2,15,459,576,0.338,false
QQN-Bisection-1,6,6.861364e-1,1.437912e-2,17,451,612,0.352,false
QQN-Bisection-1,7,6.861444e-1,1.492860e-2,15,439,582,0.337,false
QQN-Bisection-1,8,6.861356e-1,1.503840e-2,19,447,558,0.330,false
QQN-Bisection-1,9,6.861501e-1,1.688848e-2,15,509,516,0.333,false
QQN-Bisection-1,10,6.861466e-1,1.575331e-2,16,462,576,0.344,false
QQN-Bisection-1,11,6.861413e-1,2.299819e-2,16,510,521,0.333,false
QQN-Bisection-1,12,6.861358e-1,1.323709e-2,17,453,600,0.351,false
QQN-Bisection-1,13,6.861331e-1,1.486778e-2,18,445,579,0.339,false
QQN-Bisection-1,14,6.861427e-1,1.550016e-2,15,450,561,0.332,false
QQN-Bisection-1,15,6.861343e-1,1.312070e-2,18,462,616,0.358,false
QQN-Bisection-1,16,6.861379e-1,1.448504e-2,15,442,571,0.334,false
QQN-Bisection-1,17,6.861420e-1,2.302829e-2,16,462,574,0.341,false
QQN-Bisection-1,18,6.861363e-1,1.508499e-2,18,465,545,0.329,false
QQN-Bisection-1,19,6.861358e-1,1.601987e-2,18,454,606,0.350,false
QQN-CubicQuadraticInterpolation,0,6.861492e-1,1.524280e-2,12,394,656,0.355,false
QQN-CubicQuadraticInterpolation,1,6.861530e-1,1.705612e-2,12,394,656,0.354,false
