Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,7.106958e2,1.249687e-10,5,152,27,0.002,false
QQN-GoldenSection,1,7.106958e2,1.302931e-9,5,152,27,0.002,false
QQN-GoldenSection,2,7.106958e2,9.526233e-9,5,152,27,0.002,false
QQN-GoldenSection,3,7.106958e2,3.479807e-10,5,152,27,0.002,false
QQN-GoldenSection,4,7.106958e2,8.729239e-10,5,152,27,0.002,false
QQN-GoldenSection,5,7.106958e2,9.904634e-7,4,144,21,0.002,false
QQN-GoldenSection,6,7.106958e2,3.321461e-9,5,152,27,0.002,false
QQN-GoldenSection,7,7.106958e2,6.850903e-9,5,152,27,0.002,false
QQN-GoldenSection,8,7.106958e2,2.263047e-8,4,66,21,0.001,false
QQN-GoldenSection,9,7.106958e2,3.043403e-10,5,152,27,0.002,false
QQN-GoldenSection,10,7.106958e2,7.723493e-7,4,144,21,0.002,false
QQN-GoldenSection,11,7.106958e2,1.228147e-9,5,152,27,0.002,false
QQN-GoldenSection,12,7.106958e2,4.232881e-8,4,144,21,0.002,false
QQN-GoldenSection,13,7.106958e2,1.438272e-9,5,152,27,0.002,false
QQN-GoldenSection,14,7.106958e2,1.618967e-8,5,152,27,0.002,false
QQN-GoldenSection,15,7.106958e2,1.250076e-10,5,152,27,0.002,false
QQN-GoldenSection,16,7.106958e2,7.398619e-7,4,144,21,0.002,false
QQN-GoldenSection,17,7.106958e2,2.913305e-7,4,144,21,0.002,false
QQN-GoldenSection,18,7.106958e2,2.324308e-9,5,152,27,0.002,false
QQN-GoldenSection,19,7.106958e2,8.408282e-11,5,152,27,0.002,false
QQN-Bisection-1,0,7.106958e2,2.409889e-10,5,55,100,0.001,false
QQN-Bisection-1,1,7.106958e2,2.343158e-8,5,55,100,0.001,false
QQN-Bisection-1,2,7.106958e2,2.920626e-8,5,55,100,0.001,false
QQN-Bisection-1,3,7.106958e2,8.870592e-10,5,55,100,0.001,false
QQN-Bisection-1,4,7.106958e2,4.219394e-8,4,44,90,0.001,false
QQN-Bisection-1,5,7.106958e2,2.749300e-8,5,55,100,0.001,false
