Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,4.647015e-14,4.302287e-7,7,267,39,0.004,true
QQN-GoldenSection,1,4.319798e-14,4.083029e-7,7,267,39,0.004,true
QQN-GoldenSection,2,9.378640e-16,6.135312e-8,7,267,39,0.004,true
QQN-GoldenSection,3,8.840979e-15,1.819714e-7,7,267,39,0.004,true
QQN-GoldenSection,4,3.800389e-14,3.879033e-7,7,267,39,0.004,true
QQN-GoldenSection,5,1.759686e-15,8.292634e-8,7,267,39,0.004,true
QQN-GoldenSection,6,1.555315e-14,2.405164e-7,6,225,33,0.003,true
QQN-GoldenSection,7,1.543937e-14,2.464516e-7,7,267,39,0.004,true
QQN-GoldenSection,8,5.974338e-14,4.713616e-7,6,225,33,0.003,true
QQN-GoldenSection,9,6.074274e-14,4.791630e-7,7,267,39,0.004,true
QQN-GoldenSection,10,6.160099e-15,1.529188e-7,7,267,39,0.004,true
QQN-GoldenSection,11,4.290674e-15,1.289370e-7,7,267,39,0.004,true
QQN-GoldenSection,12,9.173680e-15,1.855672e-7,7,267,39,0.004,true
QQN-GoldenSection,13,9.196195e-16,5.950661e-8,7,267,39,0.004,true
QQN-GoldenSection,14,2.128328e-13,9.200627e-7,6,225,33,0.003,true
QQN-GoldenSection,15,6.163333e-15,1.565058e-7,7,267,39,0.004,true
QQN-GoldenSection,16,1.295207e-13,6.956051e-7,6,225,33,0.003,true
QQN-GoldenSection,17,1.612202e-14,2.442117e-7,7,267,39,0.004,true
QQN-GoldenSection,18,2.185729e-16,3.010313e-8,7,267,39,0.004,true
QQN-GoldenSection,19,5.270118e-15,1.425296e-7,7,267,39,0.004,true
QQN-Bisection-1,0,6.891143e-14,5.519165e-7,6,64,108,0.002,true
QQN-Bisection-1,1,1.351826e-14,2.305802e-7,7,75,118,0.002,true
QQN-Bisection-1,2,6.130113e-15,1.516288e-7,7,75,118,0.002,true
QQN-Bisection-1,3,2.235380e-14,2.988754e-7,7,75,118,0.002,true
QQN-Bisection-1,4,6.051416e-15,1.618288e-7,7,75,118,0.002,true
QQN-Bisection-1,5,2.814950e-15,1.035756e-7,7,75,118,0.002,true
QQN-Bisection-1,6,1.717127e-14,2.565882e-7,7,75,118,0.002,true
QQN-Bisection-1,7,6.503249e-14,5.010652e-7,7,75,118,0.002,true
QQN-Bisection-1,8,4.441686e-14,4.113804e-7,7,75,118,0.002,true
QQN-Bisection-1,9,1.174693e-14,2.126222e-7,7,75,118,0.002,true
QQN-Bisection-1,10,3.183649e-14,3.514592e-7,7,75,118,0.002,true
QQN-Bisection-1,11,6.290956e-14,4.836375e-7,6,64,108,0.002,true
QQN-Bisection-1,12,1.225966e-14,2.182612e-7,7,75,118,0.002,true
QQN-Bisection-1,13,1.283619e-15,7.070715e-8,7,75,118,0.002,true
QQN-Bisection-1,14,3.673827e-14,3.731465e-7,7,75,118,0.002,true
