Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,5.622411e0,5.766645e0,18,887,115,0.016,false
QQN-GoldenSection,1,1.713896e1,6.530651e0,17,923,109,0.016,false
QQN-GoldenSection,2,1.800369e1,6.439666e0,17,923,109,0.016,false
QQN-GoldenSection,3,1.757651e1,6.576177e0,17,923,109,0.016,false
QQN-GoldenSection,4,9.224865e0,1.050711e1,18,927,115,0.016,false
QQN-GoldenSection,5,9.566553e0,9.657841e0,18,930,115,0.016,false
QQN-GoldenSection,6,1.090006e1,9.003355e0,18,927,115,0.016,false
QQN-GoldenSection,7,9.598127e0,8.447516e0,17,901,109,0.016,false
QQN-GoldenSection,8,1.774376e1,6.127438e0,17,923,109,0.016,false
QQN-GoldenSection,9,1.548815e1,5.634902e0,17,914,109,0.016,false
QQN-GoldenSection,10,9.470648e0,5.512259e0,18,938,115,0.017,false
QQN-GoldenSection,11,1.482364e1,9.066475e0,17,915,109,0.016,false
QQN-GoldenSection,12,1.028564e1,6.266018e0,17,918,109,0.016,false
QQN-GoldenSection,13,1.683117e1,5.590198e0,17,910,109,0.016,false
QQN-GoldenSection,14,9.442040e0,6.793789e0,18,932,115,0.016,false
QQN-GoldenSection,15,1.759376e1,5.623846e0,17,936,109,0.016,false
QQN-GoldenSection,16,1.896516e1,5.610188e0,16,912,103,0.016,false
QQN-GoldenSection,17,1.394903e1,4.067472e1,17,912,109,0.016,false
QQN-GoldenSection,18,1.754250e1,5.355897e0,17,910,109,0.016,false
QQN-GoldenSection,19,1.663171e1,6.056681e0,17,923,109,0.016,false
QQN-Bisection-1,0,1.510135e1,7.667833e0,16,453,570,0.013,false
QQN-Bisection-1,1,1.836518e1,4.497447e0,15,461,591,0.013,false
QQN-Bisection-1,2,1.859607e1,1.786154e1,15,431,593,0.013,false
QQN-Bisection-1,3,1.693118e1,4.774585e0,15,451,589,0.013,false
QQN-Bisection-1,4,1.288300e1,8.165236e0,17,484,580,0.014,false
QQN-Bisection-1,5,1.832430e1,1.124481e1,15,451,591,0.013,false
QQN-Bisection-1,6,1.841835e1,4.380807e0,16,452,601,0.013,false
QQN-Bisection-1,7,1.160679e0,3.385100e0,20,476,583,0.012,false
QQN-Bisection-1,8,1.848781e1,1.067763e1,15,431,593,0.013,false
QQN-Bisection-1,9,1.611461e1,1.300648e1,16,482,603,0.014,false
QQN-Bisection-1,10,1.625139e1,5.624303e0,15,462,560,0.013,false
QQN-Bisection-1,11,1.701975e1,4.751754e0,15,451,589,0.013,false
QQN-Bisection-1,12,1.864871e1,4.536635e0,15,471,589,0.013,false
QQN-Bisection-1,13,1.322273e1,6.749595e0,15,462,560,0.013,false
QQN-Bisection-1,14,1.526856e1,6.460055e0,16,453,570,0.013,false
QQN-Bisection-1,15,1.675477e1,4.686234e0,16,452,601,0.013,false
QQN-Bisection-1,16,1.838350e1,4.595975e0,15,471,587,0.013,false
QQN-Bisection-1,17,1.382228e1,1.255371e1,16,473,570,0.013,false
QQN-Bisection-1,18,1.507346e1,1.158080e1,15,471,591,0.013,false
QQN-Bisection-1,19,1.750760e1,4.881684e0,15,461,589,0.013,false
QQN-CubicQuadraticInterpolation,0,1.333041e1,3.971935e1,13,381,622,0.015,false
QQN-CubicQuadraticInterpolation,1,1.300502e1,4.886099e0,13,409,678,0.016,false
QQN-CubicQuadraticInterpolation,2,1.531719e1,4.897497e0,13,384,628,0.015,false
QQN-CubicQuadraticInterpolation,3,1.051688e1,5.548823e0,14,397,644,0.015,false
QQN-CubicQuadraticInterpolation,4,1.253026e1,1.018405e1,14,392,636,0.015,false
QQN-CubicQuadraticInterpolation,5,1.428251e1,4.769370e1,13,384,628,0.015,false
QQN-CubicQuadraticInterpolation,6,1.210922e1,6.812844e0,13,408,677,0.016,false
QQN-CubicQuadraticInterpolation,7,1.431753e1,1.168280e1,14,393,638,0.015,false
QQN-CubicQuadraticInterpolation,8,1.161502e1,1.521910e1,13,382,624,0.015,false
QQN-CubicQuadraticInterpolation,9,1.449176e1,1.695292e1,13,382,624,0.015,false
QQN-CubicQuadraticInterpolation,10,1.104658e1,1.253606e1,14,389,630,0.015,false
QQN-CubicQuadraticInterpolation,11,1.808479e1,5.261907e0,13,384,628,0.015,false
QQN-CubicQuadraticInterpolation,12,1.402940e1,4.754186e0,13,406,672,0.016,false
QQN-CubicQuadraticInterpolation,13,1.962027e1,1.233542e1,13,384,628,0.015,false
QQN-CubicQuadraticInterpolation,14,1.598268e1,4.884701e0,13,384,628,0.015,false
QQN-CubicQuadraticInterpolation,15,1.819720e1,7.485230e0,15,403,650,0.015,false
QQN-CubicQuadraticInterpolation,16,1.427096e1,5.151560e1,13,382,624,0.015,false
QQN-CubicQuadraticInterpolation,17,1.736223e1,4.808688e0,13,384,628,0.015,false
QQN-CubicQuadraticInterpolation,18,1.432717e1,4.997239e0,13,385,630,0.015,false
QQN-CubicQuadraticInterpolation,19,1.718026e1,8.236680e0,13,387,634,0.015,false
L-BFGS-Aggressive,0,7.576396e1,3.071101e2,77,777,236,0.009,false
L-BFGS-Aggressive,1,4.286897e1,1.895300e2,77,777,236,0.010,false
L-BFGS-Aggressive,2,5.764425e1,2.519469e2,77,777,236,0.009,false
L-BFGS-Aggressive,3,3.249940e2,1.011701e3,76,772,233,0.008,false
L-BFGS-Aggressive,4,2.315328e1,8.022405e1,77,773,236,0.011,false
L-BFGS-Aggressive,5,5.508831e1,2.377051e2,77,777,236,0.009,false
L-BFGS-Aggressive,6,5.978468e1,2.678691e2,77,777,236,0.009,false
L-BFGS-Aggressive,7,5.235422e1,2.299432e2,77,777,236,0.010,false
L-BFGS-Aggressive,8,6.402870e1,2.684946e2,77,777,236,0.009,false
L-BFGS-Aggressive,9,4.788126e1,2.213198e2,77,777,236,0.008,false
L-BFGS-Aggressive,10,4.407100e1,2.017708e2,77,777,236,0.010,false
L-BFGS-Aggressive,11,5.613931e1,2.342121e2,77,777,236,0.010,false
L-BFGS-Aggressive,12,5.206663e1,2.362523e2,77,777,236,0.009,false
L-BFGS-Aggressive,13,5.839418e1,2.409751e2,77,777,236,0.009,false
L-BFGS-Aggressive,14,5.264902e1,2.380656e2,77,777,236,0.009,false
L-BFGS-Aggressive,15,6.176247e1,2.618326e2,77,777,236,0.010,false
L-BFGS-Aggressive,16,8.000859e1,3.227131e2,77,777,236,0.010,false
L-BFGS-Aggressive,17,6.944660e1,2.827008e2,77,777,236,0.009,false
L-BFGS-Aggressive,18,6.035698e1,2.592581e2,77,777,236,0.009,false
L-BFGS-Aggressive,19,5.280292e1,2.321387e2,77,777,236,0.009,false
Adam-Fast,0,6.250111e-1,2.122812e1,101,205,204,0.004,false
Adam-Fast,1,4.834104e-1,2.788459e1,107,217,216,0.005,false
Adam-Fast,2,4.502003e-2,8.515934e0,128,259,258,0.006,false
Adam-Fast,3,1.155972e-1,1.138958e1,131,265,264,0.006,false
Adam-Fast,4,7.945277e-1,2.610575e1,100,203,202,0.004,false
