Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,3.148038e-14,3.548542e-7,2,47,9,0.000,true
QQN-GoldenSection,1,2.588684e-14,3.217877e-7,2,47,9,0.000,true
QQN-GoldenSection,2,3.345925e-14,3.658374e-7,2,47,9,0.000,true
QQN-GoldenSection,3,3.605388e-14,3.797572e-7,2,47,9,0.000,true
QQN-GoldenSection,4,3.434501e-14,3.706482e-7,2,47,9,0.000,true
QQN-GoldenSection,5,2.247187e-14,2.998124e-7,2,47,9,0.000,true
QQN-GoldenSection,6,3.912608e-14,3.956063e-7,2,47,9,0.000,true
QQN-GoldenSection,7,3.575002e-14,3.781535e-7,2,47,9,0.000,true
QQN-GoldenSection,8,4.016850e-14,4.008416e-7,2,47,9,0.000,true
QQN-GoldenSection,9,3.127241e-14,3.536801e-7,2,47,9,0.000,true
QQN-GoldenSection,10,2.487127e-14,3.154126e-7,2,47,9,0.000,true
QQN-GoldenSection,11,2.720563e-14,3.298826e-7,2,47,9,0.000,true
QQN-GoldenSection,12,2.311462e-14,3.040698e-7,2,47,9,0.000,true
QQN-GoldenSection,13,2.920130e-14,3.417678e-7,2,47,9,0.000,true
QQN-GoldenSection,14,3.695283e-14,3.844624e-7,2,47,9,0.000,true
QQN-GoldenSection,15,2.784703e-14,3.337486e-7,2,47,9,0.000,true
QQN-GoldenSection,16,2.560956e-14,3.200597e-7,2,47,9,0.000,true
QQN-GoldenSection,17,2.915097e-14,3.414731e-7,2,47,9,0.000,true
QQN-GoldenSection,18,2.491777e-14,3.157073e-7,2,47,9,0.000,true
QQN-GoldenSection,19,2.934245e-14,3.425928e-7,2,47,9,0.000,true
QQN-Bisection-1,0,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,1,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,2,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,3,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,4,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,5,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,6,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,7,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,8,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,9,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,10,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,11,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,12,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,13,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,14,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,15,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,16,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,17,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,18,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,19,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-CubicQuadraticInterpolation,0,0.000000e0,0.000000e0,2,13,11,0.000,true
QQN-CubicQuadraticInterpolation,1,0.000000e0,0.000000e0,2,13,11,0.000,true
QQN-CubicQuadraticInterpolation,2,0.000000e0,0.000000e0,2,13,11,0.000,true
QQN-CubicQuadraticInterpolation,3,0.000000e0,0.000000e0,2,13,11,0.000,true
QQN-CubicQuadraticInterpolation,4,0.000000e0,0.000000e0,2,13,11,0.000,true
QQN-CubicQuadraticInterpolation,5,0.000000e0,0.000000e0,2,13,11,0.000,true
QQN-CubicQuadraticInterpolation,6,0.000000e0,0.000000e0,2,13,11,0.000,true
QQN-CubicQuadraticInterpolation,7,0.000000e0,0.000000e0,2,13,11,0.000,true
QQN-CubicQuadraticInterpolation,8,0.000000e0,0.000000e0,2,13,11,0.000,true
QQN-CubicQuadraticInterpolation,9,0.000000e0,0.000000e0,2,13,11,0.000,true
QQN-CubicQuadraticInterpolation,10,0.000000e0,0.000000e0,2,13,11,0.000,true
QQN-CubicQuadraticInterpolation,11,0.000000e0,0.000000e0,2,13,11,0.000,true
QQN-CubicQuadraticInterpolation,12,0.000000e0,0.000000e0,2,13,11,0.000,true
QQN-CubicQuadraticInterpolation,13,0.000000e0,0.000000e0,2,13,11,0.000,true
QQN-CubicQuadraticInterpolation,14,0.000000e0,0.000000e0,2,13,11,0.000,true
QQN-CubicQuadraticInterpolation,15,0.000000e0,0.000000e0,2,13,11,0.000,true
QQN-CubicQuadraticInterpolation,16,0.000000e0,0.000000e0,2,13,11,0.000,true
QQN-CubicQuadraticInterpolation,17,0.000000e0,0.000000e0,2,13,11,0.000,true
QQN-CubicQuadraticInterpolation,18,0.000000e0,0.000000e0,2,13,11,0.000,true
QQN-CubicQuadraticInterpolation,19,0.000000e0,0.000000e0,2,13,11,0.000,true
L-BFGS-Aggressive,0,0.000000e0,0.000000e0,3,17,10,0.000,true
L-BFGS-Aggressive,1,0.000000e0,0.000000e0,3,17,10,0.000,true
L-BFGS-Aggressive,2,0.000000e0,0.000000e0,3,17,10,0.000,true
L-BFGS-Aggressive,3,0.000000e0,0.000000e0,3,17,10,0.000,true
L-BFGS-Aggressive,4,0.000000e0,0.000000e0,3,17,10,0.000,true
L-BFGS-Aggressive,5,0.000000e0,0.000000e0,3,17,10,0.000,true
L-BFGS-Aggressive,6,0.000000e0,0.000000e0,3,17,10,0.000,true
L-BFGS-Aggressive,7,0.000000e0,0.000000e0,3,17,10,0.000,true
L-BFGS-Aggressive,8,0.000000e0,0.000000e0,2,10,7,0.000,true
L-BFGS-Aggressive,9,0.000000e0,0.000000e0,3,17,10,0.000,true
L-BFGS-Aggressive,10,0.000000e0,0.000000e0,2,10,7,0.000,true
L-BFGS-Aggressive,11,0.000000e0,0.000000e0,3,17,10,0.000,true
L-BFGS-Aggressive,12,0.000000e0,0.000000e0,3,17,10,0.000,true
L-BFGS-Aggressive,13,0.000000e0,0.000000e0,3,17,10,0.000,true
L-BFGS-Aggressive,14,0.000000e0,0.000000e0,3,17,10,0.000,true
L-BFGS-Aggressive,15,0.000000e0,0.000000e0,2,10,7,0.000,true
L-BFGS-Aggressive,16,0.000000e0,0.000000e0,3,17,10,0.000,true
L-BFGS-Aggressive,17,0.000000e0,0.000000e0,2,10,7,0.000,true
L-BFGS-Aggressive,18,0.000000e0,0.000000e0,3,17,10,0.000,true
L-BFGS-Aggressive,19,0.000000e0,0.000000e0,2,10,7,0.000,true
Adam-Fast,0,1.229742e-1,7.013534e-1,18,39,38,0.001,false
Adam-Fast,1,1.304069e-1,7.222380e-1,18,39,38,0.001,false
Adam-Fast,2,1.255595e-1,7.086874e-1,17,37,36,0.001,false
Adam-Fast,3,1.248787e-1,7.067636e-1,15,33,32,0.001,false
Adam-Fast,4,1.217397e-1,6.978243e-1,16,35,34,0.001,false
Adam-Fast,5,1.285284e-1,7.170171e-1,18,39,38,0.001,false
Adam-Fast,6,1.334632e-1,7.306522e-1,19,41,40,0.001,false
Adam-Fast,7,1.177526e-1,6.863019e-1,16,35,34,0.001,false
Adam-Fast,8,1.178606e-1,6.866166e-1,17,37,36,0.002,false
Adam-Fast,9,1.201817e-1,6.933448e-1,18,39,38,0.002,false
Adam-Fast,10,1.258071e-1,7.093859e-1,16,35,34,0.001,false
Adam-Fast,11,1.291264e-1,7.186832e-1,17,37,36,0.001,false
Adam-Fast,12,1.241635e-1,7.047370e-1,16,35,34,0.001,false
Adam-Fast,13,1.241497e-1,7.046976e-1,16,35,34,0.001,false
Adam-Fast,14,1.154881e-1,6.796708e-1,18,39,38,0.001,false
Adam-Fast,15,1.304633e-1,7.223940e-1,16,35,34,0.001,false
Adam-Fast,16,1.243217e-1,7.051856e-1,17,37,36,0.001,false
Adam-Fast,17,1.319082e-1,7.263835e-1,18,39,38,0.001,false
Adam-Fast,18,1.213963e-1,6.968393e-1,17,37,36,0.001,false
Adam-Fast,19,1.201649e-1,6.932961e-1,18,39,38,0.001,false
GD,0,3.427526e-6,3.702716e-3,332,335,668,0.008,false
GD,1,3.201271e-6,3.578419e-3,332,335,668,0.008,false
GD,2,3.508131e-6,3.746001e-3,332,335,668,0.008,false
GD,3,2.500176e-6,3.162389e-3,332,335,668,0.008,false
GD,4,2.400407e-6,3.098649e-3,332,335,668,0.008,false
GD,5,2.884690e-6,3.396875e-3,332,335,668,0.008,false
GD,6,2.354589e-6,3.068934e-3,332,335,668,0.008,false
GD,7,3.000181e-6,3.464206e-3,332,335,668,0.008,false
GD,8,2.677013e-6,3.272316e-3,332,335,668,0.008,false
GD,9,3.042643e-6,3.488635e-3,332,335,668,0.008,false
GD,10,2.055310e-6,2.867271e-3,332,335,668,0.008,false
GD,11,3.710900e-6,3.852739e-3,332,335,668,0.008,false
GD,12,3.829751e-6,3.913950e-3,332,335,668,0.008,false
GD,13,2.905307e-6,3.408992e-3,332,335,668,0.008,false
GD,14,3.691578e-6,3.842696e-3,332,335,668,0.008,false
GD,15,3.945571e-6,3.972692e-3,332,335,668,0.008,false
GD,16,2.666815e-6,3.266077e-3,332,335,668,0.008,false
GD,17,2.203459e-6,2.968811e-3,332,335,668,0.008,false
GD,18,3.325865e-6,3.647391e-3,332,335,668,0.008,false
GD,19,2.553142e-6,3.195711e-3,332,335,668,0.008,false
QQN-GoldenSection,0,2.996433e-14,3.462042e-7,2,47,9,0.000,true
QQN-GoldenSection,1,2.901432e-14,3.406718e-7,2,47,9,0.000,true
QQN-GoldenSection,2,2.323259e-14,3.048448e-7,2,47,9,0.000,true
QQN-GoldenSection,3,3.358142e-14,3.665047e-7,2,47,9,0.000,true
QQN-GoldenSection,4,3.422896e-14,3.700214e-7,2,47,9,0.000,true
QQN-GoldenSection,5,2.925276e-14,3.420688e-7,2,47,9,0.000,true
QQN-GoldenSection,6,3.266970e-14,3.614952e-7,2,47,9,0.000,true
QQN-GoldenSection,7,2.836586e-14,3.368434e-7,2,47,9,0.000,true
QQN-GoldenSection,8,2.792959e-14,3.342429e-7,2,47,9,0.000,true
QQN-GoldenSection,9,4.369363e-14,4.180604e-7,2,47,9,0.000,true
QQN-GoldenSection,10,2.757270e-14,3.321006e-7,2,47,9,0.000,true
QQN-GoldenSection,11,2.790600e-14,3.341018e-7,2,47,9,0.000,true
QQN-GoldenSection,12,3.797534e-14,3.897452e-7,2,47,9,0.000,true
QQN-GoldenSection,13,2.359341e-14,3.072029e-7,2,47,9,0.000,true
QQN-GoldenSection,14,2.366540e-14,3.076712e-7,2,47,9,0.000,true
QQN-GoldenSection,15,3.560016e-14,3.773601e-7,2,47,9,0.000,true
QQN-GoldenSection,16,2.990658e-14,3.458704e-7,2,47,9,0.000,true
QQN-GoldenSection,17,3.323443e-14,3.646063e-7,2,47,9,0.000,true
QQN-GoldenSection,18,2.294573e-14,3.029569e-7,2,47,9,0.000,true
QQN-GoldenSection,19,3.296138e-14,3.631054e-7,2,47,9,0.000,true
QQN-Bisection-1,0,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,1,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,2,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,3,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,4,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,5,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,6,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,7,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,8,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,9,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,10,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,11,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,12,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,13,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,14,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,15,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,16,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,17,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,18,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,19,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-2,0,0.000000e0,0.000000e0,2,14,16,0.000,true
QQN-Bisection-2,1,0.000000e0,0.000000e0,2,14,16,0.000,true
QQN-Bisection-2,2,0.000000e0,0.000000e0,2,14,16,0.000,true
QQN-Bisection-2,3,0.000000e0,0.000000e0,2,14,16,0.000,true
QQN-Bisection-2,4,0.000000e0,0.000000e0,2,14,16,0.000,true
QQN-Bisection-2,5,0.000000e0,0.000000e0,2,14,16,0.000,true
QQN-Bisection-2,6,0.000000e0,0.000000e0,2,14,16,0.000,true
QQN-Bisection-2,7,0.000000e0,0.000000e0,2,14,16,0.000,true
QQN-Bisection-2,8,0.000000e0,0.000000e0,2,14,16,0.000,true
QQN-Bisection-2,9,0.000000e0,0.000000e0,2,14,16,0.000,true
QQN-Bisection-2,10,0.000000e0,0.000000e0,2,14,16,0.000,true
QQN-Bisection-2,11,0.000000e0,0.000000e0,2,14,16,0.000,true
QQN-Bisection-2,12,0.000000e0,0.000000e0,2,14,16,0.000,true
QQN-Bisection-2,13,0.000000e0,0.000000e0,2,14,16,0.000,true
QQN-Bisection-2,14,0.000000e0,0.000000e0,2,14,16,0.000,true
QQN-Bisection-2,15,0.000000e0,0.000000e0,2,14,16,0.000,true
QQN-Bisection-2,16,0.000000e0,0.000000e0,2,14,16,0.000,true
QQN-Bisection-2,17,0.000000e0,0.000000e0,2,14,16,0.000,true
QQN-Bisection-2,18,0.000000e0,0.000000e0,2,14,16,0.000,true
QQN-Bisection-2,19,0.000000e0,0.000000e0,2,14,16,0.000,true
QQN-StrongWolfe,0,0.000000e0,0.000000e0,2,12,10,0.000,true
QQN-StrongWolfe,1,0.000000e0,0.000000e0,2,12,10,0.000,true
QQN-StrongWolfe,2,0.000000e0,0.000000e0,2,12,10,0.000,true
QQN-StrongWolfe,3,0.000000e0,0.000000e0,2,12,10,0.000,true
QQN-StrongWolfe,4,0.000000e0,0.000000e0,2,12,10,0.000,true
QQN-StrongWolfe,5,0.000000e0,0.000000e0,2,12,10,0.000,true
QQN-StrongWolfe,6,0.000000e0,0.000000e0,2,12,10,0.000,true
QQN-StrongWolfe,7,0.000000e0,0.000000e0,2,12,10,0.000,true
QQN-StrongWolfe,8,0.000000e0,0.000000e0,2,12,10,0.000,true
QQN-StrongWolfe,9,0.000000e0,0.000000e0,2,12,10,0.000,true
QQN-StrongWolfe,10,0.000000e0,0.000000e0,2,12,10,0.000,true
QQN-StrongWolfe,11,0.000000e0,0.000000e0,2,12,10,0.000,true
QQN-StrongWolfe,12,0.000000e0,0.000000e0,2,12,10,0.000,true
QQN-StrongWolfe,13,0.000000e0,0.000000e0,2,12,10,0.000,true
QQN-StrongWolfe,14,0.000000e0,0.000000e0,2,12,10,0.000,true
QQN-StrongWolfe,15,0.000000e0,0.000000e0,2,12,10,0.000,true
QQN-StrongWolfe,16,0.000000e0,0.000000e0,2,12,10,0.000,true
QQN-StrongWolfe,17,0.000000e0,0.000000e0,2,12,10,0.000,true
QQN-StrongWolfe,18,0.000000e0,0.000000e0,2,12,10,0.000,true
QQN-StrongWolfe,19,0.000000e0,0.000000e0,2,12,10,0.000,true
QQN-Backtracking,0,0.000000e0,0.000000e0,2,12,9,0.000,true
QQN-Backtracking,1,0.000000e0,0.000000e0,2,12,9,0.000,true
QQN-Backtracking,2,0.000000e0,0.000000e0,2,12,9,0.000,true
QQN-Backtracking,3,0.000000e0,0.000000e0,2,12,9,0.000,true
QQN-Backtracking,4,0.000000e0,0.000000e0,2,12,9,0.000,true
QQN-Backtracking,5,0.000000e0,0.000000e0,2,12,9,0.000,true
QQN-Backtracking,6,0.000000e0,0.000000e0,2,12,9,0.000,true
QQN-Backtracking,7,0.000000e0,0.000000e0,2,12,9,0.000,true
QQN-Backtracking,8,0.000000e0,0.000000e0,2,12,9,0.000,true
QQN-Backtracking,9,0.000000e0,0.000000e0,2,12,9,0.000,true
QQN-Backtracking,10,0.000000e0,0.000000e0,2,12,9,0.000,true
QQN-Backtracking,11,0.000000e0,0.000000e0,2,12,9,0.000,true
QQN-Backtracking,12,0.000000e0,0.000000e0,2,12,9,0.000,true
QQN-Backtracking,13,0.000000e0,0.000000e0,2,12,9,0.000,true
QQN-Backtracking,14,0.000000e0,0.000000e0,2,12,9,0.000,true
QQN-Backtracking,15,0.000000e0,0.000000e0,2,12,9,0.000,true
QQN-Backtracking,16,0.000000e0,0.000000e0,2,12,9,0.000,true
