Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,-3.633882e2,8.898842e-8,18,661,105,0.012,false
QQN-GoldenSection,1,-3.633882e2,3.340779e-4,11,520,68,0.009,false
QQN-GoldenSection,2,-3.492515e2,7.117123e-7,17,634,99,0.012,false
QQN-GoldenSection,3,-3.775249e2,4.571329e-5,12,562,74,0.010,false
QQN-GoldenSection,4,-3.633882e2,9.850714e-8,19,695,111,0.013,false
QQN-GoldenSection,5,-3.775249e2,5.565409e-7,13,471,75,0.008,false
QQN-GoldenSection,6,-3.633882e2,5.167176e-5,14,569,86,0.010,false
QQN-GoldenSection,7,-3.633882e2,3.986123e-4,7,305,44,0.005,false
QQN-GoldenSection,8,-3.775249e2,2.578093e-7,20,681,117,0.013,false
QQN-GoldenSection,9,-3.916617e2,2.939789e-5,10,480,62,0.008,false
QQN-GoldenSection,10,-3.916617e2,1.891361e-8,15,504,87,0.009,true
QQN-GoldenSection,11,-3.916617e2,1.865623e-5,10,456,62,0.008,false
QQN-GoldenSection,12,-3.633882e2,4.447626e-4,11,498,68,0.009,false
QQN-GoldenSection,13,-3.916617e2,2.349953e-6,11,556,68,0.010,false
QQN-GoldenSection,14,-3.775249e2,3.260830e-7,14,507,81,0.009,false
QQN-GoldenSection,15,-3.633882e2,1.990482e-7,18,684,105,0.013,false
QQN-GoldenSection,16,-3.916617e2,8.025918e-4,9,427,56,0.007,false
QQN-GoldenSection,17,-3.916617e2,4.595631e-8,14,496,81,0.009,true
QQN-GoldenSection,18,-3.916617e2,5.424884e-7,16,551,97,0.010,true
QQN-GoldenSection,19,-3.916617e2,2.113882e-7,14,530,81,0.009,true
QQN-Bisection-1,0,-3.916617e2,8.751543e-8,20,439,487,0.011,true
QQN-Bisection-1,1,-3.633882e2,2.350116e-7,21,372,421,0.010,false
QQN-Bisection-1,2,-3.633882e2,8.060507e-7,21,411,454,0.010,false
QQN-Bisection-1,3,-3.775249e2,3.147110e-7,16,259,309,0.006,false
QQN-Bisection-1,4,-3.916617e2,1.243416e-3,15,481,536,0.012,false
QQN-Bisection-1,5,-3.916617e2,8.638677e-8,16,298,342,0.007,true
QQN-Bisection-1,6,-3.492515e2,7.722026e-8,19,311,368,0.008,false
QQN-Bisection-1,7,-3.775249e2,8.021414e-8,21,266,299,0.007,false
QQN-Bisection-1,8,-3.775249e2,1.778379e-7,17,251,300,0.007,false
QQN-Bisection-1,9,-3.633882e2,9.959039e-7,16,269,321,0.007,false
QQN-Bisection-1,10,-3.633882e2,1.391357e-7,21,381,448,0.010,false
QQN-Bisection-1,11,-3.775249e2,1.764461e-8,16,250,292,0.006,false
QQN-Bisection-1,12,-3.492515e2,4.622396e-7,19,302,351,0.008,false
QQN-Bisection-1,13,-3.775249e2,9.389764e-7,15,200,239,0.005,false
QQN-Bisection-1,14,-3.775249e2,1.603205e-7,21,381,448,0.010,false
QQN-Bisection-1,15,-3.916617e2,4.328368e-8,23,462,515,0.012,true
QQN-Bisection-1,16,-3.633882e2,2.399583e-7,19,244,289,0.007,false
QQN-Bisection-1,17,-3.633882e2,1.608657e-3,20,475,531,0.010,false
QQN-Bisection-1,18,-3.775249e2,3.426186e-7,19,331,370,0.008,false
QQN-Bisection-1,19,-3.633882e2,2.101999e-7,18,262,310,0.007,false
QQN-CubicQuadraticInterpolation,0,-3.633882e2,2.696589e-7,21,387,566,0.015,false
QQN-CubicQuadraticInterpolation,1,-3.916617e2,8.160073e-8,12,191,260,0.006,true
QQN-CubicQuadraticInterpolation,2,-2.959285e2,2.426189e0,11,386,648,0.015,false
QQN-CubicQuadraticInterpolation,3,-3.492515e2,7.542486e-7,14,222,306,0.008,false
QQN-CubicQuadraticInterpolation,4,-3.633882e2,1.522432e-4,12,260,395,0.010,false
QQN-CubicQuadraticInterpolation,5,-3.916617e2,5.549708e-7,13,244,362,0.009,true
QQN-CubicQuadraticInterpolation,6,-3.916617e2,2.058442e-7,16,245,332,0.009,true
QQN-CubicQuadraticInterpolation,7,-3.775249e2,2.001072e-7,17,305,438,0.011,false
QQN-CubicQuadraticInterpolation,8,-3.916617e2,3.458198e-8,18,389,604,0.015,true
QQN-CubicQuadraticInterpolation,9,-3.351148e2,7.269056e-3,14,386,624,0.015,false
QQN-CubicQuadraticInterpolation,10,-3.570661e2,1.131985e1,12,396,660,0.015,false
QQN-CubicQuadraticInterpolation,11,-3.916617e2,2.305436e-7,16,318,478,0.012,true
QQN-CubicQuadraticInterpolation,12,-3.916617e2,8.461213e-7,14,232,320,0.008,true
QQN-CubicQuadraticInterpolation,13,-3.775213e2,4.674537e-1,15,387,618,0.015,false
QQN-CubicQuadraticInterpolation,14,-3.351148e2,1.412521e-7,17,303,434,0.011,false
QQN-CubicQuadraticInterpolation,15,-3.351148e2,2.605837e-7,17,354,542,0.013,false
QQN-CubicQuadraticInterpolation,16,-3.775249e2,4.674825e-8,16,299,436,0.011,false
QQN-CubicQuadraticInterpolation,17,-3.916617e2,2.588353e-8,14,210,274,0.007,true
QQN-CubicQuadraticInterpolation,18,-3.633882e2,1.237511e-3,15,335,521,0.013,false
QQN-CubicQuadraticInterpolation,19,-3.916617e2,9.077919e-8,14,234,326,0.008,true
L-BFGS-Aggressive,0,-1.430943e2,4.547935e1,77,778,236,0.008,false
L-BFGS-Aggressive,1,-1.371476e2,4.442953e1,77,778,236,0.008,false
L-BFGS-Aggressive,2,-1.543423e2,5.186067e1,77,777,236,0.008,false
L-BFGS-Aggressive,3,-1.346771e2,4.692636e1,77,778,236,0.008,false
L-BFGS-Aggressive,4,-1.152862e2,4.243800e1,77,778,236,0.008,false
L-BFGS-Aggressive,5,-2.357303e2,4.894126e1,77,776,236,0.009,false
L-BFGS-Aggressive,6,-1.491955e2,4.505945e1,77,778,236,0.008,false
L-BFGS-Aggressive,7,-2.105203e2,5.769499e1,77,778,236,0.008,false
L-BFGS-Aggressive,8,-1.783595e2,5.417105e1,77,778,236,0.008,false
L-BFGS-Aggressive,9,-1.977019e2,5.286907e1,77,778,236,0.008,false
L-BFGS-Aggressive,10,-1.477623e2,5.145675e1,77,777,236,0.008,false
L-BFGS-Aggressive,11,-1.176101e2,4.179128e1,77,778,236,0.008,false
L-BFGS-Aggressive,12,-1.828157e2,5.264896e1,77,778,236,0.008,false
L-BFGS-Aggressive,13,-1.447168e2,4.990459e1,77,777,236,0.008,false
L-BFGS-Aggressive,14,-2.314869e2,3.760686e1,77,776,236,0.010,false
L-BFGS-Aggressive,15,-1.737986e2,4.650157e1,77,777,236,0.009,false
L-BFGS-Aggressive,16,-1.396098e2,4.695606e1,77,778,236,0.008,false
L-BFGS-Aggressive,17,-1.380865e2,4.678026e1,77,778,236,0.008,false
L-BFGS-Aggressive,18,-1.387982e2,4.711300e1,77,777,236,0.008,false
L-BFGS-Aggressive,19,-1.610622e2,5.252602e1,77,778,236,0.008,false
Adam-Fast,0,-3.634963e2,3.414961e1,34,71,70,0.002,false
Adam-Fast,1,-3.760929e2,3.597964e1,35,73,72,0.002,true
Adam-Fast,2,-3.765306e2,3.544724e1,34,71,70,0.002,true
Adam-Fast,3,-3.501709e2,3.326239e1,35,73,72,0.002,false
Adam-Fast,4,-3.628996e2,3.493168e1,35,73,72,0.002,false
Adam-Fast,5,-3.630449e2,3.476174e1,35,73,72,0.002,false
Adam-Fast,6,-3.762351e2,3.580547e1,35,73,72,0.002,true
Adam-Fast,7,-3.759255e2,3.619468e1,35,73,72,0.002,true
Adam-Fast,8,-3.759106e2,3.621479e1,35,73,72,0.002,true
Adam-Fast,9,-3.498041e2,3.370804e1,35,73,72,0.002,false
Adam-Fast,10,-3.634787e2,3.416473e1,34,71,70,0.002,false
Adam-Fast,11,-3.366936e2,3.241890e1,35,73,72,0.002,false
Adam-Fast,12,-3.761985e2,3.584216e1,35,73,72,0.002,true
Adam-Fast,13,-3.764044e2,3.560923e1,35,73,72,0.002,true
Adam-Fast,14,-3.629947e2,3.480677e1,35,73,72,0.002,false
Adam-Fast,15,-3.371174e2,3.177680e1,34,71,70,0.002,false
Adam-Fast,16,-3.759495e2,3.617437e1,35,73,72,0.002,true
Adam-Fast,17,-3.758959e2,3.622360e1,35,73,72,0.002,true
Adam-Fast,18,-3.498525e2,3.364448e1,35,73,72,0.002,false
Adam-Fast,19,-3.501574e2,3.320230e1,34,71,70,0.002,false
GD,0,-3.633882e2,3.779359e-4,152,155,306,0.004,false
GD,1,-3.633882e2,7.395850e-5,154,156,310,0.004,false
GD,2,-3.775249e2,7.592891e-5,142,145,286,0.004,false
GD,3,-3.916617e2,7.618149e-5,154,157,310,0.004,true
GD,4,-3.916617e2,7.728838e-5,144,147,290,0.004,true
GD,5,-3.775249e2,4.609536e-4,138,141,278,0.004,false
GD,6,-3.633882e2,2.330576e-4,147,150,296,0.004,false
GD,7,-3.916617e2,1.985925e-4,120,123,242,0.003,true
GD,8,-3.916617e2,3.780204e-4,131,134,264,0.004,true
GD,9,-3.916617e2,7.637613e-5,140,143,282,0.004,true
GD,10,-3.775249e2,1.066088e-4,134,137,270,0.004,false
GD,11,-3.916617e2,3.655680e-4,123,126,248,0.003,true
GD,12,-3.633882e2,3.501196e-4,135,138,272,0.004,false
GD,13,-3.916617e2,3.598051e-4,139,142,280,0.004,true
GD,14,-3.916617e2,4.031804e-4,126,129,254,0.003,true
GD,15,-3.916617e2,3.574876e-4,120,123,242,0.003,true
GD,16,-3.492515e2,2.300898e-4,138,141,278,0.004,false
GD,17,-3.775249e2,3.447775e-4,141,144,284,0.004,false
GD,18,-3.916617e2,2.030618e-4,127,130,256,0.004,true
GD,19,-3.775249e2,2.098356e-4,143,146,288,0.004,false
QQN-GoldenSection,0,-3.633882e2,9.146246e-7,20,630,117,0.012,false
QQN-GoldenSection,1,-3.492515e2,8.523966e-7,19,641,115,0.012,false
QQN-GoldenSection,2,-3.916617e2,1.073977e-7,19,668,111,0.013,true
QQN-GoldenSection,3,-3.775249e2,1.603675e-4,17,704,104,0.013,false
QQN-GoldenSection,4,-3.775249e2,3.096438e-3,18,578,109,0.011,false
QQN-GoldenSection,5,-3.916617e2,1.577519e-4,11,530,68,0.009,false
QQN-GoldenSection,6,-3.775249e2,1.927902e-3,9,429,56,0.007,false
QQN-GoldenSection,7,-3.633882e2,1.951442e-5,16,530,97,0.010,false
QQN-GoldenSection,8,-3.916617e2,5.282008e-8,15,495,91,0.009,true
QQN-GoldenSection,9,-3.775249e2,2.618750e-4,12,527,74,0.009,false
QQN-GoldenSection,10,-3.633882e2,5.703906e-4,12,536,74,0.009,false
QQN-GoldenSection,11,-3.633882e2,1.905563e-4,15,585,92,0.011,false
QQN-GoldenSection,12,-3.633882e2,3.812101e-4,19,714,116,0.014,false
QQN-GoldenSection,13,-3.633882e2,1.005296e-3,15,620,92,0.011,false
QQN-GoldenSection,14,-3.775249e2,1.623665e-7,18,581,105,0.011,false
QQN-GoldenSection,15,-3.916617e2,1.504076e-7,18,592,105,0.011,true
QQN-GoldenSection,16,-3.492515e2,2.569763e-3,17,574,103,0.011,false
QQN-GoldenSection,17,-3.492515e2,2.797660e-4,15,640,92,0.012,false
QQN-GoldenSection,18,-3.633882e2,7.942561e-5,23,673,139,0.013,false
QQN-GoldenSection,19,-3.633882e2,2.531411e-3,15,490,91,0.009,false
QQN-Bisection-1,0,-3.916617e2,1.393031e-6,17,487,528,0.011,false
QQN-Bisection-1,1,-3.633882e2,3.888569e-7,18,230,263,0.006,false
QQN-Bisection-1,2,-3.775249e2,6.072785e-7,15,197,233,0.005,false
QQN-Bisection-1,3,-3.916617e2,3.843528e-5,18,478,539,0.009,false
QQN-Bisection-1,4,-3.775249e2,1.132709e-4,19,489,547,0.009,false
QQN-Bisection-1,5,-3.775246e2,1.426783e-1,16,517,534,0.011,false
QQN-Bisection-1,6,-3.633882e2,2.045496e-7,17,240,238,0.006,false
QQN-Bisection-1,7,-3.621352e2,9.378782e0,13,530,510,0.010,false
