Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,3.164492e-2,7.300988e-1,20,919,127,0.018,false
QQN-GoldenSection,1,3.079630e-2,7.415403e-1,19,889,121,0.017,false
QQN-GoldenSection,2,3.631764e-1,2.280011e0,17,905,109,0.017,false
QQN-GoldenSection,3,2.130994e-2,8.524529e-1,19,896,121,0.017,false
QQN-GoldenSection,4,4.387340e-2,4.681524e-1,20,932,127,0.018,false
QQN-GoldenSection,5,1.654582e-2,5.672145e-1,20,932,127,0.018,false
QQN-GoldenSection,6,3.381610e-2,1.339051e0,20,906,127,0.018,false
QQN-GoldenSection,7,5.027616e-4,2.033604e-1,19,890,121,0.017,false
QQN-GoldenSection,8,6.527396e-6,3.390821e-2,20,906,127,0.018,false
QQN-GoldenSection,9,1.325964e-4,2.749821e-2,19,891,121,0.017,false
QQN-GoldenSection,10,2.389156e-2,3.963020e-1,19,927,121,0.018,false
QQN-GoldenSection,11,4.430636e-2,4.406395e-1,20,932,127,0.018,false
QQN-GoldenSection,12,8.591373e-4,2.646094e-1,20,917,127,0.018,false
QQN-GoldenSection,13,6.829609e-4,2.133516e-1,19,890,121,0.017,false
QQN-GoldenSection,14,8.682538e-2,8.752673e-1,18,919,115,0.017,false
QQN-GoldenSection,15,1.839209e-3,4.856755e-1,20,906,127,0.018,false
QQN-GoldenSection,16,3.293100e-3,4.361415e-1,19,888,121,0.017,false
QQN-GoldenSection,17,4.402623e-3,1.122116e0,20,907,127,0.018,false
QQN-GoldenSection,18,1.425788e-2,1.954094e-1,20,907,127,0.018,false
QQN-GoldenSection,19,2.942439e-2,4.058340e-1,20,907,127,0.018,false
QQN-Bisection-1,0,3.903410e-2,5.462348e-1,25,510,573,0.017,false
QQN-Bisection-1,1,5.153008e-2,2.693586e-1,26,462,544,0.016,false
QQN-Bisection-1,2,5.113502e-9,5.855669e-4,33,502,527,0.017,false
QQN-Bisection-1,3,4.518308e-2,1.680285e-1,26,512,550,0.017,false
QQN-Bisection-1,4,1.893242e-14,8.528305e-7,39,451,468,0.016,true
QQN-Bisection-1,5,1.494287e-12,1.127979e-5,36,496,522,0.017,false
QQN-Bisection-1,6,4.431017e-7,6.191954e-3,33,482,523,0.017,false
QQN-Bisection-1,7,5.733467e-14,1.062141e-6,39,515,490,0.017,false
QQN-Bisection-1,8,6.023881e-15,1.076996e-6,39,515,490,0.017,false
QQN-Bisection-1,9,6.090383e-15,6.378474e-7,39,480,501,0.017,true
QQN-Bisection-1,10,1.357355e-14,8.720571e-7,40,462,478,0.016,true
QQN-Bisection-1,11,1.044220e-13,1.408609e-6,38,499,509,0.017,false
QQN-Bisection-1,12,2.202784e-15,6.415090e-7,34,396,418,0.014,true
QQN-Bisection-1,13,1.076738e-13,4.340257e-6,38,518,542,0.018,false
QQN-Bisection-1,14,4.079433e-8,8.517287e-4,36,495,521,0.017,false
QQN-Bisection-1,15,2.085649e-1,1.315571e0,22,496,576,0.017,false
QQN-Bisection-1,16,1.115184e-12,7.684682e-6,33,482,523,0.017,false
QQN-Bisection-1,17,6.071757e-14,9.828494e-7,36,475,503,0.016,true
QQN-Bisection-1,18,2.187583e-9,6.845938e-4,36,511,493,0.017,false
QQN-Bisection-1,19,2.594142e-14,9.003611e-7,37,458,481,0.016,true
QQN-CubicQuadraticInterpolation,0,7.369929e-2,1.053344e0,12,397,662,0.019,false
QQN-CubicQuadraticInterpolation,1,1.885739e-1,8.154588e-1,11,386,648,0.019,false
QQN-CubicQuadraticInterpolation,2,2.470556e-2,1.013747e0,12,394,656,0.019,false
QQN-CubicQuadraticInterpolation,3,5.525207e-2,4.502439e-1,13,402,664,0.019,false
QQN-CubicQuadraticInterpolation,4,5.342888e-2,1.136922e-1,12,394,656,0.019,false
QQN-CubicQuadraticInterpolation,5,1.009767e-1,2.168983e0,11,386,648,0.019,false
QQN-CubicQuadraticInterpolation,6,3.237832e-2,6.335438e-1,12,397,662,0.019,false
QQN-CubicQuadraticInterpolation,7,7.381575e-2,2.084762e0,12,397,662,0.019,false
QQN-CubicQuadraticInterpolation,8,4.733523e-1,1.771095e0,11,386,648,0.019,false
QQN-CubicQuadraticInterpolation,9,1.657744e-2,3.701391e-1,12,396,660,0.019,false
QQN-CubicQuadraticInterpolation,10,4.978963e-2,5.378585e-1,13,409,678,0.020,false
QQN-CubicQuadraticInterpolation,11,1.333996e-1,3.586335e0,11,386,648,0.019,false
QQN-CubicQuadraticInterpolation,12,2.463562e-2,5.823852e-1,12,394,656,0.019,false
QQN-CubicQuadraticInterpolation,13,2.010502e-1,1.908346e0,12,398,664,0.019,false
QQN-CubicQuadraticInterpolation,14,1.032411e-1,9.288494e-1,11,386,648,0.019,false
QQN-CubicQuadraticInterpolation,15,9.967507e-2,1.709036e0,12,397,662,0.019,false
QQN-CubicQuadraticInterpolation,16,5.323631e-2,1.923476e-1,13,402,664,0.019,false
QQN-CubicQuadraticInterpolation,17,5.231859e-2,2.371139e0,11,386,648,0.018,false
QQN-CubicQuadraticInterpolation,18,4.506908e-2,4.494237e-1,13,405,670,0.019,false
QQN-CubicQuadraticInterpolation,19,2.726341e-2,4.705563e-1,12,397,662,0.019,false
L-BFGS-Aggressive,0,8.322584e0,2.212507e1,76,772,233,0.008,false
L-BFGS-Aggressive,1,1.510760e1,3.310129e1,76,772,233,0.008,false
L-BFGS-Aggressive,2,8.900756e0,2.832459e1,76,772,233,0.008,false
L-BFGS-Aggressive,3,1.184990e1,3.207306e1,76,772,233,0.008,false
L-BFGS-Aggressive,4,4.525111e0,1.940801e1,76,772,233,0.008,false
L-BFGS-Aggressive,5,1.349535e1,3.046368e1,76,772,233,0.008,false
L-BFGS-Aggressive,6,1.636389e1,3.151697e1,76,772,233,0.008,false
L-BFGS-Aggressive,7,3.898625e0,2.311418e1,76,772,233,0.008,false
L-BFGS-Aggressive,8,1.516942e1,3.202347e1,76,772,233,0.008,false
L-BFGS-Aggressive,9,8.899750e0,2.645431e1,76,772,233,0.008,false
L-BFGS-Aggressive,10,1.118845e1,3.350805e1,76,772,233,0.008,false
L-BFGS-Aggressive,11,9.691372e0,3.129104e1,76,772,233,0.008,false
L-BFGS-Aggressive,12,5.914569e0,2.075726e1,76,772,233,0.008,false
L-BFGS-Aggressive,13,1.207660e1,2.904850e1,76,772,233,0.008,false
L-BFGS-Aggressive,14,1.442054e1,3.076312e1,76,772,233,0.008,false
L-BFGS-Aggressive,15,1.164519e1,2.319786e1,76,772,233,0.008,false
L-BFGS-Aggressive,16,1.004981e1,2.749144e1,76,772,233,0.008,false
L-BFGS-Aggressive,17,1.218707e1,2.786346e1,76,772,233,0.008,false
L-BFGS-Aggressive,18,1.042382e1,3.242033e1,76,772,233,0.008,false
L-BFGS-Aggressive,19,7.092624e0,2.934373e1,76,772,233,0.008,false
Adam-Fast,0,3.523875e-1,6.357169e0,22,47,46,0.001,false
Adam-Fast,1,1.815999e-2,1.438426e0,42,87,86,0.002,false
Adam-Fast,2,1.966110e-2,2.358157e0,36,75,74,0.002,false
Adam-Fast,3,7.437205e-5,1.573552e-1,97,197,196,0.005,false
Adam-Fast,4,3.862094e-7,7.311019e-3,150,303,302,0.008,true
Adam-Fast,5,1.450669e-1,3.680501e0,33,69,68,0.002,false
Adam-Fast,6,2.715135e-1,6.573932e0,16,35,34,0.001,false
Adam-Fast,7,1.730650e-2,1.388192e0,47,97,96,0.003,false
Adam-Fast,8,1.444326e-1,5.395001e0,24,51,50,0.001,false
Adam-Fast,9,1.166389e-1,2.483361e0,38,79,78,0.002,false
Adam-Fast,10,6.454103e-6,4.102236e-2,129,261,260,0.007,false
Adam-Fast,11,5.918246e-2,3.129145e0,33,69,68,0.002,false
Adam-Fast,12,1.829305e-1,2.997274e0,27,57,56,0.002,false
Adam-Fast,13,3.087424e-3,7.695773e-1,63,129,128,0.003,false
Adam-Fast,14,4.650243e-1,8.514041e0,16,35,34,0.001,false
Adam-Fast,15,2.755749e-1,4.189423e0,20,43,42,0.001,false
Adam-Fast,16,3.714670e-2,2.603030e0,33,69,68,0.002,false
Adam-Fast,17,1.598189e-2,1.569858e0,53,109,108,0.003,false
Adam-Fast,18,1.259213e-3,3.788120e-1,82,167,166,0.004,false
Adam-Fast,19,1.470646e-2,1.448586e0,48,99,98,0.003,false
GD,0,2.259881e-4,3.001182e-1,332,335,668,0.012,false
GD,1,1.313684e-2,1.503096e-1,332,335,668,0.012,false
GD,2,8.273862e-4,4.615867e-2,332,335,668,0.012,false
GD,3,6.087231e-4,3.981481e-2,332,335,668,0.012,false
GD,4,1.405836e-6,1.777032e-2,332,335,668,0.012,false
GD,5,3.716944e-6,3.554781e-2,332,335,668,0.012,false
GD,6,8.427751e-6,5.802577e-2,332,335,668,0.012,false
GD,7,4.983317e-6,4.936819e-3,332,335,668,0.012,false
GD,8,3.540415e-3,1.035019e-1,332,335,668,0.012,false
GD,9,1.009446e-4,2.010033e-1,332,335,668,0.012,false
GD,10,1.691586e-3,7.506758e-2,332,335,668,0.012,false
GD,11,5.359729e-6,3.831308e-3,332,335,668,0.012,false
GD,12,3.183570e-5,1.115945e-1,332,335,668,0.012,false
GD,13,7.918011e-5,1.750750e-1,332,335,668,0.012,false
GD,14,1.310667e-4,2.251062e-2,332,335,668,0.012,false
GD,15,3.285905e-4,2.949681e-2,332,335,668,0.012,false
GD,16,4.063092e-7,1.523136e-3,332,335,668,0.012,false
GD,17,1.707324e-2,1.610152e-1,332,335,668,0.012,false
GD,18,1.324254e-5,6.014811e-3,332,335,668,0.012,false
GD,19,6.598761e-5,1.600297e-2,332,335,668,0.012,false
QQN-GoldenSection,0,1.077582e-1,9.138688e-1,18,891,115,0.017,false
QQN-GoldenSection,1,1.738225e-1,1.714602e0,18,909,115,0.017,false
QQN-GoldenSection,2,9.149026e-3,1.244628e0,20,901,127,0.018,false
QQN-GoldenSection,3,6.907552e-4,2.801723e-1,20,901,127,0.018,false
QQN-GoldenSection,4,9.056716e-2,1.408510e0,20,930,127,0.018,false
QQN-GoldenSection,5,5.032497e-2,1.179558e0,20,901,127,0.018,false
QQN-GoldenSection,6,1.270138e-5,4.220503e-2,20,901,127,0.018,false
QQN-GoldenSection,7,6.616719e-3,5.641823e-1,20,910,127,0.018,false
QQN-GoldenSection,8,6.268508e-4,1.467260e-1,20,920,127,0.018,false
QQN-GoldenSection,9,1.659144e-2,3.859476e-1,20,920,127,0.018,false
QQN-GoldenSection,10,5.807377e-3,9.810425e-1,19,886,121,0.017,false
QQN-GoldenSection,11,2.016818e-2,1.323357e0,20,911,127,0.018,false
QQN-GoldenSection,12,2.216465e-3,6.273168e-1,20,911,127,0.018,false
QQN-GoldenSection,13,2.959875e-2,5.465626e-1,20,901,127,0.018,false
QQN-GoldenSection,14,3.851664e-3,6.979685e-1,20,911,127,0.018,false
QQN-GoldenSection,15,1.903650e-2,6.488493e-1,20,928,127,0.018,false
QQN-GoldenSection,16,3.042143e-3,3.492459e-1,20,901,127,0.018,false
QQN-GoldenSection,17,2.667071e-3,8.054631e-1,20,901,127,0.018,false
QQN-GoldenSection,18,1.158223e-3,5.207022e-1,20,911,127,0.018,false
QQN-GoldenSection,19,3.636738e-5,7.900949e-2,20,919,127,0.018,false
QQN-Bisection-1,0,9.059325e-15,8.024172e-7,36,453,490,0.016,true
QQN-Bisection-1,1,1.178278e-1,4.064142e0,20,487,574,0.015,false
QQN-Bisection-1,2,1.199311e-6,6.872487e-3,31,495,515,0.016,false
QQN-Bisection-1,3,6.214219e-13,6.894373e-6,37,494,518,0.017,false
QQN-Bisection-1,4,2.075440e-2,2.548042e-1,27,489,561,0.016,false
QQN-Bisection-1,5,1.103726e-15,4.301053e-7,34,412,441,0.014,true
QQN-Bisection-1,6,1.395327e-14,5.327347e-7,34,470,501,0.016,true
QQN-Bisection-1,7,6.415891e-15,6.989883e-7,38,447,454,0.016,true
QQN-Bisection-1,8,3.944013e-2,1.850543e-1,25,487,539,0.016,false
QQN-Bisection-1,9,1.412912e-14,7.196346e-7,41,489,511,0.017,true
QQN-Bisection-1,10,2.754575e-2,7.223910e-1,26,492,551,0.016,false
QQN-Bisection-1,11,6.457924e-13,3.718141e-6,37,494,518,0.017,false
QQN-Bisection-1,12,1.206770e-2,1.092494e0,28,461,544,0.016,false
QQN-Bisection-1,13,4.926686e-2,2.225748e-1,25,486,572,0.016,false
QQN-Bisection-1,14,8.590663e-15,9.459041e-7,35,423,451,0.015,true
QQN-Bisection-1,15,2.343886e-2,4.358936e-1,28,480,573,0.017,false
QQN-Bisection-1,16,4.479510e-2,1.300462e0,19,448,568,0.015,false
QQN-Bisection-1,17,1.174510e-13,5.031241e-6,35,481,527,0.017,false
QQN-Bisection-1,18,8.679986e-13,1.176205e-5,33,478,536,0.017,false
QQN-Bisection-1,19,8.015253e-12,1.687405e-5,37,504,518,0.017,false
QQN-Bisection-2,0,1.432055e-11,4.092131e-5,42,608,399,0.018,false
QQN-Bisection-2,1,inf,inf,0,0,0,0.000,false
QQN-Bisection-2,2,1.906399e-15,4.408061e-7,43,497,425,0.017,true
QQN-Bisection-2,3,2.877652e-15,6.026185e-7,36,462,323,0.014,true
QQN-Bisection-2,4,inf,inf,0,0,0,0.000,false
QQN-Bisection-2,5,5.355041e-2,2.631022e-1,37,653,364,0.018,false
QQN-Bisection-2,6,1.599078e-14,7.342953e-7,35,401,309,0.013,true
QQN-Bisection-2,7,inf,inf,0,0,0,0.000,false
QQN-Bisection-2,8,5.944325e-15,9.076672e-7,32,356,324,0.012,true
QQN-Bisection-2,9,1.650147e-3,1.462121e-1,42,608,399,0.018,false
QQN-Bisection-2,10,4.976239e-15,6.974129e-7,37,431,371,0.014,true
QQN-Bisection-2,11,2.033854e-14,9.391204e-7,46,542,410,0.017,true
QQN-Bisection-2,12,1.774643e-14,8.881326e-7,37,453,330,0.014,true
QQN-Bisection-2,13,inf,inf,0,0,0,0.000,false
QQN-Bisection-2,14,inf,inf,0,0,0,0.000,false
QQN-Bisection-2,15,inf,inf,0,0,0,0.000,false
QQN-Bisection-2,16,inf,inf,0,0,0,0.000,false
QQN-Bisection-2,17,inf,inf,0,0,0,0.000,false
QQN-Bisection-2,18,inf,inf,0,0,0,0.000,false
QQN-Bisection-2,19,4.848229e-15,6.679756e-7,32,368,282,0.012,true
QQN-StrongWolfe,0,3.102082e-14,9.235291e-7,43,329,351,0.015,true
QQN-StrongWolfe,1,2.565048e-14,9.629152e-7,50,418,429,0.019,true
QQN-StrongWolfe,2,4.370446e-15,6.639274e-7,38,394,391,0.016,true
QQN-StrongWolfe,3,3.015954e-2,6.902238e-1,28,554,469,0.020,false
QQN-StrongWolfe,4,4.737321e-3,6.571622e-1,36,528,476,0.020,false
QQN-StrongWolfe,5,4.431651e-5,2.422584e-2,39,528,474,0.021,false
QQN-StrongWolfe,6,2.423668e-14,9.424202e-7,36,321,337,0.014,true
QQN-StrongWolfe,7,3.548290e-14,9.969550e-7,53,477,475,0.021,true
QQN-StrongWolfe,8,3.037621e-14,9.716420e-7,42,340,363,0.016,true
QQN-StrongWolfe,9,1.112932e-13,8.821995e-7,45,381,393,0.017,true
