Problem,QQN_Optimizer,NonQQN_Optimizer,Metric,Winner,Test_Statistic,P_Value,Significant,Effect_Size
NeuralNetwork_100samples_layers_5_10_3,QQN-MoreThuente,Adam,Final_Objective_Value,QQN-MoreThuente,-9.512559,0.001000,true,3.008135
NeuralNetwork_100samples_layers_5_10_3,QQN-MoreThuente,Adam,Computational_Cost,Adam,6.034135,0.001000,true,1.908161
NeuralNetwork_100samples_layers_5_10_3,QQN-MoreThuente,L-BFGS-Aggressive,Final_Objective_Value,QQN-MoreThuente,-3.538931,0.001000,true,1.098725
NeuralNetwork_100samples_layers_5_10_3,QQN-MoreThuente,L-BFGS-Aggressive,Computational_Cost,QQN-MoreThuente,-58.968406,0.001000,true,18.164524
NeuralNetwork_100samples_layers_5_10_3,QQN-MoreThuente,Trust Region-Conservative,Final_Objective_Value,QQN-MoreThuente,-12.781540,0.001000,true,4.041878
NeuralNetwork_100samples_layers_5_10_3,QQN-MoreThuente,Trust Region-Conservative,Computational_Cost,Trust Region-Conservative,42.604522,0.001000,true,13.472733
NeuralNetwork_100samples_layers_5_10_3,QQN-MoreThuente,L-BFGS,Final_Objective_Value,-,-2.575731,0.050000,false,0.814518
NeuralNetwork_100samples_layers_5_10_3,QQN-MoreThuente,L-BFGS,Computational_Cost,-,-1.388943,0.500000,false,0.439222
NeuralNetwork_100samples_layers_5_10_3,QQN-MoreThuente,Trust Region-Adaptive,Final_Objective_Value,-,-1.556246,0.100000,false,0.492128
NeuralNetwork_100samples_layers_5_10_3,QQN-MoreThuente,Trust Region-Adaptive,Computational_Cost,Trust Region-Adaptive,43.742650,0.001000,true,13.832641
NeuralNetwork_100samples_layers_5_10_3,QQN-MoreThuente,L-BFGS-Conservative,Final_Objective_Value,-,-1.449042,0.500000,false,0.458227
NeuralNetwork_100samples_layers_5_10_3,QQN-MoreThuente,L-BFGS-Conservative,Computational_Cost,QQN-MoreThuente,-16.616827,0.001000,true,5.254702
NeuralNetwork_100samples_layers_5_10_3,QQN-MoreThuente,Adam-Fast,Final_Objective_Value,Adam-Fast,3.404799,0.001000,true,1.002905
NeuralNetwork_100samples_layers_5_10_3,QQN-MoreThuente,Adam-Fast,Computational_Cost,Adam-Fast,36.076120,0.001000,true,8.350870
NeuralNetwork_100samples_layers_5_10_3,QQN-MoreThuente,Adam-WeightDecay,Final_Objective_Value,QQN-MoreThuente,-4.483831,0.001000,true,1.417912
NeuralNetwork_100samples_layers_5_10_3,QQN-MoreThuente,Adam-WeightDecay,Computational_Cost,Adam-WeightDecay,6.034135,0.001000,true,1.908161
NeuralNetwork_100samples_layers_5_10_3,QQN-MoreThuente,Trust Region-Standard,Final_Objective_Value,QQN-MoreThuente,-2.472513,0.010000,true,0.781877
NeuralNetwork_100samples_layers_5_10_3,QQN-MoreThuente,Trust Region-Standard,Computational_Cost,Trust Region-Standard,63.267382,0.001000,true,20.006903
NeuralNetwork_100samples_layers_5_10_3,QQN-MoreThuente,GD-Nesterov,Final_Objective_Value,QQN-MoreThuente,-14.390910,0.001000,true,4.550805
