Problem,ProblemFamily,Dimension,Optimizer,MeanFinalValue,MeanFinalValueSuccess,MeanFinalValueFail,StdFinalValue,BestValue,WorstValue,MeanIterations,MeanFunctionEvals,MeanFunctionEvalsSuccess,MeanFunctionEvalsFail,MeanGradientEvals,MeanGradientEvalsSuccess,MeanGradientEvalsFail,MeanTime,SuccessRate,NumRuns
Sphere_2D,Convex Unimodal,2,L-BFGS-Aggressive,0.000000e0,0.000000e0,NaN,0.000000e0,0.000000e0,0.000000e0,2.4,12.6,12.6,NaN,8.1,8.1,NaN,0.000,1.000,40
Sphere_2D,Convex Unimodal,2,QQN-Bisection-2,0.000000e0,0.000000e0,NaN,0.000000e0,0.000000e0,0.000000e0,2.0,14.0,14.0,NaN,16.0,16.0,NaN,0.000,1.000,20
Sphere_2D,Convex Unimodal,2,QQN-Bisection-1,0.000000e0,0.000000e0,NaN,0.000000e0,0.000000e0,0.000000e0,2.0,16.0,16.0,NaN,13.0,13.0,NaN,0.000,1.000,40
Sphere_2D,Convex Unimodal,2,Adam-Fast,1.264118e-1,NaN,1.264118e-1,6.676620e-3,1.097643e-1,1.380104e-1,17.2,37.4,NaN,37.4,36.4,NaN,36.4,0.001,0.000,40
Sphere_2D,Convex Unimodal,2,GD-Nesterov,9.932829e-2,NaN,9.932829e-2,1.349703e-2,7.196464e-2,1.235465e-1,20.0,23.0,NaN,23.0,42.0,NaN,42.0,0.001,0.000,20
Sphere_2D,Convex Unimodal,2,QQN-CubicQuadraticInterpolation,0.000000e0,0.000000e0,NaN,0.000000e0,0.000000e0,0.000000e0,2.0,13.0,13.0,NaN,11.0,11.0,NaN,0.000,1.000,40
Sphere_2D,Convex Unimodal,2,GD-Momentum,1.541409e-1,NaN,1.541409e-1,2.796040e-2,1.094678e-1,1.985420e-1,20.0,23.0,NaN,23.0,42.0,NaN,42.0,0.001,0.000,20
Sphere_2D,Convex Unimodal,2,L-BFGS,0.000000e0,0.000000e0,NaN,0.000000e0,0.000000e0,0.000000e0,2.9,14.1,14.1,NaN,11.4,11.4,NaN,0.000,1.000,20
Sphere_2D,Convex Unimodal,2,Adam,1.212001e0,NaN,1.212001e0,2.118832e-1,7.824189e-1,1.592691e0,249.0,502.0,NaN,502.0,502.0,NaN,502.0,0.010,0.000,20
Sphere_2D,Convex Unimodal,2,QQN-MoreThuente,0.000000e0,0.000000e0,NaN,0.000000e0,0.000000e0,0.000000e0,2.0,13.0,13.0,NaN,11.0,11.0,NaN,0.000,1.000,20
Sphere_2D,Convex Unimodal,2,QQN-Backtracking,0.000000e0,0.000000e0,NaN,0.000000e0,0.000000e0,0.000000e0,2.0,12.0,12.0,NaN,9.0,9.0,NaN,0.000,1.000,20
Sphere_2D,Convex Unimodal,2,Adam-AMSGrad,1.242242e0,NaN,1.242242e0,2.501484e-1,7.068185e-1,1.692550e0,249.0,502.0,NaN,502.0,502.0,NaN,502.0,0.011,0.000,20
Sphere_2D,Convex Unimodal,2,Adam-WeightDecay,2.229164e-1,NaN,2.229164e-1,5.130157e-2,1.200016e-1,3.127606e-1,249.0,502.0,NaN,502.0,502.0,NaN,502.0,0.010,0.000,20
Sphere_2D,Convex Unimodal,2,QQN-GoldenSection,3.156775e-14,3.156775e-14,NaN,5.524654e-15,2.247187e-14,4.406365e-14,2.0,47.0,47.0,NaN,9.0,9.0,NaN,0.000,1.000,60
Sphere_2D,Convex Unimodal,2,GD,3.055369e-6,NaN,3.055369e-6,5.273331e-7,2.055310e-6,3.945571e-6,332.0,335.0,NaN,335.0,668.0,NaN,668.0,0.008,0.000,40
Sphere_2D,Convex Unimodal,2,Trust Region-Conservative,3.058861e0,NaN,3.058861e0,3.993493e0,5.032368e-2,1.793348e1,191.6,578.6,NaN,578.6,386.1,NaN,386.1,0.004,0.000,20
Sphere_2D,Convex Unimodal,2,GD-WeightDecay,3.669296e-10,3.669296e-10,NaN,1.540387e-11,3.440045e-10,3.957323e-10,158.2,160.2,160.2,NaN,318.4,318.4,NaN,0.005,1.000,20
Sphere_2D,Convex Unimodal,2,Trust Region-Adaptive,1.032435e3,NaN,1.032435e3,4.335493e2,3.795902e-1,1.223828e3,14.9,47.7,NaN,47.7,31.8,NaN,31.8,0.000,0.000,20
Sphere_2D,Convex Unimodal,2,Trust Region-Standard,1.021671e3,NaN,1.021671e3,1.671254e3,4.402758e2,6.054538e3,8.7,28.9,NaN,28.9,19.3,NaN,19.3,0.000,0.000,20
Sphere_2D,Convex Unimodal,2,L-BFGS-Conservative,1.654063e-7,2.457939e-13,1.837848e-7,4.213950e-7,2.423361e-13,1.861237e-6,108.8,550.3,489.5,557.1,440.6,392.0,446.0,0.015,0.100,20
Sphere_2D,Convex Unimodal,2,QQN-StrongWolfe,0.000000e0,0.000000e0,NaN,0.000000e0,0.000000e0,0.000000e0,2.0,12.0,12.0,NaN,10.0,10.0,NaN,0.000,1.000,20
Sphere_10D,Convex Unimodal,10,Adam-AMSGrad,5.799548e0,NaN,5.799548e0,5.766904e-1,4.960210e0,6.906289e0,249.0,502.0,NaN,502.0,502.0,NaN,502.0,0.013,0.000,20
Sphere_10D,Convex Unimodal,10,GD-WeightDecay,3.703833e-10,3.703833e-10,NaN,1.367544e-11,3.454709e-10,3.908705e-10,168.4,170.4,170.4,NaN,338.8,338.8,NaN,0.006,1.000,20
Sphere_10D,Convex Unimodal,10,Trust Region-Standard,7.398498e2,NaN,7.398498e2,1.209034e3,4.414535e2,6.009501e3,17.3,54.9,NaN,54.9,36.6,NaN,36.6,0.000,0.000,20
