Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,3.574452e0,4.135678e-7,6,161,33,0.002,false
QQN-GoldenSection,1,3.574452e0,7.232032e-4,9,192,55,0.003,false
QQN-GoldenSection,2,3.574452e0,1.012546e-9,10,227,57,0.004,false
QQN-GoldenSection,3,3.574452e0,3.444281e-9,10,193,57,0.003,false
QQN-GoldenSection,4,1.692539e0,8.932617e0,1,47,8,0.000,true
QQN-GoldenSection,5,3.574452e0,9.667027e-4,8,145,49,0.002,false
QQN-GoldenSection,6,2.639572e0,2.099599e0,1,48,8,0.000,true
QQN-GoldenSection,7,3.574452e0,1.048585e-8,7,202,39,0.003,false
QQN-GoldenSection,8,3.574452e0,7.628643e-7,8,210,45,0.003,false
QQN-GoldenSection,9,3.574452e0,1.063431e-10,5,114,27,0.001,false
QQN-GoldenSection,10,3.574452e0,1.896160e-7,11,235,63,0.004,false
QQN-GoldenSection,11,2.633230e0,2.003541e0,1,48,8,0.000,true
QQN-GoldenSection,12,2.579963e0,6.123967e-2,1,47,8,0.000,true
QQN-GoldenSection,13,3.574452e0,3.829373e-3,9,191,55,0.003,false
QQN-GoldenSection,14,1.583039e0,9.044622e0,1,47,8,0.000,true
QQN-GoldenSection,15,3.237457e0,9.263322e-1,1,47,8,0.000,true
QQN-GoldenSection,16,3.574452e0,5.715482e-9,8,210,45,0.003,false
QQN-GoldenSection,17,2.774707e0,3.137525e0,1,47,8,0.000,true
QQN-GoldenSection,18,3.574452e0,7.119729e-4,8,144,49,0.002,false
QQN-GoldenSection,19,3.574452e0,5.130163e-7,6,195,33,0.003,false
QQN-Bisection-1,0,3.018638e0,3.220978e0,3,79,82,0.001,true
QQN-Bisection-1,1,3.574452e0,5.472632e-7,5,83,121,0.002,false
QQN-Bisection-1,2,1.115066e-2,3.031083e0,1,14,55,0.000,true
QQN-Bisection-1,3,3.574452e0,1.717618e-7,6,94,131,0.002,false
QQN-Bisection-1,4,3.216699e-1,6.304121e0,1,14,55,0.000,true
QQN-Bisection-1,5,3.574452e0,2.109280e-7,6,94,131,0.002,false
QQN-Bisection-1,6,3.188773e0,3.907618e0,1,33,30,0.000,true
QQN-Bisection-1,7,2.946595e0,4.336766e0,1,13,54,0.000,true
QQN-Bisection-1,8,1.722737e0,8.065703e0,1,33,30,0.000,true
QQN-Bisection-1,9,3.296560e0,1.522611e0,1,33,30,0.000,true
QQN-Bisection-1,10,3.542986e0,8.118444e0,1,13,54,0.000,true
QQN-Bisection-1,11,3.252407e0,5.896268e-2,1,14,55,0.000,true
QQN-Bisection-1,12,2.598189e0,1.363719e0,1,31,72,0.000,true
QQN-Bisection-1,13,3.574452e0,1.334516e-12,8,115,150,0.003,false
QQN-Bisection-1,14,3.574452e0,4.144822e-7,6,94,131,0.002,false
QQN-Bisection-1,15,1.796203e0,8.775767e0,1,14,55,0.000,true
QQN-Bisection-1,16,3.574452e0,1.877415e-7,5,83,121,0.002,false
QQN-Bisection-1,17,3.574452e0,4.572125e-9,6,93,130,0.002,false
QQN-Bisection-1,18,2.741296e0,4.808241e0,1,33,30,0.000,true
QQN-Bisection-1,19,3.574452e0,1.880783e-7,6,93,130,0.002,false
QQN-Bisection-2,0,7.620323e-1,8.343824e0,1,12,52,0.000,true
QQN-Bisection-2,1,inf,inf,0,0,0,0.000,false
QQN-Bisection-2,2,2.662535e0,2.393818e0,2,33,62,0.001,true
QQN-Bisection-2,3,inf,inf,0,0,0,0.000,false
QQN-Bisection-2,4,3.426223e0,6.698535e0,1,12,52,0.000,true
QQN-Bisection-2,5,inf,inf,0,0,0,0.000,false
QQN-Bisection-2,6,2.663300e0,2.965236e0,1,12,52,0.000,true
QQN-Bisection-2,7,3.574452e0,4.225355e-11,6,70,90,0.001,false
QQN-Bisection-2,8,inf,inf,0,0,0,0.000,false
QQN-Bisection-2,9,3.574452e0,3.435334e-8,6,70,90,0.002,false
QQN-Bisection-2,10,3.574452e0,1.454142e-9,6,70,90,0.002,false
QQN-Bisection-2,11,4.569453e-1,7.123364e0,1,12,52,0.000,true
QQN-Bisection-2,12,inf,inf,0,0,0,0.000,false
QQN-Bisection-2,13,3.574452e0,4.531355e-9,8,104,66,0.002,false
QQN-Bisection-2,14,3.574452e0,1.145271e-8,10,124,127,0.003,false
QQN-Bisection-2,15,2.947029e0,3.245209e0,1,12,52,0.000,true
QQN-Bisection-2,16,3.574452e0,6.901806e-8,7,93,57,0.002,false
QQN-Bisection-2,17,2.989529e0,3.139024e0,1,12,52,0.000,true
QQN-Bisection-2,18,3.574452e0,8.193441e-7,6,82,48,0.001,false
QQN-Bisection-2,19,3.790003e-1,6.678439e0,1,12,52,0.000,true
QQN-StrongWolfe,0,3.574452e0,4.810394e-8,7,76,67,0.002,false
QQN-StrongWolfe,1,3.574452e0,5.100142e-7,7,77,75,0.002,false
QQN-StrongWolfe,2,3.574452e0,2.329524e-7,7,76,72,0.002,false
QQN-StrongWolfe,3,3.574452e0,1.089533e-8,6,69,63,0.002,false
QQN-StrongWolfe,4,3.082626e0,2.767916e0,1,19,15,0.000,true
QQN-StrongWolfe,5,3.574452e0,1.058044e-7,6,69,61,0.002,false
QQN-StrongWolfe,6,3.574452e0,6.314864e-9,6,66,58,0.002,false
QQN-StrongWolfe,7,3.574452e0,3.141400e-7,7,74,67,0.002,false
QQN-StrongWolfe,8,2.997245e0,5.872054e0,1,20,16,0.000,true
QQN-StrongWolfe,9,3.574452e0,8.289466e-9,6,70,57,0.001,false
QQN-StrongWolfe,10,3.574452e0,5.213508e-7,6,68,60,0.002,false
QQN-StrongWolfe,11,3.037334e0,2.949736e0,1,17,13,0.000,true
QQN-StrongWolfe,12,3.574452e0,7.431355e-7,6,68,65,0.002,false
QQN-StrongWolfe,13,3.574452e0,3.547456e-7,6,68,59,0.002,false
QQN-StrongWolfe,14,3.574452e0,6.348925e-7,6,62,59,0.002,false
QQN-StrongWolfe,15,3.574452e0,2.080441e-7,6,69,65,0.002,false
QQN-StrongWolfe,16,3.574452e0,4.284685e-7,6,67,61,0.002,false
QQN-StrongWolfe,17,3.574452e0,2.026755e-7,7,74,67,0.002,false
QQN-StrongWolfe,18,3.574452e0,2.651458e-8,7,75,71,0.002,false
QQN-StrongWolfe,19,3.574452e0,8.863432e-7,7,72,64,0.002,false
QQN-CubicQuadraticInterpolation,0,3.574452e0,3.499427e-7,9,85,88,0.002,false
QQN-CubicQuadraticInterpolation,1,2.973232e0,5.546643e0,2,27,29,0.001,true
QQN-CubicQuadraticInterpolation,2,3.227831e0,5.699312e0,1,15,13,0.000,true
QQN-CubicQuadraticInterpolation,3,2.853708e0,3.787280e0,1,15,13,0.000,true
QQN-CubicQuadraticInterpolation,4,3.574452e0,5.139635e-8,9,79,74,0.002,false
QQN-CubicQuadraticInterpolation,5,3.574452e0,1.990234e-7,13,120,128,0.004,false
QQN-CubicQuadraticInterpolation,6,4.145066e0,6.614908e0,172,2251,2764,0.067,false
QQN-CubicQuadraticInterpolation,7,3.480164e0,7.466782e0,1,15,13,0.000,true
QQN-CubicQuadraticInterpolation,8,3.574452e0,5.485743e-7,7,62,60,0.002,false
QQN-CubicQuadraticInterpolation,9,4.235042e0,3.670009e0,172,2251,2764,0.067,false
QQN-CubicQuadraticInterpolation,10,3.629372e0,2.327913e0,172,2251,2764,0.067,false
QQN-CubicQuadraticInterpolation,11,3.574452e0,7.738327e-8,12,101,90,0.003,false
QQN-CubicQuadraticInterpolation,12,2.957766e0,4.731551e0,2,27,29,0.001,true
QQN-CubicQuadraticInterpolation,13,4.018381e0,4.648996e0,172,2250,2764,0.068,false
QQN-CubicQuadraticInterpolation,14,3.574452e0,5.548467e-4,18,160,142,0.005,false
QQN-CubicQuadraticInterpolation,15,3.462783e0,8.119891e0,1,15,13,0.000,true
QQN-CubicQuadraticInterpolation,16,3.314452e0,5.841462e0,1,15,13,0.000,true
QQN-CubicQuadraticInterpolation,17,1.946370e0,8.683753e0,2,25,27,0.001,true
QQN-CubicQuadraticInterpolation,18,3.574452e0,4.248092e-9,11,93,80,0.002,false
QQN-CubicQuadraticInterpolation,19,3.574452e0,1.685277e-7,9,78,74,0.002,false
L-BFGS-Aggressive,0,4.116475e0,3.981551e0,384,3852,1157,0.023,false
L-BFGS-Aggressive,1,3.652372e0,2.605635e0,384,3852,1157,0.023,false
L-BFGS-Aggressive,2,3.680010e0,3.306858e0,384,3852,1157,0.023,false
L-BFGS-Aggressive,3,3.704731e0,3.448373e0,384,3852,1157,0.023,false
L-BFGS-Aggressive,4,4.088202e0,6.539535e0,384,3852,1157,0.023,false
L-BFGS-Aggressive,5,3.981872e0,4.683087e0,384,3852,1157,0.023,false
L-BFGS-Aggressive,6,4.328288e0,6.341656e0,384,3852,1157,0.023,false
L-BFGS-Aggressive,7,3.681028e0,3.324608e0,384,3852,1157,0.022,false
L-BFGS-Aggressive,8,3.668423e0,3.154610e0,384,3852,1157,0.022,false
L-BFGS-Aggressive,9,3.994791e0,4.770953e0,384,3852,1157,0.022,false
L-BFGS-Aggressive,10,3.250697e0,8.549944e-1,1,11,6,0.000,true
L-BFGS-Aggressive,11,3.619915e0,2.174436e0,384,3847,1157,0.030,false
L-BFGS-Aggressive,12,3.056711e0,2.834190e0,1,11,6,0.000,true
L-BFGS-Aggressive,13,3.815181e0,4.869250e0,384,3852,1157,0.023,false
L-BFGS-Aggressive,14,2.801963e0,6.336740e0,2,19,9,0.000,true
L-BFGS-Aggressive,15,4.377643e0,7.113335e0,384,3852,1157,0.023,false
L-BFGS-Aggressive,16,3.741561e0,3.339984e0,384,3852,1157,0.023,false
L-BFGS-Aggressive,17,4.133267e0,6.344546e0,384,3852,1157,0.023,false
L-BFGS-Aggressive,18,3.390604e0,4.861476e0,1,11,6,0.000,true
L-BFGS-Aggressive,19,3.769095e0,4.323318e0,384,3852,1157,0.022,false
L-BFGS,0,1.888515e0,8.471828e0,1,10,7,0.000,true
L-BFGS,1,3.574452e0,4.155819e-6,45,453,176,0.006,false
L-BFGS,2,3.574452e0,1.484310e-5,39,391,153,0.006,false
L-BFGS,3,3.439884e0,5.349682e0,5,47,24,0.001,true
L-BFGS,4,3.574453e0,1.070900e-2,37,369,139,0.005,false
L-BFGS,5,3.574452e0,8.032442e-7,46,436,176,0.006,false
L-BFGS,6,3.574452e0,4.952040e-7,45,450,171,0.006,false
L-BFGS,7,3.112800e0,2.445723e0,3,26,15,0.000,true
