Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,3.630982e-2,1.129627e0,2,92,14,0.001,true
QQN-GoldenSection,1,2.233838e-2,8.880737e-1,2,92,14,0.001,true
QQN-GoldenSection,2,3.582745e-2,1.121680e0,2,92,14,0.001,true
QQN-GoldenSection,3,4.281681e-2,1.224208e0,2,92,14,0.001,true
QQN-GoldenSection,4,3.346336e-2,1.083705e0,2,92,14,0.001,true
QQN-GoldenSection,5,3.310363e-2,1.079345e0,2,92,14,0.001,true
QQN-GoldenSection,6,4.491965e-2,1.253561e0,2,92,14,0.001,true
QQN-GoldenSection,7,1.595838e-2,7.517102e-1,2,92,14,0.001,true
QQN-GoldenSection,8,5.862167e-2,1.429250e0,2,92,14,0.001,true
QQN-GoldenSection,9,2.803520e-2,9.937291e-1,2,92,14,0.001,true
QQN-GoldenSection,10,5.593047e-2,1.397024e0,2,92,14,0.001,true
QQN-GoldenSection,11,4.623009e-2,1.271396e0,2,92,14,0.001,true
QQN-GoldenSection,12,3.086491e-2,1.041375e0,2,92,14,0.001,true
QQN-GoldenSection,13,2.157791e-2,8.732887e-1,2,92,14,0.001,true
QQN-GoldenSection,14,3.351915e-2,1.084503e0,2,92,14,0.001,true
QQN-GoldenSection,15,4.470585e-2,1.250276e0,2,92,14,0.001,true
QQN-GoldenSection,16,2.090345e-2,8.596173e-1,2,92,14,0.001,true
QQN-GoldenSection,17,2.427661e-2,9.248408e-1,2,92,14,0.001,true
QQN-GoldenSection,18,2.704113e-2,9.765965e-1,2,92,14,0.001,true
QQN-GoldenSection,19,2.058550e-2,8.529614e-1,2,92,14,0.001,true
QQN-Bisection-1,0,1.227501e-2,5.511273e-1,6,161,177,0.003,true
QQN-Bisection-1,1,1.251681e-2,5.531583e-1,6,161,177,0.003,true
QQN-Bisection-1,2,1.538000e-2,6.303836e-1,6,161,177,0.003,true
QQN-Bisection-1,3,1.519236e-2,6.134221e-1,6,161,177,0.003,true
QQN-Bisection-1,4,1.599837e-2,6.443841e-1,6,161,177,0.003,true
QQN-Bisection-1,5,1.229880e-2,5.473378e-1,6,161,177,0.003,true
QQN-Bisection-1,6,1.467571e-2,6.048501e-1,6,161,177,0.003,true
QQN-Bisection-1,7,1.503217e-2,6.145545e-1,6,161,177,0.003,true
QQN-Bisection-1,8,1.427872e-2,5.981506e-1,6,161,177,0.003,true
QQN-Bisection-1,9,1.720372e-2,6.696283e-1,6,161,177,0.003,true
QQN-Bisection-1,10,1.530358e-2,6.197618e-1,6,161,177,0.003,true
QQN-Bisection-1,11,1.365705e-2,5.824043e-1,6,161,177,0.003,true
QQN-Bisection-1,12,1.214059e-2,5.448858e-1,6,161,177,0.003,true
QQN-Bisection-1,13,9.938007e-2,1.807314e0,6,190,198,0.003,true
QQN-Bisection-1,14,1.254785e-2,5.532117e-1,6,161,177,0.003,true
QQN-Bisection-1,15,1.656743e-2,6.554452e-1,6,161,177,0.003,true
QQN-Bisection-1,16,1.476508e-2,6.064603e-1,6,161,177,0.003,true
QQN-Bisection-1,17,1.469300e-2,5.999982e-1,6,161,177,0.003,true
QQN-Bisection-1,18,1.539806e-2,6.243305e-1,6,161,177,0.003,true
