Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,2.455412e-2,1.556605e0,2,94,14,0.002,true
QQN-GoldenSection,1,8.493553e-2,2.628010e0,2,93,14,0.001,true
QQN-GoldenSection,2,2.641735e-2,1.637124e0,2,94,14,0.001,true
QQN-GoldenSection,3,1.142102e-1,3.663464e0,2,95,14,0.001,true
QQN-GoldenSection,4,1.296698e-2,1.142588e0,2,94,14,0.001,true
QQN-GoldenSection,5,8.300213e-3,8.628780e-1,2,94,14,0.001,true
QQN-GoldenSection,6,1.384553e-1,4.092747e0,2,95,14,0.001,true
QQN-GoldenSection,7,2.359964e-1,4.650403e0,3,137,20,0.002,true
QQN-GoldenSection,8,8.177455e-2,3.346401e0,2,95,14,0.001,true
QQN-GoldenSection,9,3.147591e-3,5.191269e-1,2,94,14,0.001,true
QQN-GoldenSection,10,1.081491e-1,3.822014e0,2,95,14,0.001,true
QQN-GoldenSection,11,1.485256e-1,4.275252e0,2,95,14,0.001,true
QQN-GoldenSection,12,3.010791e-3,5.357716e-1,2,94,14,0.001,true
QQN-GoldenSection,13,1.448884e-1,3.587354e0,3,137,20,0.002,true
QQN-GoldenSection,14,1.343422e-2,1.165874e0,2,94,14,0.001,true
QQN-GoldenSection,15,1.308466e-1,3.975814e0,2,95,14,0.001,true
QQN-GoldenSection,16,1.518289e-1,3.677835e0,3,138,20,0.002,true
QQN-GoldenSection,17,1.172937e-4,9.967683e-2,2,94,14,0.001,true
QQN-GoldenSection,18,6.662958e-2,2.337255e0,2,93,14,0.001,true
QQN-GoldenSection,19,8.459995e-2,2.703097e0,3,137,20,0.002,true
QQN-Bisection-1,0,2.060922e-2,1.441875e0,5,100,151,0.002,true
QQN-Bisection-1,1,1.692638e-1,4.331733e0,3,75,124,0.001,true
QQN-Bisection-1,2,1.833612e-1,4.743292e0,5,120,153,0.002,true
QQN-Bisection-1,3,1.005982e-1,3.767981e0,5,97,142,0.002,true
QQN-Bisection-1,4,1.057789e-1,4.038107e0,5,120,153,0.002,true
QQN-Bisection-1,5,7.911760e-2,3.512048e0,2,45,89,0.001,true
QQN-Bisection-1,6,9.938500e-2,3.697173e0,5,97,142,0.002,true
QQN-Bisection-1,7,6.704362e-2,2.959313e0,5,97,142,0.002,true
QQN-Bisection-1,8,8.828637e-2,3.449040e0,5,81,126,0.002,true
QQN-Bisection-1,9,1.587194e-1,4.145618e0,4,80,118,0.002,true
QQN-Bisection-1,10,6.538738e-2,2.920410e0,5,97,142,0.002,true
QQN-Bisection-1,11,9.746884e-2,3.682438e0,5,81,126,0.002,true
QQN-Bisection-1,12,2.127117e-1,4.824711e0,3,75,124,0.001,true
QQN-Bisection-1,13,1.290147e-1,4.569252e0,12,399,443,0.008,true
QQN-Bisection-1,14,3.707385e-2,2.054969e0,3,75,124,0.001,true
QQN-Bisection-1,15,7.655054e-2,2.100852e0,5,91,128,0.002,true
QQN-Bisection-1,16,1.007421e-1,3.727993e0,5,97,142,0.002,true
QQN-Bisection-1,17,1.896433e-1,4.795545e0,3,91,140,0.001,true
