Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,2.099615e-1,2.111414e0,1,48,8,0.000,true
QQN-GoldenSection,1,7.050082e-2,1.108935e0,2,97,14,0.001,true
QQN-GoldenSection,2,1.182317e0,2.774703e-12,7,210,39,0.003,false
QQN-GoldenSection,3,1.980921e0,7.613891e-8,10,305,61,0.005,false
QQN-GoldenSection,4,1.980921e0,6.348743e-7,7,206,39,0.003,false
QQN-GoldenSection,5,2.827110e-1,3.973797e-1,26,1204,158,0.021,true
QQN-GoldenSection,6,1.980921e0,1.067353e-8,9,290,51,0.005,false
QQN-GoldenSection,7,9.737116e-1,8.211316e-9,12,426,69,0.007,false
QQN-GoldenSection,8,2.519188e-1,1.069849e0,2,95,14,0.001,true
QQN-GoldenSection,9,9.737116e-1,1.178396e-7,7,276,39,0.004,false
QQN-GoldenSection,10,4.815121e-2,7.403448e-1,2,91,14,0.001,true
QQN-GoldenSection,11,1.980921e0,5.336711e-7,9,324,51,0.005,false
QQN-GoldenSection,12,1.980921e0,4.160649e-7,7,240,39,0.003,false
QQN-GoldenSection,13,2.821034e-1,3.668170e-1,2,94,14,0.001,true
QQN-GoldenSection,14,1.980921e0,7.598057e-4,10,237,61,0.004,false
QQN-GoldenSection,15,1.980921e0,1.533474e-8,12,314,69,0.005,false
QQN-GoldenSection,16,1.873167e-2,4.401815e-1,2,92,14,0.001,true
QQN-GoldenSection,17,2.059842e-1,3.962867e-1,1,47,8,0.000,true
QQN-GoldenSection,18,1.182317e0,7.713788e-7,8,279,45,0.004,false
QQN-GoldenSection,19,1.139751e-1,4.129037e-1,8,365,50,0.006,true
QQN-Bisection-1,0,1.951775e0,2.708819e-8,9,143,135,0.003,false
QQN-Bisection-1,1,2.887115e-1,5.388757e-8,12,162,195,0.004,false
QQN-Bisection-1,2,1.089099e0,7.421825e-7,7,102,134,0.002,false
QQN-Bisection-1,3,1.980921e0,4.114800e-8,8,114,151,0.002,false
