Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,2.754858e-7,7.861905e-4,8,344,50,0.006,true
QQN-GoldenSection,1,2.108923e-7,7.270840e-4,9,386,56,0.007,true
QQN-GoldenSection,2,3.200639e-7,5.338213e-4,9,386,56,0.007,true
QQN-GoldenSection,3,1.773636e-10,1.981512e-5,10,438,62,0.008,true
QQN-GoldenSection,4,2.891130e-7,3.156791e-4,8,344,50,0.006,true
QQN-GoldenSection,5,7.805335e-8,2.307971e-4,10,428,62,0.008,true
QQN-GoldenSection,6,8.609503e-7,1.245843e-3,8,344,50,0.006,true
QQN-GoldenSection,7,1.340832e-8,1.820490e-4,9,386,56,0.007,true
QQN-GoldenSection,8,2.015228e-9,4.970355e-5,9,386,56,0.007,true
QQN-GoldenSection,9,1.874226e-7,7.409095e-4,9,386,56,0.007,true
QQN-GoldenSection,10,4.864348e-7,6.791272e-4,8,344,50,0.006,true
QQN-GoldenSection,11,2.193532e-7,4.442415e-4,9,386,56,0.007,true
QQN-GoldenSection,12,7.809178e-7,1.203877e-3,8,344,50,0.006,true
QQN-GoldenSection,13,5.187559e-8,2.154646e-4,10,428,62,0.008,true
QQN-GoldenSection,14,4.243834e-8,3.236693e-4,9,386,56,0.007,true
QQN-GoldenSection,15,1.124346e-8,1.524420e-4,9,386,56,0.007,true
QQN-GoldenSection,16,7.686447e-7,1.343316e-3,9,386,56,0.007,true
QQN-GoldenSection,17,1.506763e-7,5.016090e-4,9,386,56,0.007,true
QQN-GoldenSection,18,1.980138e-7,4.481554e-4,9,386,56,0.007,true
QQN-GoldenSection,19,1.877654e-7,7.068827e-4,9,386,56,0.007,true
QQN-Bisection-1,0,6.494461e-7,1.058760e-3,8,92,130,0.002,true
QQN-Bisection-1,1,7.084841e-7,1.285659e-3,8,92,130,0.002,true
QQN-Bisection-1,2,9.983401e-7,1.461130e-3,8,92,130,0.002,true
QQN-Bisection-1,3,2.303000e-7,6.958515e-4,9,103,140,0.003,true
QQN-Bisection-1,4,9.038370e-7,1.246180e-3,9,103,140,0.003,true
QQN-Bisection-1,5,1.721463e-7,6.649459e-4,9,103,140,0.003,true
QQN-Bisection-1,6,5.074833e-7,6.662117e-4,9,103,140,0.003,true
QQN-Bisection-1,7,7.262941e-7,9.090895e-4,9,103,140,0.003,true
QQN-Bisection-1,8,4.794614e-7,7.966267e-4,9,103,140,0.003,true
QQN-Bisection-1,9,1.176709e-8,1.451163e-4,9,103,140,0.003,true
QQN-Bisection-1,10,4.029248e-8,3.026772e-4,9,103,140,0.003,true
QQN-Bisection-1,11,9.488074e-7,9.705806e-4,9,103,140,0.003,true
QQN-Bisection-1,12,1.221995e-7,5.751171e-4,9,103,140,0.003,true
QQN-Bisection-1,13,2.112895e-7,5.928563e-4,9,103,140,0.003,true
QQN-Bisection-1,14,4.317803e-9,1.007010e-4,9,103,140,0.003,true
QQN-Bisection-1,15,4.461397e-7,7.575794e-4,10,133,173,0.003,true
QQN-Bisection-1,16,1.099909e-8,1.600709e-4,9,103,140,0.003,true
QQN-Bisection-1,17,2.876784e-8,2.290290e-4,9,103,140,0.003,true
QQN-Bisection-1,18,2.792468e-7,5.276898e-4,9,103,140,0.003,true
QQN-Bisection-1,19,7.992866e-9,1.250422e-4,10,114,150,0.003,true
QQN-Bisection-2,0,8.823818e-7,1.364854e-3,8,93,115,0.002,true
QQN-Bisection-2,1,1.506359e-10,2.240693e-5,9,104,124,0.003,true
QQN-Bisection-2,2,4.823284e-7,8.539245e-4,8,93,115,0.002,true
QQN-Bisection-2,3,2.408018e-7,6.955532e-4,8,93,115,0.002,true
QQN-Bisection-2,4,1.313606e-7,4.907097e-4,9,104,124,0.003,true
QQN-Bisection-2,5,1.898399e-7,7.658510e-4,9,104,124,0.003,true
QQN-Bisection-2,6,6.871358e-8,3.982139e-4,9,104,124,0.003,true
QQN-Bisection-2,7,3.728055e-8,2.630948e-4,9,104,124,0.003,true
QQN-Bisection-2,8,2.615454e-7,5.040308e-4,9,104,124,0.003,true
QQN-Bisection-2,9,1.777844e-7,3.865792e-4,9,104,124,0.003,true
QQN-Bisection-2,10,9.200952e-8,4.317075e-4,9,104,124,0.003,true
QQN-Bisection-2,11,2.570888e-9,7.434732e-5,9,105,124,0.003,true
QQN-Bisection-2,12,3.612827e-9,8.782470e-5,9,104,124,0.003,true
QQN-Bisection-2,13,2.413610e-7,6.089294e-4,8,93,115,0.002,true
QQN-Bisection-2,14,5.776736e-7,1.071751e-3,8,93,115,0.002,true
