Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,3.232535e-1,4.083957e-7,14,355,81,0.144,false
QQN-GoldenSection,1,3.232535e-1,5.172944e-7,10,323,57,0.124,false
QQN-GoldenSection,2,3.232535e-1,9.003662e-7,14,389,81,0.153,false
QQN-GoldenSection,3,3.232535e-1,4.619784e-7,11,365,63,0.139,false
QQN-GoldenSection,4,3.232535e-1,4.739125e-7,13,347,75,0.139,false
QQN-GoldenSection,5,3.232535e-1,7.825016e-8,16,405,93,0.163,false
QQN-GoldenSection,6,3.232535e-1,4.230796e-7,12,407,69,0.155,false
QQN-GoldenSection,7,3.232535e-1,3.814804e-7,18,387,105,0.163,false
QQN-GoldenSection,8,3.232535e-1,3.948983e-7,14,355,81,0.144,false
QQN-GoldenSection,9,3.232535e-1,4.767751e-7,12,305,69,0.121,false
QQN-GoldenSection,10,3.232535e-1,5.596278e-7,10,289,57,0.113,false
QQN-GoldenSection,11,3.232535e-1,4.201960e-7,10,391,57,0.145,false
QQN-GoldenSection,12,3.232535e-1,2.672224e-7,13,347,75,0.137,false
QQN-GoldenSection,13,3.232535e-1,5.148029e-7,11,365,63,0.140,false
QQN-GoldenSection,14,3.232535e-1,5.633825e-7,18,387,105,0.163,false
QQN-GoldenSection,15,3.232535e-1,5.529644e-7,12,305,69,0.122,false
QQN-GoldenSection,16,3.232535e-1,6.868821e-7,16,337,93,0.142,false
QQN-GoldenSection,17,3.232535e-1,4.420693e-7,11,331,63,0.129,false
QQN-GoldenSection,18,3.232535e-1,5.685819e-7,17,413,99,0.168,false
QQN-GoldenSection,19,3.232535e-1,5.359522e-7,15,397,87,0.158,false
QQN-Bisection-1,0,3.232535e-1,3.797480e-7,10,109,102,0.072,false
QQN-Bisection-1,1,3.232535e-1,4.474499e-7,10,109,102,0.071,false
QQN-Bisection-1,2,3.232535e-1,4.949717e-7,10,109,102,0.071,false
QQN-Bisection-1,3,3.232535e-1,5.885894e-7,10,109,102,0.072,false
QQN-Bisection-1,4,3.232535e-1,4.488524e-7,10,109,102,0.071,false
QQN-Bisection-1,5,3.232535e-1,7.585918e-7,11,120,112,0.079,false
QQN-Bisection-1,6,3.232535e-1,4.664000e-7,10,109,102,0.072,false
QQN-Bisection-1,7,3.232535e-1,3.871543e-7,10,109,102,0.071,false
QQN-Bisection-1,8,3.232535e-1,5.247842e-7,10,109,102,0.072,false
QQN-Bisection-1,9,3.232535e-1,3.440955e-7,10,109,102,0.071,false
QQN-Bisection-1,10,3.232535e-1,5.050218e-7,10,109,102,0.071,false
QQN-Bisection-1,11,3.232535e-1,5.036721e-7,10,109,102,0.072,false
QQN-Bisection-1,12,3.232535e-1,4.819300e-7,10,109,102,0.071,false
QQN-Bisection-1,13,3.232535e-1,4.367045e-7,10,109,102,0.071,false
QQN-Bisection-1,14,3.232535e-1,3.899505e-7,10,109,102,0.072,false
QQN-Bisection-1,15,3.232535e-1,4.314591e-7,10,109,102,0.071,false
QQN-Bisection-1,16,3.232535e-1,4.217557e-7,10,109,102,0.071,false
QQN-Bisection-1,17,3.232535e-1,3.735775e-7,10,109,102,0.072,false
QQN-Bisection-1,18,3.232535e-1,4.668177e-7,10,109,102,0.071,false
QQN-Bisection-1,19,3.232535e-1,8.857209e-8,12,131,122,0.086,false
QQN-Bisection-2,0,3.232535e-1,3.861160e-7,10,109,83,0.065,false
QQN-Bisection-2,1,3.232535e-1,4.553497e-7,10,109,83,0.064,false
QQN-Bisection-2,2,3.232535e-1,4.709971e-7,10,109,83,0.065,false
QQN-Bisection-2,3,3.232535e-1,7.192478e-8,12,131,101,0.079,false
QQN-Bisection-2,4,3.232535e-1,6.059963e-7,10,109,83,0.064,false
QQN-Bisection-2,5,3.232535e-1,4.558729e-7,10,109,83,0.065,false
QQN-Bisection-2,6,3.232535e-1,4.877947e-7,10,109,83,0.065,false
QQN-Bisection-2,7,3.232535e-1,4.840623e-7,10,109,83,0.064,false
QQN-Bisection-2,8,3.232535e-1,5.788725e-7,10,109,83,0.065,false
QQN-Bisection-2,9,3.232535e-1,5.375910e-7,10,109,83,0.065,false
QQN-Bisection-2,10,3.232535e-1,5.811654e-7,10,109,83,0.064,false
QQN-Bisection-2,11,3.232535e-1,4.043225e-7,10,109,83,0.065,false
QQN-Bisection-2,12,3.232535e-1,3.799847e-7,10,109,83,0.065,false
QQN-Bisection-2,13,3.232535e-1,4.954733e-7,10,109,83,0.064,false
QQN-Bisection-2,14,3.232535e-1,4.753238e-7,10,109,83,0.065,false
QQN-Bisection-2,15,3.232535e-1,8.300015e-7,10,109,83,0.065,false
QQN-Bisection-2,16,3.232535e-1,4.782513e-7,10,109,83,0.064,false
QQN-Bisection-2,17,3.232535e-1,4.207005e-7,11,120,92,0.072,false
QQN-Bisection-2,18,3.232535e-1,5.607770e-7,10,109,83,0.065,false
QQN-Bisection-2,19,3.232535e-1,5.535801e-7,10,109,83,0.064,false
