Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,1.392472e-1,8.765761e-2,46,1969,278,0.682,true
QQN-GoldenSection,1,1.399531e-1,1.047078e-1,83,3548,500,1.232,true
QQN-GoldenSection,2,1.399999e-1,1.784476e-1,50,2119,302,0.736,true
QQN-GoldenSection,3,1.397327e-1,6.235364e-2,34,1446,206,0.502,true
QQN-GoldenSection,4,1.398018e-1,1.169018e-1,29,1238,176,0.430,true
QQN-GoldenSection,5,1.431677e-1,6.485275e-2,102,4412,619,1.532,false
QQN-GoldenSection,6,1.396681e-1,5.945999e-2,68,2897,410,1.013,true
QQN-GoldenSection,7,1.399534e-1,1.076652e-1,42,1782,254,0.619,true
QQN-GoldenSection,8,1.395054e-1,1.041350e-1,50,2140,302,0.743,true
QQN-GoldenSection,9,1.394405e-1,1.034049e-1,41,1751,248,0.610,true
QQN-GoldenSection,10,1.510130e-1,3.420908e-2,101,4425,613,1.531,false
QQN-GoldenSection,11,1.397727e-1,7.152617e-2,83,3513,500,1.227,true
QQN-GoldenSection,12,1.451291e-1,8.090386e-2,102,4408,619,1.530,false
QQN-GoldenSection,13,1.406261e-1,3.780347e-2,102,4416,619,1.537,false
QQN-GoldenSection,14,1.398066e-1,4.951365e-2,36,1551,218,0.537,true
QQN-GoldenSection,15,1.399076e-1,7.518068e-2,47,2002,284,0.697,true
QQN-GoldenSection,16,1.468230e-1,3.519277e-2,101,4397,613,1.532,false
QQN-GoldenSection,17,1.382764e-1,1.511543e-1,55,2394,332,0.830,true
QQN-GoldenSection,18,1.397094e-1,6.031234e-2,63,2696,380,0.950,true
QQN-GoldenSection,19,1.393483e-1,6.913075e-2,44,1879,266,0.664,true
QQN-Bisection-1,0,1.399811e-1,1.242698e-1,30,358,382,0.328,true
QQN-Bisection-1,1,1.399664e-1,8.755822e-2,97,1231,1210,1.067,true
QQN-Bisection-1,2,1.395043e-1,7.612863e-2,56,667,673,0.591,true
QQN-Bisection-1,3,1.398273e-1,8.002046e-2,38,563,600,0.516,true
QQN-Bisection-1,4,1.395371e-1,7.325118e-2,44,535,553,0.484,true
QQN-Bisection-1,5,1.395155e-1,1.191701e-1,59,673,664,0.589,true
QQN-Bisection-1,6,1.385402e-1,1.798745e-1,45,523,532,0.464,true
QQN-Bisection-1,7,1.399635e-1,7.369217e-2,49,795,816,0.694,true
QQN-Bisection-1,8,1.395012e-1,7.112105e-2,39,503,534,0.460,true
QQN-Bisection-1,9,1.429247e-1,1.834106e-2,160,2520,2555,2.217,false
QQN-Bisection-1,10,1.393334e-1,9.361967e-2,65,720,701,0.624,true
QQN-Bisection-1,11,1.399566e-1,4.171981e-2,60,730,733,0.640,true
QQN-Bisection-1,12,1.399409e-1,5.670777e-2,50,601,613,0.535,true
QQN-Bisection-1,13,1.398752e-1,6.185439e-2,57,701,714,0.621,true
QQN-Bisection-1,14,1.399708e-1,5.306379e-2,65,743,732,0.644,true
QQN-Bisection-1,15,1.375249e-1,2.166333e-1,41,546,579,0.495,true
QQN-Bisection-1,16,1.395149e-1,1.255535e-1,34,448,484,0.412,true
QQN-Bisection-1,17,1.399856e-1,1.178241e-1,57,697,703,0.614,true
