Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,inf,inf,0,0,0,0.000,false
QQN-GoldenSection,1,inf,inf,0,0,0,0.000,false
QQN-GoldenSection,2,inf,inf,0,0,0,0.000,false
QQN-GoldenSection,3,4.708943e0,4.650813e3,1,47,8,0.002,false
QQN-GoldenSection,4,6.272780e0,6.794754e3,1,11,8,0.002,false
QQN-GoldenSection,5,inf,inf,0,0,0,0.000,false
QQN-GoldenSection,6,4.599138e0,7.310208e3,3,99,20,0.004,false
QQN-GoldenSection,7,3.842213e0,1.036226e4,1,49,8,0.001,true
QQN-GoldenSection,8,4.966920e0,1.311552e4,1,11,8,0.001,false
QQN-GoldenSection,9,inf,inf,0,0,0,0.000,false
QQN-GoldenSection,10,5.428557e0,1.139099e4,1,11,8,0.001,false
QQN-GoldenSection,11,3.493237e0,8.457666e3,1,49,8,0.001,true
QQN-GoldenSection,12,inf,inf,0,0,0,0.000,false
QQN-GoldenSection,13,inf,inf,0,0,0,0.000,false
QQN-GoldenSection,14,5.115216e0,8.871219e3,1,46,8,0.002,false
QQN-GoldenSection,15,inf,inf,0,0,0,0.000,false
QQN-GoldenSection,16,5.175837e0,7.645330e3,1,45,8,0.002,false
QQN-GoldenSection,17,5.151492e0,7.630012e3,2,57,14,0.003,false
QQN-GoldenSection,18,inf,inf,0,0,0,0.000,false
QQN-GoldenSection,19,inf,inf,0,0,0,0.000,false
QQN-Bisection-1,0,3.960061e0,8.381402e3,4,127,138,0.015,true
QQN-Bisection-1,1,4.344419e0,4.018707e3,5,171,249,0.025,true
QQN-Bisection-1,2,4.858281e0,1.247773e4,6,195,270,0.033,false
QQN-Bisection-1,3,4.273035e0,1.005134e4,5,167,243,0.025,true
QQN-Bisection-1,4,4.133597e0,6.947705e3,2,73,71,0.007,true
QQN-Bisection-1,5,inf,inf,0,0,0,0.000,false
QQN-Bisection-1,6,inf,inf,0,0,0,0.000,false
QQN-Bisection-1,7,5.098244e0,1.008350e4,1,43,30,0.008,false
QQN-Bisection-1,8,3.746750e0,9.072462e3,5,148,152,0.017,true
QQN-Bisection-1,9,5.699820e0,1.081631e4,6,223,270,0.035,false
QQN-Bisection-1,10,inf,inf,0,0,0,0.000,false
QQN-Bisection-1,11,inf,inf,0,0,0,0.000,false
QQN-Bisection-1,12,5.369800e0,8.555323e3,6,178,202,0.026,false
QQN-Bisection-1,13,3.818604e0,7.651383e3,1,24,65,0.006,true
QQN-Bisection-1,14,2.431718e0,8.661953e3,1,33,30,0.003,true
QQN-Bisection-1,15,6.172887e0,6.766939e3,2,55,115,0.016,false
QQN-Bisection-1,16,4.034741e0,8.544781e3,1,33,30,0.003,true
QQN-Bisection-1,17,inf,inf,0,0,0,0.000,false
QQN-Bisection-1,18,4.440547e0,6.854436e3,1,43,30,0.003,true
QQN-Bisection-1,19,inf,inf,0,0,0,0.000,false
