Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,9.949560e0,3.529972e-9,10,364,57,0.006,false
QQN-GoldenSection,1,1.293443e1,5.890476e-5,10,270,61,0.004,false
QQN-GoldenSection,2,7.425502e0,4.062979e1,1,50,8,0.000,true
QQN-GoldenSection,3,4.976487e0,1.159645e0,1,48,8,0.000,true
QQN-GoldenSection,4,9.949560e0,2.380152e-7,7,237,39,0.003,false
QQN-GoldenSection,5,8.954601e0,8.784109e-9,5,188,27,0.003,false
QQN-GoldenSection,6,2.021180e0,4.974687e0,2,98,14,0.001,true
QQN-GoldenSection,7,1.790920e1,1.049445e-7,5,190,27,0.003,false
QQN-GoldenSection,8,1.291192e-1,1.010628e1,1,50,8,0.000,true
QQN-GoldenSection,9,7.959663e0,2.600076e-2,4,189,26,0.003,true
QQN-GoldenSection,10,1.205892e0,1.291369e1,2,98,14,0.001,true
QQN-GoldenSection,11,1.995268e0,2.060236e0,2,98,14,0.001,true
QQN-GoldenSection,12,4.109357e0,1.013240e1,3,146,20,0.002,true
QQN-GoldenSection,13,5.925950e0,3.800630e1,3,145,20,0.002,true
QQN-GoldenSection,14,1.691420e1,3.645194e-7,6,196,33,0.003,false
QQN-GoldenSection,15,4.692492e0,4.378863e1,1,49,8,0.000,true
QQN-GoldenSection,16,1.293443e1,2.260115e-12,8,223,45,0.003,false
QQN-GoldenSection,17,1.293443e1,2.117973e-10,5,190,27,0.003,false
QQN-GoldenSection,18,7.959704e0,1.811681e-1,2,101,14,0.001,true
QQN-GoldenSection,19,1.293443e1,2.103424e-9,5,190,27,0.002,false
QQN-Bisection-1,0,1.293443e1,8.609718e-10,7,96,144,0.002,false
QQN-Bisection-1,1,1.293443e1,9.916585e-7,7,93,141,0.002,false
QQN-Bisection-1,2,1.404931e0,1.791347e1,5,153,168,0.002,true
QQN-Bisection-1,3,7.959663e0,2.839021e-2,3,63,114,0.001,true
QQN-Bisection-1,4,1.293443e1,6.052825e-10,8,161,150,0.003,false
QQN-Bisection-1,5,7.959743e0,2.524270e-1,6,135,171,0.003,true
QQN-Bisection-1,6,5.480742e0,3.358376e1,1,15,56,0.000,true
QQN-Bisection-1,7,1.438977e0,1.862229e1,2,45,93,0.001,true
QQN-Bisection-1,8,1.034319e0,5.586122e0,2,44,92,0.001,true
QQN-Bisection-1,9,6.674941e0,3.475204e1,1,16,57,0.000,true
QQN-Bisection-1,10,7.959672e0,8.865785e-2,3,61,112,0.001,true
QQN-Bisection-1,11,7.959662e0,2.734025e-3,4,69,119,0.002,true
QQN-Bisection-1,12,1.691420e1,3.808256e-9,9,138,188,0.003,false
QQN-Bisection-1,13,1.293443e1,9.069859e-9,10,130,175,0.003,false
QQN-Bisection-1,14,7.959687e0,1.396576e-1,8,223,271,0.005,true
QQN-Bisection-1,15,8.954601e0,6.012518e-5,25,793,869,0.016,false
QQN-Bisection-1,16,7.959663e0,1.770623e-2,3,61,112,0.001,true
QQN-Bisection-1,17,1.691420e1,1.458716e-7,7,109,157,0.002,false
QQN-Bisection-1,18,5.548117e0,5.055188e1,1,15,56,0.000,true
QQN-Bisection-1,19,7.959663e0,2.813167e-2,3,87,84,0.001,true
QQN-Bisection-2,0,inf,inf,0,0,0,0.000,false
QQN-Bisection-2,1,2.069090e0,7.920824e0,1,12,52,0.000,true
QQN-Bisection-2,2,inf,inf,0,0,0,0.000,false
QQN-Bisection-2,3,7.133275e0,4.640065e1,2,33,62,0.001,true
QQN-Bisection-2,4,inf,inf,0,0,0,0.000,false
QQN-Bisection-2,5,1.691420e1,6.661407e-8,7,81,99,0.002,false
QQN-Bisection-2,6,1.293443e1,5.204968e-11,7,81,99,0.002,false
QQN-Bisection-2,7,1.293443e1,1.293558e-8,6,70,90,0.002,false
QQN-Bisection-2,8,2.140624e0,2.941140e1,1,12,52,0.000,true
QQN-Bisection-2,9,inf,inf,0,0,0,0.000,false
QQN-Bisection-2,10,inf,inf,0,0,0,0.000,false
QQN-Bisection-2,11,inf,inf,0,0,0,0.000,false
QQN-Bisection-2,12,inf,inf,0,0,0,0.000,false
QQN-Bisection-2,13,4.097044e0,9.639917e0,2,33,62,0.001,true
QQN-Bisection-2,14,inf,inf,0,0,0,0.000,false
QQN-Bisection-2,15,1.293443e1,2.092654e-9,7,81,99,0.002,false
QQN-Bisection-2,16,inf,inf,0,0,0,0.000,false
QQN-Bisection-2,17,7.959664e0,2.985802e-2,3,60,29,0.001,true
QQN-Bisection-2,18,inf,inf,0,0,0,0.000,false
QQN-Bisection-2,19,6.562121e0,4.197157e1,1,12,52,0.000,true
QQN-StrongWolfe,0,4.177075e0,4.617191e1,2,51,43,0.001,true
QQN-StrongWolfe,1,7.959663e0,1.061668e-2,4,61,50,0.001,true
QQN-StrongWolfe,2,1.293443e1,1.376758e-8,10,96,92,0.003,false
QQN-StrongWolfe,3,1.361062e0,1.694404e1,3,56,41,0.001,true
QQN-StrongWolfe,4,1.293443e1,2.238554e-8,6,72,61,0.001,false
QQN-StrongWolfe,5,7.959663e0,9.955532e-3,4,56,50,0.001,true
QQN-StrongWolfe,6,7.959668e0,6.918643e-2,4,64,60,0.001,true
QQN-StrongWolfe,7,2.239674e0,1.405319e1,2,37,23,0.000,true
QQN-StrongWolfe,8,1.293443e1,2.899991e-10,7,74,68,0.002,false
QQN-StrongWolfe,9,7.959678e0,1.127051e-1,3,55,39,0.001,true
QQN-StrongWolfe,10,2.595279e0,2.167141e1,3,76,55,0.002,true
QQN-StrongWolfe,11,8.954601e0,3.215107e-7,8,72,63,0.002,false
QQN-StrongWolfe,12,7.959991e0,5.098802e-1,3,53,37,0.001,true
QQN-StrongWolfe,13,1.293443e1,7.039581e-8,10,97,91,0.003,false
QQN-StrongWolfe,14,1.691420e1,2.299865e-9,11,168,131,0.004,false
QQN-StrongWolfe,15,1.293443e1,9.086754e-7,5,64,54,0.001,false
QQN-StrongWolfe,16,7.419879e0,4.208577e1,5,109,94,0.003,true
QQN-StrongWolfe,17,2.410752e0,1.818007e1,3,61,46,0.001,true
QQN-StrongWolfe,18,7.959665e0,4.609272e-2,3,55,39,0.001,true
QQN-StrongWolfe,19,7.959666e0,5.116036e-2,3,51,38,0.001,true
QQN-CubicQuadraticInterpolation,0,7.959663e0,1.161764e-2,5,52,53,0.001,true
QQN-CubicQuadraticInterpolation,1,7.959662e0,1.629674e-3,8,92,109,0.003,true
QQN-CubicQuadraticInterpolation,2,5.973558e0,2.730659e1,4,52,61,0.001,true
QQN-CubicQuadraticInterpolation,3,3.801732e0,4.507160e1,3,40,45,0.001,true
QQN-CubicQuadraticInterpolation,4,7.959676e0,1.036978e-1,8,96,117,0.003,true
QQN-CubicQuadraticInterpolation,5,7.429835e0,6.476442e1,3,40,45,0.001,true
QQN-CubicQuadraticInterpolation,6,7.504089e0,6.020372e1,2,28,29,0.001,true
QQN-CubicQuadraticInterpolation,7,7.642025e0,4.871332e1,2,28,29,0.001,true
QQN-CubicQuadraticInterpolation,8,9.949560e0,1.504743e-4,11,136,173,0.005,false
QQN-CubicQuadraticInterpolation,9,7.959680e0,1.197636e-1,4,44,45,0.001,true
QQN-CubicQuadraticInterpolation,10,5.495071e0,2.018158e1,5,64,77,0.002,true
QQN-CubicQuadraticInterpolation,11,7.959663e0,1.819771e-2,5,52,53,0.001,true
QQN-CubicQuadraticInterpolation,12,4.791916e0,2.497160e1,3,40,45,0.001,true
QQN-CubicQuadraticInterpolation,13,2.174497e0,2.992189e1,4,52,61,0.001,true
QQN-CubicQuadraticInterpolation,14,1.293443e1,4.067445e-7,12,113,120,0.003,false
QQN-CubicQuadraticInterpolation,15,6.157972e0,5.422617e1,3,40,45,0.001,true
