Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,7.860395e-1,2.969332e0,89,4505,541,0.084,false
QQN-GoldenSection,1,3.220186e-1,1.721683e0,23,1054,140,0.019,true
QQN-GoldenSection,2,6.660575e-1,2.588461e0,89,4500,541,0.083,false
QQN-GoldenSection,3,7.114920e-1,2.511786e0,89,4469,541,0.082,false
QQN-GoldenSection,4,3.751203e-1,1.134349e1,25,1187,152,0.021,true
QQN-GoldenSection,5,1.610549e0,3.544042e0,92,4451,559,0.083,false
QQN-GoldenSection,6,7.928987e-1,2.999111e0,89,4487,541,0.083,false
QQN-GoldenSection,7,3.452749e-1,7.476534e0,25,1197,152,0.021,true
QQN-GoldenSection,8,3.748288e-1,6.024231e0,75,3619,452,0.067,true
QQN-GoldenSection,9,3.919622e-1,8.247706e0,71,3519,428,0.064,true
QQN-GoldenSection,10,2.973430e-1,8.078299e0,4,196,26,0.003,true
QQN-GoldenSection,11,3.572045e-1,2.280475e0,45,2226,272,0.041,true
QQN-GoldenSection,12,6.916227e-1,1.787069e0,89,4470,541,0.083,false
QQN-GoldenSection,13,3.641760e-1,9.006075e0,77,3808,464,0.070,true
QQN-GoldenSection,14,3.544111e-1,6.813169e0,47,2205,284,0.041,true
QQN-GoldenSection,15,2.602099e-1,5.170370e0,57,2719,344,0.050,true
QQN-GoldenSection,16,9.891731e-1,3.285757e0,89,4464,541,0.082,false
QQN-GoldenSection,17,3.125556e-1,5.680168e0,87,4276,524,0.079,true
QQN-GoldenSection,18,7.839814e-1,1.907057e0,88,4491,535,0.083,false
QQN-GoldenSection,19,1.463653e0,3.008656e0,97,4438,589,0.084,false
QQN-Bisection-1,0,3.855168e-1,8.819558e0,28,599,713,0.016,true
QQN-Bisection-1,1,3.490639e-1,6.369988e0,81,2101,2450,0.056,true
QQN-Bisection-1,2,3.566319e-1,7.839293e0,48,1259,1523,0.034,true
QQN-Bisection-1,3,1.437146e0,5.636043e0,85,2340,2666,0.062,false
QQN-Bisection-1,4,3.427280e-1,1.170576e1,28,578,734,0.016,true
QQN-Bisection-1,5,3.491450e-1,4.907585e0,51,1430,1601,0.037,true
QQN-Bisection-1,6,3.195837e-1,5.160855e0,19,241,276,0.006,true
QQN-Bisection-1,7,2.957104e-1,7.183536e0,47,1228,1519,0.034,true
QQN-Bisection-1,8,2.903552e-1,4.307029e0,29,610,723,0.017,true
QQN-Bisection-1,9,3.874117e-1,1.094287e1,28,578,734,0.016,true
QQN-Bisection-1,10,2.091027e0,7.041455e0,78,2514,2493,0.053,false
QQN-Bisection-1,11,3.786906e-1,4.624801e0,28,559,703,0.015,true
QQN-Bisection-1,12,2.503771e-1,6.052371e0,27,628,691,0.016,true
QQN-Bisection-1,13,3.353914e-1,5.993267e0,38,919,1123,0.025,true
QQN-Bisection-1,14,2.756089e-1,8.184384e0,21,282,327,0.008,true
QQN-Bisection-1,15,3.169137e-1,7.264223e0,28,609,715,0.016,true
QQN-Bisection-1,16,3.972887e-1,3.547488e0,37,842,979,0.023,true
QQN-Bisection-1,17,3.876384e-1,4.304274e0,70,1926,2184,0.051,true
QQN-Bisection-1,18,2.854919e-1,9.872151e0,45,1216,1487,0.033,true
QQN-Bisection-1,19,4.642810e0,7.812642e-1,79,2495,2521,0.053,false
QQN-Bisection-2,0,6.209548e-1,6.205437e0,81,1475,830,0.037,false
QQN-Bisection-2,1,5.674915e-1,6.835858e0,84,1568,863,0.039,false
QQN-Bisection-2,2,3.320133e-1,9.067459e0,76,1370,780,0.034,true
QQN-Bisection-2,3,7.490025e-1,2.171037e0,164,3339,1679,0.080,false
QQN-Bisection-2,4,4.953996e-1,2.439494e0,165,3319,1685,0.080,false
QQN-Bisection-2,5,4.554445e-1,6.033551e0,78,1442,803,0.036,false
QQN-Bisection-2,6,2.154555e-1,8.274293e0,93,1707,948,0.042,true
QQN-Bisection-2,7,4.157507e-1,1.900855e0,163,3347,1672,0.080,false
QQN-Bisection-2,8,3.391293e-1,7.296420e0,41,635,430,0.016,true
QQN-Bisection-2,9,5.077554e-1,9.167456e0,84,1588,865,0.039,false
QQN-Bisection-2,10,9.111212e-1,2.312316e0,164,3329,1678,0.080,false
QQN-Bisection-2,11,3.093077e-1,7.646987e0,86,1590,881,0.039,true
QQN-Bisection-2,12,3.960238e-1,1.302457e0,7,101,108,0.002,true
QQN-Bisection-2,13,3.843286e-1,1.097268e1,81,1465,829,0.036,true
QQN-Bisection-2,14,2.933143e-1,4.812270e0,72,1276,739,0.031,true
QQN-Bisection-2,15,3.404238e-1,4.041009e0,29,353,307,0.010,true
QQN-Bisection-2,16,3.963223e-1,9.461345e0,43,677,450,0.017,true
QQN-Bisection-2,17,3.221528e-1,3.868599e0,55,919,569,0.023,true
QQN-Bisection-2,18,5.391987e-1,6.282021e0,83,1547,853,0.038,false
QQN-Bisection-2,19,3.781542e-1,3.511256e0,45,719,470,0.018,true
QQN-StrongWolfe,0,2.873965e-1,5.490648e0,5,89,63,0.002,true
QQN-StrongWolfe,1,3.281274e-1,8.911903e0,17,171,163,0.006,true
QQN-StrongWolfe,2,3.841312e-1,2.231870e0,20,214,197,0.007,true
QQN-StrongWolfe,3,2.985072e-1,4.471404e0,26,322,281,0.010,true
QQN-StrongWolfe,4,3.663261e-1,4.469463e0,82,1808,1307,0.052,true
QQN-StrongWolfe,5,2.576193e-1,5.900056e0,16,186,159,0.006,true
QQN-StrongWolfe,6,3.953188e-1,1.108446e0,50,1030,725,0.030,true
