Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,6.861541e-1,1.712266e-2,93,4030,559,1.390,false
QQN-GoldenSection,1,6.861522e-1,1.441964e-2,17,721,103,0.248,false
QQN-GoldenSection,2,6.861463e-1,1.400330e-2,14,578,85,0.200,false
QQN-GoldenSection,3,6.861531e-1,1.550025e-2,15,626,91,0.215,false
QQN-GoldenSection,4,6.861450e-1,1.391558e-2,14,616,85,0.210,false
QQN-GoldenSection,5,6.861498e-1,1.425537e-2,15,626,91,0.216,false
QQN-GoldenSection,6,6.861476e-1,1.581654e-2,17,720,103,0.247,false
QQN-GoldenSection,7,6.861524e-1,1.443106e-2,21,889,127,0.307,false
QQN-GoldenSection,8,6.861520e-1,1.440560e-2,12,506,73,0.173,false
QQN-GoldenSection,9,6.861321e-1,1.480684e-2,20,919,121,0.312,false
QQN-GoldenSection,10,6.861494e-1,1.684800e-2,18,815,109,0.277,false
QQN-GoldenSection,11,6.861478e-1,1.674787e-2,18,751,109,0.259,false
QQN-GoldenSection,12,6.861491e-1,1.523935e-2,13,576,79,0.195,false
QQN-GoldenSection,13,6.861321e-1,1.578278e-2,20,875,121,0.300,false
QQN-GoldenSection,14,6.861422e-1,1.477844e-2,15,661,91,0.225,false
QQN-GoldenSection,15,6.861513e-1,1.435505e-2,18,786,109,0.269,false
QQN-GoldenSection,16,6.861374e-1,1.515859e-2,21,926,127,0.316,false
QQN-GoldenSection,17,6.861550e-1,2.176580e-2,26,1123,157,0.386,false
QQN-GoldenSection,18,6.861532e-1,1.616725e-2,18,772,109,0.264,false
QQN-GoldenSection,19,6.861527e-1,1.704147e-2,23,989,139,0.340,false
QQN-Bisection-1,0,6.861339e-1,1.492363e-2,51,1463,1901,1.117,false
QQN-Bisection-1,1,6.861378e-1,1.447953e-2,46,1465,1701,1.037,false
QQN-Bisection-1,2,6.861321e-1,1.295382e-2,44,1315,1555,0.977,false
QQN-Bisection-1,3,6.861412e-1,1.540280e-2,26,783,886,0.546,false
QQN-Bisection-1,4,6.861371e-1,1.442640e-2,49,1605,1787,1.111,false
QQN-Bisection-1,5,6.861349e-1,1.498851e-2,27,793,933,0.571,false
QQN-Bisection-1,6,6.861358e-1,1.323755e-2,46,1433,1797,1.082,false
QQN-Bisection-1,7,6.861411e-1,1.470400e-2,73,2210,2796,1.662,false
QQN-Bisection-1,8,6.861352e-1,1.598345e-2,45,1340,1589,0.997,false
QQN-Bisection-1,9,6.861453e-1,1.498732e-2,28,895,987,0.614,false
QQN-Bisection-1,10,6.861361e-1,1.435753e-2,57,1818,2122,1.295,false
QQN-Bisection-1,11,6.861373e-1,1.515318e-2,39,1251,1357,0.849,false
QQN-Bisection-1,12,6.861356e-1,1.600520e-2,43,1281,1551,0.935,false
QQN-Bisection-1,13,6.861402e-1,1.464463e-2,58,1878,2171,1.326,false
QQN-Bisection-1,14,6.861303e-1,1.395208e-2,50,1323,1602,0.967,false
QQN-Bisection-1,15,6.861372e-1,1.610239e-2,54,1719,1942,1.196,false
QQN-Bisection-1,16,6.861430e-1,1.646173e-2,44,1429,1630,0.996,false
QQN-Bisection-1,17,6.861355e-1,1.600056e-2,54,1735,1931,1.193,false
QQN-Bisection-1,18,6.861579e-1,1.645567e-2,57,1868,2149,1.316,false
QQN-Bisection-1,19,6.861454e-1,1.567527e-2,47,1488,1796,1.079,false
QQN-Bisection-2,0,6.861408e-1,1.632459e-2,13,214,166,0.131,false
QQN-Bisection-2,1,6.861358e-1,1.601806e-2,162,3368,1648,1.603,false
QQN-Bisection-2,2,6.861831e-1,1.791986e-2,114,2336,1162,1.124,false
QQN-Bisection-2,3,6.861533e-1,1.449323e-2,16,281,197,0.162,false
QQN-Bisection-2,4,6.861366e-1,1.439439e-2,20,385,237,0.207,false
QQN-Bisection-2,5,6.861522e-1,1.700855e-2,50,998,530,0.497,false
QQN-Bisection-2,6,6.861429e-1,2.120601e-2,11,166,146,0.110,false
QQN-Bisection-2,7,6.861481e-1,1.413621e-2,32,625,356,0.323,false
QQN-Bisection-2,8,6.861591e-1,1.587873e-2,18,353,220,0.192,false
QQN-Bisection-2,9,6.861324e-1,1.297170e-2,16,241,193,0.149,false
