Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,3.553479e3,7.401068e-8,5,147,27,0.002,false
QQN-GoldenSection,1,3.553479e3,3.330875e-8,5,147,27,0.002,false
QQN-GoldenSection,2,3.553479e3,4.063248e-8,5,147,27,0.002,false
QQN-GoldenSection,3,3.553479e3,2.866371e-8,5,147,27,0.002,false
QQN-GoldenSection,4,3.553479e3,2.090332e-8,6,155,33,0.002,false
QQN-GoldenSection,5,3.553479e3,4.785713e-8,5,147,27,0.002,false
QQN-GoldenSection,6,3.553479e3,5.656909e-8,5,147,27,0.002,false
QQN-GoldenSection,7,3.553479e3,4.230947e-8,5,147,27,0.002,false
QQN-GoldenSection,8,3.553479e3,4.441827e-8,5,147,27,0.002,false
QQN-GoldenSection,9,3.553479e3,2.059288e-8,5,147,27,0.002,false
QQN-GoldenSection,10,3.553479e3,4.094847e-8,6,155,33,0.002,false
QQN-GoldenSection,11,3.553479e3,2.841489e-8,5,147,27,0.002,false
QQN-GoldenSection,12,3.553479e3,1.751466e-8,5,147,27,0.002,false
QQN-GoldenSection,13,3.553479e3,6.389380e-8,5,147,27,0.002,false
QQN-GoldenSection,14,3.553479e3,6.979974e-8,5,147,27,0.002,false
QQN-GoldenSection,15,3.553479e3,4.298698e-8,5,147,27,0.002,false
QQN-GoldenSection,16,3.553479e3,8.475903e-8,5,147,27,0.002,false
QQN-GoldenSection,17,3.553479e3,5.449376e-8,5,147,27,0.002,false
QQN-GoldenSection,18,3.553479e3,1.132204e-7,5,147,27,0.002,false
QQN-GoldenSection,19,3.553479e3,3.225469e-8,5,147,27,0.002,false
QQN-Bisection-1,0,3.553479e3,3.575257e-8,5,52,94,0.001,false
QQN-Bisection-1,1,3.553479e3,8.130206e-8,5,52,94,0.001,false
QQN-Bisection-1,2,3.553479e3,8.455075e-8,5,52,94,0.001,false
QQN-Bisection-1,3,3.553479e3,4.869946e-8,5,52,94,0.001,false
QQN-Bisection-1,4,3.553479e3,7.044768e-8,5,52,94,0.001,false
QQN-Bisection-1,5,3.553479e3,5.249631e-8,5,52,94,0.001,false
QQN-Bisection-1,6,3.553479e3,1.153917e-8,5,52,94,0.001,false
QQN-Bisection-1,7,3.553479e3,4.205300e-8,5,52,94,0.001,false
QQN-Bisection-1,8,3.553479e3,1.238552e-7,5,52,94,0.001,false
QQN-Bisection-1,9,3.553479e3,2.226416e-8,5,52,94,0.001,false
