Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,8.192350e-7,1.727316e-3,3,132,20,0.002,true
QQN-GoldenSection,1,3.510927e-7,1.247841e-3,3,137,20,0.002,true
QQN-GoldenSection,2,2.842910e-8,3.554488e-4,4,177,26,0.003,true
QQN-GoldenSection,3,4.122548e-8,3.976840e-4,4,177,26,0.003,true
QQN-GoldenSection,4,6.475913e-7,1.637334e-3,3,135,20,0.002,true
QQN-GoldenSection,5,2.891358e-8,3.337469e-4,4,177,26,0.003,true
QQN-GoldenSection,6,2.115416e-8,3.000790e-4,4,177,26,0.003,true
QQN-GoldenSection,7,2.925821e-7,1.047976e-3,3,132,20,0.002,true
QQN-GoldenSection,8,7.217030e-7,1.751945e-3,3,137,20,0.002,true
QQN-GoldenSection,9,2.583644e-8,3.163772e-4,4,177,26,0.003,true
QQN-GoldenSection,10,7.235197e-7,1.684722e-3,3,135,20,0.002,true
QQN-GoldenSection,11,9.909174e-7,2.001032e-3,3,135,20,0.002,true
QQN-GoldenSection,12,4.323844e-7,1.314632e-3,3,137,20,0.002,true
QQN-GoldenSection,13,6.415869e-8,5.425094e-4,4,177,26,0.003,true
QQN-GoldenSection,14,7.737354e-9,1.663027e-4,4,178,26,0.003,true
QQN-GoldenSection,15,8.315259e-9,1.714228e-4,4,179,26,0.003,true
QQN-GoldenSection,16,7.043487e-7,1.625541e-3,3,135,20,0.002,true
QQN-GoldenSection,17,5.387931e-8,4.461431e-4,4,177,26,0.003,true
QQN-GoldenSection,18,2.378668e-7,9.930209e-4,3,135,20,0.002,true
QQN-GoldenSection,19,2.501864e-8,3.011685e-4,4,177,26,0.003,true
QQN-Bisection-1,0,4.459579e-7,1.288812e-3,3,67,102,0.001,true
QQN-Bisection-1,1,8.452396e-7,1.881132e-3,3,38,81,0.001,true
QQN-Bisection-1,2,4.287625e-8,4.068211e-4,4,49,91,0.001,true
QQN-Bisection-1,3,9.777739e-7,2.015136e-3,3,67,102,0.001,true
QQN-Bisection-1,4,7.306896e-7,1.686887e-3,3,67,102,0.001,true
QQN-Bisection-1,5,4.293271e-7,1.312126e-3,3,67,102,0.001,true
QQN-Bisection-1,6,5.474451e-7,1.420843e-3,3,67,102,0.001,true
QQN-Bisection-1,7,8.551544e-7,1.806676e-3,3,38,81,0.001,true
QQN-Bisection-1,8,9.111575e-7,1.989595e-3,3,67,102,0.001,true
QQN-Bisection-1,9,3.777039e-8,3.847634e-4,4,78,112,0.002,true
QQN-Bisection-1,10,9.904535e-7,2.030192e-3,3,38,81,0.001,true
QQN-Bisection-1,11,9.329338e-7,1.855229e-3,3,67,102,0.001,true
QQN-Bisection-1,12,3.070099e-8,3.454045e-4,4,49,91,0.001,true
QQN-Bisection-1,13,2.645141e-8,3.125372e-4,4,78,112,0.002,true
QQN-Bisection-1,14,8.243628e-7,1.737868e-3,3,38,81,0.001,true
QQN-Bisection-1,15,3.828876e-8,3.738304e-4,4,49,91,0.001,true
QQN-Bisection-1,16,9.411086e-7,1.907543e-3,3,38,81,0.001,true
QQN-Bisection-1,17,8.286987e-7,1.828341e-3,3,38,81,0.001,true
QQN-Bisection-1,18,2.292811e-8,3.059048e-4,4,78,112,0.002,true
QQN-Bisection-1,19,9.105832e-7,1.898820e-3,3,38,81,0.001,true
QQN-Bisection-2,0,2.300470e-8,2.971232e-4,4,58,80,0.001,true
QQN-Bisection-2,1,3.278279e-8,3.560824e-4,4,48,79,0.001,true
QQN-Bisection-2,2,6.880170e-7,1.584359e-3,3,47,71,0.001,true
QQN-Bisection-2,3,7.148946e-7,1.788847e-3,3,37,70,0.001,true
QQN-Bisection-2,4,5.902629e-7,1.607237e-3,3,37,70,0.001,true
QQN-Bisection-2,5,7.834082e-7,1.688454e-3,3,47,71,0.001,true
QQN-Bisection-2,6,6.207669e-7,1.577363e-3,3,47,71,0.001,true
