Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,5.936389e-1,2.280524e0,90,4503,547,0.087,false
QQN-GoldenSection,1,9.336758e-1,1.839006e0,93,4487,565,0.087,false
QQN-GoldenSection,2,9.247194e-1,1.531717e0,89,4500,541,0.086,false
QQN-GoldenSection,3,5.047838e-1,9.088372e-1,89,4511,541,0.086,false
QQN-GoldenSection,4,3.674323e-1,1.035700e0,90,4484,547,0.086,false
QQN-GoldenSection,5,7.839461e-1,1.545680e0,92,4473,559,0.086,false
QQN-GoldenSection,6,4.256593e-1,1.188564e0,94,4468,571,0.092,false
QQN-GoldenSection,7,1.385803e-1,3.923943e-1,90,4497,547,0.087,false
QQN-GoldenSection,8,8.116612e-1,1.958132e0,89,4500,541,0.088,false
QQN-GoldenSection,9,4.221823e-1,1.292277e0,93,4480,565,0.087,false
QQN-GoldenSection,10,6.076029e-1,1.818815e1,89,4461,541,0.085,false
QQN-GoldenSection,11,9.616019e-2,1.161393e0,89,4464,541,0.085,false
QQN-GoldenSection,12,5.686660e-7,3.296932e-2,63,2918,380,0.057,true
QQN-GoldenSection,13,4.415314e-1,4.335985e0,89,4484,541,0.086,false
QQN-GoldenSection,14,2.381353e0,1.535505e1,88,4475,535,0.085,false
QQN-GoldenSection,15,9.155029e-1,1.852518e0,93,4447,565,0.086,false
QQN-GoldenSection,16,8.587684e-4,3.082661e-2,92,4488,559,0.087,false
QQN-GoldenSection,17,3.734088e-1,1.623981e0,90,4504,547,0.087,false
QQN-GoldenSection,18,9.648713e-1,2.300255e0,91,4451,553,0.085,false
QQN-GoldenSection,19,1.026309e-6,1.264866e-3,94,4434,571,0.086,false
QQN-Bisection-1,0,3.871646e-1,2.684062e0,82,2346,2697,0.064,false
QQN-Bisection-1,1,4.395426e-1,2.270623e0,85,2287,2783,0.064,false
QQN-Bisection-1,2,3.709015e-1,1.956095e0,86,2332,2705,0.065,false
QQN-Bisection-1,3,2.498614e-7,2.047694e-2,99,2313,2572,0.065,true
