Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,5.298889e-7,5.039062e-3,22,972,134,0.020,true
QQN-GoldenSection,1,7.914186e-7,9.328778e-3,22,982,134,0.020,true
QQN-GoldenSection,2,4.909990e-7,4.774755e-3,24,1037,146,0.022,true
QQN-GoldenSection,3,5.003080e-5,1.198310e-2,97,4428,589,0.096,false
QQN-GoldenSection,4,4.013666e-7,7.427261e-3,30,1325,182,0.028,true
QQN-GoldenSection,5,8.725517e-7,7.263370e-3,30,1385,182,0.029,true
QQN-GoldenSection,6,9.539413e-7,8.703569e-3,42,1913,254,0.041,true
QQN-GoldenSection,7,4.064269e-7,5.522138e-3,25,1070,152,0.023,true
QQN-GoldenSection,8,2.380964e-7,4.666464e-3,27,1173,164,0.025,true
QQN-GoldenSection,9,3.978754e-7,9.794082e-3,31,1370,188,0.029,true
QQN-GoldenSection,10,3.654934e-7,3.642311e-3,27,1173,164,0.025,true
QQN-GoldenSection,11,2.413765e-3,9.210246e-2,94,4459,571,0.096,false
QQN-GoldenSection,12,3.881513e-3,1.105595e-1,96,4456,583,0.096,false
QQN-GoldenSection,13,3.142482e-7,7.721873e-3,23,986,140,0.021,true
QQN-GoldenSection,14,7.858110e-7,1.178043e-2,24,1028,146,0.022,true
QQN-GoldenSection,15,2.353559e-3,9.417166e-2,96,4423,583,0.095,false
QQN-GoldenSection,16,1.119410e-7,3.992092e-3,29,1283,176,0.027,true
QQN-GoldenSection,17,4.646776e-7,6.695397e-3,31,1332,188,0.029,true
QQN-GoldenSection,18,2.747259e-7,4.458182e-3,22,944,134,0.020,true
QQN-GoldenSection,19,8.837188e-7,8.063654e-3,22,945,134,0.020,true
QQN-Bisection-1,0,5.812460e-7,1.161762e-2,50,843,865,0.028,true
QQN-Bisection-1,1,4.728617e-7,7.359223e-3,91,2134,2276,0.067,true
QQN-Bisection-1,2,2.910164e-8,1.747644e-3,25,352,389,0.012,true
QQN-Bisection-1,3,9.494309e-7,8.384677e-3,24,322,348,0.011,true
QQN-Bisection-1,4,2.139316e-7,3.294285e-3,25,333,360,0.012,true
QQN-Bisection-1,5,2.893194e-3,1.372138e-1,89,2342,2681,0.072,false
QQN-Bisection-1,6,6.913809e-7,5.914924e-3,21,260,291,0.009,true
QQN-Bisection-1,7,7.113476e-7,1.277839e-2,44,819,923,0.028,true
QQN-Bisection-1,8,1.177401e-2,2.479295e-1,81,2425,2613,0.065,false
QQN-Bisection-1,9,2.248432e-7,2.319246e-3,26,373,401,0.013,true
QQN-Bisection-1,10,1.579009e-7,3.200077e-3,46,814,856,0.028,true
QQN-Bisection-1,11,3.791283e-4,5.248391e-2,86,2345,2728,0.071,false
QQN-Bisection-1,12,5.162646e-8,3.008774e-3,44,752,834,0.026,true
QQN-Bisection-1,13,4.857611e-7,4.677422e-3,24,293,321,0.010,true
QQN-Bisection-1,14,3.927043e-7,2.552038e-3,36,616,700,0.021,true
QQN-Bisection-1,15,9.128234e-8,2.681296e-3,28,414,448,0.014,true
QQN-Bisection-1,16,9.298530e-7,6.205151e-3,29,396,427,0.014,true
QQN-Bisection-1,17,3.854807e-7,6.062310e-3,21,279,320,0.010,true
QQN-Bisection-1,18,4.320782e-7,8.407409e-3,40,758,794,0.025,true
QQN-Bisection-1,19,4.492361e-7,7.800849e-3,22,290,330,0.010,true
QQN-Bisection-2,0,3.663308e-7,7.527506e-3,32,388,291,0.013,true
QQN-Bisection-2,1,inf,inf,0,0,0,0.000,false
QQN-Bisection-2,2,1.669045e-7,5.828313e-3,81,1420,779,0.041,true
QQN-Bisection-2,3,6.086689e-7,7.083545e-3,28,374,258,0.011,true
QQN-Bisection-2,4,1.001650e-7,3.646721e-3,28,344,255,0.011,true
QQN-Bisection-2,5,inf,inf,0,0,0,0.000,false
QQN-Bisection-2,6,3.515799e-7,5.490431e-3,27,323,245,0.010,true
QQN-Bisection-2,7,6.591712e-7,8.787352e-3,22,276,244,0.009,true
QQN-Bisection-2,8,inf,inf,0,0,0,0.000,false
QQN-Bisection-2,9,1.673541e-7,4.390531e-3,23,287,253,0.009,true
QQN-Bisection-2,10,3.200743e-7,9.170284e-3,25,311,228,0.010,true
QQN-Bisection-2,11,8.263985e-8,2.564057e-3,25,331,230,0.010,true
QQN-Bisection-2,12,6.644907e-7,4.741656e-3,61,919,572,0.028,true
QQN-Bisection-2,13,9.795556e-8,3.021574e-3,32,458,298,0.014,true
QQN-Bisection-2,14,9.594125e-7,4.023026e-3,51,772,479,0.023,true
QQN-Bisection-2,15,4.892290e-7,9.401498e-3,27,333,246,0.010,true
QQN-Bisection-2,16,inf,inf,0,0,0,0.000,false
QQN-Bisection-2,17,2.195785e-7,3.896283e-3,26,332,238,0.010,true
QQN-Bisection-2,18,9.036578e-8,2.159977e-3,24,288,261,0.010,true
QQN-Bisection-2,19,inf,inf,0,0,0,0.000,false
QQN-StrongWolfe,0,4.750904e-7,5.049383e-3,32,295,295,0.013,true
QQN-StrongWolfe,1,5.089629e-7,5.331299e-3,35,496,451,0.020,true
QQN-StrongWolfe,2,7.232164e-7,1.431693e-2,27,263,258,0.011,true
QQN-StrongWolfe,3,4.815286e-8,1.765206e-3,48,605,557,0.025,true
QQN-StrongWolfe,4,4.847948e-7,8.967526e-3,37,520,466,0.021,true
QQN-StrongWolfe,5,5.417609e-7,4.589117e-3,27,223,244,0.010,true
QQN-StrongWolfe,6,4.124025e-7,6.703869e-3,24,197,215,0.009,true
QQN-StrongWolfe,7,1.499131e-7,4.474352e-3,41,576,529,0.023,true
QQN-StrongWolfe,8,7.525486e-8,2.659305e-3,28,245,257,0.011,true
QQN-StrongWolfe,9,3.542812e-7,4.856236e-3,23,193,196,0.008,true
QQN-StrongWolfe,10,3.499859e-7,6.859198e-3,26,216,228,0.010,true
QQN-StrongWolfe,11,3.607500e-7,4.942548e-3,28,265,265,0.012,true
QQN-StrongWolfe,12,4.933079e-8,1.857246e-3,30,281,285,0.013,true
QQN-StrongWolfe,13,1.079033e-7,4.281212e-3,30,282,262,0.012,true
QQN-StrongWolfe,14,3.153300e-7,6.878580e-3,26,233,229,0.010,true
QQN-StrongWolfe,15,9.269609e-9,1.028735e-3,28,248,254,0.011,true
QQN-StrongWolfe,16,4.828373e-7,1.007119e-2,26,235,245,0.010,true
QQN-StrongWolfe,17,1.013621e-7,4.551899e-3,53,805,698,0.032,true
QQN-StrongWolfe,18,2.274171e-7,4.132967e-3,26,254,262,0.011,true
QQN-StrongWolfe,19,7.149542e-8,2.750832e-3,40,514,466,0.021,true
QQN-CubicQuadraticInterpolation,0,3.826663e-7,4.736950e-3,24,284,365,0.013,true
QQN-CubicQuadraticInterpolation,1,9.990055e-9,9.859586e-4,32,376,485,0.018,true
QQN-CubicQuadraticInterpolation,2,6.955972e-7,8.543754e-3,24,280,357,0.013,true
QQN-CubicQuadraticInterpolation,3,6.230214e-7,8.122108e-3,28,332,429,0.016,true
