Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,3.817656e0
QQN-GoldenSection,54,3.817656e0
QQN-GoldenSection,107,3.575455e0
QQN-GoldenSection,160,3.574454e0
QQN-GoldenSection,174,3.574452e0
QQN-GoldenSection,188,3.574452e0
QQN-GoldenSection,192,3.574452e0
QQN-GoldenSection,2,3.976647e0
QQN-GoldenSection,54,3.976647e0
QQN-GoldenSection,107,3.580194e0
QQN-GoldenSection,160,3.574452e0
QQN-GoldenSection,174,3.574452e0
QQN-GoldenSection,188,3.574452e0
QQN-GoldenSection,202,3.574452e0
QQN-GoldenSection,216,3.574452e0
QQN-GoldenSection,230,3.574452e0
QQN-GoldenSection,244,3.574452e0
QQN-GoldenSection,2,3.604067e0
QQN-GoldenSection,54,3.604067e0
QQN-GoldenSection,107,3.574460e0
QQN-GoldenSection,121,3.574452e0
QQN-GoldenSection,135,3.574452e0
QQN-GoldenSection,149,3.574452e0
QQN-GoldenSection,163,3.574452e0
QQN-GoldenSection,177,3.574452e0
QQN-GoldenSection,230,3.574452e0
QQN-GoldenSection,278,3.574452e0
QQN-GoldenSection,282,3.574452e0
QQN-GoldenSection,2,4.040608e0
QQN-GoldenSection,54,4.040608e0
QQN-GoldenSection,107,3.574473e0
QQN-GoldenSection,121,3.574452e0
QQN-GoldenSection,135,3.574452e0
QQN-GoldenSection,149,3.574452e0
QQN-GoldenSection,163,3.574452e0
QQN-GoldenSection,177,3.574452e0
QQN-GoldenSection,230,3.574452e0
QQN-GoldenSection,244,3.574452e0
QQN-GoldenSection,248,3.574452e0
QQN-GoldenSection,2,4.400074e0
QQN-GoldenSection,51,4.400074e0
QQN-GoldenSection,53,1.692539e0
QQN-GoldenSection,2,3.908926e0
QQN-GoldenSection,54,3.908926e0
QQN-GoldenSection,107,3.574473e0
QQN-GoldenSection,121,3.574452e0
QQN-GoldenSection,135,3.574452e0
QQN-GoldenSection,149,3.574452e0
QQN-GoldenSection,163,3.574452e0
