Optimizer,MaxEvaluation,ObjectiveValue
L-BFGS-Conservative,2,1.045513e1
L-BFGS-Conservative,11,1.045513e1
L-BFGS-Conservative,20,8.852533e0
L-BFGS-Conservative,29,7.408844e0
L-BFGS-Conservative,38,6.278320e0
L-BFGS-Conservative,47,5.484212e0
L-BFGS-Conservative,56,4.902245e0
L-BFGS-Conservative,65,4.401460e0
L-BFGS-Conservative,74,3.917936e0
L-BFGS-Conservative,83,3.480131e0
L-BFGS-Conservative,92,3.154293e0
L-BFGS-Conservative,101,2.941057e0
L-BFGS-Conservative,110,2.789474e0
L-BFGS-Conservative,119,2.654462e0
L-BFGS-Conservative,128,2.516207e0
L-BFGS-Conservative,137,2.389694e0
L-BFGS-Conservative,146,2.301532e0
L-BFGS-Conservative,155,2.248711e0
L-BFGS-Conservative,164,2.212140e0
L-BFGS-Conservative,173,2.177344e0
L-BFGS-Conservative,182,2.138175e0
L-BFGS-Conservative,191,2.101648e0
L-BFGS-Conservative,200,2.078326e0
L-BFGS-Conservative,209,2.065783e0
L-BFGS-Conservative,218,2.057212e0
L-BFGS-Conservative,227,2.048101e0
L-BFGS-Conservative,236,2.036428e0
L-BFGS-Conservative,245,2.025476e0
L-BFGS-Conservative,254,2.019361e0
L-BFGS-Conservative,263,2.016496e0
L-BFGS-Conservative,272,2.014520e0
L-BFGS-Conservative,281,2.012040e0
L-BFGS-Conservative,290,2.008328e0
L-BFGS-Conservative,299,2.004971e0
L-BFGS-Conservative,308,2.003454e0
L-BFGS-Conservative,317,2.002856e0
L-BFGS-Conservative,326,2.002423e0
L-BFGS-Conservative,335,2.001731e0
L-BFGS-Conservative,344,2.000500e0
L-BFGS-Conservative,353,1.999512e0
L-BFGS-Conservative,362,1.999189e0
L-BFGS-Conservative,371,1.999086e0
L-BFGS-Conservative,380,1.999002e0
L-BFGS-Conservative,389,1.998812e0
L-BFGS-Conservative,398,1.998408e0
L-BFGS-Conservative,407,1.998164e0
L-BFGS-Conservative,416,1.998116e0
L-BFGS-Conservative,425,1.998104e0
L-BFGS-Conservative,434,1.998091e0
L-BFGS-Conservative,443,1.998043e0
L-BFGS-Conservative,452,1.997930e0
L-BFGS-Conservative,461,1.997895e0
L-BFGS-Conservative,470,1.997892e0
L-BFGS-Conservative,479,1.997891e0
L-BFGS-Conservative,488,1.997890e0
L-BFGS-Conservative,497,1.997881e0
L-BFGS-Conservative,506,1.997869e0
L-BFGS-Conservative,515,1.997867e0
L-BFGS-Conservative,524,1.997867e0
L-BFGS-Conservative,533,1.997867e0
L-BFGS-Conservative,542,1.997867e0
L-BFGS-Conservative,551,1.997867e0
L-BFGS-Conservative,560,1.997867e0
L-BFGS-Conservative,569,1.997866e0
L-BFGS-Conservative,578,1.997866e0
L-BFGS-Conservative,587,1.997866e0
L-BFGS-Conservative,596,1.997866e0
L-BFGS-Conservative,605,1.997866e0
L-BFGS-Conservative,614,1.997866e0
L-BFGS-Conservative,623,1.997866e0
L-BFGS-Conservative,632,1.997866e0
L-BFGS-Conservative,641,1.997866e0
L-BFGS-Conservative,650,1.997866e0
L-BFGS-Conservative,659,1.997866e0
L-BFGS-Conservative,668,1.997866e0
L-BFGS-Conservative,677,1.997866e0
L-BFGS-Conservative,686,1.997866e0
L-BFGS-Conservative,695,1.997866e0
L-BFGS-Conservative,704,1.997866e0
L-BFGS-Conservative,713,1.997866e0
L-BFGS-Conservative,722,1.997866e0
L-BFGS-Conservative,731,1.997866e0
L-BFGS-Conservative,740,1.997866e0
L-BFGS-Conservative,749,1.997866e0
L-BFGS-Conservative,758,1.997866e0
L-BFGS-Conservative,767,1.997866e0
L-BFGS-Conservative,776,1.997866e0
L-BFGS-Conservative,785,1.997866e0
L-BFGS-Conservative,794,1.997866e0
L-BFGS-Conservative,803,1.997866e0
L-BFGS-Conservative,812,1.997866e0
L-BFGS-Conservative,821,1.997866e0
L-BFGS-Conservative,830,1.997866e0
L-BFGS-Conservative,839,1.997866e0
L-BFGS-Conservative,848,1.997866e0
L-BFGS-Conservative,857,1.997866e0
L-BFGS-Conservative,866,1.997866e0
L-BFGS-Conservative,875,1.997866e0
L-BFGS-Conservative,884,1.997866e0
L-BFGS-Conservative,893,1.997866e0
L-BFGS-Conservative,902,1.997866e0
L-BFGS-Conservative,911,1.997866e0
L-BFGS-Conservative,920,1.997866e0
L-BFGS-Conservative,929,1.997866e0
L-BFGS-Conservative,938,1.997866e0
L-BFGS-Conservative,947,1.997866e0
L-BFGS-Conservative,956,1.997866e0
L-BFGS-Conservative,965,1.997866e0
L-BFGS-Conservative,974,1.997866e0
L-BFGS-Conservative,983,1.997866e0
L-BFGS-Conservative,992,1.997866e0
L-BFGS-Conservative,1001,1.997866e0
L-BFGS-Conservative,1010,1.997866e0
L-BFGS-Conservative,1019,1.997866e0
L-BFGS-Conservative,1028,1.997866e0
L-BFGS-Conservative,2,1.024823e1
L-BFGS-Conservative,11,1.024823e1
L-BFGS-Conservative,20,8.644388e0
L-BFGS-Conservative,29,7.203952e0
L-BFGS-Conservative,38,6.114135e0
L-BFGS-Conservative,47,5.372570e0
L-BFGS-Conservative,56,4.826448e0
L-BFGS-Conservative,65,4.337695e0
L-BFGS-Conservative,74,3.849493e0
L-BFGS-Conservative,83,3.412053e0
L-BFGS-Conservative,92,3.102260e0
L-BFGS-Conservative,101,2.907400e0
L-BFGS-Conservative,110,2.767091e0
L-BFGS-Conservative,119,2.634916e0
L-BFGS-Conservative,128,2.493701e0
L-BFGS-Conservative,137,2.367240e0
L-BFGS-Conservative,146,2.285173e0
L-BFGS-Conservative,155,2.238385e0
L-BFGS-Conservative,164,2.205166e0
L-BFGS-Conservative,173,2.170925e0
L-BFGS-Conservative,182,2.130290e0
L-BFGS-Conservative,191,2.093882e0
L-BFGS-Conservative,200,2.072891e0
L-BFGS-Conservative,209,2.062272e0
