Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,1.271210e3
QQN-GoldenSection,53,1.271210e3
QQN-GoldenSection,108,8.954696e1
QQN-GoldenSection,161,8.636500e1
QQN-GoldenSection,209,8.496246e1
QQN-GoldenSection,257,8.414965e1
QQN-GoldenSection,305,8.400442e1
QQN-GoldenSection,353,8.400004e1
QQN-GoldenSection,367,8.400000e1
QQN-GoldenSection,381,8.400000e1
QQN-GoldenSection,2,3.513908e3
QQN-GoldenSection,53,3.513908e3
QQN-GoldenSection,108,8.917494e1
QQN-GoldenSection,160,8.437911e1
QQN-GoldenSection,213,8.402078e1
QQN-GoldenSection,261,8.401475e1
QQN-GoldenSection,309,8.400001e1
QQN-GoldenSection,357,8.400000e1
QQN-GoldenSection,405,8.400000e1
QQN-GoldenSection,2,1.585070e3
QQN-GoldenSection,53,1.585070e3
QQN-GoldenSection,108,8.799366e1
QQN-GoldenSection,160,8.419688e1
QQN-GoldenSection,213,8.400769e1
QQN-GoldenSection,261,8.400323e1
QQN-GoldenSection,275,8.400000e1
QQN-GoldenSection,289,8.400000e1
QQN-GoldenSection,337,8.400000e1
QQN-GoldenSection,351,8.400000e1
QQN-GoldenSection,365,8.400000e1
QQN-GoldenSection,2,1.445768e3
QQN-GoldenSection,53,1.445768e3
QQN-GoldenSection,108,8.675063e1
QQN-GoldenSection,160,8.457795e1
QQN-GoldenSection,213,8.410035e1
QQN-GoldenSection,261,8.401873e1
QQN-GoldenSection,309,8.400007e1
QQN-GoldenSection,323,8.400000e1
QQN-GoldenSection,371,8.400000e1
QQN-GoldenSection,426,8.400000e1
QQN-GoldenSection,428,8.400000e1
QQN-GoldenSection,2,2.681769e3
QQN-GoldenSection,53,2.681769e3
QQN-GoldenSection,108,8.683671e1
QQN-GoldenSection,161,8.550825e1
QQN-GoldenSection,209,8.409110e1
QQN-GoldenSection,257,8.400278e1
QQN-GoldenSection,305,8.400002e1
QQN-GoldenSection,353,8.400000e1
QQN-GoldenSection,401,8.400000e1
QQN-GoldenSection,449,8.400000e1
QQN-GoldenSection,2,1.383189e3
QQN-GoldenSection,53,1.383189e3
QQN-GoldenSection,108,9.065723e1
QQN-GoldenSection,161,8.791853e1
QQN-GoldenSection,209,8.489209e1
QQN-GoldenSection,257,8.404739e1
QQN-GoldenSection,305,8.400031e1
QQN-GoldenSection,353,8.400001e1
QQN-GoldenSection,367,8.400000e1
QQN-GoldenSection,415,8.400000e1
QQN-GoldenSection,471,8.400000e1
QQN-GoldenSection,473,8.400000e1
QQN-GoldenSection,2,1.298484e3
QQN-GoldenSection,53,1.298484e3
QQN-GoldenSection,108,8.678451e1
QQN-GoldenSection,160,8.440616e1
QQN-GoldenSection,213,8.404746e1
QQN-GoldenSection,261,8.401032e1
QQN-GoldenSection,309,8.400002e1
QQN-GoldenSection,357,8.400000e1
QQN-GoldenSection,412,8.400000e1
QQN-GoldenSection,2,6.126806e3
QQN-GoldenSection,53,6.126806e3
QQN-GoldenSection,108,8.948870e1
QQN-GoldenSection,160,8.411048e1
QQN-GoldenSection,213,8.400174e1
QQN-GoldenSection,261,8.400134e1
QQN-GoldenSection,275,8.400000e1
QQN-GoldenSection,323,8.400000e1
QQN-GoldenSection,337,8.400000e1
QQN-GoldenSection,392,8.400000e1
QQN-GoldenSection,394,8.400000e1
QQN-GoldenSection,2,9.113007e2
QQN-GoldenSection,54,9.113007e2
QQN-GoldenSection,109,8.711619e1
QQN-GoldenSection,162,8.536529e1
QQN-GoldenSection,210,8.422636e1
QQN-GoldenSection,258,8.401884e1
QQN-GoldenSection,306,8.400013e1
QQN-GoldenSection,354,8.400000e1
QQN-GoldenSection,410,8.400000e1
QQN-GoldenSection,424,8.400000e1
QQN-GoldenSection,2,2.358777e3
QQN-GoldenSection,53,2.358777e3
QQN-GoldenSection,108,8.878427e1
QQN-GoldenSection,160,8.459127e1
QQN-GoldenSection,213,8.405544e1
QQN-GoldenSection,261,8.403347e1
QQN-GoldenSection,309,8.400006e1
QQN-GoldenSection,357,8.400000e1
QQN-GoldenSection,414,8.400000e1
QQN-GoldenSection,416,8.400000e1
QQN-GoldenSection,2,8.964538e2
QQN-GoldenSection,54,8.964538e2
QQN-GoldenSection,109,8.663916e1
QQN-GoldenSection,161,8.411237e1
QQN-GoldenSection,214,8.400402e1
QQN-GoldenSection,262,8.400083e1
QQN-GoldenSection,276,8.400000e1
QQN-GoldenSection,324,8.400000e1
QQN-GoldenSection,379,8.400000e1
QQN-GoldenSection,2,1.261963e3
QQN-GoldenSection,53,1.261963e3
QQN-GoldenSection,108,8.670904e1
QQN-GoldenSection,160,8.488303e1
