Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,4.433720e0
QQN-GoldenSection,52,4.433720e0
QQN-GoldenSection,54,2.099615e-1
QQN-GoldenSection,2,3.463927e0
QQN-GoldenSection,56,3.463927e0
QQN-GoldenSection,107,2.547977e0
QQN-GoldenSection,109,7.050082e-2
QQN-GoldenSection,2,2.280374e0
QQN-GoldenSection,52,2.280374e0
QQN-GoldenSection,105,1.823511e0
QQN-GoldenSection,160,1.200203e0
QQN-GoldenSection,215,1.182317e0
QQN-GoldenSection,229,1.182317e0
QQN-GoldenSection,243,1.182317e0
QQN-GoldenSection,247,1.182317e0
QQN-GoldenSection,2,2.460100e0
QQN-GoldenSection,55,2.460100e0
QQN-GoldenSection,110,2.003104e0
QQN-GoldenSection,163,1.981107e0
QQN-GoldenSection,211,1.980932e0
QQN-GoldenSection,225,1.980921e0
QQN-GoldenSection,239,1.980921e0
QQN-GoldenSection,253,1.980921e0
QQN-GoldenSection,267,1.980921e0
QQN-GoldenSection,315,1.980921e0
QQN-GoldenSection,363,1.980921e0
QQN-GoldenSection,2,3.099910e0
QQN-GoldenSection,55,3.099910e0
QQN-GoldenSection,110,2.005725e0
QQN-GoldenSection,163,1.981535e0
QQN-GoldenSection,211,1.980922e0
QQN-GoldenSection,225,1.980921e0
QQN-GoldenSection,239,1.980921e0
QQN-GoldenSection,243,1.980921e0
QQN-GoldenSection,2,5.175153e0
QQN-GoldenSection,52,5.175153e0
QQN-GoldenSection,106,2.888907e-1
QQN-GoldenSection,159,2.888886e-1
QQN-GoldenSection,207,2.888870e-1
QQN-GoldenSection,259,2.888771e-1
QQN-GoldenSection,312,2.887622e-1
QQN-GoldenSection,364,2.887394e-1
QQN-GoldenSection,417,2.887133e-1
QQN-GoldenSection,469,2.886833e-1
QQN-GoldenSection,522,2.886487e-1
QQN-GoldenSection,574,2.886086e-1
QQN-GoldenSection,627,2.885619e-1
QQN-GoldenSection,679,2.885074e-1
QQN-GoldenSection,732,2.884436e-1
QQN-GoldenSection,784,2.883685e-1
QQN-GoldenSection,837,2.882785e-1
QQN-GoldenSection,889,2.881705e-1
QQN-GoldenSection,942,2.880388e-1
QQN-GoldenSection,993,2.878772e-1
QQN-GoldenSection,1046,2.876756e-1
QQN-GoldenSection,1097,2.874226e-1
QQN-GoldenSection,1150,2.870974e-1
QQN-GoldenSection,1201,2.866765e-1
QQN-GoldenSection,1254,2.861135e-1
QQN-GoldenSection,1305,2.853524e-1
QQN-GoldenSection,1358,2.842720e-1
QQN-GoldenSection,1360,2.827110e-1
QQN-GoldenSection,2,2.608324e0
QQN-GoldenSection,55,2.608324e0
QQN-GoldenSection,110,2.186097e0
QQN-GoldenSection,163,1.989864e0
QQN-GoldenSection,211,1.981105e0
QQN-GoldenSection,259,1.980923e0
QQN-GoldenSection,307,1.980921e0
QQN-GoldenSection,321,1.980921e0
QQN-GoldenSection,335,1.980921e0
QQN-GoldenSection,339,1.980921e0
QQN-GoldenSection,2,4.923699e0
QQN-GoldenSection,54,4.923699e0
QQN-GoldenSection,107,3.366996e0
QQN-GoldenSection,165,1.436241e0
