Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,4.433720e0,6.467682e-1
QQN-GoldenSection,52,4.433720e0,6.467682e-1
QQN-GoldenSection,54,2.099615e-1,-6.778603e-1
QQN-GoldenSection,2,3.463927e0,5.395688e-1
QQN-GoldenSection,56,3.463927e0,5.395688e-1
QQN-GoldenSection,107,2.547977e0,4.061955e-1
QQN-GoldenSection,109,7.050082e-2,-1.151806e0
QQN-GoldenSection,2,2.280374e0,3.580062e-1
QQN-GoldenSection,52,2.280374e0,3.580062e-1
QQN-GoldenSection,105,1.823511e0,2.609084e-1
QQN-GoldenSection,160,1.200203e0,7.925473e-2
QQN-GoldenSection,215,1.182317e0,7.273408e-2
QQN-GoldenSection,229,1.182317e0,7.273376e-2
QQN-GoldenSection,243,1.182317e0,7.273376e-2
QQN-GoldenSection,247,1.182317e0,7.273376e-2
QQN-GoldenSection,2,2.460100e0,3.909527e-1
QQN-GoldenSection,55,2.460100e0,3.909527e-1
QQN-GoldenSection,110,2.003104e0,3.017034e-1
QQN-GoldenSection,163,1.981107e0,2.969080e-1
QQN-GoldenSection,211,1.980932e0,2.968696e-1
QQN-GoldenSection,225,1.980921e0,2.968673e-1
QQN-GoldenSection,239,1.980921e0,2.968673e-1
QQN-GoldenSection,253,1.980921e0,2.968673e-1
QQN-GoldenSection,267,1.980921e0,2.968673e-1
QQN-GoldenSection,315,1.980921e0,2.968673e-1
QQN-GoldenSection,363,1.980921e0,2.968673e-1
QQN-GoldenSection,2,3.099910e0,4.913490e-1
QQN-GoldenSection,55,3.099910e0,4.913490e-1
QQN-GoldenSection,110,2.005725e0,3.022715e-1
QQN-GoldenSection,163,1.981535e0,2.970017e-1
QQN-GoldenSection,211,1.980922e0,2.968675e-1
QQN-GoldenSection,225,1.980921e0,2.968673e-1
QQN-GoldenSection,239,1.980921e0,2.968673e-1
QQN-GoldenSection,243,1.980921e0,2.968673e-1
QQN-GoldenSection,2,5.175153e0,7.139232e-1
QQN-GoldenSection,52,5.175153e0,7.139232e-1
QQN-GoldenSection,106,2.888907e-1,-5.392665e-1
QQN-GoldenSection,159,2.888886e-1,-5.392696e-1
QQN-GoldenSection,207,2.888870e-1,-5.392720e-1
QQN-GoldenSection,259,2.888771e-1,-5.392869e-1
QQN-GoldenSection,312,2.887622e-1,-5.394597e-1
QQN-GoldenSection,364,2.887394e-1,-5.394939e-1
QQN-GoldenSection,417,2.887133e-1,-5.395332e-1
QQN-GoldenSection,469,2.886833e-1,-5.395783e-1
QQN-GoldenSection,522,2.886487e-1,-5.396304e-1
QQN-GoldenSection,574,2.886086e-1,-5.396908e-1
QQN-GoldenSection,627,2.885619e-1,-5.397611e-1
QQN-GoldenSection,679,2.885074e-1,-5.398430e-1
QQN-GoldenSection,732,2.884436e-1,-5.399391e-1
QQN-GoldenSection,784,2.883685e-1,-5.400522e-1
QQN-GoldenSection,837,2.882785e-1,-5.401878e-1
QQN-GoldenSection,889,2.881705e-1,-5.403504e-1
QQN-GoldenSection,942,2.880388e-1,-5.405491e-1
QQN-GoldenSection,993,2.878772e-1,-5.407927e-1
QQN-GoldenSection,1046,2.876756e-1,-5.410969e-1
QQN-GoldenSection,1097,2.874226e-1,-5.414791e-1
QQN-GoldenSection,1150,2.870974e-1,-5.419707e-1
QQN-GoldenSection,1201,2.866765e-1,-5.426079e-1
QQN-GoldenSection,1254,2.861135e-1,-5.434616e-1
QQN-GoldenSection,1305,2.853524e-1,-5.446185e-1
QQN-GoldenSection,1358,2.842720e-1,-5.462659e-1
QQN-GoldenSection,1360,2.827110e-1,-5.486573e-1
QQN-GoldenSection,2,2.608324e0,4.163616e-1
QQN-GoldenSection,55,2.608324e0,4.163616e-1
QQN-GoldenSection,110,2.186097e0,3.396695e-1
QQN-GoldenSection,163,1.989864e0,2.988234e-1
QQN-GoldenSection,211,1.981105e0,2.969074e-1
QQN-GoldenSection,259,1.980923e0,2.968676e-1
QQN-GoldenSection,307,1.980921e0,2.968673e-1
QQN-GoldenSection,321,1.980921e0,2.968673e-1
QQN-GoldenSection,335,1.980921e0,2.968673e-1
QQN-GoldenSection,339,1.980921e0,2.968673e-1
QQN-GoldenSection,2,4.923699e0,6.922915e-1
QQN-GoldenSection,54,4.923699e0,6.922915e-1
QQN-GoldenSection,107,3.366996e0,5.272426e-1
QQN-GoldenSection,165,1.436241e0,1.572272e-1
QQN-GoldenSection,221,1.130822e0,5.339434e-2
QQN-GoldenSection,269,9.998620e-1,-5.993900e-5
QQN-GoldenSection,317,9.838067e-1,-7.090217e-3
QQN-GoldenSection,365,9.785618e-1,-9.411760e-3
QQN-GoldenSection,413,9.737671e-1,-1.154491e-2
QQN-GoldenSection,461,9.737121e-1,-1.156942e-2
QQN-GoldenSection,475,9.737116e-1,-1.156966e-2
QQN-GoldenSection,489,9.737116e-1,-1.156966e-2
QQN-GoldenSection,493,9.737116e-1,-1.156966e-2
QQN-GoldenSection,2,3.911405e0,5.923327e-1
QQN-GoldenSection,52,3.911405e0,5.923327e-1
QQN-GoldenSection,105,9.885581e-1,-4.997791e-3
QQN-GoldenSection,107,2.519188e-1,-5.987394e-1
QQN-GoldenSection,2,2.533195e0,4.036686e-1
QQN-GoldenSection,52,2.533195e0,4.036686e-1
QQN-GoldenSection,105,1.059643e0,2.515938e-2
QQN-GoldenSection,160,9.748982e-1,-1.104073e-2
QQN-GoldenSection,213,9.737198e-1,-1.156599e-2
QQN-GoldenSection,261,9.737151e-1,-1.156808e-2
