Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,3.451005e-2,-1.462054e0
QQN-GoldenSection,50,3.451005e-2,-1.462054e0
QQN-GoldenSection,103,2.928270e-2,-1.533389e0
QQN-GoldenSection,151,2.623587e-2,-1.581104e0
QQN-GoldenSection,153,2.032001e-2,-1.692076e0
QQN-GoldenSection,2,4.576759e-2,-1.339442e0
QQN-GoldenSection,49,4.576759e-2,-1.339442e0
QQN-GoldenSection,102,3.420199e-2,-1.465949e0
QQN-GoldenSection,150,3.129751e-2,-1.504490e0
QQN-GoldenSection,152,1.391439e-2,-1.856536e0
QQN-GoldenSection,2,3.886620e-2,-1.410428e0
QQN-GoldenSection,51,3.886620e-2,-1.410428e0
QQN-GoldenSection,104,3.084210e-2,-1.510856e0
QQN-GoldenSection,106,2.473737e-2,-1.606646e0
QQN-GoldenSection,2,4.656722e-2,-1.331920e0
QQN-GoldenSection,50,4.656722e-2,-1.331920e0
QQN-GoldenSection,103,3.953433e-2,-1.403026e0
QQN-GoldenSection,151,3.539923e-2,-1.451006e0
QQN-GoldenSection,199,2.752074e-2,-1.560340e0
QQN-GoldenSection,201,1.318203e-2,-1.880018e0
QQN-GoldenSection,2,4.870117e-2,-1.312461e0
QQN-GoldenSection,51,4.870117e-2,-1.312461e0
QQN-GoldenSection,104,3.970115e-2,-1.401197e0
QQN-GoldenSection,152,3.281459e-2,-1.483933e0
QQN-GoldenSection,200,2.897060e-2,-1.538043e0
QQN-GoldenSection,202,1.413695e-2,-1.849644e0
QQN-GoldenSection,2,3.139438e-2,-1.503148e0
QQN-GoldenSection,51,3.139438e-2,-1.503148e0
QQN-GoldenSection,104,2.629377e-2,-1.580147e0
QQN-GoldenSection,106,2.247153e-2,-1.648367e0
QQN-GoldenSection,2,4.756784e-2,-1.322687e0
QQN-GoldenSection,49,4.756784e-2,-1.322687e0
QQN-GoldenSection,102,3.936897e-2,-1.404846e0
QQN-GoldenSection,150,3.568215e-2,-1.447549e0
QQN-GoldenSection,152,2.440247e-2,-1.612566e0
QQN-GoldenSection,2,6.652551e-2,-1.177012e0
QQN-GoldenSection,49,6.652551e-2,-1.177012e0
QQN-GoldenSection,102,3.521955e-2,-1.453216e0
QQN-GoldenSection,150,3.238803e-2,-1.489616e0
QQN-GoldenSection,152,1.121334e-3,-2.950265e0
QQN-GoldenSection,2,6.269590e-2,-1.202761e0
QQN-GoldenSection,49,6.269590e-2,-1.202761e0
QQN-GoldenSection,102,3.913246e-2,-1.407463e0
QQN-GoldenSection,150,3.594252e-2,-1.444392e0
QQN-GoldenSection,152,6.055683e-3,-2.217837e0
QQN-GoldenSection,2,3.876550e-2,-1.411555e0
QQN-GoldenSection,50,3.876550e-2,-1.411555e0
QQN-GoldenSection,103,3.302843e-2,-1.481112e0
QQN-GoldenSection,151,2.921595e-2,-1.534380e0
QQN-GoldenSection,153,2.391646e-2,-1.621303e0
QQN-GoldenSection,2,5.879356e-2,-1.230670e0
QQN-GoldenSection,49,5.879356e-2,-1.230670e0
QQN-GoldenSection,102,3.618119e-2,-1.441517e0
QQN-GoldenSection,150,3.323666e-2,-1.478383e0
QQN-GoldenSection,152,5.078124e-3,-2.294297e0
QQN-GoldenSection,2,4.889973e-2,-1.310694e0
QQN-GoldenSection,49,4.889973e-2,-1.310694e0
QQN-GoldenSection,102,3.991849e-2,-1.398826e0
QQN-GoldenSection,150,3.627622e-2,-1.440378e0
QQN-GoldenSection,152,2.340415e-2,-1.630707e0
QQN-GoldenSection,2,4.896215e-2,-1.310140e0
QQN-GoldenSection,50,4.896215e-2,-1.310140e0
QQN-GoldenSection,103,4.171864e-2,-1.379670e0
QQN-GoldenSection,151,3.694117e-2,-1.432489e0
QQN-GoldenSection,199,3.014541e-2,-1.520779e0
QQN-GoldenSection,201,1.543656e-2,-1.811450e0
QQN-GoldenSection,2,3.816265e-2,-1.418362e0
QQN-GoldenSection,49,3.816265e-2,-1.418362e0
QQN-GoldenSection,102,2.873806e-2,-1.541543e0
QQN-GoldenSection,150,2.628916e-2,-1.580223e0
QQN-GoldenSection,152,1.208823e-2,-1.917637e0
QQN-GoldenSection,2,5.000061e-2,-1.301025e0
QQN-GoldenSection,51,5.000061e-2,-1.301025e0
QQN-GoldenSection,104,4.136361e-2,-1.383382e0
QQN-GoldenSection,152,3.479051e-2,-1.458539e0
QQN-GoldenSection,200,3.044963e-2,-1.516418e0
QQN-GoldenSection,202,1.537927e-2,-1.813064e0
QQN-GoldenSection,2,4.937881e-2,-1.306459e0
QQN-GoldenSection,50,4.937881e-2,-1.306459e0
QQN-GoldenSection,103,4.180249e-2,-1.378798e0
QQN-GoldenSection,151,3.753499e-2,-1.425564e0
