Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
L-BFGS-Aggressive,4307,1.467345e-2,-1.833468e0
L-BFGS-Aggressive,332,4.462987e-2,-1.350374e0
L-BFGS-Aggressive,22,1.225276e-1,-9.117660e-1
L-BFGS-Aggressive,42,3.391694e-1,-4.695834e-1
L-BFGS-Aggressive,4320,1.697498e-1,-7.701907e-1
L-BFGS-Aggressive,4329,1.073373e-1,-9.692493e-1
L-BFGS-Aggressive,4337,1.025485e-1,-9.890707e-1
L-BFGS-Aggressive,4345,5.014463e-3,-2.299776e0
L-BFGS-Aggressive,4353,2.862535e-3,-2.543249e0
L-BFGS,93,3.636569e-1,-4.393081e-1
L-BFGS,110,1.127369e-4,-3.947934e0
L-BFGS,120,1.192432e-1,-9.235664e-1
