Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,4.709059e0
QQN-GoldenSection,51,4.709059e0
QQN-GoldenSection,2,6.279121e0
QQN-GoldenSection,15,6.279121e0
QQN-GoldenSection,2,4.877298e0
QQN-GoldenSection,49,4.877298e0
QQN-GoldenSection,63,4.873394e0
QQN-GoldenSection,115,4.872788e0
QQN-GoldenSection,2,4.692128e0
QQN-GoldenSection,53,4.692128e0
QQN-GoldenSection,55,3.842213e0
QQN-GoldenSection,2,4.967063e0
QQN-GoldenSection,15,4.967063e0
QQN-GoldenSection,2,5.436319e0
QQN-GoldenSection,15,5.436319e0
QQN-GoldenSection,2,5.088313e0
QQN-GoldenSection,53,5.088313e0
QQN-GoldenSection,55,3.493237e0
QQN-GoldenSection,2,5.130842e0
QQN-GoldenSection,50,5.130842e0
QQN-GoldenSection,2,5.187646e0
QQN-GoldenSection,49,5.187646e0
QQN-GoldenSection,2,5.404490e0
QQN-GoldenSection,15,5.404490e0
QQN-GoldenSection,67,5.400080e0
QQN-Bisection-1,2,5.842446e0
QQN-Bisection-1,59,5.842446e0
QQN-Bisection-1,149,5.837809e0
QQN-Bisection-1,230,5.830224e0
QQN-Bisection-1,261,4.748346e0
QQN-Bisection-1,263,3.960061e0
QQN-Bisection-1,2,5.909387e0
QQN-Bisection-1,99,5.909387e0
QQN-Bisection-1,170,5.773831e0
QQN-Bisection-1,260,5.560544e0
QQN-Bisection-1,343,5.553214e0
QQN-Bisection-1,416,4.872166e0
QQN-Bisection-1,418,4.344419e0
QQN-Bisection-1,2,5.635619e0
QQN-Bisection-1,88,5.635619e0
QQN-Bisection-1,178,5.632341e0
QQN-Bisection-1,261,5.627246e0
QQN-Bisection-1,340,5.414447e0
QQN-Bisection-1,371,5.411734e0
QQN-Bisection-1,461,4.869499e0
QQN-Bisection-1,2,4.946322e0
QQN-Bisection-1,90,4.946322e0
QQN-Bisection-1,173,4.927722e0
QQN-Bisection-1,252,4.809325e0
QQN-Bisection-1,323,4.803418e0
QQN-Bisection-1,406,4.627723e0
QQN-Bisection-1,408,4.273035e0
QQN-Bisection-1,2,5.840353e0
QQN-Bisection-1,69,5.840353e0
QQN-Bisection-1,140,5.838692e0
QQN-Bisection-1,142,4.133597e0
QQN-Bisection-1,2,5.101828e0
QQN-Bisection-1,69,5.101828e0
QQN-Bisection-1,2,4.872352e0
QQN-Bisection-1,69,4.872352e0
QQN-Bisection-1,159,4.866014e0
QQN-Bisection-1,244,4.864563e0
QQN-Bisection-1,275,4.860814e0
QQN-Bisection-1,296,4.754871e0
QQN-Bisection-1,298,3.746750e0
QQN-Bisection-1,2,5.843121e0
QQN-Bisection-1,69,5.843121e0
QQN-Bisection-1,159,5.838585e0
QQN-Bisection-1,249,5.834391e0
QQN-Bisection-1,322,5.834099e0
QQN-Bisection-1,399,5.713112e0
QQN-Bisection-1,489,5.713065e0
QQN-Bisection-1,2,5.644102e0
QQN-Bisection-1,69,5.644102e0
QQN-Bisection-1,159,5.638402e0
QQN-Bisection-1,234,5.636603e0
QQN-Bisection-1,265,5.623036e0
QQN-Bisection-1,286,5.538629e0
QQN-Bisection-1,376,5.383285e0
QQN-Bisection-1,2,4.966904e0
QQN-Bisection-1,85,4.966904e0
QQN-Bisection-1,87,3.818604e0
QQN-Bisection-1,2,5.189579e0
QQN-Bisection-1,59,5.189579e0
QQN-Bisection-1,61,2.431718e0
