Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,7.174470e1
QQN-GoldenSection,53,7.174470e1
QQN-GoldenSection,108,4.654457e1
QQN-GoldenSection,161,2.522634e1
QQN-GoldenSection,163,1.594205e1
QQN-GoldenSection,2,8.197999e1
QQN-GoldenSection,54,8.197999e1
QQN-GoldenSection,109,5.592709e1
QQN-GoldenSection,162,3.240603e1
QQN-GoldenSection,210,2.912989e1
QQN-GoldenSection,258,2.391777e1
QQN-GoldenSection,306,2.387900e1
QQN-GoldenSection,354,2.387895e1
QQN-GoldenSection,402,2.387895e1
QQN-GoldenSection,416,2.387895e1
QQN-GoldenSection,430,2.387895e1
QQN-GoldenSection,434,2.387895e1
QQN-GoldenSection,2,7.917197e1
QQN-GoldenSection,54,7.917197e1
QQN-GoldenSection,109,3.905376e1
QQN-GoldenSection,111,2.009825e1
QQN-GoldenSection,2,7.844756e1
QQN-GoldenSection,53,7.844756e1
QQN-GoldenSection,108,3.250797e1
QQN-GoldenSection,110,7.974112e0
QQN-GoldenSection,2,8.295528e1
QQN-GoldenSection,54,8.295528e1
QQN-GoldenSection,109,5.978240e1
QQN-GoldenSection,162,4.844575e1
QQN-GoldenSection,220,4.122324e1
QQN-GoldenSection,278,3.489935e1
QQN-GoldenSection,326,3.482341e1
QQN-GoldenSection,374,3.482341e1
QQN-GoldenSection,388,3.482341e1
QQN-GoldenSection,402,3.482341e1
QQN-GoldenSection,450,3.482341e1
QQN-GoldenSection,464,3.482341e1
QQN-GoldenSection,478,3.482341e1
QQN-GoldenSection,492,3.482341e1
QQN-GoldenSection,2,8.476975e1
QQN-GoldenSection,53,8.476975e1
QQN-GoldenSection,108,4.043901e1
QQN-GoldenSection,161,3.815634e1
QQN-GoldenSection,217,3.795277e1
QQN-GoldenSection,275,2.115102e1
QQN-GoldenSection,333,2.089408e1
QQN-GoldenSection,2,7.250182e1
QQN-GoldenSection,54,7.250182e1
QQN-GoldenSection,109,5.210071e1
QQN-GoldenSection,162,2.270121e1
QQN-GoldenSection,210,2.160352e1
QQN-GoldenSection,258,2.092800e1
QQN-GoldenSection,306,2.089536e1
QQN-GoldenSection,354,2.089408e1
QQN-GoldenSection,368,2.089408e1
QQN-GoldenSection,382,2.089408e1
QQN-GoldenSection,430,2.089408e1
QQN-GoldenSection,478,2.089408e1
QQN-GoldenSection,482,2.089408e1
QQN-GoldenSection,2,7.712783e1
QQN-GoldenSection,56,7.712783e1
QQN-GoldenSection,111,4.134944e1
QQN-GoldenSection,164,2.787294e1
QQN-GoldenSection,212,2.641014e1
QQN-GoldenSection,260,2.490375e1
QQN-GoldenSection,308,2.487401e1
QQN-GoldenSection,356,2.487393e1
QQN-GoldenSection,404,2.487393e1
QQN-GoldenSection,418,2.487393e1
QQN-GoldenSection,422,2.487393e1
QQN-GoldenSection,2,7.564276e1
