Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,7.174470e1,1.855790e0
QQN-GoldenSection,53,7.174470e1,1.855790e0
QQN-GoldenSection,108,4.654457e1,1.667869e0
QQN-GoldenSection,161,2.522634e1,1.401854e0
QQN-GoldenSection,163,1.594205e1,1.202544e0
QQN-GoldenSection,2,8.197999e1,1.913708e0
QQN-GoldenSection,54,8.197999e1,1.913708e0
QQN-GoldenSection,109,5.592709e1,1.747622e0
QQN-GoldenSection,162,3.240603e1,1.510626e0
QQN-GoldenSection,210,2.912989e1,1.464339e0
QQN-GoldenSection,258,2.391777e1,1.378721e0
QQN-GoldenSection,306,2.387900e1,1.378016e0
QQN-GoldenSection,354,2.387895e1,1.378015e0
QQN-GoldenSection,402,2.387895e1,1.378015e0
QQN-GoldenSection,416,2.387895e1,1.378015e0
QQN-GoldenSection,430,2.387895e1,1.378015e0
QQN-GoldenSection,434,2.387895e1,1.378015e0
QQN-GoldenSection,2,7.917197e1,1.898571e0
QQN-GoldenSection,54,7.917197e1,1.898571e0
QQN-GoldenSection,109,3.905376e1,1.591663e0
QQN-GoldenSection,111,2.009825e1,1.303158e0
QQN-GoldenSection,2,7.844756e1,1.894579e0
QQN-GoldenSection,53,7.844756e1,1.894579e0
QQN-GoldenSection,108,3.250797e1,1.511990e0
QQN-GoldenSection,110,7.974112e0,9.016823e-1
QQN-GoldenSection,2,8.295528e1,1.918844e0
QQN-GoldenSection,54,8.295528e1,1.918844e0
QQN-GoldenSection,109,5.978240e1,1.776573e0
QQN-GoldenSection,162,4.844575e1,1.685256e0
QQN-GoldenSection,220,4.122324e1,1.615142e0
QQN-GoldenSection,278,3.489935e1,1.542817e0
QQN-GoldenSection,326,3.482341e1,1.541871e0
QQN-GoldenSection,374,3.482341e1,1.541871e0
QQN-GoldenSection,388,3.482341e1,1.541871e0
QQN-GoldenSection,402,3.482341e1,1.541871e0
QQN-GoldenSection,450,3.482341e1,1.541871e0
QQN-GoldenSection,464,3.482341e1,1.541871e0
QQN-GoldenSection,478,3.482341e1,1.541871e0
QQN-GoldenSection,492,3.482341e1,1.541871e0
QQN-GoldenSection,2,8.476975e1,1.928241e0
QQN-GoldenSection,53,8.476975e1,1.928241e0
QQN-GoldenSection,108,4.043901e1,1.606800e0
QQN-GoldenSection,161,3.815634e1,1.581567e0
QQN-GoldenSection,217,3.795277e1,1.579244e0
QQN-GoldenSection,275,2.115102e1,1.325331e0
QQN-GoldenSection,333,2.089408e1,1.320023e0
QQN-GoldenSection,2,7.250182e1,1.860349e0
QQN-GoldenSection,54,7.250182e1,1.860349e0
QQN-GoldenSection,109,5.210071e1,1.716844e0
QQN-GoldenSection,162,2.270121e1,1.356049e0
QQN-GoldenSection,210,2.160352e1,1.334525e0
QQN-GoldenSection,258,2.092800e1,1.320728e0
QQN-GoldenSection,306,2.089536e1,1.320050e0
QQN-GoldenSection,354,2.089408e1,1.320023e0
QQN-GoldenSection,368,2.089408e1,1.320023e0
QQN-GoldenSection,382,2.089408e1,1.320023e0
QQN-GoldenSection,430,2.089408e1,1.320023e0
QQN-GoldenSection,478,2.089408e1,1.320023e0
QQN-GoldenSection,482,2.089408e1,1.320023e0
QQN-GoldenSection,2,7.712783e1,1.887211e0
QQN-GoldenSection,56,7.712783e1,1.887211e0
QQN-GoldenSection,111,4.134944e1,1.616470e0
QQN-GoldenSection,164,2.787294e1,1.445183e0
QQN-GoldenSection,212,2.641014e1,1.421771e0
QQN-GoldenSection,260,2.490375e1,1.396265e0
QQN-GoldenSection,308,2.487401e1,1.395746e0
QQN-GoldenSection,356,2.487393e1,1.395744e0
QQN-GoldenSection,404,2.487393e1,1.395744e0
QQN-GoldenSection,418,2.487393e1,1.395744e0
QQN-GoldenSection,422,2.487393e1,1.395744e0
QQN-GoldenSection,2,7.564276e1,1.878767e0
QQN-GoldenSection,55,7.564276e1,1.878767e0
QQN-GoldenSection,110,2.350987e1,1.371250e0
QQN-GoldenSection,112,8.796089e0,9.442896e-1
QQN-GoldenSection,2,8.321302e1,1.920191e0
QQN-GoldenSection,53,8.321302e1,1.920191e0
QQN-GoldenSection,108,6.161843e1,1.789711e0
QQN-GoldenSection,161,4.588137e1,1.661636e0
QQN-GoldenSection,209,3.834081e1,1.583661e0
QQN-GoldenSection,257,3.495367e1,1.543493e0
QQN-GoldenSection,305,3.485652e1,1.542284e0
QQN-GoldenSection,353,3.482346e1,1.541872e0
QQN-GoldenSection,401,3.482341e1,1.541871e0
QQN-GoldenSection,415,3.482341e1,1.541871e0
QQN-GoldenSection,429,3.482341e1,1.541871e0
QQN-GoldenSection,433,3.482341e1,1.541871e0
QQN-GoldenSection,2,7.643788e1,1.883309e0
QQN-GoldenSection,53,7.643788e1,1.883309e0
QQN-GoldenSection,108,3.613669e1,1.557948e0
QQN-GoldenSection,161,2.121616e1,1.326667e0
QQN-GoldenSection,209,2.096143e1,1.321421e0
QQN-GoldenSection,257,2.089580e1,1.320059e0
QQN-GoldenSection,305,2.089417e1,1.320025e0
QQN-GoldenSection,353,2.089408e1,1.320023e0
QQN-GoldenSection,367,2.089408e1,1.320023e0
QQN-GoldenSection,381,2.089408e1,1.320023e0
QQN-GoldenSection,2,8.371858e1,1.922822e0
QQN-GoldenSection,52,8.371858e1,1.922822e0
QQN-GoldenSection,107,4.173503e1,1.620501e0
QQN-GoldenSection,109,1.327537e1,1.123047e0
QQN-GoldenSection,2,7.951611e1,1.900455e0
QQN-GoldenSection,55,7.951611e1,1.900455e0
QQN-GoldenSection,110,4.794350e1,1.680730e0
QQN-GoldenSection,163,2.847413e1,1.454451e0
QQN-GoldenSection,211,2.568421e1,1.409666e0
QQN-GoldenSection,259,2.488852e1,1.395999e0
QQN-GoldenSection,307,2.487393e1,1.395744e0
QQN-GoldenSection,321,2.487393e1,1.395744e0
QQN-GoldenSection,335,2.487393e1,1.395744e0
QQN-GoldenSection,349,2.487393e1,1.395744e0
QQN-GoldenSection,397,2.487393e1,1.395744e0
QQN-GoldenSection,411,2.487393e1,1.395744e0
QQN-GoldenSection,425,2.487393e1,1.395744e0
