Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,1.637821e0,2.142665e-1
QQN-GoldenSection,50,1.637821e0,2.142665e-1
QQN-GoldenSection,52,2.636831e-14,-1.357892e1
QQN-GoldenSection,2,1.885583e0,2.754457e-1
QQN-GoldenSection,50,1.885583e0,2.754457e-1
QQN-GoldenSection,52,3.035718e-14,-1.351774e1
QQN-GoldenSection,2,1.923494e0,2.840909e-1
QQN-GoldenSection,50,1.923494e0,2.840909e-1
QQN-GoldenSection,52,3.096754e-14,-1.350909e1
QQN-GoldenSection,2,2.212453e0,3.448740e-1
QQN-GoldenSection,50,2.212453e0,3.448740e-1
QQN-GoldenSection,52,3.561966e-14,-1.344831e1
QQN-GoldenSection,2,2.402983e0,3.807508e-1
QQN-GoldenSection,50,2.402983e0,3.807508e-1
QQN-GoldenSection,52,3.868713e-14,-1.341243e1
QQN-GoldenSection,2,1.539564e0,1.873978e-1
QQN-GoldenSection,50,1.539564e0,1.873978e-1
QQN-GoldenSection,52,2.478641e-14,-1.360579e1
QQN-GoldenSection,2,2.180098e0,3.384761e-1
QQN-GoldenSection,50,2.180098e0,3.384761e-1
QQN-GoldenSection,52,3.509877e-14,-1.345471e1
QQN-GoldenSection,2,1.971385e0,2.947714e-1
QQN-GoldenSection,50,1.971385e0,2.947714e-1
QQN-GoldenSection,52,3.173855e-14,-1.349841e1
QQN-GoldenSection,2,2.170456e0,3.365510e-1
QQN-GoldenSection,50,2.170456e0,3.365510e-1
QQN-GoldenSection,52,3.494353e-14,-1.345663e1
QQN-GoldenSection,2,1.869774e0,2.717892e-1
QQN-GoldenSection,50,1.869774e0,2.717892e-1
QQN-GoldenSection,52,3.010266e-14,-1.352140e1
QQN-GoldenSection,2,2.008143e0,3.027947e-1
QQN-GoldenSection,50,2.008143e0,3.027947e-1
QQN-GoldenSection,52,3.233035e-14,-1.349039e1
QQN-GoldenSection,2,2.206269e0,3.436584e-1
QQN-GoldenSection,50,2.206269e0,3.436584e-1
QQN-GoldenSection,52,3.552010e-14,-1.344953e1
QQN-GoldenSection,2,2.359395e0,3.728006e-1
QQN-GoldenSection,50,2.359395e0,3.728006e-1
QQN-GoldenSection,52,3.798537e-14,-1.342038e1
QQN-GoldenSection,2,1.584249e0,1.998235e-1
QQN-GoldenSection,50,1.584249e0,1.998235e-1
QQN-GoldenSection,52,2.550582e-14,-1.359336e1
QQN-GoldenSection,2,2.460573e0,3.910363e-1
QQN-GoldenSection,50,2.460573e0,3.910363e-1
QQN-GoldenSection,52,3.961430e-14,-1.340215e1
QQN-GoldenSection,2,2.333406e0,3.679904e-1
QQN-GoldenSection,50,2.333406e0,3.679904e-1
QQN-GoldenSection,52,3.756696e-14,-1.342519e1
QQN-GoldenSection,2,1.626834e0,2.113433e-1
QQN-GoldenSection,50,1.626834e0,2.113433e-1
QQN-GoldenSection,52,2.619142e-14,-1.358184e1
QQN-GoldenSection,2,2.371998e0,3.751144e-1
QQN-GoldenSection,50,2.371998e0,3.751144e-1
QQN-GoldenSection,52,3.818828e-14,-1.341807e1
QQN-GoldenSection,2,1.528292e0,1.842064e-1
QQN-GoldenSection,50,1.528292e0,1.842064e-1
QQN-GoldenSection,52,2.460493e-14,-1.360898e1
QQN-GoldenSection,2,1.780500e0,2.505420e-1
QQN-GoldenSection,50,1.780500e0,2.505420e-1
QQN-GoldenSection,52,2.866538e-14,-1.354264e1
QQN-Bisection-1,2,2.452142e0,3.895456e-1
QQN-Bisection-1,23,2.452142e0,3.895456e-1
QQN-Bisection-1,2,2.024916e0,3.064071e-1
QQN-Bisection-1,23,2.024916e0,3.064071e-1
QQN-Bisection-1,2,2.718866e0,4.343878e-1
QQN-Bisection-1,23,2.718866e0,4.343878e-1
QQN-Bisection-1,2,1.614983e0,2.081680e-1
QQN-Bisection-1,23,1.614983e0,2.081680e-1
