Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,8.344265e-1,-7.861191e-2
QQN-GoldenSection,50,8.344265e-1,-7.861191e-2
QQN-GoldenSection,2,3.575712e-2,-1.446637e0
QQN-GoldenSection,50,3.575712e-2,-1.446637e0
QQN-Bisection-1,2,5.631681e-1,-2.493619e-1
QQN-Bisection-1,59,5.631681e-1,-2.493619e-1
QQN-Bisection-1,2,5.444294e-1,-2.640584e-1
QQN-Bisection-1,61,5.444294e-1,-2.640584e-1
QQN-Bisection-1,2,5.711701e-2,-1.243235e0
QQN-Bisection-1,99,5.711701e-2,-1.243235e0
QQN-Bisection-1,2,1.437834e-1,-8.422912e-1
QQN-Bisection-1,61,1.437834e-1,-8.422912e-1
QQN-Bisection-1,2,4.992548e-1,-3.016778e-1
QQN-Bisection-1,61,4.992548e-1,-3.016778e-1
QQN-Bisection-1,2,3.047154e-2,-1.516106e0
QQN-Bisection-1,61,3.047154e-2,-1.516106e0
QQN-Bisection-1,2,5.114784e-1,-2.911727e-1
QQN-Bisection-1,59,5.114784e-1,-2.911727e-1
QQN-Bisection-1,2,8.067921e-1,-9.323837e-2
QQN-Bisection-1,63,8.067921e-1,-9.323837e-2
QQN-Bisection-2,2,3.168220e-1,-4.991847e-1
QQN-Bisection-2,61,3.168220e-1,-4.991847e-1
QQN-Bisection-2,2,5.982319e-1,-2.231304e-1
QQN-Bisection-2,61,5.982319e-1,-2.231304e-1
QQN-Bisection-2,2,5.636218e-2,-1.249012e0
QQN-Bisection-2,60,5.636218e-2,-1.249012e0
QQN-Bisection-2,2,2.672730e-1,-5.730449e-1
QQN-Bisection-2,61,2.672730e-1,-5.730449e-1
QQN-Bisection-2,2,3.981025e-1,-4.000051e-1
QQN-Bisection-2,61,3.981025e-1,-4.000051e-1
QQN-Bisection-2,2,5.346356e-1,-2.719421e-1
QQN-Bisection-2,61,5.346356e-1,-2.719421e-1
QQN-Bisection-2,2,1.894601e-1,-7.224822e-1
QQN-Bisection-2,61,1.894601e-1,-7.224822e-1
QQN-StrongWolfe,2,1.604546e-1,-7.946477e-1
QQN-StrongWolfe,35,1.604546e-1,-7.946477e-1
QQN-StrongWolfe,2,1.476094e-2,-1.830886e0
QQN-StrongWolfe,33,1.476094e-2,-1.830886e0
QQN-StrongWolfe,2,7.052088e-1,-1.516823e-1
QQN-StrongWolfe,15,7.052088e-1,-1.516823e-1
QQN-CubicQuadraticInterpolation,2,4.079361e-1,-3.894078e-1
QQN-CubicQuadraticInterpolation,24,4.079361e-1,-3.894078e-1
QQN-CubicQuadraticInterpolation,2,2.693495e-1,-5.696839e-1
QQN-CubicQuadraticInterpolation,24,2.693495e-1,-5.696839e-1
QQN-CubicQuadraticInterpolation,2,1.929929e-3,-2.714459e0
QQN-CubicQuadraticInterpolation,24,1.929929e-3,-2.714459e0
L-BFGS-Aggressive,2,4.595028e-2,-1.337712e0
L-BFGS-Aggressive,11,4.595028e-2,-1.337712e0
L-BFGS-Aggressive,2,6.731567e-1,-1.718838e-1
L-BFGS-Aggressive,10,6.731567e-1,-1.718838e-1
L-BFGS-Aggressive,2,6.881629e-2,-1.162309e0
L-BFGS-Aggressive,11,6.881629e-2,-1.162309e0
L-BFGS-Aggressive,2,3.983035e-1,-3.997859e-1
L-BFGS-Aggressive,11,3.983035e-1,-3.997859e-1
L-BFGS,2,4.305014e-1,-3.660254e-1
L-BFGS,11,4.305014e-1,-3.660254e-1
L-BFGS,2,1.381296e-1,-8.597132e-1
L-BFGS,21,1.381296e-1,-8.597132e-1
L-BFGS,2,4.121822e-2,-1.384911e0
L-BFGS,21,4.121822e-2,-1.384911e0
L-BFGS,2,5.920840e-2,-1.227617e0
L-BFGS,19,5.920840e-2,-1.227617e0
L-BFGS,2,1.811456e-1,-7.419721e-1
L-BFGS,11,1.811456e-1,-7.419721e-1
L-BFGS,2,9.399902e-2,-1.026877e0
L-BFGS,19,9.399902e-2,-1.026877e0
L-BFGS,2,1.621895e-1,-7.899773e-1
L-BFGS,21,1.621895e-1,-7.899773e-1
L-BFGS,2,3.440191e-1,-4.634175e-1
L-BFGS,11,3.440191e-1,-4.634175e-1
L-BFGS-Conservative,2,3.199635e-1,-4.948996e-1
L-BFGS-Conservative,11,3.199635e-1,-4.948996e-1
L-BFGS-Conservative,2,6.962492e-1,-1.572353e-1
L-BFGS-Conservative,11,6.962492e-1,-1.572353e-1
L-BFGS-Conservative,20,1.509116e-1,-8.212773e-1
L-BFGS-Conservative,2,8.493943e-3,-2.070891e0
L-BFGS-Conservative,11,8.493943e-3,-2.070891e0
L-BFGS-MoreThuente,2,5.797048e-1,-2.367931e-1
L-BFGS-MoreThuente,18,5.797048e-1,-2.367931e-1
L-BFGS-MoreThuente,2,6.153332e-1,-2.108896e-1
L-BFGS-MoreThuente,20,6.153332e-1,-2.108896e-1
L-BFGS-MoreThuente,2,1.183350e-1,-9.268866e-1
L-BFGS-MoreThuente,16,1.183350e-1,-9.268866e-1
L-BFGS-Limited,2,2.733774e-2,-1.563237e0
L-BFGS-Limited,10,2.733774e-2,-1.563237e0
L-BFGS-Limited,2,4.172071e-1,-3.796483e-1
L-BFGS-Limited,10,4.172071e-1,-3.796483e-1
L-BFGS-Limited,2,9.415629e-2,-1.026151e0
L-BFGS-Limited,10,9.415629e-2,-1.026151e0
GD,2,5.354946e-1,-2.712449e-1
GD,5,5.354946e-1,-2.712449e-1
GD,8,3.828548e-1,-4.169659e-1
GD,11,1.775030e-1,-7.507943e-1
GD,2,8.310234e-1,-8.038675e-2
GD,5,8.310234e-1,-8.038675e-2
GD,8,7.803231e-1,-1.077255e-1
GD,11,7.121057e-1,-1.474555e-1
GD,14,6.203214e-1,-2.073833e-1
GD,17,4.968503e-1,-3.037745e-1
GD,20,3.308195e-1,-4.804089e-1
GD,23,1.077209e-1,-9.676999e-1
GD,2,6.020807e-1,-2.203453e-1
GD,5,6.020807e-1,-2.203453e-1
GD,8,4.724898e-1,-3.256075e-1
GD,11,2.981936e-1,-5.255016e-1
GD,14,6.382356e-2,-1.195019e0
GD,2,7.296874e-1,-1.368631e-1
GD,5,7.296874e-1,-1.368631e-1
GD,8,6.441357e-1,-1.910226e-1
GD,11,5.290718e-1,-2.764853e-1
GD,14,3.743264e-1,-4.267496e-1
GD,17,1.662604e-1,-7.792112e-1
GD,2,6.457306e-1,-1.899486e-1
GD,5,6.457306e-1,-1.899486e-1
GD,8,5.312134e-1,-2.747310e-1
GD,11,3.771540e-1,-4.234813e-1
GD,14,1.698956e-1,-7.698178e-1
GD,2,9.000722e-1,-4.572267e-2
GD,5,9.000722e-1,-4.572267e-2
GD,8,8.732592e-1,-5.885681e-2
GD,11,8.372075e-1,-7.716690e-2
GD,14,7.887250e-1,-1.030744e-1
GD,17,7.235149e-1,-1.405525e-1
GD,20,6.357933e-1,-1.966841e-1
GD,23,5.177773e-1,-2.858570e-1
GD,26,3.590014e-1,-4.449038e-1
GD,29,1.454083e-1,-8.374107e-1
GD,2,7.155800e-1,-1.453418e-1
GD,5,7.155800e-1,-1.453418e-1
GD,8,6.252011e-1,-2.039803e-1
GD,11,5.036283e-1,-2.978899e-1
GD,14,3.400747e-1,-4.684257e-1
GD,17,1.200298e-1,-9.207109e-1
GD,2,2.690027e-1,-5.702433e-1
GD,5,2.690027e-1,-5.702433e-1
GD,8,2.432549e-2,-1.613938e0
GD-Momentum,2,3.717993e-2,-1.429691e0
GD-Momentum,5,3.717993e-2,-1.429691e0
GD-Momentum,2,1.256809e-1,-9.007307e-1
GD-Momentum,5,1.256809e-1,-9.007307e-1
GD-Momentum,2,7.023768e-1,-1.534299e-1
GD-Momentum,5,7.023768e-1,-1.534299e-1
GD-Momentum,8,6.073826e-1,-2.165376e-1
GD-Momentum,11,3.674037e-1,-4.348565e-1
GD-Momentum,2,9.122758e-1,-3.987385e-2
GD-Momentum,5,9.122758e-1,-3.987385e-2
GD-Momentum,8,8.897089e-1,-5.075207e-2
GD-Momentum,11,8.327683e-1,-7.947582e-2
GD-Momentum,14,7.104091e-1,-1.484915e-1
GD-Momentum,17,4.563952e-1,-3.406589e-1
GD-Nesterov,2,9.216282e-1,-3.544425e-2
GD-Nesterov,5,9.216282e-1,-3.544425e-2
GD-Nesterov,8,9.022373e-1,-4.467922e-2
GD-Nesterov,11,8.265026e-1,-8.275580e-2
GD-Nesterov,14,6.527932e-1,-1.852244e-1
GD-Nesterov,17,2.552334e-1,-5.930624e-1
GD-Nesterov,2,3.187190e-1,-4.965920e-1
