Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,2.630413e-2
QQN-GoldenSection,51,2.630413e-2
QQN-GoldenSection,100,1.163467e-2
QQN-GoldenSection,149,4.139095e-3
QQN-GoldenSection,201,2.985835e-4
QQN-GoldenSection,249,1.769734e-5
QQN-GoldenSection,251,2.500024e-8
QQN-GoldenSection,2,1.681634e-1
QQN-GoldenSection,51,1.681634e-1
QQN-GoldenSection,104,4.805949e-3
QQN-GoldenSection,152,1.960759e-3
QQN-GoldenSection,200,1.062305e-4
QQN-GoldenSection,248,1.522314e-5
QQN-GoldenSection,296,9.826097e-6
QQN-GoldenSection,298,6.120178e-10
QQN-GoldenSection,2,8.929391e-2
QQN-GoldenSection,51,8.929391e-2
QQN-GoldenSection,104,2.280706e-2
QQN-GoldenSection,157,2.168261e-3
QQN-GoldenSection,159,3.020772e-7
QQN-GoldenSection,2,1.215552e-1
QQN-GoldenSection,51,1.215552e-1
QQN-GoldenSection,104,4.372142e-2
QQN-GoldenSection,157,1.985095e-2
QQN-GoldenSection,206,1.502116e-2
QQN-GoldenSection,255,1.127759e-3
QQN-GoldenSection,305,3.259749e-5
QQN-GoldenSection,307,4.258250e-7
QQN-GoldenSection,2,2.159887e-1
QQN-GoldenSection,50,2.159887e-1
QQN-GoldenSection,103,4.444534e-2
QQN-GoldenSection,157,2.130676e-2
QQN-GoldenSection,206,1.916554e-2
QQN-GoldenSection,254,2.668595e-3
QQN-GoldenSection,304,2.947632e-4
QQN-GoldenSection,353,1.891294e-5
QQN-GoldenSection,355,2.949381e-7
QQN-GoldenSection,2,1.707467e-2
QQN-GoldenSection,51,1.707467e-2
QQN-GoldenSection,100,5.747064e-3
QQN-GoldenSection,155,1.627953e-3
QQN-GoldenSection,203,1.697791e-4
QQN-GoldenSection,251,3.393396e-6
QQN-GoldenSection,253,1.048774e-8
QQN-GoldenSection,2,1.046677e-1
QQN-GoldenSection,51,1.046677e-1
QQN-GoldenSection,104,4.402345e-2
QQN-GoldenSection,157,2.068164e-2
QQN-GoldenSection,206,1.119670e-2
QQN-GoldenSection,254,2.288933e-3
QQN-GoldenSection,256,1.676643e-7
QQN-GoldenSection,2,2.532779e-1
QQN-GoldenSection,50,2.532779e-1
QQN-GoldenSection,103,2.383270e-3
QQN-GoldenSection,151,1.670511e-3
QQN-GoldenSection,199,3.783465e-4
QQN-GoldenSection,247,3.630941e-5
QQN-GoldenSection,249,1.609551e-7
QQN-GoldenSection,2,5.953837e-2
QQN-GoldenSection,51,5.953837e-2
QQN-GoldenSection,104,5.097585e-2
QQN-GoldenSection,157,4.068151e-2
