Problem,Optimizer,Success_Rate,Mean_Final_Value,Best_Value,Mean_Func_Evals,Mean_Time
Sphere_2D,QQN-Bisection-2,100.0,0.00e0,0.00e0,13.0,0.000
Sphere_2D,L-BFGS-Aggressive,100.0,0.00e0,0.00e0,10.0,0.000
Sphere_2D,Trust Region-Precise,55.0,6.58e-1,5.18e-6,115.3,0.001
Sphere_2D,GD-AdaptiveMomentum,60.0,2.05e-1,2.68e-5,13.8,0.000
Sphere_2D,L-BFGS-Conservative,100.0,4.28e-3,2.80e-3,156.2,0.004
Sphere_2D,GD-Nesterov,100.0,2.51e-3,2.83e-4,16.4,0.000
Sphere_2D,Adam-AMSGrad,0.0,7.20e-2,2.82e-2,2502.0,0.054
Sphere_2D,Adam,40.0,7.60e-3,4.96e-3,2432.4,0.048
Sphere_2D,Trust Region-Aggressive,30.0,7.95e3,2.26e-5,18.6,0.000
Sphere_2D,GD,100.0,4.93e-3,4.81e-3,152.6,0.004
Sphere_2D,QQN-CubicQuadraticInterpolation,100.0,0.00e0,0.00e0,12.0,0.000
Sphere_2D,Trust Region-Standard,10.0,1.25e3,7.55e-4,27.1,0.000
Sphere_2D,L-BFGS-MoreThuente,100.0,0.00e0,0.00e0,10.0,0.000
Sphere_2D,GD-Momentum,100.0,4.85e-4,1.93e-4,16.9,0.000
Sphere_2D,QQN-StrongWolfe,100.0,0.00e0,0.00e0,11.0,0.000
Sphere_2D,QQN-Bisection-1,100.0,0.00e0,0.00e0,15.0,0.000
Sphere_2D,Trust Region-Conservative,100.0,1.69e-3,2.11e-4,602.0,0.004
Sphere_2D,Trust Region-Adaptive,35.0,6.68e2,1.21e-5,41.1,0.000
Sphere_2D,GD-WeightDecay,100.0,4.67e-3,4.31e-3,51.6,0.002
Sphere_2D,L-BFGS,100.0,8.79e-5,0.00e0,13.5,0.000
Sphere_2D,QQN-GoldenSection,100.0,3.22e-14,2.46e-14,46.0,0.000
Sphere_2D,Adam-Fast,30.0,8.78e-2,2.82e-4,33.5,0.001
Sphere_2D,Adam-WeightDecay,100.0,4.98e-3,4.94e-3,1113.1,0.023
Sphere_2D,L-BFGS-Limited,100.0,1.24e-3,0.00e0,23.1,0.000
Sphere_2D,Adam-Robust,0.0,5.86e-2,2.27e-2,2502.0,0.055
Sphere_10D,L-BFGS,100.0,0.00e0,0.00e0,15.0,0.000
Sphere_10D,Trust Region-Standard,15.0,6.75e2,2.86e-5,51.8,0.000
Sphere_10D,GD-Nesterov,65.0,1.59e-1,1.53e-5,19.9,0.001
Sphere_10D,GD-Momentum,75.0,1.70e-1,2.45e-5,19.4,0.001
