Problem,Adam,Adam-AMSGrad,Adam-Fast,Adam-Robust,Adam-WeightDecay,GD,GD-AdaptiveMomentum,GD-Momentum,GD-Nesterov,GD-WeightDecay,L-BFGS,L-BFGS-Aggressive,L-BFGS-Conservative,L-BFGS-Limited,L-BFGS-MoreThuente,QQN-Bisection-1,QQN-Bisection-2,QQN-CubicQuadraticInterpolation,QQN-GoldenSection,QQN-StrongWolfe,Trust Region-Adaptive,Trust Region-Aggressive,Trust Region-Conservative,Trust Region-Precise,Trust Region-Standard
Sphere_2D,40.0,0.0,30.0,0.0,100.0,100.0,60.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,35.0,30.0,100.0,55.0,10.0
Sphere_10D,95.0,0.0,0.0,0.0,100.0,100.0,60.0,75.0,65.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,30.0,0.0,35.0,65.0,15.0
Rosenbrock_2D,0.0,0.0,60.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,95.0,5.0,30.0,40.0,10.0,35.0,0.0,0.0,0.0,0.0,0.0
Rosenbrock_5D,0.0,0.0,5.0,0.0,60.0,0.0,0.0,0.0,10.0,60.0,0.0,0.0,20.0,45.0,70.0,85.0,55.0,70.0,55.0,100.0,0.0,0.0,0.0,0.0,0.0
Rosenbrock_10D,90.0,100.0,45.0,0.0,100.0,75.0,0.0,55.0,100.0,100.0,0.0,0.0,100.0,100.0,95.0,100.0,100.0,100.0,100.0,100.0,0.0,30.0,0.0,0.0,0.0
Michalewicz_2D_m10,50.0,30.0,40.0,0.0,0.0,0.0,5.0,0.0,10.0,0.0,10.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michalewicz_5D_m10,80.0,55.0,65.0,10.0,10.0,45.0,5.0,5.0,5.0,5.0,0.0,0.0,30.0,0.0,5.0,20.0,35.0,0.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
Michalewicz_10D_m10,20.0,30.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0
Rastrigin_2D,55.0,55.0,0.0,15.0,50.0,5.0,0.0,0.0,5.0,5.0,5.0,0.0,75.0,70.0,55.0,65.0,30.0,80.0,55.0,65.0,15.0,0.0,0.0,10.0,0.0
Rastrigin_5D,30.0,40.0,40.0,55.0,55.0,30.0,65.0,5.0,45.0,50.0,0.0,0.0,40.0,35.0,50.0,25.0,15.0,50.0,35.0,40.0,60.0,50.0,0.0,35.0,45.0
Rastrigin_10D,30.0,55.0,30.0,30.0,35.0,35.0,40.0,10.0,25.0,45.0,0.0,0.0,20.0,50.0,65.0,45.0,15.0,60.0,50.0,40.0,40.0,45.0,0.0,0.0,25.0
Ackley_2D_a20_b0.2_c6.28e0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,20.0,0.0,15.0,45.0,60.0,40.0,40.0,35.0,15.0,5.0,0.0,0.0,0.0,0.0
Ackley_5D_a20_b0.2_c6.28e0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,20.0,0.0,0.0,10.0,30.0,35.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0
Ackley_10D_a20_b0.2_c6.28e0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,0.0,5.0,10.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
StyblinskiTang_2D,0.0,0.0,35.0,0.0,80.0,65.0,5.0,15.0,10.0,35.0,50.0,0.0,90.0,70.0,70.0,70.0,75.0,70.0,90.0,65.0,70.0,20.0,0.0,0.0,40.0
StyblinskiTang_5D,0.0,0.0,55.0,0.0,65.0,50.0,10.0,15.0,30.0,60.0,30.0,0.0,65.0,50.0,50.0,60.0,60.0,45.0,70.0,40.0,65.0,45.0,0.0,0.0,55.0
