Problem_Family,Optimizer,Avg_Success_Rate,Avg_Final_Value,Avg_Func_Evals,Avg_Grad_Evals,Avg_Time
Ackley,QQN-StrongWolfe,6.7,3.52e0,65.0,62.1,0.002
Ackley,GD-AdaptiveMomentum,0.0,3.58e0,21.9,40.9,0.001
Ackley,QQN-Bisection-2,31.7,3.24e0,51.0,62.7,0.001
Ackley,Trust Region-Standard,0.0,4.68e0,8.9,6.6,0.000
Ackley,Adam,0.0,3.57e0,532.0,531.0,0.012
Ackley,Adam-Fast,0.0,3.61e0,80.9,79.9,0.002
Ackley,Adam-AMSGrad,0.0,3.57e0,1055.6,1054.6,0.025
Ackley,Trust Region-Aggressive,0.0,4.38e0,5.2,4.1,0.000
Ackley,L-BFGS-Aggressive,15.0,3.68e0,2118.3,639.2,0.014
Ackley,L-BFGS-MoreThuente,20.0,3.47e0,49.7,36.5,0.001
Ackley,L-BFGS-Conservative,0.0,3.57e0,242.7,145.1,0.005
Ackley,GD-Nesterov,0.0,3.61e0,20.5,37.5,0.001
Ackley,Adam-WeightDecay,0.0,3.58e0,194.6,193.6,0.005
Ackley,QQN-Bisection-1,33.3,3.26e0,71.7,107.2,0.002
Ackley,Trust Region-Conservative,0.0,3.58e0,196.4,131.5,0.001
Ackley,QQN-CubicQuadraticInterpolation,16.7,3.53e0,391.7,461.3,0.012
Ackley,GD,0.0,3.57e0,57.1,111.1,0.002
Ackley,L-BFGS-Limited,5.0,3.51e0,209.8,79.3,0.003
Ackley,GD-WeightDecay,0.0,3.60e0,28.0,52.0,0.001
Ackley,Adam-Robust,0.0,3.58e0,76.2,75.2,0.002
Ackley,Trust Region-Adaptive,1.7,3.92e0,16.8,11.8,0.000
Ackley,L-BFGS,30.0,3.39e0,152.4,68.5,0.002
Ackley,Trust Region-Precise,0.0,3.60e0,42.5,28.9,0.000
Ackley,GD-Momentum,0.0,3.74e0,14.1,24.1,0.000
Ackley,QQN-GoldenSection,13.3,3.42e0,172.7,38.4,0.003
Barrier,Adam-WeightDecay,0.0,1.13e0,1319.8,1318.8,0.029
Barrier,GD-Nesterov,0.0,1.42e0,20.6,37.2,0.001
Barrier,GD-AdaptiveMomentum,0.0,4.65e-1,0.5,0.9,0.000
Barrier,QQN-Bisection-2,0.0,inf,0.0,0.0,0.000
Barrier,QQN-StrongWolfe,0.0,inf,0.0,0.0,0.000
Barrier,GD,0.0,1.13e0,300.4,598.1,0.008
Barrier,L-BFGS-Aggressive,0.0,inf,0.0,0.0,0.000
Barrier,Adam-Fast,0.0,1.46e0,31.5,30.5,0.001
Barrier,Adam-Robust,0.0,1.14e0,2502.0,2502.0,0.059
Barrier,Trust Region-Standard,0.0,1.46e0,19.8,14.2,0.000
Barrier,QQN-GoldenSection,0.0,inf,0.0,0.0,0.000
Barrier,QQN-Bisection-1,0.0,inf,0.0,0.0,0.000
Barrier,L-BFGS,0.0,inf,0.0,0.0,0.000
Barrier,QQN-CubicQuadraticInterpolation,0.0,inf,0.0,0.0,0.000
Barrier,Trust Region-Aggressive,0.0,2.58e0,7.0,5.4,0.000
Barrier,Trust Region-Precise,0.0,1.17e0,243.6,163.1,0.002
Barrier,GD-WeightDecay,0.0,1.13e0,49.2,94.4,0.002
Barrier,Trust Region-Conservative,0.0,1.19e0,1410.5,941.0,0.010
Barrier,L-BFGS-MoreThuente,0.0,inf,0.0,0.0,0.000
Barrier,L-BFGS-Limited,0.0,1.13e0,172.7,101.8,0.004
Barrier,L-BFGS-Conservative,0.0,1.13e0,678.4,542.2,0.018
Barrier,Adam,0.0,1.13e0,2502.0,2502.0,0.053
Barrier,Adam-AMSGrad,0.0,1.16e0,2502.0,2502.0,0.059
Barrier,GD-Momentum,0.0,1.76e0,21.1,38.1,0.001
Barrier,Trust Region-Adaptive,0.0,1.24e0,62.4,42.5,0.001
Beale,Adam,0.0,7.19e-2,2502.0,2502.0,0.049
Beale,GD-Momentum,5.0,1.32e0,24.4,44.8,0.001
Beale,L-BFGS-Conservative,100.0,1.17e-2,200.7,160.2,0.005
Beale,GD,100.0,1.49e-2,229.2,455.4,0.006
Beale,GD-Nesterov,100.0,9.18e-3,27.7,52.4,0.001
Beale,Adam-WeightDecay,100.0,1.50e-2,1539.9,1539.9,0.031
Beale,Trust Region-Aggressive,5.0,1.23e0,17.8,12.6,0.000
Beale,L-BFGS-Limited,100.0,1.00e-2,110.5,47.7,0.002
Beale,QQN-CubicQuadraticInterpolation,95.0,4.97e-1,218.8,279.2,0.008
Beale,Adam-Robust,0.0,4.58e-1,2502.0,2502.0,0.054
Beale,GD-AdaptiveMomentum,80.0,3.09e-1,25.5,47.8,0.001
Beale,Trust Region-Precise,45.0,2.17e-2,743.8,496.6,0.005
Beale,Trust Region-Standard,0.0,2.71e2,50.2,34.1,0.000
Beale,Adam-Fast,0.0,1.59e0,37.6,36.6,0.001
Beale,QQN-GoldenSection,100.0,6.90e-3,347.2,48.8,0.005
Beale,QQN-StrongWolfe,90.0,4.59e-1,786.0,668.9,0.024
Beale,L-BFGS,65.0,4.55e-1,122.0,60.1,0.002
