Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,7.477828e-3,1.037798e-1,7,313,44,0.005,true
QQN-GoldenSection,1,5.357879e-3,5.388001e-1,8,355,50,0.006,true
QQN-GoldenSection,2,9.871294e-3,1.034165e-1,7,315,44,0.005,true
QQN-GoldenSection,3,9.836194e-3,1.022361e-1,7,315,44,0.005,true
QQN-GoldenSection,4,7.082365e-3,1.130283e-1,9,399,56,0.006,true
QQN-GoldenSection,5,7.135219e-3,1.060716e-1,7,314,44,0.005,true
QQN-GoldenSection,6,9.428497e-3,1.003135e-1,7,315,44,0.005,true
QQN-GoldenSection,7,9.110379e-3,3.180262e-1,9,395,56,0.006,true
QQN-GoldenSection,8,7.276378e-3,9.216056e-2,7,315,44,0.005,true
QQN-GoldenSection,9,2.621363e-3,2.518328e-1,8,354,50,0.005,true
QQN-GoldenSection,10,6.595168e-3,9.231243e-2,7,314,44,0.005,true
QQN-GoldenSection,11,9.341270e-3,9.987910e-2,7,315,44,0.005,true
QQN-GoldenSection,12,7.434491e-3,1.173588e-1,9,399,56,0.006,true
QQN-GoldenSection,13,3.221951e-3,2.384635e-1,8,354,50,0.006,true
QQN-GoldenSection,14,7.500950e-3,1.174683e-1,9,398,56,0.006,true
QQN-GoldenSection,15,2.421413e-3,2.434274e-1,8,354,50,0.005,true
QQN-GoldenSection,16,3.103994e-3,2.322412e-1,8,354,50,0.005,true
QQN-GoldenSection,17,9.285759e-3,3.239169e-1,9,396,56,0.006,true
QQN-GoldenSection,18,8.703236e-3,1.139114e-1,7,315,44,0.005,true
QQN-GoldenSection,19,5.150576e-3,5.184896e-1,8,355,50,0.005,true
QQN-Bisection-1,0,4.717189e-3,2.946558e-1,8,184,222,0.003,true
QQN-Bisection-1,1,5.994200e-3,2.658178e-1,9,233,273,0.004,true
QQN-Bisection-1,2,4.923917e-3,1.268754e-1,6,115,161,0.002,true
QQN-Bisection-1,3,6.298545e-3,3.354688e-1,8,211,195,0.003,true
QQN-Bisection-1,4,6.672761e-3,9.222241e-2,6,115,161,0.002,true
QQN-Bisection-1,5,7.289709e-3,3.334453e-1,9,233,273,0.004,true
QQN-Bisection-1,6,6.386904e-3,2.753127e-1,9,233,273,0.004,true
QQN-Bisection-1,7,8.838836e-3,1.461813e-1,6,114,160,0.002,true
QQN-Bisection-1,8,5.383883e-3,7.109119e-2,6,114,160,0.002,true
QQN-Bisection-1,9,8.891483e-3,1.333775e-1,6,114,160,0.002,true
