Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,5.572830e0,2.793834e0,89,4512,541,0.086,false
QQN-GoldenSection,1,4.647482e0,5.237796e0,89,4476,541,0.085,false
QQN-GoldenSection,2,4.659524e0,5.042731e0,89,4514,541,0.086,false
QQN-GoldenSection,3,5.064643e0,2.988379e0,89,4495,541,0.086,false
QQN-GoldenSection,4,3.752642e0,4.645572e0,90,4456,547,0.086,false
QQN-GoldenSection,5,6.322930e0,4.579485e0,91,4488,553,0.086,false
QQN-GoldenSection,6,5.104186e0,3.937458e0,89,4492,541,0.086,false
QQN-GoldenSection,7,4.628730e-1,1.505885e1,92,4465,559,0.086,false
QQN-GoldenSection,8,5.023810e0,2.888025e0,89,4482,541,0.086,false
QQN-GoldenSection,9,5.202256e0,3.428900e0,89,4502,541,0.086,false
QQN-GoldenSection,10,1.497014e0,1.365138e1,91,4455,553,0.086,false
QQN-GoldenSection,11,5.111302e0,2.909869e0,89,4505,541,0.087,false
QQN-GoldenSection,12,6.466887e0,3.645017e0,95,4447,577,0.090,false
QQN-GoldenSection,13,4.723918e-1,5.588336e0,93,4455,565,0.088,false
QQN-GoldenSection,14,6.138189e0,5.159242e0,95,4448,577,0.086,false
QQN-GoldenSection,15,4.840793e0,2.903432e0,89,4507,541,0.086,false
QQN-GoldenSection,16,6.663533e0,3.516020e0,96,4458,583,0.087,false
QQN-GoldenSection,17,2.840841e0,8.496870e0,90,4458,547,0.086,false
QQN-GoldenSection,18,6.348885e0,3.097815e0,93,4442,565,0.086,false
QQN-GoldenSection,19,5.042602e0,4.964582e0,89,4493,541,0.086,false
QQN-Bisection-1,0,5.835525e-7,3.278474e-2,64,1083,1131,0.031,true
QQN-Bisection-1,1,1.704512e-7,2.052842e-2,99,2142,2331,0.061,true
QQN-Bisection-1,2,1.736757e-7,1.455170e-2,98,2141,2327,0.061,true
QQN-Bisection-1,3,7.404508e0,5.590445e0,81,2460,2568,0.058,false
QQN-Bisection-1,4,4.308444e-7,1.793097e-2,65,1036,1089,0.030,true
QQN-Bisection-1,5,4.763611e-7,3.268680e-2,91,1852,1999,0.053,true
QQN-Bisection-1,6,7.537092e-7,2.440499e-2,88,1935,2063,0.054,true
QQN-Bisection-1,7,7.622941e-1,9.721674e0,96,2337,2672,0.067,false
QQN-Bisection-1,8,1.220102e-6,4.704897e-2,105,2378,2700,0.068,false
QQN-Bisection-1,9,5.743150e-2,3.393023e0,95,2408,2636,0.068,false
QQN-Bisection-1,10,6.402380e0,4.733059e0,83,2408,2610,0.055,false
QQN-Bisection-1,11,3.270333e-7,1.295603e-2,65,1007,1054,0.029,true
QQN-Bisection-1,12,2.237842e-7,1.622445e-2,68,1175,1247,0.034,true
QQN-Bisection-1,13,8.532617e-7,4.105517e-2,81,1654,1813,0.047,true
QQN-Bisection-1,14,2.513943e-7,1.591210e-2,88,1683,1837,0.049,true
QQN-Bisection-1,15,5.507512e-7,3.576647e-2,75,1531,1672,0.044,true
QQN-Bisection-1,16,1.191620e-7,1.275457e-2,86,1649,1855,0.048,true
QQN-Bisection-1,17,3.012461e-1,3.964209e0,99,2359,2669,0.066,false
QQN-Bisection-1,18,3.928403e-7,1.754199e-2,75,1328,1427,0.038,true
QQN-Bisection-1,19,9.520441e0,1.671651e0,80,2332,2707,0.063,false
QQN-Bisection-2,0,5.500898e0,1.977876e1,69,1293,717,0.033,false
QQN-Bisection-2,1,4.505149e0,1.146692e1,83,1547,853,0.039,false
QQN-Bisection-2,2,1.228821e0,1.312064e1,83,1467,845,0.038,false
QQN-Bisection-2,3,5.307836e0,9.766439e0,84,1578,864,0.040,false
QQN-Bisection-2,4,4.987498e0,1.864277e1,90,1694,923,0.043,false
QQN-Bisection-2,5,4.977826e0,1.996661e1,61,1115,636,0.028,false
QQN-Bisection-2,6,5.181425e0,7.567005e0,61,1105,635,0.028,false
QQN-Bisection-2,7,3.097856e0,1.075101e1,47,751,489,0.020,false
QQN-Bisection-2,8,5.083562e0,8.079681e0,31,495,337,0.013,false
QQN-Bisection-2,9,4.979537e0,1.327322e1,77,1431,794,0.036,false
QQN-Bisection-2,10,5.204615e0,2.930550e0,166,3320,1693,0.083,false
QQN-Bisection-2,11,5.182350e0,8.326561e0,58,1052,606,0.027,false
QQN-Bisection-2,12,4.923820e0,7.088312e0,45,659,464,0.018,false
QQN-Bisection-2,13,4.882712e0,5.119509e0,165,3340,1687,0.083,false
QQN-Bisection-2,14,4.848267e0,7.362206e0,85,1589,873,0.040,false
QQN-Bisection-2,15,5.091427e0,2.495924e0,163,3349,1672,0.083,false
QQN-Bisection-2,16,1.065130e-7,1.059467e-2,108,1672,1063,0.045,true
QQN-Bisection-2,17,4.205161e0,3.094173e0,163,3350,1672,0.083,false
QQN-Bisection-2,18,5.256292e0,8.766808e0,50,864,524,0.022,false
QQN-Bisection-2,19,3.511621e0,8.902886e0,72,1266,738,0.033,false
QQN-StrongWolfe,0,1.637969e-7,1.708775e-2,131,2311,1803,0.074,true
QQN-StrongWolfe,1,1.495414e-7,1.723991e-2,62,688,649,0.025,true
QQN-StrongWolfe,2,6.638061e-7,2.073908e-2,90,1344,1083,0.045,true
QQN-StrongWolfe,3,8.687552e-7,4.056482e-2,70,1002,827,0.034,true
QQN-StrongWolfe,4,2.974233e-7,2.196849e-2,107,1773,1373,0.057,true
QQN-StrongWolfe,5,1.361135e-1,7.998465e-1,137,2868,2144,0.088,false
QQN-StrongWolfe,6,2.431349e-1,7.195189e0,138,2886,2130,0.088,false
QQN-StrongWolfe,7,2.778988e-7,1.274880e-2,90,1334,1075,0.044,true
QQN-StrongWolfe,8,1.674647e0,6.836212e0,132,2944,2084,0.088,false
QQN-StrongWolfe,9,2.161526e0,6.402823e0,132,2882,2130,0.087,false
QQN-StrongWolfe,10,2.228671e-7,8.761510e-3,119,1987,1585,0.064,true
QQN-StrongWolfe,11,3.999603e-7,2.436799e-2,64,662,621,0.025,true
QQN-StrongWolfe,12,2.611292e-7,2.042075e-2,71,981,807,0.033,true
QQN-StrongWolfe,13,3.549791e-7,1.699572e-2,76,906,807,0.032,true
QQN-StrongWolfe,14,2.685073e0,4.504476e0,126,2962,2068,0.087,false
QQN-StrongWolfe,15,6.668549e-7,3.590897e-2,99,1547,1239,0.051,true
QQN-StrongWolfe,16,5.976585e-7,4.182135e-2,145,2847,2119,0.088,true
QQN-StrongWolfe,17,9.349143e-8,1.536048e-2,85,1209,995,0.040,true
QQN-StrongWolfe,18,4.794004e0,7.242437e0,124,2908,2124,0.087,false
