Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,-3.106528e0,1.900458e-3,40,1674,241,0.034,false
QQN-GoldenSection,1,-3.565234e0,2.715019e-4,38,1648,229,0.033,false
QQN-GoldenSection,2,-2.778785e0,6.599438e-5,60,2680,361,0.054,false
QQN-GoldenSection,3,-4.461936e0,3.607539e-4,38,1620,229,0.032,false
QQN-GoldenSection,4,-5.584067e0,1.265612e-3,81,3510,487,0.072,false
QQN-GoldenSection,5,-4.790786e0,1.273766e-3,33,1073,199,0.022,false
QQN-GoldenSection,6,-3.756799e0,2.267651e-4,15,652,92,0.013,false
QQN-GoldenSection,7,-3.673526e0,1.379376e-3,53,2191,319,0.044,false
QQN-GoldenSection,8,-2.675029e0,4.946243e-4,43,1577,259,0.033,false
QQN-GoldenSection,9,-4.125056e0,3.650240e-1,90,4462,547,0.090,false
QQN-GoldenSection,10,-6.259820e0,3.411798e-7,34,1466,201,0.029,false
QQN-GoldenSection,11,-3.655513e0,9.795626e-4,68,2769,409,0.058,false
QQN-GoldenSection,12,-3.629613e0,6.766496e-4,43,1545,259,0.032,false
QQN-GoldenSection,13,-4.725775e0,1.987690e-6,66,2615,397,0.055,false
QQN-GoldenSection,14,-2.315299e0,3.912727e-1,93,4477,565,0.090,false
QQN-GoldenSection,15,-3.565242e0,6.372127e-4,47,2031,283,0.041,false
QQN-GoldenSection,16,-4.055148e0,1.075552e-3,72,2878,433,0.060,false
QQN-GoldenSection,17,-6.295492e0,9.654227e-1,67,2284,404,0.051,true
QQN-GoldenSection,18,-4.554032e0,7.683344e-6,24,926,145,0.018,false
QQN-GoldenSection,19,-5.300729e0,1.393748e-3,43,1870,259,0.040,false
QQN-Bisection-1,0,-4.624986e0,6.124787e-4,45,1554,1576,0.038,false
QQN-Bisection-1,1,-4.511576e0,2.597189e-6,48,1260,1367,0.039,false
QQN-Bisection-1,2,-2.944216e0,9.838742e-6,79,1698,2112,0.063,false
QQN-Bisection-1,3,-5.344045e0,1.115147e1,82,2240,2763,0.078,false
QQN-Bisection-1,4,-4.653501e0,8.447829e-4,82,2554,2481,0.068,false
QQN-Bisection-1,5,-2.258937e0,1.172775e0,74,2335,2724,0.077,false
QQN-Bisection-1,6,-5.300729e0,1.826694e-6,56,1305,1418,0.039,false
QQN-Bisection-1,7,-4.404040e0,9.378538e-4,61,2225,2181,0.065,false
QQN-Bisection-1,8,-3.752386e0,1.144502e1,81,2378,2658,0.070,false
QQN-Bisection-1,9,-3.142320e0,1.405542e-1,76,2528,2531,0.064,false
QQN-Bisection-1,10,-5.363138e0,1.949572e-3,73,2585,2477,0.058,false
QQN-Bisection-1,11,-5.300729e0,7.941862e-3,85,2506,2562,0.066,false
QQN-Bisection-1,12,-2.864520e0,5.820882e-2,67,2507,2495,0.060,false
QQN-Bisection-1,13,-3.297221e0,1.173799e0,86,2385,2676,0.071,false
QQN-Bisection-1,14,-5.300729e0,1.072628e-6,22,581,596,0.014,false
QQN-Bisection-1,15,-5.054391e0,6.387099e-6,73,1938,2238,0.056,false
QQN-Bisection-1,16,-5.363121e0,9.083380e-6,29,539,635,0.015,false
QQN-Bisection-1,17,-5.300729e0,4.203884e-4,75,2475,2473,0.062,false
QQN-Bisection-1,18,-2.144291e0,7.627095e-2,86,2424,2607,0.069,false
QQN-Bisection-1,19,-3.814772e0,9.137062e-3,71,2583,2465,0.057,false
QQN-Bisection-2,0,-6.263784e0,6.240002e-1,48,828,461,0.024,true
QQN-Bisection-2,1,inf,inf,0,0,0,0.000,false
QQN-Bisection-2,2,-6.259823e0,1.943529e-4,61,1097,590,0.033,false
QQN-Bisection-2,3,-2.068599e0,1.135108e-1,162,3347,1664,0.086,false
QQN-Bisection-2,4,-5.363140e0,1.177993e-3,164,3380,1640,0.086,false
QQN-Bisection-2,5,-4.462080e0,9.484531e-3,162,3378,1624,0.086,false
QQN-Bisection-2,6,-3.814934e0,1.456979e-2,168,3358,1669,0.087,false
QQN-Bisection-2,7,-4.404030e0,1.195307e-5,24,348,266,0.009,false
QQN-Bisection-2,8,-4.404218e0,1.217816e-2,162,3382,1624,0.086,false
QQN-Bisection-2,9,-1.666467e0,6.527081e-3,23,287,253,0.009,false
QQN-Bisection-2,10,-2.729701e0,1.069008e-1,18,212,206,0.007,false
QQN-Bisection-2,11,-5.300731e0,8.138716e-5,33,599,319,0.015,false
QQN-Bisection-2,12,-4.625428e0,3.081301e-2,162,3388,1625,0.087,false
QQN-Bisection-2,13,-4.715891e0,1.930946e-4,26,512,255,0.012,false
QQN-Bisection-2,14,inf,inf,0,0,0,0.000,false
QQN-Bisection-2,15,-4.463139e0,8.492968e-2,167,3353,1661,0.086,false
QQN-Bisection-2,16,-5.363121e0,2.766609e-5,98,2027,975,0.051,false
QQN-Bisection-2,17,-4.461950e0,1.563009e-3,162,3378,1624,0.086,false
QQN-Bisection-2,18,inf,inf,0,0,0,0.000,false
QQN-Bisection-2,19,-3.982372e0,2.559411e-1,171,3295,1730,0.087,false
QQN-StrongWolfe,0,-3.189189e0,2.671760e-3,110,2728,2310,0.089,false
QQN-StrongWolfe,1,-2.129484e0,4.636873e-3,113,2860,2184,0.090,false
QQN-StrongWolfe,2,-4.237330e0,3.137857e-4,86,2034,1504,0.064,false
QQN-StrongWolfe,3,-5.612590e0,7.342135e-7,53,883,746,0.030,false
QQN-StrongWolfe,4,-4.377457e0,9.815829e-3,120,2974,2072,0.091,false
QQN-StrongWolfe,5,-5.300729e0,3.789418e-6,23,248,235,0.009,false
QQN-StrongWolfe,6,-3.208485e0,7.061355e-5,60,1331,922,0.041,false
QQN-StrongWolfe,7,-3.756799e0,3.000546e-6,24,304,273,0.010,false
QQN-StrongWolfe,8,-5.653499e0,4.933339e-3,121,2851,2158,0.090,false
QQN-StrongWolfe,9,-4.404030e0,1.356890e-5,28,489,388,0.016,false
QQN-StrongWolfe,10,-6.259820e0,1.372482e-5,86,1721,1379,0.057,false
QQN-StrongWolfe,11,-4.936919e0,1.246271e-2,106,2801,2237,0.089,false
QQN-StrongWolfe,12,-3.280809e0,2.448538e-2,117,2840,2175,0.090,false
QQN-StrongWolfe,13,-6.269151e0,4.002461e0,74,1546,1254,0.051,true
QQN-StrongWolfe,14,-6.259821e0,2.088980e-4,85,1442,1152,0.049,false
QQN-StrongWolfe,15,-4.462105e0,5.317807e-2,120,2896,2124,0.090,false
QQN-StrongWolfe,16,-5.300730e0,9.483139e-5,74,1544,1202,0.050,false
QQN-StrongWolfe,17,-4.716456e0,4.729729e-2,111,2857,2173,0.089,false
QQN-StrongWolfe,18,-6.259820e0,8.085978e-7,57,954,769,0.032,false
QQN-StrongWolfe,19,-4.658026e0,3.978830e-1,121,3027,1981,0.091,false
QQN-CubicQuadraticInterpolation,0,-2.338287e0,1.715672e1,174,2240,2785,0.097,false
QQN-CubicQuadraticInterpolation,1,-4.311780e0,4.805178e0,175,2223,2785,0.095,false
QQN-CubicQuadraticInterpolation,2,-1.835191e0,9.740417e0,172,2249,2764,0.077,false
QQN-CubicQuadraticInterpolation,3,-3.224172e0,2.112764e0,175,2248,2780,0.095,false
QQN-CubicQuadraticInterpolation,4,-5.363121e0,2.984707e-6,59,679,860,0.029,false
QQN-CubicQuadraticInterpolation,5,-5.302044e0,5.061937e-2,185,2178,2846,0.105,false
QQN-CubicQuadraticInterpolation,6,-6.259820e0,9.397455e-8,40,431,528,0.018,false
QQN-CubicQuadraticInterpolation,7,-4.624976e0,5.207569e-5,37,410,504,0.017,false
QQN-CubicQuadraticInterpolation,8,-3.776263e0,5.917714e0,172,2247,2764,0.080,false
QQN-CubicQuadraticInterpolation,9,-2.696447e0,5.816363e0,172,2248,2764,0.080,false
QQN-CubicQuadraticInterpolation,10,-1.569419e0,1.591011e1,172,2250,2764,0.096,false
QQN-CubicQuadraticInterpolation,11,-2.554377e0,9.784057e0,172,2244,2764,0.088,false
QQN-CubicQuadraticInterpolation,12,-4.404029e0,3.166697e-5,19,210,242,0.008,false
QQN-CubicQuadraticInterpolation,13,-3.977748e0,1.209010e-3,18,196,224,0.007,false
QQN-CubicQuadraticInterpolation,14,-2.496164e0,7.097218e0,174,2247,2774,0.095,false
QQN-CubicQuadraticInterpolation,15,-1.284268e0,1.904377e1,172,2250,2764,0.096,false
QQN-CubicQuadraticInterpolation,16,-1.795450e0,9.975888e0,174,2245,2764,0.095,false
QQN-CubicQuadraticInterpolation,17,-9.353042e-1,1.076654e1,172,2250,2764,0.096,false
QQN-CubicQuadraticInterpolation,18,-2.816220e0,9.962022e-1,174,2247,2761,0.095,false
QQN-CubicQuadraticInterpolation,19,-5.300738e0,5.785678e-4,117,1325,1678,0.058,false
L-BFGS-Aggressive,0,-1.730382e0,1.587762e1,384,3850,1157,0.026,false
L-BFGS-Aggressive,1,-1.283653e0,1.028104e1,384,3852,1157,0.026,false
L-BFGS-Aggressive,2,-3.312547e-2,1.614057e1,336,3344,1009,0.022,false
L-BFGS-Aggressive,3,-3.689233e-8,2.356263e-6,30,288,92,0.003,false
L-BFGS-Aggressive,4,-8.687761e-1,3.047284e0,385,3854,1160,0.034,false
L-BFGS-Aggressive,5,3.391619e-1,9.435965e1,5,36,17,0.001,false
L-BFGS-Aggressive,6,-1.551078e0,8.154060e0,384,3852,1157,0.027,false
L-BFGS-Aggressive,7,-2.871591e0,1.543489e1,384,3851,1157,0.026,false
L-BFGS-Aggressive,8,-1.035195e0,7.740714e0,5,42,17,0.001,false
