Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,1.446139e-13,7.605626e-7,1,46,8,0.000,true
QQN-GoldenSection,1,1.455254e-13,7.629559e-7,1,46,8,0.000,true
QQN-GoldenSection,2,1.458753e-13,7.638726e-7,1,46,8,0.000,true
QQN-GoldenSection,3,1.569778e-13,7.924086e-7,1,46,8,0.000,true
QQN-GoldenSection,4,1.792953e-13,8.468654e-7,1,46,8,0.000,true
QQN-GoldenSection,5,1.623551e-13,8.058661e-7,1,46,8,0.000,true
QQN-GoldenSection,6,1.543441e-13,7.857330e-7,1,46,8,0.000,true
QQN-GoldenSection,7,1.554629e-13,7.885756e-7,1,46,8,0.000,true
QQN-GoldenSection,8,1.697955e-13,8.241249e-7,1,46,8,0.000,true
QQN-GoldenSection,9,1.755434e-13,8.379579e-7,1,46,8,0.000,true
QQN-GoldenSection,10,1.706975e-13,8.263110e-7,1,46,8,0.000,true
QQN-GoldenSection,11,1.563612e-13,7.908507e-7,1,46,8,0.000,true
QQN-GoldenSection,12,1.570755e-13,7.926550e-7,1,46,8,0.000,true
QQN-GoldenSection,13,1.651383e-13,8.127442e-7,1,46,8,0.000,true
QQN-GoldenSection,14,1.696184e-13,8.236951e-7,1,46,8,0.000,true
QQN-GoldenSection,15,1.562102e-13,7.904686e-7,1,46,8,0.000,true
QQN-GoldenSection,16,1.732089e-13,8.323674e-7,1,46,8,0.000,true
QQN-GoldenSection,17,1.615153e-13,8.037792e-7,1,46,8,0.000,true
QQN-GoldenSection,18,1.466532e-13,7.659066e-7,1,46,8,0.000,true
QQN-GoldenSection,19,1.519117e-13,7.795169e-7,1,46,8,0.000,true
QQN-Bisection-1,0,0.000000e0,0.000000e0,1,15,12,0.000,true
QQN-Bisection-1,1,0.000000e0,0.000000e0,1,15,12,0.000,true
QQN-Bisection-1,2,0.000000e0,0.000000e0,1,15,12,0.000,true
QQN-Bisection-1,3,0.000000e0,0.000000e0,1,15,12,0.000,true
