Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,-1.953534e2,5.753640e0,3,139,20,0.002,true
QQN-GoldenSection,1,-1.955560e2,4.242052e0,4,189,26,0.003,true
QQN-GoldenSection,2,-1.957393e2,2.528379e0,4,181,26,0.003,true
QQN-GoldenSection,3,-1.956088e2,3.997383e0,6,264,38,0.004,true
QQN-GoldenSection,4,-1.675574e2,4.569127e-3,13,353,79,0.006,false
QQN-GoldenSection,5,-1.816941e2,6.277591e-6,11,418,68,0.007,false
QQN-GoldenSection,6,-1.957186e2,2.742352e0,5,238,32,0.003,true
QQN-GoldenSection,7,-1.954781e2,4.790836e0,7,315,44,0.005,true
QQN-GoldenSection,8,-1.816941e2,1.280976e-7,16,565,93,0.010,false
QQN-GoldenSection,9,-1.954559e2,4.928524e0,5,222,32,0.003,true
QQN-GoldenSection,10,-1.957169e2,2.766692e0,5,218,32,0.003,true
QQN-GoldenSection,11,-1.958237e2,7.079640e-1,5,237,32,0.003,true
QQN-GoldenSection,12,-1.958228e2,7.457262e-1,6,279,38,0.004,true
QQN-GoldenSection,13,-1.816941e2,9.688845e-7,30,881,177,0.017,false
QQN-GoldenSection,14,-1.958193e2,8.964540e-1,6,283,38,0.004,true
QQN-GoldenSection,15,-1.955530e2,4.508723e0,8,349,50,0.006,true
QQN-GoldenSection,16,-1.816941e2,3.402623e-8,16,549,93,0.010,false
QQN-GoldenSection,17,-1.675574e2,2.282119e-3,17,568,103,0.010,false
QQN-GoldenSection,18,-1.956589e2,3.387875e0,3,139,20,0.002,true
QQN-GoldenSection,19,-1.956687e2,3.260630e0,5,223,32,0.003,true
QQN-Bisection-1,0,-1.816941e2,2.366962e-7,14,265,250,0.005,false
QQN-Bisection-1,1,-1.957069e2,2.850497e0,18,559,557,0.011,true
QQN-Bisection-1,2,-1.675574e2,9.940708e-7,25,587,593,0.013,false
QQN-Bisection-1,3,-1.951695e2,6.600472e0,6,89,133,0.002,true
QQN-Bisection-1,4,-1.816941e2,1.761836e-2,75,2590,2450,0.046,false
QQN-Bisection-1,5,-1.951784e2,6.463288e0,6,108,160,0.002,true
QQN-Bisection-1,6,-1.956619e2,3.336906e0,5,78,123,0.002,true
QQN-Bisection-1,7,-1.958227e2,7.460547e-1,11,366,403,0.008,true
QQN-Bisection-1,8,-1.816941e2,1.767073e-7,15,245,283,0.005,false
QQN-Bisection-1,9,-1.816941e2,2.734240e-7,17,229,257,0.005,false
QQN-Bisection-1,10,-1.816941e2,1.308842e-6,21,626,681,0.011,false
QQN-Bisection-1,11,-1.958235e2,7.159269e-1,10,306,330,0.005,true
QQN-Bisection-1,12,-1.952657e2,6.022146e0,6,187,185,0.003,true
QQN-Bisection-1,13,-1.816941e2,1.690871e-6,19,546,602,0.009,false
QQN-Bisection-1,14,-1.958284e2,4.117558e-1,12,300,328,0.006,true
QQN-Bisection-1,15,-1.816941e2,9.132680e-7,23,659,691,0.012,false
QQN-Bisection-1,16,-1.957547e2,2.293256e0,9,208,253,0.004,true
QQN-Bisection-1,17,-1.954396e2,5.100925e0,4,105,155,0.002,true
QQN-Bisection-1,18,-1.956840e2,3.103558e0,6,108,152,0.002,true
QQN-Bisection-1,19,-1.955030e2,4.664923e0,6,108,152,0.002,true
QQN-Bisection-2,0,-1.816941e2,1.114420e-6,21,376,245,0.009,false
QQN-Bisection-2,1,-1.951709e2,6.963624e0,8,122,118,0.003,true
QQN-Bisection-2,2,-1.956946e2,2.999100e0,8,133,119,0.003,true
QQN-Bisection-2,3,-1.958174e2,9.599666e-1,8,142,120,0.003,true
QQN-Bisection-2,4,-1.675574e2,6.163871e-7,15,260,180,0.006,false
QQN-Bisection-2,5,-1.956621e2,3.411895e0,4,58,80,0.001,true
QQN-Bisection-2,6,-1.956510e2,3.446301e0,8,132,119,0.003,true
QQN-Bisection-2,7,-1.958222e2,7.666298e-1,7,121,110,0.002,true
QQN-Bisection-2,8,-1.955486e2,4.300805e0,5,69,89,0.001,true
QQN-Bisection-2,9,-1.957413e2,2.437303e0,4,58,80,0.001,true
QQN-Bisection-2,10,-1.816941e2,4.424907e-7,16,230,185,0.005,false
QQN-Bisection-2,11,-1.816941e2,1.135528e-7,17,231,193,0.006,false
QQN-Bisection-2,12,-1.816941e2,1.300270e-7,19,292,213,0.007,false
QQN-Bisection-2,13,-1.816941e2,5.283531e-7,18,322,210,0.007,false
QQN-Bisection-2,14,-1.675574e2,1.222860e-6,20,405,240,0.009,false
QQN-Bisection-2,15,-1.956935e2,3.028258e0,5,79,90,0.002,true
QQN-Bisection-2,16,-1.958257e2,5.937246e-1,6,110,101,0.002,true
QQN-Bisection-2,17,-1.958111e2,1.156049e0,5,89,91,0.002,true
QQN-Bisection-2,18,-1.816941e2,8.431753e-7,17,271,197,0.006,false
QQN-Bisection-2,19,-1.950044e2,7.872309e0,3,55,72,0.001,true
QQN-StrongWolfe,0,-1.957868e2,1.718335e0,5,92,74,0.002,true
QQN-StrongWolfe,1,-1.816941e2,9.848614e-7,12,185,177,0.005,false
QQN-StrongWolfe,2,-1.675574e2,1.941383e-5,24,514,454,0.015,false
QQN-StrongWolfe,3,-1.957588e2,2.204490e0,8,169,159,0.004,true
QQN-StrongWolfe,4,-1.816941e2,9.723124e-6,19,396,345,0.011,false
QQN-StrongWolfe,5,-1.958250e2,6.310240e-1,11,170,165,0.005,true
