Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,1.281395e-15,4.937272e-7,4,186,26,0.003,true
QQN-GoldenSection,1,8.283588e-9,1.795072e-3,5,229,32,0.004,true
QQN-GoldenSection,2,9.810330e-11,1.953509e-4,5,229,32,0.004,true
QQN-GoldenSection,3,2.012379e-18,2.571112e-8,4,186,26,0.005,true
QQN-GoldenSection,4,3.014041e-9,1.082800e-3,5,229,32,0.004,true
QQN-GoldenSection,5,9.437647e-12,6.059068e-5,5,228,32,0.004,true
QQN-GoldenSection,6,5.974251e-12,4.818208e-5,6,277,38,0.006,true
QQN-GoldenSection,7,7.850678e-9,1.747538e-3,5,229,32,0.005,true
QQN-GoldenSection,8,1.807648e-11,8.503302e-6,3,138,20,0.002,true
QQN-GoldenSection,9,1.510907e-10,2.424334e-4,5,228,32,0.004,true
QQN-GoldenSection,10,1.340261e-11,7.220458e-5,6,277,38,0.006,true
QQN-GoldenSection,11,1.256664e-11,6.991714e-5,5,228,32,0.004,true
QQN-GoldenSection,12,3.101682e-10,6.549771e-5,7,312,44,0.005,true
QQN-GoldenSection,13,3.496082e-9,1.165928e-3,6,271,38,0.004,true
QQN-GoldenSection,14,2.521882e-10,3.132104e-4,5,228,32,0.004,true
QQN-GoldenSection,15,3.137891e-19,1.032226e-8,7,314,44,0.005,true
QQN-GoldenSection,16,4.612647e-9,1.339216e-3,6,271,38,0.004,true
QQN-GoldenSection,17,1.569979e-13,4.713371e-6,4,186,26,0.003,true
QQN-GoldenSection,18,1.963455e-9,8.739440e-4,5,229,32,0.004,true
QQN-GoldenSection,19,8.194291e-15,1.121608e-6,4,186,26,0.003,true
QQN-Bisection-1,0,3.718674e-14,3.548391e-6,8,139,162,0.003,true
QQN-Bisection-1,1,4.916333e-13,1.382859e-5,6,175,188,0.003,true
QQN-Bisection-1,2,3.405030e-9,1.104723e-3,5,164,178,0.003,true
QQN-Bisection-1,3,3.960906e-13,1.241152e-5,6,175,188,0.003,true
QQN-Bisection-1,4,6.844662e-13,1.631577e-5,6,175,188,0.003,true
QQN-Bisection-1,5,1.165261e-12,8.771392e-6,8,139,162,0.003,true
QQN-Bisection-1,6,6.637285e-9,8.876771e-4,7,127,153,0.003,true
QQN-Bisection-1,7,4.379385e-9,1.303462e-3,6,165,188,0.003,true
QQN-Bisection-1,8,2.890639e-9,1.058880e-3,6,165,188,0.003,true
QQN-Bisection-1,9,7.383251e-10,7.672763e-5,8,187,206,0.003,true
QQN-Bisection-1,10,4.679170e-16,9.429013e-8,7,176,198,0.003,true
QQN-Bisection-1,11,1.505892e-9,7.647125e-4,6,164,189,0.003,true
QQN-Bisection-1,12,9.936113e-10,6.215534e-4,5,164,178,0.003,true
QQN-Bisection-1,13,4.029763e-12,5.283227e-6,8,138,163,0.003,true
QQN-Bisection-1,14,7.851275e-9,1.740913e-3,6,165,188,0.003,true
QQN-Bisection-1,15,2.189005e-14,1.455602e-6,8,139,162,0.003,true
QQN-Bisection-1,16,8.136220e-9,1.771430e-3,6,165,188,0.003,true
QQN-Bisection-1,17,7.911911e-15,1.753747e-6,8,168,193,0.004,true
QQN-Bisection-1,18,9.560042e-14,6.097705e-6,6,175,188,0.003,true
QQN-Bisection-1,19,2.715612e-9,1.023779e-3,6,165,188,0.003,true
QQN-Bisection-2,0,1.134273e-10,1.257892e-4,12,146,152,0.004,true
QQN-Bisection-2,1,2.104124e-9,4.050368e-4,13,157,161,0.004,true
QQN-Bisection-2,2,8.640807e-10,2.057200e-4,14,168,170,0.004,true
QQN-Bisection-2,3,1.817112e-9,3.655368e-4,14,168,170,0.004,true
QQN-Bisection-2,4,8.808414e-10,2.205295e-4,15,179,179,0.005,true
QQN-Bisection-2,5,2.687278e-9,4.352488e-4,12,146,152,0.004,true
QQN-Bisection-2,6,1.653746e-9,3.747251e-4,14,168,170,0.004,true
QQN-Bisection-2,7,2.208072e-9,4.179650e-4,13,157,161,0.004,true
QQN-Bisection-2,8,4.998521e-10,2.452644e-4,16,190,188,0.005,true
QQN-Bisection-2,9,1.212872e-9,6.736861e-4,9,113,125,0.003,true
QQN-Bisection-2,10,3.312668e-9,5.551994e-4,15,179,179,0.005,true
QQN-Bisection-2,11,1.377945e-9,2.897934e-4,13,157,161,0.004,true
QQN-Bisection-2,12,1.238807e-10,6.915328e-5,12,146,152,0.004,true
QQN-Bisection-2,13,1.101831e-9,2.351878e-4,12,146,152,0.004,true
QQN-Bisection-2,14,1.910459e-10,1.160999e-4,14,168,170,0.004,true
QQN-Bisection-2,15,1.357844e-9,3.991005e-4,13,157,161,0.004,true
QQN-Bisection-2,16,2.951782e-9,4.557595e-4,13,157,161,0.004,true
QQN-Bisection-2,17,1.816828e-9,3.324324e-4,14,168,170,0.004,true
QQN-Bisection-2,18,2.746454e-9,3.771030e-4,13,157,161,0.004,true
QQN-Bisection-2,19,2.501559e-9,3.799170e-4,13,157,161,0.004,true
QQN-StrongWolfe,0,2.260095e-9,4.008020e-4,15,151,121,0.005,true
QQN-StrongWolfe,1,3.353484e-10,2.129292e-4,17,153,137,0.005,true
QQN-StrongWolfe,2,1.029751e-9,5.840225e-4,12,116,97,0.003,true
QQN-StrongWolfe,3,1.687254e-10,1.402873e-4,22,279,187,0.008,true
QQN-StrongWolfe,4,5.398360e-10,2.094221e-4,18,159,145,0.005,true
QQN-StrongWolfe,5,2.245407e-9,6.099735e-4,15,139,121,0.004,true
QQN-StrongWolfe,6,3.750451e-9,4.119636e-4,16,153,135,0.005,true
QQN-StrongWolfe,7,7.875105e-10,3.511493e-4,17,173,143,0.005,true
QQN-StrongWolfe,8,1.933368e-2,4.727778e-1,99,2679,2366,0.086,false
QQN-StrongWolfe,9,7.746254e-10,3.359038e-4,13,133,115,0.004,true
QQN-StrongWolfe,10,2.140892e-9,4.139534e-4,15,139,121,0.004,true
QQN-StrongWolfe,11,1.760718e-9,3.297283e-4,15,153,121,0.005,true
QQN-StrongWolfe,12,1.422512e-9,5.185443e-4,15,137,121,0.004,true
QQN-StrongWolfe,13,2.207471e-9,5.936392e-4,18,179,149,0.006,true
QQN-StrongWolfe,14,1.345799e-9,2.483165e-4,15,160,131,0.005,true
QQN-StrongWolfe,15,2.115166e-14,2.830930e-6,7,90,69,0.002,true
QQN-StrongWolfe,16,1.618996e-9,4.281237e-4,17,164,137,0.005,true
QQN-StrongWolfe,17,3.936028e-9,4.356794e-4,17,174,145,0.005,true
QQN-StrongWolfe,18,5.371947e-11,1.227860e-4,17,165,137,0.005,true
QQN-StrongWolfe,19,8.592349e-10,2.009265e-4,13,133,111,0.004,true
QQN-CubicQuadraticInterpolation,0,1.783250e-9,4.370782e-4,27,317,405,0.013,true
QQN-CubicQuadraticInterpolation,1,4.493623e-9,6.982428e-4,27,313,397,0.013,true
QQN-CubicQuadraticInterpolation,2,2.337254e-9,4.869758e-4,27,317,405,0.013,true
QQN-CubicQuadraticInterpolation,3,9.418021e-10,2.545563e-4,27,313,397,0.013,true
QQN-CubicQuadraticInterpolation,4,1.137769e-9,3.212698e-4,27,313,397,0.013,true
QQN-CubicQuadraticInterpolation,5,2.133917e-9,3.809714e-4,27,313,397,0.019,true
QQN-CubicQuadraticInterpolation,6,1.598980e-9,3.105118e-4,27,313,397,0.013,true
QQN-CubicQuadraticInterpolation,7,2.199898e-9,4.244732e-4,27,317,405,0.013,true
QQN-CubicQuadraticInterpolation,8,1.502119e-9,3.582365e-4,27,317,405,0.014,true
QQN-CubicQuadraticInterpolation,9,4.526229e-10,2.534154e-4,27,309,389,0.013,true
QQN-CubicQuadraticInterpolation,10,7.636448e-10,3.172006e-4,27,309,389,0.012,true
QQN-CubicQuadraticInterpolation,11,2.174220e-9,4.943197e-4,27,317,405,0.013,true
QQN-CubicQuadraticInterpolation,12,1.575195e-9,3.376970e-4,27,313,397,0.013,true
QQN-CubicQuadraticInterpolation,13,3.374638e-9,4.897333e-4,27,313,397,0.013,true
QQN-CubicQuadraticInterpolation,14,2.553214e-9,4.900690e-4,27,317,405,0.017,true
QQN-CubicQuadraticInterpolation,15,2.185176e-9,4.181020e-4,26,297,373,0.012,true
QQN-CubicQuadraticInterpolation,16,7.095898e-10,2.302872e-4,27,313,397,0.012,true
QQN-CubicQuadraticInterpolation,17,1.504504e-9,3.105045e-4,27,313,397,0.012,true
QQN-CubicQuadraticInterpolation,18,7.987372e-10,2.659854e-4,27,313,397,0.012,true
QQN-CubicQuadraticInterpolation,19,7.314451e-10,3.045253e-4,27,309,389,0.012,true
L-BFGS-Aggressive,0,9.477379e-1,5.837581e0,389,3841,1172,0.048,false
L-BFGS-Aggressive,1,1.140640e0,4.475050e0,389,3836,1172,0.054,false
L-BFGS-Aggressive,2,1.367303e-2,1.443549e0,389,3834,1172,0.055,false
L-BFGS-Aggressive,3,5.375347e-1,7.765168e0,564,3306,1697,0.074,false
L-BFGS-Aggressive,4,2.090161e0,9.022700e0,389,3841,1172,0.056,false
L-BFGS-Aggressive,5,9.067209e-1,5.204076e0,389,3836,1172,0.054,false
L-BFGS-Aggressive,6,6.051906e-1,2.225036e0,389,3841,1172,0.054,false
L-BFGS-Aggressive,7,4.281893e-1,6.576903e0,389,3830,1172,0.048,false
L-BFGS-Aggressive,8,6.274778e-1,3.646586e0,391,3831,1178,0.056,false
L-BFGS-Aggressive,9,5.153112e-1,3.381943e0,389,3840,1172,0.048,false
L-BFGS-Aggressive,10,6.723593e-2,5.549527e0,388,3842,1169,0.047,false
L-BFGS-Aggressive,11,6.842160e-1,1.423513e1,389,3838,1172,0.047,false
L-BFGS-Aggressive,12,2.665468e0,8.824586e0,387,3841,1166,0.048,false
L-BFGS-Aggressive,13,2.786834e-1,9.792913e0,389,3840,1172,0.049,false
L-BFGS-Aggressive,14,8.075329e-1,1.884175e0,388,3841,1169,0.046,false
L-BFGS-Aggressive,15,1.919165e0,5.797010e0,388,3838,1169,0.047,false
L-BFGS-Aggressive,16,6.694427e-1,5.725847e0,389,3842,1172,0.056,false
L-BFGS-Aggressive,17,1.831180e-2,1.846150e0,389,3836,1172,0.047,false
L-BFGS-Aggressive,18,3.029420e0,1.157106e1,387,3840,1166,0.046,false
L-BFGS-Aggressive,19,1.635770e0,4.779691e1,389,3838,1172,0.054,false
L-BFGS,0,6.229277e3,2.742062e4,8,83,26,0.001,false
L-BFGS,1,2.782043e4,8.440152e4,384,3852,1157,0.069,false
L-BFGS,2,1.436317e4,5.137375e4,384,3852,1157,0.071,false
L-BFGS,3,2.127539e4,6.900691e4,384,3852,1157,0.069,false
L-BFGS,4,2.346767e4,7.428086e4,384,3852,1157,0.069,false
L-BFGS,5,2.419933e4,7.601159e4,384,3852,1157,0.069,false
L-BFGS,6,2.215296e4,7.113210e4,384,3852,1157,0.070,false
L-BFGS,7,6.880842e3,2.955023e4,8,83,26,0.001,false
L-BFGS,8,1.751116e4,5.961743e4,384,3852,1157,0.069,false
L-BFGS,9,3.408082e4,9.829434e4,384,3852,1157,0.070,false
L-BFGS,10,7.094870e3,3.023892e4,8,83,26,0.001,false
L-BFGS,11,2.491620e4,7.769626e4,384,3852,1157,0.069,false
L-BFGS,12,1.837766e4,6.181998e4,384,3852,1157,0.070,false
L-BFGS,13,2.720467e4,8.299703e4,384,3852,1157,0.078,false
L-BFGS,14,2.142848e4,6.937919e4,384,3852,1157,0.072,false
L-BFGS,15,3.198766e4,9.372795e4,384,3852,1157,0.075,false
L-BFGS,16,1.551354e4,5.443462e4,384,3852,1157,0.069,false
L-BFGS,17,1.812090e4,6.117062e4,384,3852,1157,0.070,false
L-BFGS,18,3.577911e4,1.019496e5,384,3852,1157,0.072,false
L-BFGS,19,1.484281e4,5.265645e4,384,3852,1157,0.069,false
L-BFGS-Conservative,0,5.889257e22,4.691436e18,12,66,46,0.002,false
L-BFGS-Conservative,1,1.864355e23,1.113414e19,12,66,46,0.002,false
L-BFGS-Conservative,2,1.697685e22,1.845667e18,12,66,46,0.002,false
L-BFGS-Conservative,3,2.668151e24,8.192532e19,12,65,46,0.002,false
L-BFGS-Conservative,4,3.288149e22,3.030218e18,12,66,46,0.002,false
L-BFGS-Conservative,5,5.063059e23,2.355429e19,12,66,46,0.002,false
L-BFGS-Conservative,6,2.413192e24,7.598088e19,12,65,46,0.002,false
L-BFGS-Conservative,7,6.023098e23,2.683029e19,12,66,46,0.002,false
L-BFGS-Conservative,8,4.360033e22,3.744361e18,12,66,46,0.002,false
L-BFGS-Conservative,9,4.085776e22,3.566287e18,12,66,46,0.002,false
L-BFGS-Conservative,10,8.861823e22,6.373862e18,12,66,46,0.002,false
L-BFGS-Conservative,11,6.229497e22,4.893280e18,12,66,46,0.002,false
L-BFGS-Conservative,12,4.586182e24,1.229841e20,12,65,46,0.002,false
L-BFGS-Conservative,13,8.981139e22,6.438118e18,12,65,46,0.002,false
L-BFGS-Conservative,14,8.864696e22,6.375412e18,12,66,46,0.002,false
L-BFGS-Conservative,15,1.677879e5,3.251312e5,16,122,63,0.003,false
L-BFGS-Conservative,16,3.280138e22,3.024680e18,12,66,46,0.002,false
L-BFGS-Conservative,17,1.243370e24,4.620732e19,12,67,46,0.002,false
L-BFGS-Conservative,18,1.611254e24,5.612203e19,12,65,46,0.002,false
L-BFGS-Conservative,19,1.264568e24,4.679690e19,12,65,46,0.002,false
L-BFGS-MoreThuente,0,4.865183e-7,1.688851e-3,387,2894,2118,0.061,false
L-BFGS-MoreThuente,1,4.266494e-6,4.261263e-3,382,2884,2118,0.059,false
L-BFGS-MoreThuente,2,9.367553e-7,2.279029e-3,380,2883,2121,0.059,false
L-BFGS-MoreThuente,3,1.298765e-6,2.931594e-3,381,2883,2119,0.059,false
L-BFGS-MoreThuente,4,3.341561e-6,4.428345e-3,381,2888,2124,0.058,false
L-BFGS-MoreThuente,5,3.035279e-6,3.580820e-3,379,2881,2121,0.058,false
L-BFGS-MoreThuente,6,1.609155e-6,2.829478e-3,382,2888,2122,0.058,false
L-BFGS-MoreThuente,7,1.366481e-6,3.152154e-3,383,2889,2121,0.058,false
L-BFGS-MoreThuente,8,7.589042e-7,1.866793e-3,378,2880,2122,0.061,false
L-BFGS-MoreThuente,9,1.125225e-6,2.273210e-3,390,2895,2113,0.061,false
L-BFGS-MoreThuente,10,1.889100e-6,3.170849e-3,383,2890,2122,0.060,false
L-BFGS-MoreThuente,11,2.155464e-6,3.379100e-3,382,2885,2119,0.060,false
L-BFGS-MoreThuente,12,2.578920e-6,3.968327e-3,380,2882,2120,0.060,false
L-BFGS-MoreThuente,13,1.161325e-6,2.551195e-3,381,2883,2119,0.059,false
L-BFGS-MoreThuente,14,8.557232e-7,2.209505e-3,381,2885,2121,0.058,false
L-BFGS-MoreThuente,15,9.937195e-7,2.441022e-3,387,2891,2115,0.059,false
L-BFGS-MoreThuente,16,6.647036e-7,1.975899e-3,381,2884,2120,0.058,false
L-BFGS-MoreThuente,17,1.366870e-6,2.478035e-3,383,2889,2121,0.058,false
L-BFGS-MoreThuente,18,1.255923e-6,2.623660e-3,382,2886,2120,0.058,false
L-BFGS-MoreThuente,19,2.272179e-6,4.800408e-3,380,2887,2125,0.057,false
L-BFGS-Limited,0,9.611877e-9,2.209752e-4,140,1278,423,0.019,true
L-BFGS-Limited,1,6.083816e-8,8.053430e-4,339,3993,1022,0.050,false
L-BFGS-Limited,2,4.162051e-1,5.110529e0,269,4191,812,0.041,false
L-BFGS-Limited,3,9.861400e-1,6.258576e0,398,3804,1199,0.052,false
L-BFGS-Limited,4,6.119963e-4,4.775385e-1,343,3979,1034,0.052,false
L-BFGS-Limited,5,4.235861e-1,1.001487e1,275,4180,830,0.048,false
L-BFGS-Limited,6,2.994184e-2,2.071375e0,302,4102,911,0.047,false
L-BFGS-Limited,7,9.367163e-9,3.165578e-4,296,2551,891,0.043,true
L-BFGS-Limited,8,9.906745e-9,1.878261e-3,89,656,270,0.013,true
L-BFGS-Limited,9,5.258153e-9,4.001184e-4,151,2654,454,0.027,true
L-BFGS-Limited,10,6.727793e-9,1.966403e-4,54,569,165,0.008,true
L-BFGS-Limited,11,9.742500e-9,2.060268e-4,207,1104,624,0.028,true
L-BFGS-Limited,12,9.674010e-9,2.227931e-4,137,782,414,0.019,true
L-BFGS-Limited,13,9.585385e-4,6.083127e-1,338,3991,1019,0.051,false
L-BFGS-Limited,14,9.787291e-9,1.982832e-4,306,2697,921,0.044,true
L-BFGS-Limited,15,9.609727e-9,6.113349e-4,249,2511,750,0.037,true
L-BFGS-Limited,16,2.238933e-5,3.188020e-2,285,4160,860,0.045,false
L-BFGS-Limited,17,8.685078e-9,1.507827e-3,43,373,132,0.006,true
