Problem,QQN_Optimizer,NonQQN_Optimizer,Metric,Winner,Test_Statistic,P_Value,Significant,Effect_Size
IllConditionedRosenbrock_2D_alpha100,QQN-CubicQuadraticInterpolation,Trust Region-Standard,Final_Objective_Value,QQN-CubicQuadraticInterpolation,-96.989684,0.001000,true,30.671
IllConditionedRosenbrock_2D_alpha100,QQN-CubicQuadraticInterpolation,Trust Region-Standard,Computational_Cost,Trust Region-Standard,11.231591,0.001000,true,3.552
IllConditionedRosenbrock_2D_alpha100,QQN-CubicQuadraticInterpolation,L-BFGS-Conservative,Final_Objective_Value,L-BFGS-Conservative,4.455201,0.001000,true,1.409
IllConditionedRosenbrock_2D_alpha100,QQN-CubicQuadraticInterpolation,L-BFGS-Conservative,Computational_Cost,-,1.554691,0.200000,false,0.492
IllConditionedRosenbrock_2D_alpha100,QQN-CubicQuadraticInterpolation,L-BFGS-MoreThuente,Final_Objective_Value,-,1.162792,0.500000,false,0.368
IllConditionedRosenbrock_2D_alpha100,QQN-CubicQuadraticInterpolation,L-BFGS-MoreThuente,Computational_Cost,-,2.341549,0.050000,false,0.740
IllConditionedRosenbrock_2D_alpha100,QQN-CubicQuadraticInterpolation,Trust Region-Aggressive,Final_Objective_Value,QQN-CubicQuadraticInterpolation,-50.375641,0.001000,true,15.930
IllConditionedRosenbrock_2D_alpha100,QQN-CubicQuadraticInterpolation,Trust Region-Aggressive,Computational_Cost,Trust Region-Aggressive,11.606361,0.001000,true,3.670
IllConditionedRosenbrock_2D_alpha100,QQN-CubicQuadraticInterpolation,Adam-WeightDecay,Final_Objective_Value,QQN-CubicQuadraticInterpolation,-18.374281,0.001000,true,5.810
IllConditionedRosenbrock_2D_alpha100,QQN-CubicQuadraticInterpolation,Adam-WeightDecay,Computational_Cost,Adam-WeightDecay,8.965938,0.001000,true,2.835
IllConditionedRosenbrock_2D_alpha100,QQN-CubicQuadraticInterpolation,L-BFGS,Final_Objective_Value,QQN-CubicQuadraticInterpolation,-3.747444,0.001000,true,1.185
IllConditionedRosenbrock_2D_alpha100,QQN-CubicQuadraticInterpolation,L-BFGS,Computational_Cost,L-BFGS,11.096178,0.001000,true,3.509
IllConditionedRosenbrock_2D_alpha100,QQN-CubicQuadraticInterpolation,L-BFGS-Aggressive,Final_Objective_Value,QQN-CubicQuadraticInterpolation,-4.843973,0.001000,true,1.532
IllConditionedRosenbrock_2D_alpha100,QQN-CubicQuadraticInterpolation,L-BFGS-Aggressive,Computational_Cost,QQN-CubicQuadraticInterpolation,-Inf,0.000000,true,2.581
IllConditionedRosenbrock_2D_alpha100,QQN-CubicQuadraticInterpolation,GD-AdaptiveMomentum,Final_Objective_Value,QQN-CubicQuadraticInterpolation,-2.756728,0.010000,true,0.872
IllConditionedRosenbrock_2D_alpha100,QQN-CubicQuadraticInterpolation,GD-AdaptiveMomentum,Computational_Cost,GD-AdaptiveMomentum,11.263679,0.001000,true,3.562
IllConditionedRosenbrock_2D_alpha100,QQN-CubicQuadraticInterpolation,Trust Region-Adaptive,Final_Objective_Value,QQN-CubicQuadraticInterpolation,-84.815463,0.001000,true,26.821
IllConditionedRosenbrock_2D_alpha100,QQN-CubicQuadraticInterpolation,Trust Region-Adaptive,Computational_Cost,Trust Region-Adaptive,8.131932,0.001000,true,2.572
IllConditionedRosenbrock_2D_alpha100,QQN-CubicQuadraticInterpolation,Adam-Fast,Final_Objective_Value,QQN-CubicQuadraticInterpolation,-3.323309,0.001000,true,1.051
IllConditionedRosenbrock_2D_alpha100,QQN-CubicQuadraticInterpolation,Adam-Fast,Computational_Cost,Adam-Fast,9.723305,0.001000,true,3.075
IllConditionedRosenbrock_2D_alpha100,QQN-CubicQuadraticInterpolation,Trust Region-Precise,Final_Objective_Value,QQN-CubicQuadraticInterpolation,-3.905451,0.001000,true,1.235
IllConditionedRosenbrock_2D_alpha100,QQN-CubicQuadraticInterpolation,Trust Region-Precise,Computational_Cost,Trust Region-Precise,4.451886,0.001000,true,1.408
IllConditionedRosenbrock_2D_alpha100,QQN-CubicQuadraticInterpolation,Adam,Final_Objective_Value,QQN-CubicQuadraticInterpolation,-14.692395,0.001000,true,4.646
IllConditionedRosenbrock_2D_alpha100,QQN-CubicQuadraticInterpolation,Adam,Computational_Cost,QQN-CubicQuadraticInterpolation,-Inf,0.000000,true,0.374
IllConditionedRosenbrock_2D_alpha100,QQN-CubicQuadraticInterpolation,GD,Final_Objective_Value,QQN-CubicQuadraticInterpolation,-3.558024,0.001000,true,1.125
IllConditionedRosenbrock_2D_alpha100,QQN-CubicQuadraticInterpolation,GD,Computational_Cost,-,2.445864,0.050000,false,0.773
IllConditionedRosenbrock_2D_alpha100,QQN-CubicQuadraticInterpolation,L-BFGS-Limited,Final_Objective_Value,QQN-CubicQuadraticInterpolation,-3.278268,0.001000,true,1.037
IllConditionedRosenbrock_2D_alpha100,QQN-CubicQuadraticInterpolation,L-BFGS-Limited,Computational_Cost,-,0.044703,0.500000,false,0.014
IllConditionedRosenbrock_2D_alpha100,QQN-CubicQuadraticInterpolation,Trust Region-Conservative,Final_Objective_Value,QQN-CubicQuadraticInterpolation,-4.151001,0.001000,true,1.313
IllConditionedRosenbrock_2D_alpha100,QQN-CubicQuadraticInterpolation,Trust Region-Conservative,Computational_Cost,-,-2.205106,0.050000,false,0.697
IllConditionedRosenbrock_2D_alpha100,QQN-CubicQuadraticInterpolation,GD-Nesterov,Final_Objective_Value,QQN-CubicQuadraticInterpolation,-3.370010,0.001000,true,1.066
IllConditionedRosenbrock_2D_alpha100,QQN-CubicQuadraticInterpolation,GD-Nesterov,Computational_Cost,GD-Nesterov,11.286980,0.001000,true,3.569
IllConditionedRosenbrock_2D_alpha100,QQN-CubicQuadraticInterpolation,GD-WeightDecay,Final_Objective_Value,QQN-CubicQuadraticInterpolation,-5.120255,0.001000,true,1.619
IllConditionedRosenbrock_2D_alpha100,QQN-CubicQuadraticInterpolation,GD-WeightDecay,Computational_Cost,GD-WeightDecay,11.058287,0.001000,true,3.497
IllConditionedRosenbrock_2D_alpha100,QQN-CubicQuadraticInterpolation,GD-Momentum,Final_Objective_Value,QQN-CubicQuadraticInterpolation,-7.047857,0.001000,true,2.229
IllConditionedRosenbrock_2D_alpha100,QQN-CubicQuadraticInterpolation,GD-Momentum,Computational_Cost,GD-Momentum,11.517299,0.001000,true,3.642
IllConditionedRosenbrock_2D_alpha100,QQN-CubicQuadraticInterpolation,Adam-Robust,Final_Objective_Value,QQN-CubicQuadraticInterpolation,-20.297956,0.001000,true,6.419
IllConditionedRosenbrock_2D_alpha100,QQN-CubicQuadraticInterpolation,Adam-Robust,Computational_Cost,Adam-Robust,6.651576,0.001000,true,2.103
IllConditionedRosenbrock_2D_alpha100,QQN-CubicQuadraticInterpolation,Adam-AMSGrad,Final_Objective_Value,QQN-CubicQuadraticInterpolation,-12.406676,0.001000,true,3.923
IllConditionedRosenbrock_2D_alpha100,QQN-CubicQuadraticInterpolation,Adam-AMSGrad,Computational_Cost,Adam-AMSGrad,6.082417,0.001000,true,1.923
IllConditionedRosenbrock_2D_alpha100,QQN-GoldenSection,Trust Region-Standard,Final_Objective_Value,QQN-GoldenSection,-91.990085,0.001000,true,29.090
IllConditionedRosenbrock_2D_alpha100,QQN-GoldenSection,Trust Region-Standard,Computational_Cost,Trust Region-Standard,210.655703,0.001000,true,66.615
IllConditionedRosenbrock_2D_alpha100,QQN-GoldenSection,L-BFGS-Conservative,Final_Objective_Value,L-BFGS-Conservative,9.428455,0.001000,true,2.982
IllConditionedRosenbrock_2D_alpha100,QQN-GoldenSection,L-BFGS-Conservative,Computational_Cost,L-BFGS-Conservative,11.324234,0.001000,true,3.581
IllConditionedRosenbrock_2D_alpha100,QQN-GoldenSection,L-BFGS-MoreThuente,Final_Objective_Value,L-BFGS-MoreThuente,5.516113,0.001000,true,1.744
IllConditionedRosenbrock_2D_alpha100,QQN-GoldenSection,L-BFGS-MoreThuente,Computational_Cost,L-BFGS-MoreThuente,10.830431,0.001000,true,3.425
IllConditionedRosenbrock_2D_alpha100,QQN-GoldenSection,Trust Region-Aggressive,Final_Objective_Value,QQN-GoldenSection,-49.052383,0.001000,true,15.512
IllConditionedRosenbrock_2D_alpha100,QQN-GoldenSection,Trust Region-Aggressive,Computational_Cost,Trust Region-Aggressive,548.283853,0.001000,true,173.383
IllConditionedRosenbrock_2D_alpha100,QQN-GoldenSection,Adam-WeightDecay,Final_Objective_Value,QQN-GoldenSection,-17.944595,0.001000,true,5.675
IllConditionedRosenbrock_2D_alpha100,QQN-GoldenSection,Adam-WeightDecay,Computational_Cost,Adam-WeightDecay,35.144861,0.001000,true,11.114
IllConditionedRosenbrock_2D_alpha100,QQN-GoldenSection,L-BFGS,Final_Objective_Value,QQN-GoldenSection,-3.744943,0.001000,true,1.184
IllConditionedRosenbrock_2D_alpha100,QQN-GoldenSection,L-BFGS,Computational_Cost,L-BFGS,282.770986,0.001000,true,89.420
IllConditionedRosenbrock_2D_alpha100,QQN-GoldenSection,L-BFGS-Aggressive,Final_Objective_Value,QQN-GoldenSection,-4.830159,0.001000,true,1.527
IllConditionedRosenbrock_2D_alpha100,QQN-GoldenSection,L-BFGS-Aggressive,Computational_Cost,L-BFGS-Aggressive,Inf,0.000000,true,33.174
IllConditionedRosenbrock_2D_alpha100,QQN-GoldenSection,GD-AdaptiveMomentum,Final_Objective_Value,QQN-GoldenSection,-2.435946,0.010000,true,0.770
IllConditionedRosenbrock_2D_alpha100,QQN-GoldenSection,GD-AdaptiveMomentum,Computational_Cost,GD-AdaptiveMomentum,616.375274,0.001000,true,194.915
IllConditionedRosenbrock_2D_alpha100,QQN-GoldenSection,Trust Region-Adaptive,Final_Objective_Value,QQN-GoldenSection,-80.933931,0.001000,true,25.594
IllConditionedRosenbrock_2D_alpha100,QQN-GoldenSection,Trust Region-Adaptive,Computational_Cost,Trust Region-Adaptive,38.725421,0.001000,true,12.246
IllConditionedRosenbrock_2D_alpha100,QQN-GoldenSection,Adam-Fast,Final_Objective_Value,QQN-GoldenSection,-3.179045,0.001000,true,1.005
IllConditionedRosenbrock_2D_alpha100,QQN-GoldenSection,Adam-Fast,Computational_Cost,Adam-Fast,72.707310,0.001000,true,22.992
IllConditionedRosenbrock_2D_alpha100,QQN-GoldenSection,Trust Region-Precise,Final_Objective_Value,QQN-GoldenSection,-3.856431,0.001000,true,1.220
IllConditionedRosenbrock_2D_alpha100,QQN-GoldenSection,Trust Region-Precise,Computational_Cost,Trust Region-Precise,15.480984,0.001000,true,4.896
IllConditionedRosenbrock_2D_alpha100,QQN-GoldenSection,Adam,Final_Objective_Value,QQN-GoldenSection,-13.452909,0.001000,true,4.254
IllConditionedRosenbrock_2D_alpha100,QQN-GoldenSection,Adam,Computational_Cost,Adam,Inf,0.000000,true,106.901
IllConditionedRosenbrock_2D_alpha100,QQN-GoldenSection,GD,Final_Objective_Value,QQN-GoldenSection,-3.285969,0.001000,true,1.039
IllConditionedRosenbrock_2D_alpha100,QQN-GoldenSection,GD,Computational_Cost,GD,21.251049,0.001000,true,6.720
IllConditionedRosenbrock_2D_alpha100,QQN-GoldenSection,L-BFGS-Limited,Final_Objective_Value,QQN-GoldenSection,-3.201845,0.001000,true,1.013
IllConditionedRosenbrock_2D_alpha100,QQN-GoldenSection,L-BFGS-Limited,Computational_Cost,L-BFGS-Limited,4.904979,0.001000,true,1.551
IllConditionedRosenbrock_2D_alpha100,QQN-GoldenSection,Trust Region-Conservative,Final_Objective_Value,QQN-GoldenSection,-4.137724,0.001000,true,1.308
IllConditionedRosenbrock_2D_alpha100,QQN-GoldenSection,Trust Region-Conservative,Computational_Cost,Trust Region-Conservative,14.548421,0.001000,true,4.601
IllConditionedRosenbrock_2D_alpha100,QQN-GoldenSection,GD-Nesterov,Final_Objective_Value,QQN-GoldenSection,-3.159181,0.010000,true,0.999
