Optimizer,Min,Q1,Median,Q3,Max,AllValues
L-BFGS-Conservative,2.797591e-3,3.939092e-3,4.501158e-3,4.832698e-3,4.972721e-3,"2.797591e-3;3.305550e-3;3.525316e-3;3.533900e-3;3.693858e-3;3.939092e-3;4.026930e-3;4.260418e-3;4.397458e-3;4.402652e-3;4.501158e-3;4.568479e-3;4.658151e-3;4.658722e-3;4.732974e-3;4.832698e-3;4.905262e-3;4.939274e-3;4.962762e-3;4.972721e-3"
Adam-Robust,2.269559e-2,4.326841e-2,5.481286e-2,7.439576e-2,1.251926e-1,"2.269559e-2;2.436296e-2;2.707649e-2;4.082452e-2;4.106888e-2;4.326841e-2;4.681823e-2;4.884683e-2;5.254618e-2;5.292295e-2;5.481286e-2;6.036634e-2;6.492555e-2;6.748103e-2;7.216201e-2;7.439576e-2;8.349708e-2;8.405497e-2;8.504097e-2;1.251926e-1"
Adam-Fast,2.818338e-4,3.146832e-3,1.202699e-1,1.274842e-1,1.341967e-1,"2.818338e-4;3.399807e-4;3.659294e-4;2.604539e-3;2.968556e-3;3.146832e-3;1.147465e-1;1.174543e-1;1.187633e-1;1.191058e-1;1.202699e-1;1.221638e-1;1.251467e-1;1.253743e-1;1.267692e-1;1.274842e-1;1.307375e-1;1.314056e-1;1.330783e-1;1.341967e-1"
Trust Region-Standard,7.552753e-4,4.529170e2,4.677906e2,4.826939e2,6.035861e3,"7.552753e-4;4.795119e-3;4.476848e2;4.497178e2;4.503999e2;4.529170e2;4.532931e2;4.570403e2;4.659327e2;4.664506e2;4.677906e2;4.731412e2;4.775523e2;4.786737e2;4.811533e2;4.826939e2;4.889511e2;6.008845e3;6.035533e3;6.035861e3"
Trust Region-Conservative,2.111894e-4,3.759782e-4,1.304243e-3,3.408256e-3,4.459257e-3,"2.111894e-4;2.354621e-4;2.807911e-4;3.051486e-4;3.624343e-4;3.759782e-4;3.825127e-4;9.469028e-4;9.626792e-4;1.033489e-3;1.304243e-3;1.582063e-3;1.607013e-3;2.558638e-3;2.772686e-3;3.408256e-3;3.559034e-3;3.701970e-3;3.811418e-3;4.459257e-3"
GD-WeightDecay,4.308818e-3,4.541741e-3,4.699997e-3,4.812544e-3,4.948109e-3,"4.308818e-3;4.331507e-3;4.526158e-3;4.528210e-3;4.532119e-3;4.541741e-3;4.592942e-3;4.604150e-3;4.635746e-3;4.649578e-3;4.699997e-3;4.709885e-3;4.715592e-3;4.729499e-3;4.799541e-3;4.812544e-3;4.853115e-3;4.885154e-3;4.898936e-3;4.948109e-3"
GD-Momentum,1.930165e-4,2.259523e-4,2.396725e-4,2.931131e-4,4.947053e-3,"1.930165e-4;2.005970e-4;2.059083e-4;2.071070e-4;2.259084e-4;2.259523e-4;2.277720e-4;2.297841e-4;2.297951e-4;2.326201e-4;2.396725e-4;2.426561e-4;2.724644e-4;2.841352e-4;2.901522e-4;2.931131e-4;2.980322e-4;3.130326e-4;3.408701e-4;4.947053e-3"
L-BFGS-Limited,0.000000e0,1.274931e-5,2.090055e-4,1.770863e-3,4.921204e-3,"0.000000e0;0.000000e0;0.000000e0;0.000000e0;1.516219e-6;1.274931e-5;4.287638e-5;4.818268e-5;5.435865e-5;1.941567e-4;2.090055e-4;3.335413e-4;1.432896e-3;1.444586e-3;1.567337e-3;1.770863e-3;3.805433e-3;4.415035e-3;4.476277e-3;4.921204e-3"
Trust Region-Adaptive,1.207377e-5,2.629513e-3,1.212317e3,1.215271e3,1.222904e3,"1.207377e-5;2.559786e-4;1.114629e-3;1.457761e-3;2.383517e-3;2.629513e-3;3.470192e-3;3.941601e-1;4.561386e-1;1.211680e3;1.212317e3;1.212731e3;1.213159e3;1.213462e3;1.214557e3;1.215271e3;1.216947e3;1.217056e3;1.217649e3;1.222904e3"
Trust Region-Aggressive,2.256307e-5,4.642056e-3,1.130197e4,1.140513e4,1.153311e4,"2.256307e-5;3.010886e-4;3.550099e-4;1.280539e-3;2.069669e-3;4.642056e-3;1.127902e4;1.128511e4;1.128719e4;1.129537e4;1.130197e4;1.130725e4;1.135410e4;1.135938e4;1.136039e4;1.140513e4;1.141865e4;1.144365e4;1.145662e4;1.153311e4"
Trust Region-Precise,5.183959e-6,1.323227e-3,4.011230e-3,1.301085e0,2.786479e0,"5.183959e-6;3.863406e-5;1.035196e-4;2.107191e-4;7.530792e-4;1.323227e-3;1.534397e-3;1.582974e-3;2.310891e-3;2.314420e-3;4.011230e-3;1.257405e0;1.280901e0;1.282664e0;1.288761e0;1.301085e0;1.301746e0;1.318653e0;1.326010e0;2.786479e0"
QQN-GoldenSection,2.460493e-14,2.866538e-14,3.233035e-14,3.756696e-14,3.961430e-14,"2.460493e-14;2.478641e-14;2.550582e-14;2.619142e-14;2.636831e-14;2.866538e-14;3.010266e-14;3.035718e-14;3.096754e-14;3.173855e-14;3.233035e-14;3.494353e-14;3.509877e-14;3.552010e-14;3.561966e-14;3.756696e-14;3.798537e-14;3.818828e-14;3.868713e-14;3.961430e-14"
QQN-Bisection-1,0.000000e0,0.000000e0,0.000000e0,0.000000e0,0.000000e0,"0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0"
L-BFGS-Aggressive,0.000000e0,0.000000e0,0.000000e0,0.000000e0,0.000000e0,"0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0"
GD-AdaptiveMomentum,2.676415e-5,1.075857e-3,4.284000e-3,4.841324e-1,5.532390e-1,"2.676415e-5;4.726826e-5;6.538337e-5;2.076000e-4;6.010817e-4;1.075857e-3;1.094280e-3;1.724845e-3;2.082270e-3;3.144558e-3;4.284000e-3;4.743477e-3;4.687703e-1;4.736828e-1;4.779627e-1;4.841324e-1;5.345537e-1;5.381844e-1;5.419850e-1;5.532390e-1"
L-BFGS,0.000000e0,0.000000e0,0.000000e0,0.000000e0,1.514311e-3,"0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;2.436611e-4;1.514311e-3"
Adam-AMSGrad,2.818328e-2,4.560176e-2,7.750884e-2,9.779879e-2,1.295126e-1,"2.818328e-2;2.835793e-2;3.108666e-2;3.334398e-2;3.346956e-2;4.560176e-2;5.313579e-2;5.626906e-2;6.771867e-2;7.088725e-2;7.750884e-2;7.906216e-2;8.234310e-2;8.833647e-2;9.306562e-2;9.779879e-2;9.867075e-2;1.167234e-1;1.283173e-1;1.295126e-1"
Adam-WeightDecay,4.936882e-3,4.976740e-3,4.985039e-3,4.994250e-3,4.999928e-3,"4.936882e-3;4.937620e-3;4.939704e-3;4.948027e-3;4.976714e-3;4.976740e-3;4.977061e-3;4.981369e-3;4.983075e-3;4.984657e-3;4.985039e-3;4.986357e-3;4.986697e-3;4.987149e-3;4.993522e-3;4.994250e-3;4.995250e-3;4.999282e-3;4.999832e-3;4.999928e-3"
GD-Nesterov,2.832621e-4,3.287174e-4,3.819699e-3,4.373771e-3,4.930579e-3,"2.832621e-4;2.865697e-4;2.868404e-4;2.929034e-4;3.214971e-4;3.287174e-4;3.444962e-4;3.540953e-4;3.633063e-4;3.788895e-3;3.819699e-3;3.831036e-3;3.879831e-3;4.084245e-3;4.087559e-3;4.373771e-3;4.845696e-3;4.855674e-3;4.927466e-3;4.930579e-3"
Adam,4.964209e-3,4.990698e-3,6.767508e-3,9.929613e-3,1.277169e-2,"4.964209e-3;4.971179e-3;4.981281e-3;4.985161e-3;4.986697e-3;4.990698e-3;4.992515e-3;4.994821e-3;5.948248e-3;6.193464e-3;6.767508e-3;6.934545e-3;8.870324e-3;8.896687e-3;9.588888e-3;9.929613e-3;1.180615e-2;1.182253e-2;1.260470e-2;1.277169e-2"
