Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,3.811391e0,5.810835e-1
QQN-GoldenSection,52,3.811391e0,5.810835e-1
QQN-GoldenSection,104,3.576406e0,5.534468e-1
QQN-GoldenSection,157,3.574455e0,5.532099e-1
QQN-GoldenSection,171,3.574452e0,5.532095e-1
QQN-GoldenSection,185,3.574452e0,5.532095e-1
QQN-GoldenSection,189,3.574452e0,5.532095e-1
QQN-GoldenSection,2,4.019870e0,6.042120e-1
QQN-GoldenSection,52,4.019870e0,6.042120e-1
QQN-GoldenSection,104,3.595091e0,5.557099e-1
QQN-GoldenSection,157,3.574486e0,5.532136e-1
QQN-GoldenSection,205,3.574452e0,5.532095e-1
QQN-GoldenSection,219,3.574452e0,5.532095e-1
QQN-GoldenSection,233,3.574452e0,5.532095e-1
QQN-GoldenSection,237,3.574452e0,5.532095e-1
QQN-GoldenSection,2,3.786908e0,5.782847e-1
QQN-GoldenSection,52,3.786908e0,5.782847e-1
QQN-GoldenSection,104,3.578311e0,5.536780e-1
QQN-GoldenSection,157,3.574458e0,5.532102e-1
QQN-GoldenSection,205,3.574452e0,5.532095e-1
QQN-GoldenSection,219,3.574452e0,5.532095e-1
QQN-GoldenSection,223,3.574452e0,5.532095e-1
QQN-GoldenSection,2,4.057946e0,6.083063e-1
QQN-GoldenSection,52,4.057946e0,6.083063e-1
QQN-GoldenSection,104,3.587069e0,5.547398e-1
QQN-GoldenSection,157,3.574459e0,5.532103e-1
QQN-GoldenSection,171,3.574452e0,5.532095e-1
QQN-GoldenSection,219,3.574452e0,5.532095e-1
QQN-GoldenSection,233,3.574452e0,5.532095e-1
QQN-GoldenSection,237,3.574452e0,5.532095e-1
QQN-GoldenSection,2,4.718287e0,6.737843e-1
QQN-GoldenSection,50,4.718287e0,6.737843e-1
QQN-GoldenSection,52,2.301018e0,3.619200e-1
QQN-GoldenSection,2,4.461506e0,6.494815e-1
QQN-GoldenSection,52,4.461506e0,6.494815e-1
QQN-GoldenSection,104,3.590284e0,5.551288e-1
QQN-GoldenSection,157,3.574474e0,5.532121e-1
QQN-GoldenSection,205,3.574452e0,5.532095e-1
QQN-GoldenSection,253,3.574452e0,5.532095e-1
QQN-GoldenSection,257,3.574452e0,5.532095e-1
QQN-GoldenSection,2,4.144355e0,6.174570e-1
QQN-GoldenSection,52,4.144355e0,6.174570e-1
QQN-GoldenSection,104,3.585794e0,5.545853e-1
QQN-GoldenSection,157,3.574466e0,5.532112e-1
QQN-GoldenSection,205,3.574452e0,5.532095e-1
QQN-GoldenSection,219,3.574452e0,5.532095e-1
QQN-GoldenSection,223,3.574452e0,5.532095e-1
QQN-GoldenSection,2,4.206277e0,6.238978e-1
QQN-GoldenSection,52,4.206277e0,6.238978e-1
QQN-GoldenSection,104,3.593381e0,5.555033e-1
QQN-GoldenSection,157,3.574470e0,5.532117e-1
QQN-GoldenSection,171,3.574452e0,5.532095e-1
QQN-GoldenSection,219,3.574452e0,5.532095e-1
QQN-GoldenSection,267,3.574452e0,5.532095e-1
QQN-GoldenSection,271,3.574452e0,5.532095e-1
QQN-GoldenSection,2,4.285818e0,6.320337e-1
QQN-GoldenSection,52,4.285818e0,6.320337e-1
QQN-GoldenSection,104,3.585259e0,5.545205e-1
QQN-GoldenSection,157,3.574470e0,5.532117e-1
