Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,1.110668e1
QQN-GoldenSection,53,1.110668e1
QQN-GoldenSection,103,3.601049e0
QQN-GoldenSection,151,1.253109e0
QQN-GoldenSection,201,4.986014e-1
QQN-GoldenSection,252,1.024517e-1
QQN-GoldenSection,305,8.652687e-2
QQN-GoldenSection,353,3.275409e-2
QQN-GoldenSection,355,7.477828e-3
QQN-GoldenSection,2,1.571843e1
QQN-GoldenSection,53,1.571843e1
QQN-GoldenSection,103,5.828095e0
QQN-GoldenSection,151,1.283484e0
QQN-GoldenSection,200,6.085217e-1
QQN-GoldenSection,249,3.266252e-1
QQN-GoldenSection,305,2.055680e-1
QQN-GoldenSection,353,6.367493e-2
QQN-GoldenSection,401,1.831946e-2
QQN-GoldenSection,403,5.357879e-3
QQN-GoldenSection,2,1.314938e1
QQN-GoldenSection,53,1.314938e1
QQN-GoldenSection,103,4.062821e0
QQN-GoldenSection,151,1.249907e0
QQN-GoldenSection,203,5.650191e-1
QQN-GoldenSection,254,1.366995e-1
QQN-GoldenSection,307,1.112720e-1
QQN-GoldenSection,355,4.045097e-2
QQN-GoldenSection,357,9.871294e-3
QQN-GoldenSection,2,1.424851e1
QQN-GoldenSection,53,1.424851e1
QQN-GoldenSection,103,3.759979e0
QQN-GoldenSection,151,1.087925e0
QQN-GoldenSection,203,5.171865e-1
QQN-GoldenSection,254,1.391566e-1
QQN-GoldenSection,307,1.132021e-1
QQN-GoldenSection,355,3.967521e-2
QQN-GoldenSection,357,9.836194e-3
QQN-GoldenSection,2,1.843345e1
QQN-GoldenSection,53,1.843345e1
QQN-GoldenSection,103,4.771811e0
QQN-GoldenSection,151,1.131271e0
QQN-GoldenSection,200,5.564143e-1
QQN-GoldenSection,249,3.175216e-1
QQN-GoldenSection,297,2.076916e-1
QQN-GoldenSection,347,1.423893e-1
QQN-GoldenSection,403,9.950434e-2
QQN-GoldenSection,451,2.950970e-2
QQN-GoldenSection,453,7.082365e-3
QQN-GoldenSection,2,1.107959e1
QQN-GoldenSection,53,1.107959e1
QQN-GoldenSection,103,3.706758e0
QQN-GoldenSection,152,1.355274e0
QQN-GoldenSection,202,5.200060e-1
QQN-GoldenSection,253,9.676039e-2
QQN-GoldenSection,306,8.227738e-2
QQN-GoldenSection,354,3.171003e-2
QQN-GoldenSection,356,7.135219e-3
QQN-GoldenSection,2,1.354070e1
QQN-GoldenSection,53,1.354070e1
QQN-GoldenSection,103,3.579480e0
QQN-GoldenSection,151,1.063510e0
QQN-GoldenSection,203,5.006556e-1
QQN-GoldenSection,254,1.337227e-1
QQN-GoldenSection,307,1.092561e-1
QQN-GoldenSection,355,3.838218e-2
QQN-GoldenSection,357,9.428497e-3
QQN-GoldenSection,2,1.811197e1
QQN-GoldenSection,52,1.811197e1
QQN-GoldenSection,102,7.412253e0
QQN-GoldenSection,150,1.111143e0
QQN-GoldenSection,198,5.546911e-1
QQN-GoldenSection,246,3.288092e-1
QQN-GoldenSection,294,2.205881e-1
QQN-GoldenSection,343,1.578464e-1
QQN-GoldenSection,394,1.174692e-1
QQN-GoldenSection,447,3.183064e-2
QQN-GoldenSection,449,9.110379e-3
QQN-GoldenSection,2,1.110332e1
QQN-GoldenSection,53,1.110332e1
QQN-GoldenSection,103,2.797703e0
QQN-GoldenSection,152,8.551935e-1
QQN-GoldenSection,203,3.884816e-1
QQN-GoldenSection,254,1.071198e-1
QQN-GoldenSection,307,8.974880e-2
QQN-GoldenSection,355,3.089995e-2
QQN-GoldenSection,357,7.276378e-3
QQN-GoldenSection,2,1.430496e1
QQN-GoldenSection,53,1.430496e1
QQN-GoldenSection,103,4.883317e0
QQN-GoldenSection,151,1.371628e0
QQN-GoldenSection,200,6.288895e-1
QQN-GoldenSection,249,3.116734e-1
QQN-GoldenSection,299,1.838845e-1
QQN-GoldenSection,352,4.959309e-2
QQN-GoldenSection,400,1.652919e-2
QQN-GoldenSection,402,2.621363e-3
QQN-GoldenSection,2,1.037013e1
QQN-GoldenSection,53,1.037013e1
QQN-GoldenSection,103,2.801521e0
QQN-GoldenSection,152,8.435983e-1
QQN-GoldenSection,202,3.621323e-1
QQN-GoldenSection,253,9.762785e-2
QQN-GoldenSection,306,8.272295e-2
QQN-GoldenSection,354,2.857588e-2
QQN-GoldenSection,356,6.595168e-3
QQN-GoldenSection,2,1.352212e1
QQN-GoldenSection,53,1.352212e1
QQN-GoldenSection,103,3.510199e0
QQN-GoldenSection,151,1.045394e0
QQN-GoldenSection,203,4.936424e-1
QQN-GoldenSection,254,1.327876e-1
QQN-GoldenSection,307,1.085927e-1
QQN-GoldenSection,355,3.804884e-2
QQN-GoldenSection,357,9.341270e-3
QQN-GoldenSection,2,1.857793e1
QQN-GoldenSection,53,1.857793e1
QQN-GoldenSection,103,5.042369e0
QQN-GoldenSection,151,1.143273e0
QQN-GoldenSection,200,5.620060e-1
