Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,5.543881e1
QQN-GoldenSection,56,5.543881e1
QQN-GoldenSection,110,1.422788e-1
QQN-GoldenSection,163,1.422004e-1
QQN-GoldenSection,220,1.421122e-1
QQN-GoldenSection,278,1.420336e-1
QQN-GoldenSection,335,1.419550e-1
QQN-GoldenSection,393,1.418763e-1
QQN-GoldenSection,450,1.417977e-1
QQN-GoldenSection,508,1.417191e-1
QQN-GoldenSection,565,1.416404e-1
QQN-GoldenSection,623,1.415617e-1
QQN-GoldenSection,680,1.414831e-1
QQN-GoldenSection,738,1.414044e-1
QQN-GoldenSection,786,1.413257e-1
QQN-GoldenSection,843,1.398586e-1
QQN-GoldenSection,901,1.397804e-1
QQN-GoldenSection,958,1.397021e-1
QQN-GoldenSection,1016,1.396239e-1
QQN-GoldenSection,1073,1.395456e-1
QQN-GoldenSection,1131,1.394673e-1
QQN-GoldenSection,1188,1.393890e-1
QQN-GoldenSection,1246,1.393107e-1
QQN-GoldenSection,1303,1.392323e-1
QQN-GoldenSection,1361,1.391540e-1
QQN-GoldenSection,1409,1.390756e-1
QQN-GoldenSection,1466,1.376164e-1
QQN-GoldenSection,1524,1.375385e-1
QQN-GoldenSection,1581,1.374605e-1
QQN-GoldenSection,1639,1.373826e-1
QQN-GoldenSection,1696,1.373046e-1
QQN-GoldenSection,1754,1.372266e-1
QQN-GoldenSection,1811,1.371486e-1
QQN-GoldenSection,1869,1.370706e-1
QQN-GoldenSection,1926,1.369925e-1
QQN-GoldenSection,1984,1.369144e-1
QQN-GoldenSection,2032,1.368363e-1
QQN-GoldenSection,2089,1.353838e-1
QQN-GoldenSection,2147,1.353062e-1
QQN-GoldenSection,2204,1.352285e-1
QQN-GoldenSection,2262,1.351508e-1
QQN-GoldenSection,2319,1.350730e-1
QQN-GoldenSection,2377,1.349953e-1
QQN-GoldenSection,2434,1.349175e-1
QQN-GoldenSection,2492,1.348397e-1
QQN-GoldenSection,2549,1.347618e-1
QQN-GoldenSection,2607,1.346839e-1
QQN-GoldenSection,2655,1.346060e-1
QQN-GoldenSection,2712,1.331589e-1
QQN-GoldenSection,2770,1.330815e-1
QQN-GoldenSection,2827,1.330040e-1
QQN-GoldenSection,2885,1.329264e-1
QQN-GoldenSection,2942,1.328488e-1
QQN-GoldenSection,3000,1.327712e-1
QQN-GoldenSection,3057,1.326935e-1
QQN-GoldenSection,3115,1.326158e-1
QQN-GoldenSection,3172,1.325380e-1
QQN-GoldenSection,3230,1.324602e-1
QQN-GoldenSection,3278,1.323823e-1
QQN-GoldenSection,3335,1.309392e-1
QQN-GoldenSection,3393,1.308618e-1
QQN-GoldenSection,3450,1.307843e-1
QQN-GoldenSection,3508,1.307068e-1
QQN-GoldenSection,3565,1.306293e-1
QQN-GoldenSection,3623,1.305516e-1
QQN-GoldenSection,3680,1.304740e-1
QQN-GoldenSection,3738,1.303962e-1
QQN-GoldenSection,3795,1.303184e-1
QQN-GoldenSection,3853,1.302406e-1
QQN-GoldenSection,3901,1.301626e-1
QQN-GoldenSection,3958,1.287213e-1
QQN-GoldenSection,4016,1.286438e-1
QQN-GoldenSection,4073,1.285663e-1
QQN-GoldenSection,4131,1.284887e-1
QQN-GoldenSection,4188,1.284110e-1
QQN-GoldenSection,4246,1.283332e-1
QQN-GoldenSection,4303,1.282554e-1
QQN-GoldenSection,4361,1.281775e-1
QQN-GoldenSection,4418,1.280995e-1
QQN-GoldenSection,4476,1.280214e-1
QQN-GoldenSection,4524,1.279432e-1
QQN-GoldenSection,4581,1.265011e-1
QQN-GoldenSection,4639,1.264234e-1
QQN-GoldenSection,4696,1.263456e-1
QQN-GoldenSection,4754,1.262677e-1
QQN-GoldenSection,4811,1.261897e-1
QQN-GoldenSection,4869,1.261117e-1
QQN-GoldenSection,4926,1.260335e-1
QQN-GoldenSection,4984,1.259552e-1
QQN-GoldenSection,5041,1.258768e-1
QQN-GoldenSection,2,5.402467e1
QQN-GoldenSection,56,5.402467e1
QQN-GoldenSection,110,1.986083e-1
QQN-GoldenSection,163,1.985144e-1
QQN-GoldenSection,220,1.984029e-1
QQN-GoldenSection,278,1.983086e-1
QQN-GoldenSection,335,1.982143e-1
QQN-GoldenSection,393,1.981200e-1
QQN-GoldenSection,450,1.980256e-1
QQN-GoldenSection,508,1.979311e-1
QQN-GoldenSection,565,1.978366e-1
QQN-GoldenSection,623,1.977419e-1
QQN-GoldenSection,680,1.976473e-1
QQN-GoldenSection,738,1.975525e-1
QQN-GoldenSection,786,1.974577e-1
QQN-GoldenSection,843,1.956990e-1
QQN-GoldenSection,901,1.956046e-1
QQN-GoldenSection,958,1.955101e-1
QQN-GoldenSection,1016,1.954156e-1
QQN-GoldenSection,1073,1.953209e-1
QQN-GoldenSection,1131,1.952262e-1
QQN-GoldenSection,1188,1.951314e-1
QQN-GoldenSection,1246,1.950365e-1
QQN-GoldenSection,1303,1.949415e-1
QQN-GoldenSection,1361,1.948465e-1
QQN-GoldenSection,1409,1.947513e-1
QQN-GoldenSection,1466,1.929898e-1
QQN-GoldenSection,1524,1.928951e-1
QQN-GoldenSection,1581,1.928003e-1
QQN-GoldenSection,1639,1.927053e-1
QQN-GoldenSection,1696,1.926103e-1
QQN-GoldenSection,1754,1.925151e-1
QQN-GoldenSection,1811,1.924198e-1
QQN-GoldenSection,1869,1.923244e-1
QQN-GoldenSection,1926,1.922289e-1
QQN-GoldenSection,1984,1.921333e-1
QQN-GoldenSection,2032,1.920376e-1
QQN-GoldenSection,2089,1.902700e-1
QQN-GoldenSection,2147,1.901747e-1
QQN-GoldenSection,2204,1.900793e-1
QQN-GoldenSection,2262,1.899837e-1
QQN-GoldenSection,2319,1.898880e-1
QQN-GoldenSection,2377,1.897921e-1
QQN-GoldenSection,2434,1.896961e-1
QQN-GoldenSection,2492,1.896000e-1
QQN-GoldenSection,2549,1.895037e-1
QQN-GoldenSection,2607,1.894073e-1
QQN-GoldenSection,2655,1.893107e-1
QQN-GoldenSection,2712,1.875326e-1
QQN-GoldenSection,2770,1.874364e-1
QQN-GoldenSection,2827,1.873401e-1
QQN-GoldenSection,2885,1.872436e-1
QQN-GoldenSection,2942,1.871469e-1
QQN-GoldenSection,3000,1.870500e-1
QQN-GoldenSection,3057,1.869530e-1
QQN-GoldenSection,3115,1.868558e-1
QQN-GoldenSection,3172,1.867583e-1
QQN-GoldenSection,3230,1.866607e-1
QQN-GoldenSection,3278,1.865629e-1
QQN-GoldenSection,3335,1.847685e-1
QQN-GoldenSection,3393,1.846712e-1
QQN-GoldenSection,3450,1.845736e-1
QQN-GoldenSection,3508,1.844757e-1
QQN-GoldenSection,3565,1.843777e-1
QQN-GoldenSection,3623,1.842794e-1
QQN-GoldenSection,3680,1.841809e-1
QQN-GoldenSection,3738,1.840821e-1
QQN-GoldenSection,3795,1.839831e-1
QQN-GoldenSection,3853,1.838838e-1
QQN-GoldenSection,3901,1.837842e-1
QQN-GoldenSection,3958,1.819662e-1
QQN-GoldenSection,4016,1.818671e-1
QQN-GoldenSection,4073,1.817677e-1
QQN-GoldenSection,4131,1.816681e-1
QQN-GoldenSection,4188,1.815681e-1
QQN-GoldenSection,4246,1.814678e-1
QQN-GoldenSection,4303,1.813672e-1
QQN-GoldenSection,4361,1.812663e-1
QQN-GoldenSection,4418,1.811651e-1
QQN-GoldenSection,4476,1.810635e-1
QQN-GoldenSection,4524,1.809616e-1
QQN-GoldenSection,4581,1.791099e-1
QQN-GoldenSection,4639,1.790084e-1
QQN-GoldenSection,4696,1.789066e-1
