Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,3.451005e-2
QQN-GoldenSection,50,3.451005e-2
QQN-GoldenSection,103,2.928270e-2
QQN-GoldenSection,151,2.623587e-2
QQN-GoldenSection,153,2.032001e-2
QQN-GoldenSection,2,4.576759e-2
QQN-GoldenSection,49,4.576759e-2
QQN-GoldenSection,102,3.420199e-2
QQN-GoldenSection,150,3.129751e-2
QQN-GoldenSection,152,1.391439e-2
QQN-GoldenSection,2,3.886620e-2
QQN-GoldenSection,51,3.886620e-2
QQN-GoldenSection,104,3.084210e-2
QQN-GoldenSection,106,2.473737e-2
QQN-GoldenSection,2,4.656722e-2
QQN-GoldenSection,50,4.656722e-2
QQN-GoldenSection,103,3.953433e-2
QQN-GoldenSection,151,3.539923e-2
QQN-GoldenSection,199,2.752074e-2
QQN-GoldenSection,201,1.318203e-2
QQN-GoldenSection,2,4.870117e-2
QQN-GoldenSection,51,4.870117e-2
QQN-GoldenSection,104,3.970115e-2
QQN-GoldenSection,152,3.281459e-2
QQN-GoldenSection,200,2.897060e-2
QQN-GoldenSection,202,1.413695e-2
QQN-GoldenSection,2,3.139438e-2
QQN-GoldenSection,51,3.139438e-2
QQN-GoldenSection,104,2.629377e-2
QQN-GoldenSection,106,2.247153e-2
QQN-GoldenSection,2,4.756784e-2
QQN-GoldenSection,49,4.756784e-2
QQN-GoldenSection,102,3.936897e-2
QQN-GoldenSection,150,3.568215e-2
QQN-GoldenSection,152,2.440247e-2
QQN-GoldenSection,2,6.652551e-2
QQN-GoldenSection,49,6.652551e-2
QQN-GoldenSection,102,3.521955e-2
QQN-GoldenSection,150,3.238803e-2
QQN-GoldenSection,152,1.121334e-3
QQN-GoldenSection,2,6.269590e-2
QQN-GoldenSection,49,6.269590e-2
QQN-GoldenSection,102,3.913246e-2
QQN-GoldenSection,150,3.594252e-2
QQN-GoldenSection,152,6.055683e-3
QQN-GoldenSection,2,3.876550e-2
QQN-GoldenSection,50,3.876550e-2
QQN-GoldenSection,103,3.302843e-2
QQN-GoldenSection,151,2.921595e-2
QQN-GoldenSection,153,2.391646e-2
QQN-GoldenSection,2,5.879356e-2
QQN-GoldenSection,49,5.879356e-2
QQN-GoldenSection,102,3.618119e-2
QQN-GoldenSection,150,3.323666e-2
