Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,-1.513043e-12
QQN-GoldenSection,6,-1.513043e-12
QQN-GoldenSection,2,-4.990360e-8
QQN-GoldenSection,53,-4.990360e-8
QQN-GoldenSection,106,-4.995408e-8
QQN-GoldenSection,162,-4.995914e-8
QQN-GoldenSection,218,-4.995914e-8
QQN-GoldenSection,274,-4.995914e-8
QQN-GoldenSection,330,-4.995914e-8
QQN-GoldenSection,386,-4.995914e-8
QQN-GoldenSection,442,-4.995914e-8
QQN-GoldenSection,498,-4.995914e-8
QQN-GoldenSection,554,-4.995914e-8
QQN-GoldenSection,610,-4.995914e-8
QQN-GoldenSection,666,-4.995914e-8
QQN-GoldenSection,722,-4.995914e-8
QQN-GoldenSection,778,-4.995914e-8
QQN-GoldenSection,834,-4.995914e-8
QQN-GoldenSection,890,-4.995914e-8
QQN-GoldenSection,946,-4.995914e-8
QQN-GoldenSection,1002,-4.995914e-8
QQN-GoldenSection,1058,-4.995914e-8
QQN-GoldenSection,1114,-4.995914e-8
QQN-GoldenSection,1170,-4.995914e-8
QQN-GoldenSection,1226,-4.995914e-8
QQN-GoldenSection,1282,-4.995914e-8
QQN-GoldenSection,1338,-4.995914e-8
QQN-GoldenSection,1394,-4.995914e-8
QQN-GoldenSection,1450,-4.995914e-8
QQN-GoldenSection,1506,-4.995914e-8
QQN-GoldenSection,1562,-4.995914e-8
QQN-GoldenSection,1618,-4.995914e-8
QQN-GoldenSection,1674,-4.995914e-8
QQN-GoldenSection,1730,-4.995914e-8
QQN-GoldenSection,1786,-4.995914e-8
QQN-GoldenSection,1842,-4.995914e-8
QQN-GoldenSection,1898,-4.995914e-8
QQN-GoldenSection,1954,-4.995914e-8
QQN-GoldenSection,2010,-4.995914e-8
QQN-GoldenSection,2066,-4.995914e-8
QQN-GoldenSection,2122,-4.995914e-8
QQN-GoldenSection,2178,-4.995914e-8
QQN-GoldenSection,2234,-4.995914e-8
QQN-GoldenSection,2290,-4.995914e-8
QQN-GoldenSection,2346,-4.995914e-8
QQN-GoldenSection,2402,-4.995914e-8
QQN-GoldenSection,2458,-4.995914e-8
QQN-GoldenSection,2514,-4.995914e-8
QQN-GoldenSection,2570,-4.995914e-8
QQN-GoldenSection,2626,-4.995914e-8
QQN-GoldenSection,2682,-4.995914e-8
QQN-GoldenSection,2738,-4.995914e-8
QQN-GoldenSection,2794,-4.995914e-8
QQN-GoldenSection,2850,-4.995914e-8
QQN-GoldenSection,2906,-4.995914e-8
QQN-GoldenSection,2962,-4.995914e-8
QQN-GoldenSection,3018,-4.995914e-8
QQN-GoldenSection,3074,-4.995914e-8
QQN-GoldenSection,3130,-4.995914e-8
QQN-GoldenSection,3186,-4.995914e-8
QQN-GoldenSection,3242,-4.995915e-8
QQN-GoldenSection,3298,-4.995915e-8
QQN-GoldenSection,3354,-4.995915e-8
QQN-GoldenSection,3410,-4.995915e-8
QQN-GoldenSection,3466,-4.995915e-8
QQN-GoldenSection,3522,-4.995915e-8
QQN-GoldenSection,3578,-4.995915e-8
QQN-GoldenSection,3634,-4.995915e-8
QQN-GoldenSection,3690,-4.995915e-8
QQN-GoldenSection,3746,-4.995915e-8
QQN-GoldenSection,3802,-4.995915e-8
QQN-GoldenSection,3858,-4.995915e-8
QQN-GoldenSection,3914,-4.995915e-8
QQN-GoldenSection,3970,-4.995915e-8
QQN-GoldenSection,4026,-4.995915e-8
QQN-GoldenSection,4082,-4.995915e-8
QQN-GoldenSection,4138,-4.995915e-8
QQN-GoldenSection,4194,-4.995915e-8
QQN-GoldenSection,4250,-4.995915e-8
QQN-GoldenSection,4306,-4.995915e-8
QQN-GoldenSection,4362,-4.995915e-8
QQN-GoldenSection,4418,-4.995915e-8
QQN-GoldenSection,4474,-4.995915e-8
QQN-GoldenSection,4530,-4.995915e-8
QQN-GoldenSection,4586,-4.995915e-8
QQN-GoldenSection,4642,-4.995915e-8
QQN-GoldenSection,4698,-4.995915e-8
QQN-GoldenSection,4754,-4.995915e-8
QQN-GoldenSection,4810,-4.995915e-8
QQN-GoldenSection,4866,-4.995915e-8
QQN-GoldenSection,4922,-4.995915e-8
QQN-GoldenSection,4978,-4.995915e-8
QQN-GoldenSection,5034,-4.995915e-8
QQN-GoldenSection,2,-4.229264e-10
QQN-GoldenSection,6,-4.229264e-10
QQN-GoldenSection,2,-3.452063e-9
QQN-GoldenSection,6,-3.452063e-9
QQN-GoldenSection,2,-7.563209e-7
QQN-GoldenSection,53,-7.563209e-7
QQN-GoldenSection,106,-7.658873e-7
QQN-GoldenSection,163,-7.668621e-7
QQN-GoldenSection,220,-7.668624e-7
QQN-GoldenSection,277,-7.668627e-7
QQN-GoldenSection,334,-7.668630e-7
QQN-GoldenSection,391,-7.668633e-7
QQN-GoldenSection,448,-7.668636e-7
QQN-GoldenSection,505,-7.668639e-7
QQN-GoldenSection,562,-7.668642e-7
QQN-GoldenSection,619,-7.668645e-7
QQN-GoldenSection,676,-7.668648e-7
QQN-GoldenSection,733,-7.668651e-7
QQN-GoldenSection,790,-7.668653e-7
QQN-GoldenSection,847,-7.668656e-7
QQN-GoldenSection,904,-7.668659e-7
QQN-GoldenSection,961,-7.668662e-7
QQN-GoldenSection,1018,-7.668665e-7
QQN-GoldenSection,1075,-7.668668e-7
QQN-GoldenSection,1132,-7.668671e-7
QQN-GoldenSection,1189,-7.668674e-7
QQN-GoldenSection,1246,-7.668677e-7
QQN-GoldenSection,1303,-7.668680e-7
QQN-GoldenSection,1360,-7.668683e-7
QQN-GoldenSection,1417,-7.668686e-7
QQN-GoldenSection,1474,-7.668689e-7
QQN-GoldenSection,1531,-7.668692e-7
QQN-GoldenSection,1588,-7.668695e-7
QQN-GoldenSection,1645,-7.668698e-7
QQN-GoldenSection,1702,-7.668701e-7
QQN-GoldenSection,1759,-7.668704e-7
QQN-GoldenSection,1816,-7.668707e-7
QQN-GoldenSection,1873,-7.668710e-7
QQN-GoldenSection,1930,-7.668713e-7
QQN-GoldenSection,1987,-7.668716e-7
QQN-GoldenSection,2044,-7.668719e-7
QQN-GoldenSection,2101,-7.668722e-7
QQN-GoldenSection,2158,-7.668725e-7
QQN-GoldenSection,2215,-7.668728e-7
QQN-GoldenSection,2272,-7.668731e-7
QQN-GoldenSection,2329,-7.668734e-7
QQN-GoldenSection,2386,-7.668737e-7
QQN-GoldenSection,2443,-7.668740e-7
QQN-GoldenSection,2500,-7.668743e-7
QQN-GoldenSection,2557,-7.668746e-7
QQN-GoldenSection,2614,-7.668749e-7
QQN-GoldenSection,2671,-7.668752e-7
QQN-GoldenSection,2728,-7.668755e-7
QQN-GoldenSection,2785,-7.668758e-7
QQN-GoldenSection,2842,-7.668761e-7
QQN-GoldenSection,2899,-7.668764e-7
QQN-GoldenSection,2956,-7.668767e-7
QQN-GoldenSection,3013,-7.668770e-7
QQN-GoldenSection,3070,-7.668773e-7
QQN-GoldenSection,3127,-7.668776e-7
QQN-GoldenSection,3184,-7.668779e-7
QQN-GoldenSection,3241,-7.668782e-7
QQN-GoldenSection,3298,-7.668785e-7
QQN-GoldenSection,3355,-7.668788e-7
QQN-GoldenSection,3412,-7.668791e-7
QQN-GoldenSection,3469,-7.668794e-7
QQN-GoldenSection,3526,-7.668797e-7
QQN-GoldenSection,3583,-7.668800e-7
QQN-GoldenSection,3640,-7.668803e-7
QQN-GoldenSection,3697,-7.668806e-7
QQN-GoldenSection,3754,-7.668809e-7
QQN-GoldenSection,3811,-7.668812e-7
QQN-GoldenSection,3868,-7.668815e-7
QQN-GoldenSection,3925,-7.668818e-7
QQN-GoldenSection,3982,-7.668821e-7
QQN-GoldenSection,4039,-7.668824e-7
