Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,9.753112e0,9.891432e-1
QQN-GoldenSection,15,9.753112e0,9.891432e-1
QQN-GoldenSection,29,9.752767e0,9.891279e-1
QQN-GoldenSection,75,9.747593e0,9.888974e-1
QQN-GoldenSection,89,9.744476e0,9.887585e-1
QQN-GoldenSection,2,1.113932e1,1.046858e0
QQN-GoldenSection,50,1.113932e1,1.046858e0
QQN-GoldenSection,2,1.008544e1,1.003695e0
QQN-GoldenSection,15,1.008544e1,1.003695e0
QQN-GoldenSection,2,1.054836e1,1.023185e0
QQN-GoldenSection,49,1.054836e1,1.023185e0
QQN-GoldenSection,63,1.054155e1,1.022904e0
QQN-GoldenSection,2,1.089897e1,1.037386e0
QQN-GoldenSection,49,1.089897e1,1.037386e0
QQN-GoldenSection,2,1.060877e1,1.025665e0
QQN-GoldenSection,50,1.060877e1,1.025665e0
QQN-GoldenSection,2,9.759350e0,9.894209e-1
QQN-GoldenSection,52,9.759350e0,9.894209e-1
QQN-GoldenSection,2,1.026323e1,1.011284e0
QQN-GoldenSection,50,1.026323e1,1.011284e0
QQN-GoldenSection,2,1.053304e1,1.022554e0
QQN-GoldenSection,15,1.053304e1,1.022554e0
QQN-GoldenSection,29,1.053128e1,1.022481e0
QQN-GoldenSection,2,9.711634e0,9.872923e-1
QQN-GoldenSection,53,9.711634e0,9.872923e-1
QQN-GoldenSection,55,9.175626e0,9.626357e-1
QQN-GoldenSection,2,1.076067e1,1.031839e0
QQN-GoldenSection,15,1.076067e1,1.031839e0
QQN-Bisection-1,2,1.103830e1,1.042902e0
QQN-Bisection-1,69,1.103830e1,1.042902e0
QQN-Bisection-1,154,1.103559e1,1.042796e0
QQN-Bisection-1,185,1.101452e1,1.041966e0
QQN-Bisection-1,206,1.091038e1,1.037840e0
QQN-Bisection-1,227,1.081289e1,1.033942e0
QQN-Bisection-1,248,1.066576e1,1.027992e0
QQN-Bisection-1,325,1.040577e1,1.017274e0
QQN-Bisection-1,412,1.026362e1,1.011301e0
QQN-Bisection-1,433,9.988995e0,9.995218e-1
QQN-Bisection-1,454,9.890777e0,9.952304e-1
QQN-Bisection-1,531,9.815888e0,9.919296e-1
QQN-Bisection-1,533,9.663079e0,9.851155e-1
QQN-Bisection-1,2,1.221129e1,1.086762e0
QQN-Bisection-1,59,1.221129e1,1.086762e0
QQN-Bisection-1,142,1.220920e1,1.086687e0
QQN-Bisection-1,173,1.160178e1,1.064525e0
QQN-Bisection-1,194,1.116944e1,1.048031e0
QQN-Bisection-1,284,1.072539e1,1.030413e0
QQN-Bisection-1,374,1.071361e1,1.029936e0
