Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,4.685766e0
QQN-GoldenSection,50,4.685766e0
QQN-GoldenSection,103,1.780251e-3
QQN-GoldenSection,151,1.092569e-3
QQN-GoldenSection,153,7.246213e-8
QQN-GoldenSection,2,4.640696e0
QQN-GoldenSection,50,4.640696e0
QQN-GoldenSection,103,9.049535e-4
QQN-GoldenSection,151,6.657968e-4
QQN-GoldenSection,153,7.613950e-9
QQN-GoldenSection,2,4.947393e0
QQN-GoldenSection,50,4.947393e0
QQN-GoldenSection,103,3.963303e-3
QQN-GoldenSection,151,2.361227e-3
QQN-GoldenSection,153,2.510531e-7
QQN-GoldenSection,2,5.271221e0
QQN-GoldenSection,50,5.271221e0
QQN-GoldenSection,103,1.152149e-3
QQN-GoldenSection,151,8.862607e-4
QQN-GoldenSection,153,8.741498e-9
QQN-GoldenSection,2,7.032424e0
QQN-GoldenSection,50,7.032424e0
QQN-GoldenSection,103,1.770321e-3
QQN-GoldenSection,151,1.058049e-3
QQN-GoldenSection,153,5.497983e-8
QQN-GoldenSection,2,5.477081e0
QQN-GoldenSection,50,5.477081e0
QQN-GoldenSection,103,2.073022e-3
QQN-GoldenSection,151,1.697723e-3
QQN-GoldenSection,153,3.167821e-8
QQN-GoldenSection,2,5.441467e0
QQN-GoldenSection,50,5.441467e0
QQN-GoldenSection,103,5.985136e-3
QQN-GoldenSection,151,3.699706e-3
QQN-GoldenSection,153,4.805346e-7
QQN-GoldenSection,2,5.252116e0
QQN-GoldenSection,50,5.252116e0
QQN-GoldenSection,103,6.626617e-4
QQN-GoldenSection,151,6.141842e-4
QQN-GoldenSection,153,1.398570e-8
QQN-GoldenSection,2,5.563413e0
QQN-GoldenSection,50,5.563413e0
QQN-GoldenSection,103,3.176266e-3
QQN-GoldenSection,151,2.229693e-3
QQN-GoldenSection,153,9.545054e-8
QQN-GoldenSection,2,5.513383e0
QQN-GoldenSection,50,5.513383e0
QQN-GoldenSection,103,1.689653e-3
QQN-GoldenSection,151,1.044090e-3
QQN-GoldenSection,153,6.147855e-8
QQN-GoldenSection,2,6.066227e0
QQN-GoldenSection,50,6.066227e0
QQN-GoldenSection,103,6.174439e-3
QQN-GoldenSection,151,3.742190e-3
QQN-GoldenSection,153,4.734143e-7
QQN-GoldenSection,2,5.690482e0
QQN-GoldenSection,50,5.690482e0
QQN-GoldenSection,103,2.785541e-3
QQN-GoldenSection,151,1.699154e-3
QQN-GoldenSection,153,1.309240e-7
QQN-GoldenSection,2,5.675290e0
QQN-GoldenSection,50,5.675290e0
QQN-GoldenSection,103,2.720633e-3
QQN-GoldenSection,151,1.754215e-3
QQN-GoldenSection,153,1.145339e-7
QQN-GoldenSection,2,5.247048e0
QQN-GoldenSection,50,5.247048e0
QQN-GoldenSection,103,4.135209e-4
QQN-GoldenSection,151,3.982139e-4
QQN-GoldenSection,153,6.575449e-9
QQN-GoldenSection,2,5.734589e0
QQN-GoldenSection,50,5.734589e0
QQN-GoldenSection,103,2.252814e-3
QQN-GoldenSection,151,1.566378e-3
QQN-GoldenSection,153,5.428898e-8
QQN-GoldenSection,2,5.017355e0
QQN-GoldenSection,50,5.017355e0
QQN-GoldenSection,103,3.625795e-3
QQN-GoldenSection,151,2.477917e-3
QQN-GoldenSection,153,1.533095e-7
QQN-GoldenSection,2,5.799677e0
QQN-GoldenSection,50,5.799677e0
QQN-GoldenSection,103,2.052575e-3
QQN-GoldenSection,151,1.558778e-3
QQN-GoldenSection,153,2.526203e-8
QQN-GoldenSection,2,6.057732e0
QQN-GoldenSection,50,6.057732e0
QQN-GoldenSection,103,1.488378e-4
QQN-GoldenSection,151,1.324197e-4
QQN-GoldenSection,153,2.491970e-9
QQN-GoldenSection,2,4.368303e0
QQN-GoldenSection,50,4.368303e0
QQN-GoldenSection,103,2.675618e-3
QQN-GoldenSection,151,1.588709e-3
QQN-GoldenSection,153,1.387045e-7
QQN-GoldenSection,2,4.899287e0
QQN-GoldenSection,50,4.899287e0
