Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,1.637821e0
QQN-GoldenSection,50,1.637821e0
QQN-GoldenSection,52,2.636831e-14
QQN-GoldenSection,2,1.885583e0
QQN-GoldenSection,50,1.885583e0
QQN-GoldenSection,52,3.035718e-14
QQN-GoldenSection,2,1.923494e0
QQN-GoldenSection,50,1.923494e0
QQN-GoldenSection,52,3.096754e-14
QQN-GoldenSection,2,2.212453e0
QQN-GoldenSection,50,2.212453e0
QQN-GoldenSection,52,3.561966e-14
QQN-GoldenSection,2,2.402983e0
QQN-GoldenSection,50,2.402983e0
QQN-GoldenSection,52,3.868713e-14
QQN-GoldenSection,2,1.539564e0
QQN-GoldenSection,50,1.539564e0
QQN-GoldenSection,52,2.478641e-14
QQN-GoldenSection,2,2.180098e0
QQN-GoldenSection,50,2.180098e0
QQN-GoldenSection,52,3.509877e-14
QQN-GoldenSection,2,1.971385e0
QQN-GoldenSection,50,1.971385e0
QQN-GoldenSection,52,3.173855e-14
QQN-GoldenSection,2,2.170456e0
QQN-GoldenSection,50,2.170456e0
QQN-GoldenSection,52,3.494353e-14
QQN-GoldenSection,2,1.869774e0
QQN-GoldenSection,50,1.869774e0
QQN-GoldenSection,52,3.010266e-14
QQN-GoldenSection,2,2.008143e0
QQN-GoldenSection,50,2.008143e0
QQN-GoldenSection,52,3.233035e-14
QQN-GoldenSection,2,2.206269e0
QQN-GoldenSection,50,2.206269e0
QQN-GoldenSection,52,3.552010e-14
QQN-GoldenSection,2,2.359395e0
QQN-GoldenSection,50,2.359395e0
QQN-GoldenSection,52,3.798537e-14
QQN-GoldenSection,2,1.584249e0
QQN-GoldenSection,50,1.584249e0
QQN-GoldenSection,52,2.550582e-14
QQN-GoldenSection,2,2.460573e0
QQN-GoldenSection,50,2.460573e0
QQN-GoldenSection,52,3.961430e-14
QQN-GoldenSection,2,2.333406e0
QQN-GoldenSection,50,2.333406e0
QQN-GoldenSection,52,3.756696e-14
QQN-GoldenSection,2,1.626834e0
QQN-GoldenSection,50,1.626834e0
QQN-GoldenSection,52,2.619142e-14
QQN-GoldenSection,2,2.371998e0
QQN-GoldenSection,50,2.371998e0
QQN-GoldenSection,52,3.818828e-14
QQN-GoldenSection,2,1.528292e0
QQN-GoldenSection,50,1.528292e0
QQN-GoldenSection,52,2.460493e-14
QQN-GoldenSection,2,1.780500e0
QQN-GoldenSection,50,1.780500e0
QQN-GoldenSection,52,2.866538e-14
QQN-Bisection-1,2,2.452142e0
QQN-Bisection-1,23,2.452142e0
QQN-Bisection-1,25,0.000000e0
QQN-Bisection-1,2,2.024916e0
QQN-Bisection-1,23,2.024916e0
QQN-Bisection-1,25,0.000000e0
QQN-Bisection-1,2,2.718866e0
QQN-Bisection-1,23,2.718866e0
QQN-Bisection-1,25,0.000000e0
QQN-Bisection-1,2,1.614983e0
QQN-Bisection-1,23,1.614983e0
QQN-Bisection-1,25,0.000000e0
QQN-Bisection-1,2,2.676883e0
QQN-Bisection-1,23,2.676883e0
QQN-Bisection-1,25,0.000000e0
QQN-Bisection-1,2,1.998390e0
QQN-Bisection-1,23,1.998390e0
QQN-Bisection-1,25,0.000000e0
QQN-Bisection-1,2,1.918391e0
QQN-Bisection-1,23,1.918391e0
QQN-Bisection-1,25,0.000000e0
QQN-Bisection-1,2,2.033122e0
QQN-Bisection-1,23,2.033122e0
QQN-Bisection-1,25,0.000000e0
QQN-Bisection-1,2,2.169303e0
QQN-Bisection-1,23,2.169303e0
QQN-Bisection-1,25,0.000000e0
QQN-Bisection-1,2,2.493631e0
QQN-Bisection-1,23,2.493631e0
QQN-Bisection-1,25,0.000000e0
QQN-Bisection-1,2,1.937580e0
QQN-Bisection-1,23,1.937580e0
QQN-Bisection-1,25,0.000000e0
QQN-Bisection-1,2,2.106195e0
QQN-Bisection-1,23,2.106195e0
QQN-Bisection-1,25,0.000000e0
QQN-Bisection-1,2,2.163520e0
QQN-Bisection-1,23,2.163520e0
QQN-Bisection-1,25,0.000000e0
QQN-Bisection-1,2,2.091031e0
QQN-Bisection-1,23,2.091031e0
QQN-Bisection-1,25,0.000000e0
QQN-Bisection-1,2,1.952358e0
QQN-Bisection-1,23,1.952358e0
QQN-Bisection-1,25,0.000000e0
QQN-Bisection-1,2,2.505732e0
QQN-Bisection-1,23,2.505732e0
QQN-Bisection-1,25,0.000000e0
QQN-Bisection-1,2,1.874308e0
QQN-Bisection-1,23,1.874308e0
QQN-Bisection-1,25,0.000000e0
QQN-Bisection-1,2,1.461818e0
QQN-Bisection-1,23,1.461818e0
QQN-Bisection-1,25,0.000000e0
QQN-Bisection-1,2,2.143594e0
QQN-Bisection-1,23,2.143594e0
QQN-Bisection-1,25,0.000000e0
QQN-Bisection-1,2,1.495359e0
QQN-Bisection-1,23,1.495359e0
QQN-Bisection-1,25,0.000000e0
QQN-Bisection-2,2,2.653689e0
QQN-Bisection-2,24,2.653689e0
QQN-Bisection-2,26,0.000000e0
QQN-Bisection-2,2,1.759250e0
QQN-Bisection-2,24,1.759250e0
QQN-Bisection-2,26,0.000000e0
QQN-Bisection-2,2,2.379444e0
QQN-Bisection-2,24,2.379444e0
QQN-Bisection-2,26,0.000000e0
QQN-Bisection-2,2,2.040895e0
QQN-Bisection-2,24,2.040895e0
QQN-Bisection-2,26,0.000000e0
QQN-Bisection-2,2,2.450008e0
QQN-Bisection-2,24,2.450008e0
QQN-Bisection-2,26,0.000000e0
QQN-Bisection-2,2,1.673473e0
QQN-Bisection-2,24,1.673473e0
QQN-Bisection-2,26,0.000000e0
QQN-Bisection-2,2,2.413099e0
QQN-Bisection-2,24,2.413099e0
QQN-Bisection-2,26,0.000000e0
QQN-Bisection-2,2,1.818810e0
QQN-Bisection-2,24,1.818810e0
QQN-Bisection-2,26,0.000000e0
QQN-Bisection-2,2,2.048375e0
QQN-Bisection-2,24,2.048375e0
QQN-Bisection-2,26,0.000000e0
QQN-Bisection-2,2,1.798075e0
QQN-Bisection-2,24,1.798075e0
QQN-Bisection-2,26,0.000000e0
QQN-Bisection-2,2,1.468045e0
QQN-Bisection-2,24,1.468045e0
QQN-Bisection-2,26,0.000000e0
QQN-Bisection-2,2,2.743733e0
QQN-Bisection-2,24,2.743733e0
QQN-Bisection-2,26,0.000000e0
QQN-Bisection-2,2,2.015909e0
QQN-Bisection-2,24,2.015909e0
QQN-Bisection-2,26,0.000000e0
QQN-Bisection-2,2,1.990169e0
QQN-Bisection-2,24,1.990169e0
QQN-Bisection-2,26,0.000000e0
QQN-Bisection-2,2,2.359504e0
QQN-Bisection-2,24,2.359504e0
QQN-Bisection-2,26,0.000000e0
QQN-Bisection-2,2,2.182712e0
QQN-Bisection-2,24,2.182712e0
QQN-Bisection-2,26,0.000000e0
QQN-Bisection-2,2,1.712835e0
QQN-Bisection-2,24,1.712835e0
QQN-Bisection-2,26,0.000000e0
QQN-Bisection-2,2,2.148484e0
QQN-Bisection-2,24,2.148484e0
QQN-Bisection-2,26,0.000000e0
QQN-Bisection-2,2,2.519121e0
QQN-Bisection-2,24,2.519121e0
QQN-Bisection-2,26,0.000000e0
QQN-Bisection-2,2,2.300867e0
QQN-Bisection-2,24,2.300867e0
QQN-Bisection-2,26,0.000000e0
QQN-StrongWolfe,2,1.865027e0
